Description, Price 
FINE NEEDLE ASPIRATION W/IMAGING GUIDANC," $1,075.06 "
SURG ABSCESS DRAIN SIMPLE, $420.94 
I & D PILONIDIAL CYST SIMPLE, $397.02 
FB REMOVAL SKIN, $545.30 
ASPIRATION ABSCESS/HEMA/CYST SKIN/SUBQ- ER, $576.40 
SURG ABSCESS CYST ASPIRATION SUBQU, $480.73 
EXC BENIGN LESION," $1,500.00 "
NAIL REMOVAL 1, $294.18 
NAIL & MATRIX EXC, $813.17 
NAIL & MATRIX REPAIR, $411.37 
REMOVAL DRUG DELIVERY IMPLANT, $750.00 
LAC SIMPLE < 2.5, $368.32 
LAC SIMPLE 2.6 TO 7.5, $386.26 
LAC SIMPLE 7.6 TO 12.5, $418.54 
LAC SIMPLE 12.6 TO 20, $448.44 
LAC SIMPLE OVER 30, $495.08 
LAC FACE/EAR SIMPLE < 2.5 CM, $298.96 
LAC FACE/EAR SIMPLE 2.6-5CM, $328.86 
LAC FACE/EAR SIMPLE 5.1-7.5CM, $358.75 
LAC FACE/EAR SIMPLE 7.6 -12.5CM, $388.65 
WOUND REPAIR SPLIT WOUND CLOSURE, $959.06 
LAC MED S/A/T/E < 2.5, $418.54 
LAC MED S/A/T/E 2.6 TO 7.5CM, $454.42 
LAC MED S/A/T/E 7.6 TO 12.5CM, $484.32 
LAC MED S/A/T/E 12.6 TO 20CM- ER, $498.67 
REPAIR INTERMEDIATE WOUND, $505.00 
LAC MED N/H/F/G < 2.5CM, $420.94 
LAC MED N/H/F/G 2.6 -7.5CM, $448.44 
LAC MED FACE/EAR < 2.5 CM, $420.94 
LAC MED FACE/EAR 2.6 -5CM, $430.50 
BURN TX 1ST DEGREE, $241.88 
BURN DRSG SMALL- ER, $285.81 
DEBRIDEMENT/ DRESSING FOR PARTIAL THICKN, $285.81 
SURG BX BREAST," $1,144.42 "
BREAST LOCALIZATION, $554.00 
BREAST LOC EA ADD, $554.00 
BREAST LOC WITH 1ST US, $554.00 
REMOVAL OF IMPLANT MATERIAL," $4,600.00 "
SURG BX MUSCLE, $932.00 
SURG BX BONE SUPERFICIAL," $1,230.52 "
SURG BX BONE DEEP," $1,435.01 "
SURG SINOGRAM INJ FOR DX, $418.00 
TENDON ORIGIN/INSERTION, $618.25 
TRIGGER POINT INJ. ONE OR TWO MUSCLES- OR, $601.51 
TRIGGER POINT INJ. ONE OR TWO MUSCLES- IR, $736.09 
TRIGER POINT INJ THREE OR MORE MUSCLES, $870.57 
"ARTHROCENTESIS, ASPIRATION AND OR INJECT", $499.86 
SMALL JOIN INJ W/ US, $626.50 
INTERMEDIATE JOINT INJECTION- IR, $771.32 
SURG ASP/INJ MED JOINT- Radiology, $413.76 
INTERMEDIATE JOIN INJ W/ US, $626.50 
ARTH/ASP LARGE JOINT- ER, $558.46 
ALL MAJOR JOINTS INJECTION-IR, $977.91 
SURG ASP/INJ LG JOINT- Radiology, $558.46 
LARGE JOINT INJECTION W/US, $753.20 
SP BONE ALGRFT STRUCT ADD ON," $1,700.00 "
SURG BX NECK/THORAX," $2,750.43 "
THORACIC KYPHOPLASTY W/ IMAGING," $16,750.00 "
LUMBAR KYPHOPLASTY W/ IMAGING," $16,750.00 "
KYPHOPLASTY EACH ADDL LVL," $8,300.00 "
ADDL NECK SPINE FUSION," $2,000.00 "
INSERT SPINE FIXATION DEVICE," $2,000.00 "
REINSERT SPINAL FIXATION," $7,500.00 "
SURG SHOULDER INJECTION, $375.00 
TREAT HUMERUS FRACTURE," $1,710.00 "
CLOSED RED SHOULDER WITHOUT ANESTHESIA, $530.95 
TREAT DISLOCATION/FRACTURE," $2,000.00 "
CLOSED RED ELBOW, $514.21 
CLOSED RED RADIAL HEAD SUBLUXATION, $538.13 
SURG WRIST INJECTION, $375.00 
TREAT FRACTURE RADIUS/ULNA, $436.48 
CLOSED RED COLLES FX RADIUS, $694.78 
TENDON SHEATH INCISION," $2,700.00 "
