PROCEDURE,DESCRIPTION,CPT CODE, CHARGE ,REV CODE
NHCMSO,ROOM-NH-PVT RM 1 OCC-COMM,,275,110
NHCMSUITE,ROOM-NH-PVTsuite 1occ-COMM,,275,110
NHMCSO,ROOM-NH-PVT RM 1 OCC-MEDICARE,,275,110
NHMCSUITE,ROOM-NH-PVTsuite 1occ-MEDICARE,,275,110
NHMDSO,ROOM-NH-PVT RM 1 OCC-MEDICAID,,275,110
NHSPSO,ROOM-NH-PVT RM 1 OCC-SELF PAY,,275,110
NHSPSUITE,ROOM-NH-PVTsuite 1occ-SELF PAY,,275,110
NHCM,ROOM-NH-SEMI PVT-COMMERICAL,,275,120
NHMC,ROOM-NH-SEMI PVT-MEDICARE,,275,120
NHMD,ROOM-NH-SEVMI PVT-MEDICAID,,275,120
NHSP,ROOM-NH-SEMI PVT-SELF PAY,,275,120
MEDLVL1CM,ROOM-MEDICAL LEVEL 1-COMM,,"1,565.00",120
MEDLVL1MC,ROOM-MEDICAL LEVEL 1-MEDICARE,,"1,565.00",120
MEDLVL1MD,ROOM-MEDICAL LEVEL 1-MEDICAID,,"1,565.00",120
MEDLVL1SP,ROOM-MEDICAL LEVEL 1-SELF SPAY,,"1,565.00",120
HOSPRESCM,ROOM-HOSPICE RESPTIE-COMM,,275,125
HOSPRESMC,ROOM-HOSPICE RESPITE-MEDICARE,,275,125
HOSPRESMD,ROOM-HOSPICE RESPITE-MEDICAID,,275,125
HOSPRESSP,ROOM-HOSPICE RESPITE-SELF PAY,,275,125
HOSPICECM,ROOM-HOSPICE-COMMERICAL,,"1,052.00",125
HOSPICEMC,ROOM-HOSPICE-MEDICARE,,"1,052.00",125
HOSPICEMD,ROOM-HOSPICE-MEDICAID,,"1,052.00",125
HOSPICESP,ROOM-HOSPICE-SELF PAY,,"1,052.00",125
ECF0009,ROOM-N.H.-L.O.A.DAY,, -   ,129
MED7060,DAY CARE-ADULT-DAILY RATE,,135,129
MEDLVL2CM,ROOM-MEDICAL LEVEL 2-COMM,,"1,902.00",200
MEDLVL2MC,ROOM-MEDICAL LEVEL 2-MEDICARE,,"1,902.00",200
MEDLVL2MD,ROOM-MEDICAL LEVEL 2-MEDICAID,,"1,902.00",200
MEDLVL2SP,ROOM-MEDICAL LEVEL 2-SELF PAY,,"1,902.00",200
BLD8425,RHOGAM,90384,136.7,250
CSV005141,GEL AQUANSONIC STERILE PKT,,3,250
CSV004435,SPLINT-FINGER-OPEN AIR-Size5.5,,11,250
CSV005046,"EXTENSON SET-MICROBORE-8""2CLAV",,17,250
CSV005373,OINTMENT-BARRIER.CRM.REMEDY6oz,,17,250
