CDM NAME,HOSPITAL,TECHNICAL DESCRIPTION,TOTAL CHARGE
BMC,Brookwood Medical Center ,CARMUSTINE 7.7MG WAFR IJ,"$84,717.98 "
BMC,Brookwood Medical Center ,POLIOVIRUS VAC IM/SQ IJ,$246.50 
BMC,Brookwood Medical Center ,POLYMYXIN B 500MU IJ,$651.86 
BMC,Brookwood Medical Center ,K ACET 40MEQ/20ML IJ,$134.01 
BMC,Brookwood Medical Center ,K PHOS 3MM/ML 5ML IJ,$15.08 
BMC,Brookwood Medical Center ,K PHOS 3MM/ML 15ML IJ,$173.22 
BMC,Brookwood Medical Center ,PRALATREXATE PER 1MG IJ,"$2,232.74 "
BMC,Brookwood Medical Center ,PROCAINAMIDE UPTO 1GM IJ,$854.33 
BMC,Brookwood Medical Center ,PROCHLORPERAZINE 10MG IJ,$116.79 
BMC,Brookwood Medical Center ,PROGESTERONE PER 50MG IJ,$934.63 
BMC,Brookwood Medical Center ,PROMETHAZINE UPTO50MG IJ,$184.98 
BMC,Brookwood Medical Center ,PROPRANOLOL UPTO 1MG IJ,$134.01 
BMC,Brookwood Medical Center ,PROPOFOL PER 10MG IJ,$3.48 
BMC,Brookwood Medical Center ,PROTAMINE PER 10MG IJ,$47.98 
BMC,Brookwood Medical Center ,PROTHROM COMP HUM 1U IJ,$21.95 
BMC,Brookwood Medical Center ,PYRIDOSTIGMINE10MG/2MLIJ,$142.05 
BMC,Brookwood Medical Center ,PYRIDOXINE PER 100MG IJ,$267.95 
BMC,Brookwood Medical Center ,RANITIDINE PER25MG PMXIJ,$35.31 
BMC,Brookwood Medical Center ,RANITIDINE PER 25MG IJ,$142.62 
BMC,Brookwood Medical Center ,RABIES IG IM/SC 150U IJ,"$3,152.56 "
BMC,Brookwood Medical Center ,RABIES VACCINE IM IJ,"$3,615.89 "
BMC,Brookwood Medical Center ,RABIES VACCINE ID IJ,"$2,255.54 "
BMC,Brookwood Medical Center ,RABIES IG HT PER150U IJ,"$3,749.28 "
BMC,Brookwood Medical Center ,RETEPLASE PER18.1MG IJ,"$21,710.04 "
BMC,Brookwood Medical Center ,REGADENOSON PER 0.1MG IJ,$791.01 
BMC,Brookwood Medical Center ,RAMUCIRUMAB PER 5MG IJ,$556.29 
BMC,Brookwood Medical Center ,RASBURICASE PER .5MG IJ,"$2,309.73 "
BMC,Brookwood Medical Center ,RHOPHYLAC IV/IMPER100UIJ,$142.70 
BMC,Brookwood Medical Center ,RHO(D) IG PER 300MCG IJ,"$1,919.42 "
BMC,Brookwood Medical Center ,RIFAMPIN 600MG IJ,"$3,027.10 "
BMC,Brookwood Medical Center ,RISPERIDONE PER.5MG IJ,$62.97 
BMC,Brookwood Medical Center ,RITUXIMAB PER 100MG IJ,"$8,980.39 "
BMC,Brookwood Medical Center ,ROCURONIUM10MG/1ML 5MLIJ,$912.96 
BMC,Brookwood Medical Center ,ROMIPLOSTIM PER10MCG IJ,$647.30 
BMC,Brookwood Medical Center ,ROMIDEPSIN PER 1MG IJ,"$2,439.48 "
BMC,Brookwood Medical Center ,ROPIVACAINE PER 1MG IJ,$13.22 
BMC,Brookwood Medical Center ,ROPIVACAINE PER1MG PMXIJ,$3.14 
BMC,Brookwood Medical Center ,SCOPOLAMINE.4MG/1ML IJ,$142.05 
BMC,Brookwood Medical Center ,SECRETIN HUMAN PER1MCGIJ,$328.20 
BMC,Brookwood Medical Center ,SELENIUM 40MCG/ML IJ,$74.89 
BMC,Brookwood Medical Center ,NA ACETATE2MEQ/ML 20MLIJ,$142.95 
BMC,Brookwood Medical Center ,NA BICARB 4%5ML IJ,$67.50 
BMC,Brookwood Medical Center ,NA BICARB PED4.2% IJ,$457.85 
BMC,Brookwood Medical Center ,NA BICARB 8.4%10ML PFSIJ,$109.34 
BMC,Brookwood Medical Center ,NA BICARB 8.4%50ML IJ,$12.58 
BMC,Brookwood Medical Center ,NA BICARB 7.5%50ML IJ,$731.82 
BMC,Brookwood Medical Center ,NA BICARB 8.4%50ML PFSIJ,$166.20 
BMC,Brookwood Medical Center ,NACL 23.4% 50ML IJ,$14.78 
BMC,Brookwood Medical Center ,NACL100MEQ/40ML IJ,$158.58 
BMC,Brookwood Medical Center ,NACL 23.4% 30ML IJ,$43.70 
BMC,Brookwood Medical Center ,NACL 4MEQ/ML 1ML IJ,$1.14 
BMC,Brookwood Medical Center ,NACL .9% 2.5ML PFS IJ,$4.53 
BMC,Brookwood Medical Center ,NACL .9% 10ML IJ,$107.42 
BMC,Brookwood Medical Center ,NACL BACT .9% 30ML IJ,$30.03 
BMC,Brookwood Medical Center ,NACL .9% 10ML PFS IJ,$9.65 
BMC,Brookwood Medical Center ,NACL .9% 3ML PFS IJ,$20.42 
BMC,Brookwood Medical Center ,NA PHOSPHATE3MM/ML15MLIJ,$69.44 
BMC,Brookwood Medical Center ,SILDENAFIL NEO PER1MG IJ,$241.95 
BMC,Brookwood Medical Center ,SODIUM TETRADECYL3%2MLIJ,$187.64 
BMC,Brookwood Medical Center ,NA THIOSULF 250M/M50MLIJ,$208.00 
BMC,Brookwood Medical Center ,STREPTOMYCIN UPTO 1GM IJ,$238.87 
BMC,Brookwood Medical Center ,STREPTOZOCIN 1GM IJ,$238.87 
BMC,Brookwood Medical Center ,SUGAMMADEX 200MG/2ML IJ,"$1,065.81 "
BMC,Brookwood Medical Center ,SUGAMMADEX 500MG/5ML IJ,"$1,952.12 "
BMC,Brookwood Medical Center ,SUCCINYLCHOL UPTO 20MGIJ,$299.43 
BMC,Brookwood Medical Center ,QUINUPR/DALFOPR 500MG IJ,"$1,746.36 "
BMC,Brookwood Medical Center ,SUMATRIPTAN PER 6MG IJ,$770.34 
BMC,Brookwood Medical Center ,SUMATRIPTAN PER6MG KT IJ,$895.05 
BMC,Brookwood Medical Center ,TENIPOSIDE PER50MGIJ,"$4,491.43 "
BMC,Brookwood Medical Center ,TERBUTALINE UPTO 1MG IJ,$149.15 
BMC,Brookwood Medical Center ,TEMSIROLIMUS PER 1MG IJ,$735.42 
BMC,Brookwood Medical Center ,TBO-FILGRASTIM PER1MCGIJ,$8.74 
BMC,Brookwood Medical Center ,TESTOSTERONE CYP 1MG IJ,$1.34 
BMC,Brookwood Medical Center ,TESTOSTER EN PER 1MG IJ,$0.73 
BMC,Brookwood Medical Center ,TETANUS IG UPTO 250U IJ,$511.10 
BMC,Brookwood Medical Center ,TETRACAINE 1% 2ML IJ,$81.70 
BMC,Brookwood Medical Center ,THIAMINE PER 100MG IJ,$76.55 
BMC,Brookwood Medical Center ,THIOTEPA PER15MG IJ,$461.47 
