83894,$67.00 
0.9% SODIUM CHLORIDE INJ 250ML, $-   
0.9% SODIUM CHLORIDE INJ 500ML, $-   
0.9%NS-20MEQ KCL 1000ML INJ., $-   
1.2 MICRON EXTENSION SET, $-   
1/2 NS 1000ML IV FLUID, $-   
1/2 NS 250ML, $-   
1/2 NS 500ML IV FLUID, $-   
1/2NS + KCL 20MEQ 1000ML, $-   
1/4 NS 1000ML, $-   
10-KETOGENIC STEROIDS,$76.00 
10TH UNIT CROSSMATCH AUTO WB,$82.00 
10TH UNIT CROSSMATCH DIR. SDPLT, $-   
10TH UNIT CROSSMATCH DIRECTED RBC,$82.00 
10TH UNIT CROSSMATCH LR-PLTS, $-   
14-3-3 PROTEIN CSF,$232.63 
17 HYDROXYCORTICOSTEROIDS,$113.00 
17-HYDROXYPROGESTERONE,$85.00 
17-KETOSTEROIDS,$71.00 
17-OH-PREGNENOLONE,$68.96 
1ST UNIT CROSSMATCH DIRECTED SDPL, $-   
25 HYDROXY VIT D,$289.00 
2ND OPINION CONSULTATION (ESOTER),$166.00 
2ND UNIT CROSSMATCH AUTO WB,$82.00 
2ND UNIT CROSSMATCH DIRECTED RBC,$155.00 
2ND UNIT CROSSMATCH DIRECTED SDPL, $-   
3-ANTIBIOTIC IRR. SOLN 250ML, $-   
3RD UNIT CROSSMATCH AUTO WB,$82.00 
3RD UNIT CROSSMATCH DIRECTED RBC,$155.00 
3RD UNIT CROSSMATCH DIRECTED SDPL, $-   
4TH UNIT CROSSMATCH AUTO WB,$82.00 
4TH UNIT CROSSMATCH DIRECTED RBC,$155.00 
4TH UNIT CROSSMATCH DIRECTED SDPL, $-   
5%DEXTROSE/0.2%NS 250ML, $-   
5-FLUCYTOSINE,$317.00 
"5-HIAA, URINE",$153.00 
5-NUCLEOTIDASE,$71.00 
5TH UNIT CROSSMATCH AUTO WB,$82.00 
5TH UNIT CROSSMATCH DIRECTED RBC,$155.00 
5TH UNIT CROSSMATCH DIRECTED SDPL, $-   
6% DEXTRAN 70 IN NS 500ML, $-   
6TH UNIT CROSSMATCH AUTO WB,$82.00 
6TH UNIT CROSSMATCH DIRECTED RBC,$155.00 
6TH UNIT CROSSMATCH DIRECTED SDPL, $-   
7TH UNIT CROSSMATCH AUTO WB,$82.00 
7TH UNIT CROSSMATCH DIRECTED RBC,$155.00 
7TH UNIT CROSSMATCH DIRECTED SDPL, $-   
82105 AFP (FOR 6095),$139.00 
"83520 IMMUNOASSAY, NOT SPECIFIED",$268.00 
83890 MOLECULAR DIAG.-CHRG ONLY,$23.00 
83891 ISOLATION N.ACI-CHRG ONLY,$23.00 
83893 DOT/SLOT BLOT,$23.00 
83894 SEP BY GEL ELECTRO-CHRG ONL,$67.00 
83894 SEP BY GEL-CHRG ONLY,$67.00 
83896 NUC.ACID PROBE-CHRG ONLY,$23.00 
83897 N.ACID TRANSFER-CHRG ONLY,$67.00 
83898 AMP.PT ACID-CHRG ONLY,$94.00 
83898 EACH PRIMER PR-CHRG ONLY,$94.00 
83902 REVERSE TRANSCR-CHRG ONLY,$228.00 
83903 MUTATION SCAN-CHRG ONLY,$176.00 
83912 INTERP & REPORT-CHRG ONLY,$48.00 
85060 BLOOD SMEAR INTERP-CHRG ONL,$228.00 
85097 BONE MARROW INTERP-CHRG ONL,$228.00 
86005-MULTIALLERGEN SCREEN,$42.00 
87491 C.AMPLIFIED PROBE-CHRG ONLY,$169.00 
87591 AMPLIFIED PROBE-CHRG ONLY,$169.00 
87798 AMPLIFIED PROBE TECHNIQUE,$290.00 
88104 CYTOPATH FLUIDS-CHRG ONLY,$63.00 
88106 CYTOPATH FLUIDS-CHRG ONLY,$63.00 
88108 CYTOPATH CONCEN-CHRG ONLY,$63.00 
88125 FORENSIC CYTOPA-CHRG ONLY,$63.00 
88160 CYTOPATH SMEAR-CHRG ONLY,$63.00 
88161 CYTOPATH SMEAR-CHRG ONLY,$63.00 
88162 CYTOPATH SMEAR-CHRG ONLY,$63.00 
88172 SMEAR EVALUATIO-CHRG ONLY,$63.00 
88173 SMEAR INTERP-CHRG ONLY,$53.00 
88182 CELL MARKER STU-CHRG ONLY,$548.00 
88184 FLOW CYTO-CHRG ONLY,$193.00 
88185 ADDT'L MARKER-CHRG ONLY,$76.00 
