Cherokee Medical Center ,,
2018 Average Charges by DRG,,
,,
,,
DRG Code,Diagnosis Related Group (DRG) Description,Average Gross Charge
53,SPINAL DISORDERS & INJURIES W/O CC/MCC,"$6,161.96"
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$3,394.79"
81,NONTRAUMATIC STUPOR & COMA W/O MCC,"$1,819.80"
84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","$7,765.47"
90,CONCUSSION W/O CC/MCC,"$5,756.42"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$5,552.80"
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$4,098.42"
101,SEIZURES W/O MCC,"$6,228.68"
103,HEADACHES W/O MCC,"$3,637.08"
123,NEUROLOGICAL EYE DISORDERS,"$1,879.08"
124,OTHER DISORDERS OF THE EYE W MCC,"$1,689.28"
125,OTHER DISORDERS OF THE EYE W/O MCC,"$2,549.94"
149,DYSEQUILIBRIUM,"$4,976.75"
151,EPISTAXIS W/O MCC,"$1,822.13"
153,OTITIS MEDIA & URI W/O MCC,"$2,352.73"
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","$1,514.04"
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$8,775.71"
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","$2,116.94"
158,DENTAL & ORAL DISEASES W CC,"$5,609.98"
159,DENTAL & ORAL DISEASES W/O CC/MCC,"$1,952.64"
176,PULMONARY EMBOLISM W/O MCC,"$9,514.54"
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$5,074.76"
181,RESPIRATORY NEOPLASMS W CC,"$3,601.00"
185,MAJOR CHEST TRAUMA W/O CC/MCC,"$2,645.10"
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$11,846.62"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$10,336.42"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$4,247.20"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$4,841.64"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$5,987.99"
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$6,821.07"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$4,557.96"
198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,"$5,475.56"
202,BRONCHITIS & ASTHMA W CC/MCC,"$5,317.75"
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$3,277.31"
204,RESPIRATORY SIGNS & SYMPTOMS,"$4,790.51"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$4,596.45"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$5,805.08"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$4,265.28"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$7,615.89"
285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC","$5,816.28"
291,HEART FAILURE & SHOCK W MCC,"$5,411.84"
292,HEART FAILURE & SHOCK W CC,"$6,784.55"
293,HEART FAILURE & SHOCK W/O CC/MCC,"$5,755.89"
296,"CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPORE","$11,530.64"
297,"CARDIAC ARREST, UNEXPLAINED W CC","$3,639.80"
298,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC","$4,611.74"
300,PERIPHERAL VASCULAR DISORDERS W CC,"$9,430.46"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$5,044.33"
303,ATHEROSCLEROSIS W/O MCC,"$4,281.84"
305,HYPERTENSION W/O MCC,"$3,357.34"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$7,187.39"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$5,517.02"
311,ANGINA PECTORIS,"$6,190.24"
312,SYNCOPE & COLLAPSE,"$6,651.14"
313,CHEST PAIN,"$5,929.59"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$5,998.21"
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$3,091.34"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W C,"$19,136.36"
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O,"$12,325.36"
379,G.I. HEMORRHAGE W/O CC/MCC,"$6,009.94"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$11,279.12"
390,G.I. OBSTRUCTION W/O CC/MCC,"$8,868.76"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$8,650.61"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$5,954.89"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$11,625.36"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$9,338.02"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$6,074.17"
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"$3,987.16"
434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,"$4,808.20"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$11,975.76"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$11,843.20"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$10,601.83"
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$10,790.43"
444,DISORDERS OF THE BILIARY TRACT W MCC,"$9,754.80"
445,DISORDERS OF THE BILIARY TRACT W CC,"$10,757.24"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$7,473.21"
534,FRACTURES OF FEMUR W/O MCC,"$6,017.95"
536,FRACTURES OF HIP & PELVIS W/O MCC,"$12,624.36"
538,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O","$2,838.89"
544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O,"$15,070.92"
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,"$2,615.72"
552,MEDICAL BACK PROBLEMS W/O MCC,"$3,856.71"
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$2,922.81"
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O,"$2,940.48"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$3,209.05"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC","$2,180.20"
562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MC","$10,927.24"
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O","$2,953.59"
566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O,"$6,635.17"
593,SKIN ULCERS W CC,"$6,042.78"
594,SKIN ULCERS W/O CC/MCC,"$2,933.73"
596,MAJOR SKIN DISORDERS W/O MCC,"$2,395.10"
601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,"$2,272.19"
603,CELLULITIS W/O MCC,"$2,817.48"
604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC","$5,351.21"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$3,095.89"
607,MINOR SKIN DISORDERS W/O MCC,"$1,919.92"
637,DIABETES W MCC,"$8,927.48"
639,DIABETES W/O CC/MCC,"$4,335.24"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W","$8,585.44"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W","$5,305.11"
645,ENDOCRINE DISORDERS W/O CC/MCC,"$2,262.40"
682,RENAL FAILURE W MCC,"$3,314.88"
684,RENAL FAILURE W/O CC/MCC,"$6,376.90"
687,KIDNEY & URINARY TRACT NEOPLASMS W CC,"$8,816.64"
688,KIDNEY & URINARY TRACT NEOPLASMS W/O CC/MCC,"$5,888.64"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$4,905.12"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$5,395.11"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$9,431.78"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$2,682.56"
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$5,648.98"
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$1,792.09"
730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$4,345.88"
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","$3,386.01"
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O C,"$5,229.40"
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"$1,500.00"
778,THREATENED ABORTION,"$2,447.44"
779,ABORTION W/O D&C,"$3,135.74"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$2,670.86"
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,"$2,252.32"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","$4,779.16"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,$820.00
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W C,"$5,036.63"
812,RED BLOOD CELL DISORDERS W/O MCC,"$4,026.57"
813,COAGULATION DISORDERS,"$2,647.64"
816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC,"$2,307.34"
833,** NOT ON FILE **,"$3,927.75"
845,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,"$14,674.23"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"$10,255.84"
864,FEVER,"$3,486.52"
866,VIRAL ILLNESS W/O MCC,"$2,624.96"
869,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC,"$4,401.00"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$10,884.70"
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"$3,866.70"
881,DEPRESSIVE NEUROSES,"$2,978.72"
882,NEUROSES EXCEPT DEPRESSIVE,"$2,301.97"
883,DISORDERS OF PERSONALITY & IMPULSE CONTROL,"$3,349.00"
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"$5,347.02"
885,PSYCHOSES,"$5,213.43"
887,OTHER MENTAL DISORDER DIAGNOSES,"$1,852.10"
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","$6,413.72"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY,"$4,749.44"
914,TRAUMATIC INJURY W/O MCC,"$3,462.56"
916,ALLERGIC REACTIONS W/O MCC,"$2,096.99"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$17,762.06"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$2,632.94"
919,COMPLICATIONS OF TREATMENT W MCC,"$1,514.04"
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"$1,883.45"
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","$4,150.76"
934,FULL THICKNESS BURN W/O SKIN GRAFT OR INHAL INJ,"$5,328.04"
935,NON-EXTENSIVE BURNS,"$2,594.21"
947,SIGNS & SYMPTOMS W MCC,"$16,138.24"
948,SIGNS & SYMPTOMS W/O MCC,"$6,462.55"
949,AFTERCARE W CC/MCC,"$2,083.40"
950,AFTERCARE W/O CC/MCC,"$2,625.43"
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"$2,145.84"
