 CULLMAN REGIONAL DRG,AVG. CHARGES
100-SEIZURES W MCC,"$23,587.44 "
101-SEIZURES W/O MCC,"$18,381.35 "
103-HEADACHES W/O MCC,"$24,034.38 "
121-ACUTE MAJOR EYE INFECTIONS W CC/MCC,"$18,851.10 "
123-NEUROLOGICAL EYE DISORDERS,"$21,148.37 "
125-OTHER DISORDERS OF THE EYE W/O MCC,"$14,699.25 "
134-OTHER EAR NOSE MOUTH  THROAT O.R. PROCEDURES W/O,"$13,775.61 "
137-MOUTH PROCEDURES W CC/MCC,"$15,151.96 "
149-DYSEQUILIBRIUM,"$16,571.61 "
150-EPISTAXIS W MCC,"$8,466.51 "
151-EPISTAXIS W/O MCC,"$10,636.42 "
152-OTITIS MEDIA  URI W MCC,"$23,207.59 "
153-OTITIS MEDIA  URI W/O MCC,"$13,056.02 "
154-OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W MCC,"$24,358.15 "
155-OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W CC,"$18,184.38 "
156-OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W/O CC/MCC,"$17,970.98 "
158-DENTAL  ORAL DISEASES W CC,"$17,252.81 "
159-DENTAL  ORAL DISEASES W/O CC/MCC,"$16,598.43 "
163-MAJOR CHEST PROCEDURES W MCC,"$88,160.06 "
164-MAJOR CHEST PROCEDURES W CC,"$76,293.92 "
165-MAJOR CHEST PROCEDURES W/O CC/MCC,"$61,109.57 "
166-OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$73,072.40 "
167-OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$65,308.78 "
175-PULMONARY EMBOLISM W MCC,"$29,721.36 "
176-PULMONARY EMBOLISM W/O MCC,"$18,367.88 "
177-RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"$41,959.43 "
178-RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,"$27,443.61 "
179-RESPIRATORY INFECTIONS  INFLAMMATIONS W/O CC/MCC,"$23,574.41 "
180-RESPIRATORY NEOPLASMS W MCC,"$32,304.07 "
181-RESPIRATORY NEOPLASMS W CC,"$21,256.90 "
183-MAJOR CHEST TRAUMA W MCC,"$13,546.39 "
184-MAJOR CHEST TRAUMA W CC,"$24,262.84 "
185-MAJOR CHEST TRAUMA W/O CC/MCC,"$25,457.04 "
186-PLEURAL EFFUSION W MCC,"$41,843.52 "
187-PLEURAL EFFUSION W CC,"$39,802.62 "
188-PLEURAL EFFUSION W/O CC/MCC,"$15,365.08 "
189-PULMONARY EDEMA  RESPIRATORY FAILURE,"$24,240.36 "
190-CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$24,465.44 "
191-CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$19,567.73 "
192-CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$14,939.77 "
193-SIMPLE PNEUMONIA  PLEURISY W MCC,"$31,439.56 "
194-SIMPLE PNEUMONIA  PLEURISY W CC,"$20,260.32 "
195-SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,"$13,888.83 "
196-INTERSTITIAL LUNG DISEASE W MCC,"$31,968.78 "
198-INTERSTITIAL LUNG DISEASE W/O CC/MCC,"$8,346.50 "
199-PNEUMOTHORAX W MCC,"$34,152.88 "
200-PNEUMOTHORAX W CC,"$20,262.34 "
201-PNEUMOTHORAX W/O CC/MCC,"$12,852.58 "
202-BRONCHITIS  ASTHMA W CC/MCC,"$16,475.53 "
203-BRONCHITIS  ASTHMA W/O CC/MCC,"$7,776.81 "
204-RESPIRATORY SIGNS  SYMPTOMS,"$17,962.88 "
205-OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$31,583.77 "
206-OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$17,546.43 "
207-RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT,"$108,101.45 "
208-RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT,"$53,478.70 "
229-OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"$57,303.63 "
239-AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB,"$18,796.26 "
240-AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB,"$28,557.87 "
