 Procedure  Code,Chargemaster Description, Standard Chargemaster Price 
1314344,"17-KETOSTEROIDS, TOT",414
1321188,1ST SEP ID AB       ,543
1314328,5-HIAA              ,415
1221274,AA275/D5 LYTES 2000 ,465
1221072,AA425D25LYTES 1000ML,226
1221197,AA425D5 W/LYTES 1000,339
1220193,AA5 D25W 1000ML     ,236
1221194,AA5 D25W-LYTES-CA 1L,349
1220192,AA5D20W/LYTES1000ML ,349
1710904,ABG ANALYSIS        ,255
1218551,ACARBOSE 50MG TAB   ,5
1217354,ACET/CODEI 300/30 TB,5
1212192,ACETAMINO 10MG INJ  ,3
1219162,ACETAMINOP 80MG CHEW,5
1216945,ACETAMINOPH 500MG TB,4
1216946,ACETAMINOPHEN 120MGS,15
1216947,ACETAMINOPHEN 325MG ,4
1216944,ACETAMINOPHEN 325MGS,19
1216948,ACETAMINOPHEN 650MGS,15
7212151,ACETAZOLAMI 500MGINJ,742
1216950,ACETAZOLAMIDE 250MG ,5
1211759,ACETIC ACID 5% 120ML,12
1218887,ACETIC ACID GLACIAL ,140
1314098,ACETON-KETON SERM QL,130
1316359,ACETON-KETON SERM QT,251
1216952,ACETYLCHOL INTR 20MG,"1,396"
1211109,ACETYLCYS 20%INH 30M,62
1216954,ACETYLCYS 20%INH 4ML,40
7211747,ACETYLCYST 600MG CAP,22
1314648,ACTINOMYCES AB      ,124
7211663,ACTIV CHARC 260MG CP,4
1216955,ACTIV CHARC LIQ 120M,116
1219878,ACTIVTD CHARC/SORBIT,166
7212201,ACTYLCYSTN INJ 100MG,33
1216958,ACYCLOVIR 200MG CAP ,5
1219167,ACYCLOVIR 200MG/5ML ,19
1212235,ACYCLOVIR 5% OINT 30,"2,286"
1213909,ACYCLOVIR 5% OINT 5G,407
1210212,ACYCLOVIR 5MG INJ   ,1
7212160,ACYCLOVIR 5MG INJ   ,1
1217733,ACYCLOVIR 800MG TAB ,42
1314102,ACYLCARNITINES QUANT,590
1160131,AD PROCEDURE GI LV 1,282
1160132,AD PROCEDURE GI LV 2,420
1160133,AD PROCEDURE GI LV 3,566
1160134,AD PROCEDURE GI LV 4,703
1110821,AD PROCEDURE OR LV 1,360
1110822,AD PROCEDURE OR LV 2,539
1110823,AD PROCEDURE OR LV 3,721
1110824,AD PROCEDURE OR LV 4,899
1110825,AD PROCEDURE OR LV 5,"1,079"
1110826,AD PROCEDURE OR LV 6,"1,441"
1213711,ADENOSINE 1MG INJ   ,33
1214003,ADENOSINE 1MG INJ   ,44
1314649,ADENOVIRUS AB       ,285
1314898,"ADENOVIRUS AG, IF   ",352
1413001,ADHESION BARRIER1   ,"3,697"
1417124,ADHESION BARRIER2   ,"21,389"
7182519,ADMIN FLU VACCINE   ,155
7182520,ADMIN PNEU VACCINE  ,155
1212118,ADRENL/EPINEP 0.1MG ,12
1212119,ADRENL/EPINEP 0.1MG ,12
1212498,ADRENL/EPINEP 0.1MG ,12
1314103,ADRENOCORT ACTH     ,"1,354"
1710965,AEROSOL OBSTR ADD HR,507
1710966,AEROSOL OBSTRUCT 1HR,507
1314125,AFP SERUM           ,588
1314939,"AG DETEC NOS,EIA MUL",246
