MNEMONIC,DESCRIPTION, STD.CHARGE 
301000140,ICU/CCU CRITICAL CARE ROOM," $17,368.00 "
301000230,BLOOD ADMIN 0-3 HRS," $1,046.00 "
301000235,BLOOD ADMIN 3-6 HRS," $1,389.00 "
301000240,BLOOD ADMIN >6HRS," $1,737.00 "
301000306,ADDL SEQUENTIAL IV PB, $239.00 
301000307,INFUSION THERAPY 1ST HOUR, $679.00 
301000308,HYDRATION IV 1ST HR, $275.00 
301000309,INFUSION THERAPY EA ADDL HR, $455.00 
301000310,HYDRATION EA ADDL HR, $138.00 
301000330,ICU/CCU-DCU BOARDER," $12,933.00 "
301000390,ICU WEST," $17,368.00 "
301000410,ICU/CCU-M/S BOARDER," $4,652.00 "
301007100,MINOR SURGERY LEV 1," $1,644.00 "
301080100,ICU/CCU OBSERVATION / HR, $677.00 
301090784,IV INJECTION, $212.00 
301090785,ADDL IVP NEW MED, $55.00 
301096368,CONCURRENT IVP MED INFUSION, $75.00 
301096372,IM INJECTION, $65.00 
301096375,ADDL PUSH NEW IVP MED, $55.00 
301096376,ADDL PUSH SAME IVP MED, $62.00 
301200140,CATH RECOVERY PHASE 2 PER MIN, $56.00 
301200155,IR RECOVERY PHASE 2 PER MIN, $56.00 
301200160,IR RECOVERY PHASE 3 PER MIN, $38.00 
301200165,GI RECOVERY PHASE 1 PER MIN, $63.00 
301200170,GI RECOVERY PHASE 2 PER MIN, $56.00 
301200180,PACA RECOVERY PHASE 2 PER MIN, $56.00 
301200185,PACA RECOVERY PHASE 3 PER MIN, $38.00 
301200186,PCU RECOVERY PHASE 2 PER MIN, $51.00 
301200188,CARD RECOVERY PHASE 2 PER MIN, $51.00 
301200190,PCU MINOR SURG PROC NEC EA MIN, $38.00 
301200195,PCU OFFICE VISIT NO PROC NEC, $270.00 
301200230,BLOOD ADMIN 0-3 HRS," $1,046.00 "
301200235,BLOOD ADMIN 3-6 HRS," $1,389.00 "
301200240,BLOOD ADMIN>6HRS," $1,737.00 "
301200307,INFUSION THERAPY 1ST HR, $679.00 
301200308,HYDRATION IV 1ST HR, $275.00 
301200309,INFUSION THERAPY EA ADDL HR, $455.00 
301200310,HYDRATION EA ADDL HR, $138.00 
301201140,PCU - CCU BOARDER," $17,368.00 "
301201330,PCU - DCU BOARDER," $12,933.00 "
301201410,PCU - M/S BOARDER," $4,652.00 "
301236569,PCU PICC LINE PLACEMENT," $3,500.00 "
301236589,PCU PICC LINE RMVL NO PRT/PMP," $1,750.00 "
301262273,PCU BLOOD PATCH," $2,440.00 "
301280100,PCU - OTPT OBSERVATION, $182.00 
301292960,PCU CARDIOVERSION," $2,943.00 "
301293660,TILT TABLE," $4,579.00 "
301296367,ADDL SEQUENTIAL IV PB, $239.00 
301296368,CONCURRENT IVP MED INFUSION, $75.00 
301296372,IM/SQ INJECTION, $65.00 
301296374,INITIAL IVP INJECTION, $212.00 
301296375,ADDL PUSH NEW IVP MED, $55.00 
301296376,ADDL PUSH SAME IVP MED, $62.00 
301299195,PCU THERAPEUTIC PHLEBOTOMY, $810.00 
301300010,URO PROCEDURE (<15), $150.00 
301300015,URO PROCEDURE (16-30), $275.00 
301300020,UR PROCEDURE (31+), $500.00 
