Arrowhead Regional Medical Center,,,, Effective on 01/01/2019 ,,
Non-Pharmacy Charge Master @ 12/31/18,,,,,,
 Procedure (CDM) Charge Dictionary - Charges ,,,,,,
" $0.00 or blank charge amounts reflect the use of ""indicators"" or No Charge items ",,,,,,
,,,,,,
PROC (CDM),CHG CAT,ARMC REV DEPT,PROCEDURE (CDM) DESCRIPTION,CHARGE,CPT-4,MCLcde
1000009,202,1.301,RM&CARE MICU (2S)-I,"$6,952.00 ",,
1200005,202,1.3012,ROOM & CARE - MEDICAL ICU,"$6,952.00 ",,
1300015,111,1.318,RM&CARE MED/SURG (6-C),"$2,285.00 ",,
1300016,111,1.3187,RM&CARE MED/SURG (6-N),"$2,285.00 ",,
1300017,111,1.3181,RM&CARE MED/SURG (6-S),"$2,285.00 ",,
1300019,121,1.3187,RM&CARE MED/SURG SEMI PRVT 6-N,"$1,942.00 ",,
1300020,121,1.3181,RM&CARE MED/SURG SEMI PRVT 6-S,"$1,942.00 ",,
1300021,111,1.318,RM&CARE TELEMETRY (6-C),"$3,320.00 ",,
1300022,111,1.3187,RM&CARE TELEMETRY (6-N),"$3,320.00 ",,
1300023,206,1.318,RM&CARE TELEMETRY (6-C),"$3,320.00 ",,
1300024,206,1.3187,RM&CARE TELEMETRY (6-N),"$3,320.00 ",,
1500040,201,1.3015,ROOM & CARE - SURG ICU,"$6,952.00 ",,
6400014,207,1.311,ROOM & CARE - BURN ICU,"$7,623.00 ",,
6600019,174,1.307,ROOM & CARE - NICU,"$6,952.00 ",,
7800022,202,1.3178,RM&CARE RAU-ICU (4-N),"$6,952.00 ",,
7800030,111,1.3178,RM&CARE RAU-MEDSURG (4-N),"$2,285.00 ",,
7800031,111,1.3178,RM&CARE TELEMETRY (4-N),"$3,320.00 ",,
7800032,206,1.3178,RM&CARE TELEMETRY (4-N),"$3,320.00 ",,
8000002,111,1.3171,RM&CARE M/S (4S)-R,"$2,285.00 ",,
8000003,111,1.3171,RM&CARE TELEMETRY (4-S),"$3,320.00 ",,
8000004,206,1.3171,RM&CARE TELEMETRY (4-S),"$3,320.00 ",,
8100000,111,1.317,RM&CARE M/S (4C)-R,"$2,285.00 ",,
8200057,112,1.338,ROOM & CARE - OBSTETRICS,"$2,285.00 ",,
8300006,111,1.3172,ROOM & CARE - MED SURG (ORTHO),"$2,285.00 ",,
8400004,111,1.3177,RM&CARE M/S (5N)-R,"$2,285.00 ",,
8400005,111,1.3177,RM&CARE TELEMETRY (5-N),"$3,320.00 ",,
8400006,206,1.3177,RM&CARE TELEMETRY (5-N),"$3,320.00 ",,
8500001,114,1.3342,ALL INCL R&B (2BHN),"$2,285.00 ",,
8500019,114,1.3341,ALL INCL R&B (1BHN),"$2,285.00 ",,
8500027,114,1.334,ALL INCL R&B (1BHS),"$2,285.00 ",,
8500035,114,1.406,ALL INCL R&B (1BHS),"$2,285.00 ",,
8500040,114,1.3342,ALL INCL R&B (2BHN),"$2,285.00 ",,
8500050,114,1.3341,ALL INCL R&B (1BHN),"$2,285.00 ",,
8500060,114,1.334,ALL INCL R&B (1BHS),"$2,285.00 ",,
8500070,114,1.406,ALL INCL R&B (1BHS),"$2,285.00 ",,
8600009,111,1.3179,RM&CARE M/S(3S)-R,"$2,285.00 ",,
8600010,112,1.338,RM & CARE OBS (3S),"$2,285.00 ",,
8600011,122,1.338,RM & CARE OBS SEMI PRVT (3S),"$1,942.00 ",,
8700007,111,1.3173,RM&CARE M/S (5S)-R,"$2,285.00 ",,
8700008,111,1.3173,RM&CARE TELEMETRY (5-S),"$3,320.00 ",,
8700009,206,1.3173,RM&CARE TELEMETRY (5-S),"$3,320.00 ",,
10000005,278,1.447,13 HOLE SCAPULA IMPLANT PLATE,"$5,337.00 ",,Z7610
10000006,278,1.4421,6 HOLE SCAPULA ACROMION PLATE,"$4,854.00 ",,Z7610
10000008,278,1.447,10 HOLE SCAPULA PLATE,"$5,337.00 ",,Z7610
10000012,278,1.447,LENS,"$1,027.52 ",,Z7610
10000016,270,1.447,CEMENTRALIZER 12,$990.08 ,,Z7610
10000023,278,1.447,IMPLANT PEG THREADS,$420.00 ,,Z7610
10000028,272,1.447,DRILL BIT 2.8MM,$267.00 ,,
10000035,270,1.4421,DRILL BIT 3.5M,$513.00 ,,Z7610
10000042,278,1.4421,PLATE CERVICAL TRANS,"$4,441.00 ",,Z7610
10000127,276,1.447,IMPLANT LENS 21.5,$840.00 ,,Z7610
10000225,276,1.447,ACRYSOF IQ MULTIFOCAL IOL,"$5,370.00 ",,V2632
10000318,270,1.4421,COUPLER QUICK 2.0 MM DRILL BIT,$723.00 ,,Z7610
10000505,278,1.4421,PLATE MINI 4 HOLE,"$1,158.00 ",,Z7610
10000537,278,1.447,IMPLANT SCREW 4.0MM,$180.00 ,,Z7610
10000545,278,1.447,IMPLANT SCREW 5.0MM,$174.00 ,,Z7610
10000677,278,1.447,PLATE IMPLANT MATRIX 2X3,"$1,428.00 ",,Z7610
