EAP,Billing Desc,Rev Code,Current Inpatient Price ,Current Outpatient Price 
10000000,ROOM TELEMETRY/SPEC CARE,214," 6,494.00 ",  
10000003,ROOM MED/SURG/GYN,121," 4,995.00 ",  
10000004,ROOM OB/MATERNAL,122," 6,124.00 ",  
10000006,ROOM BEHAVIORAL HEALTH,124," 5,702.00 ",  
10000007,ROOM REHAB ACUTE CDC (CHEM DEP),128," 5,499.00 ",  
10000008,NEWBORN BOARDER BABY,171," 2,577.00 ",  
10000009,NEWBORN LEVEL I,171," 1,982.00 ",  
10000010,NEWBORN LEVEL II,172," 7,243.00 ",  
10000011,NEWBORN LEVEL III,173," 10,140.00 ",  
10000012,NEWBORN LEVEL IV,174," 12,313.00 ",  
10000014,ROOM SUBACUTE VENT,71," 3,478.00 ",  
10000015,ROOM SUBACUTE NON VENT,72," 3,478.00 ",  
10000016,ROOM ICU,200," 12,307.00 ",  
10000018,ROOM ICU INTERM,206," 7,493.00 ",  
10000020,ROOM CCU,210," 12,595.00 ",  
10000029,ROOM MED/SURG/GYN PVT,111," 4,995.00 ",  
10000036,ROOM OB/MATERNAL PVT,112," 6,124.00 ",  
10000053,ROOM ICU SURGICAL,201," 12,307.00 ",  
10000054,ROOM REHAB ACUTE PVT,118," 6,384.00 ",  
10000070,ROOM BEHAVIORAL HEALTH ADOLESCENT,124," 2,509.00 ",  
10000076,ROOM HOSPICE PRIVATE,115," 3,746.00 ",  
10000077,ROOM HOSPICE SEMI PRIVATE,125," 3,746.00 ",  
10100004,OBS CPR,760," 1,693.00 "," 1,693.00 "
10100005,OBS PER HOUR,762, 302.00 , 302.00 
10100007,OBS DIRECT ADMIT,762, 580.00 , 580.00 
10100008,OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760, 134.00 , 134.00 
10100009,OBS BLOOD DRAW IMPLANTED PORT,760, 251.00 , 251.00 
10100011,OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760," 2,551.00 "," 2,551.00 "
10100012,OBS IRRIGATION BLADDER SIMPLE,760, 107.00 , 107.00 
10100013,OBS INSERT STRAIGHT CATHETER,760, 332.00 , 332.00 
10100014,OBS INSERTION FOLEY CATHETER,760, 458.00 , 458.00 
10100021,OBS INS PICC  AGE 5 YRS/>,760," 2,670.00 "," 2,670.00 "
10100047,OBS THORACENTESIS W/IMAG,760," 2,642.00 "," 2,642.00 "
10100048,OBS THORACENTESIS WO IMAG,760," 2,266.00 "," 2,266.00 "
10100054,OBS STRAPPING SHOULDER,760, 469.00 , 469.00 
10100058,OBS IMAGE CATH FLUID PERI/RETRO,760," 4,951.00 "," 4,951.00 "
10100203,OBS APPLY SHORT LEG SPLINT,760, 556.00 , 556.00 
10200000,KAISER 1:1 PATIENT CARE,230, 46.00 , 46.00 
10200001,KAISER 23 HR PSYCH CRISIS,230," 5,780.00 "," 5,780.00 "
10200002,EXCH TRANSFN BLOOD NOT NB,391, 436.00 , 436.00 
10290000,IP HC IP HOSPITAL,656," 1,303.00 ",  
17000048,PT WCOMP AQUATIC PRIOR AUTH INDIVIDUAL,420, 191.00 , 191.00 
17000058,PT MCAL SINGLE MODALITY ADDITIONAL 15 MIN,420, 204.00 , 204.00 
17000059,PT MCAL SINGLE PROCURE INITIAL 30 MIN,420, 431.00 , 431.00 
17000060,PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420, 219.00 , 219.00 
17000062,PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420, 362.00 , 362.00 
17000063,PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420, 183.00 , 183.00 
17000064,PT MCAL AQUATIC THERAPY EXERCISE INITIAL 30 MIN,420, 372.00 , 372.00 
17000065,PT MCAL AQUATIC THERAPEUTIC EXERCISE ADDITIONAL 15 MIN,420, 187.00 , 187.00 
17000067,PT MCAL EVALUATION INITIAL 30 MIN,420, 363.00 , 363.00 
17000071,PT MCAL EVALUATION ADDITIONAL 15 MIN,420, 204.00 , 204.00 
17000075,PT MCAL CASE CONSULT AND REPORT,420, 51.00 , 51.00 
17000092,PT STRAP LOW BACK,420, 84.00 , 84.00 
17000093,PT STRAP SHOULDER,420, 417.00 , 417.00 
17000094,PT STRAP HIP,420, 91.00 , 91.00 
17000095,PT STRAP KNEE,420, 413.00 , 413.00 
17000096,PT STRAP ANKLE/FOOT,420, 313.00 , 313.00 
17000098,PT TENS APPLICATION,420, 169.00 , 169.00 
17000114,PT INFRARED THERAPY 15,420, 105.00 , 105.00 
17000115,PT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,420, 137.00 , 137.00 
17000116,PT IONTOPHORESIS EA 15 MIN,420, 141.00 , 141.00 
17000117,PT CONTRAST BATHS EA 15 MIN,420, 100.00 , 100.00 
17000118,PT ULTRASOUND EA 15 MIN,420, 128.00 , 125.00 
17000119,PT THERAPEUTIC EXERCISE EA 15 MIN,420, 176.00 , 176.00 
17000120,PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420, 171.00 , 171.00 
17000121,PT AQUATIC THERAPY EA 15 MIN,420, 160.00 , 160.00 
17000122,PT GAIT TRAINING EA 15 MIN,420, 160.00 , 160.00 
17000123,PT THERAPEUTIC MASSAGE EA 15 MIN,420, 136.00 , 136.00 
17000124,PT MANUAL THERAPY EA 15 MIN,420, 171.00 , 162.00 
17000126,PT THERAPEUTIC ACTIVITY EA 15 MIN,420, 161.00 , 161.00 
17000128,PT SENSORY INTEGRATION EA 15 MIN,420, 192.00 , 192.00 
17000129,PT ADL TRAINING EA 15 MIN,420, 172.00 , 172.00 
17000130,PT COMMUNITY REINTEGRATION EA 15 MIN,420, 149.00 , 149.00 
17000131,PT WHEELCHAIR TRAINING EA 15 MIN,420, 160.00 , 160.00 
17000133,PT WORK CONDITIONING ADD 60 MIN,420, 480.00 , 480.00 
17000134,PT DEBRIDEMENT SELECTIVE <=1ST 20 SQ/CM,420, 633.00 , 633.00 
17000139,PT PHYSICAL PERFORMANCE TEST EA 15 MIN,420, 183.00 , 183.00 
17000141,PT ORTHOTIC TRAINING INITIAL EA 15 MIN,420, 160.00 , 160.00 
17000142,PT PROSTHETIC TRAINING INITIAL EA 15 MIN,420, 188.00 , 188.00 
17000146,PT ELECTRICAL STIMULATION UNATTENDED,420, 105.00 , 105.00 
17000214,PT MECH TRACT 15,420, 97.00 , 97.00 
17000215,PT MECH TRACT 30,420, 194.00 , 194.00 
17000216,PT VASOPNEUMATIC 15,420, 50.00 , 50.00 
17000220,PT PARAFFIN BATH 15,420, 77.00 , 77.00 
