HSP,MNEMONIC,BILLING DESCRIPTION,CHARGE
EMC,301500005,CARDIOVERSION ELECTRIC; EXT,"$5,484.77"
EMC,307000005,ALGOS HEARING SCREEN TEST,$561.56
EMC,315300030,ADMIN PNEUMOCOCCAL VACCINE,$109.60
EMC,315500005,CARDIOVERSION ELECTRIC; EXT,"$5,122.57"
EMC,315500010,ADMINISTRATION OF INFLUENZA,$149.97
EMC,315500015,ADMIN PNEUMOCOCCAL VACCINE,$109.60
EMC,317100015,IMMUNIZATION ADMIN; SINGLE,$249.75
EMC,317100025,ADMINISTRATION OF INFLUENZA,$129.78
EMC,317100026,OFFICE/OUTPATIENT VISIT EST,$588.75
EMC,317100027,OFFICE/OUTPATIENT VISIT EST,$538.64
EMC,317100030,ADMIN PNEUMOCOCCAL VACCINE,$94.84
EMC,317200015,IMMUNIZATION ADMIN; SINGLE,$268.23
EMC,317200020,IMMUNIZATION ADMIN; EA ADD'L,$125.47
EMC,317200025,ADMINISTRATION OF INFLUENZA,$129.78
EMC,317200030,ADMIN PNEUMOCOCCAL VACCINE,$94.84
EMC,317300025,ADMINISTRATION OF INFLUENZA,$129.78
EMC,317300030,ADMIN PNEUMOCOCCAL VACCINE,$109.60
EMC,317500020,IMMUNIZATION ADMIN; EA ADD'L,$125.47
EMC,317500025,ADMINISTRATION OF INFLUENZA,$129.78
EMC,317500030,ADMIN PNEUMOCOCCAL VACCINE,$94.84
EMC,317500037,TRANS BLD OR BLD COMP,"$3,772.18"
EMC,401000125,APP SPLINT SHORT LEG,"$1,100.31"
EMC,401000290,IMMUNIZATION ADMIN ONE VACCINE,$323.10
EMC,401000295,IV INFUSION 1HR,"$1,846.95"
EMC,401000300,IV INFUSION ADD HR,$927.53
EMC,401000302,IV INFUSION 1HR,"$2,140.46"
EMC,401000303,IV INFUSION ADD HR,"$1,035.72"
EMC,401000305,INJECTION; SC/IM,$524.45
EMC,401000310,INJECTION; IV,$620.33
EMC,401000312,INJECTION; IV ADD-ON,$662.49
EMC,401000313,ER INJECTION SAME DRUG; ADD-ON,$722.71
EMC,401000315,INJECTION; ANTIBIOTICS IM,$435.38
EMC,401000325,HEART/LUNG RESUSCITATION (CPR),"$3,982.60"
EMC,401000370,EMERGENCY DEPT VISIT LEVEL I,"$1,408.93"
EMC,401000375,EMERGENCY DEPT VISIT LEVEL II,"$2,440.64"
EMC,401000380,EMERGENCY DEPT VISIT LEVEL III,"$5,171.03"
EMC,401000385,EMERGENCY DEPT VISIT LEVEL IV,"$8,333.35"
EMC,401000390,EMERGENCY DEPT VISIT LEVEL V,"$8,834.91"
EMC,401000395,CRITICAL CARE; FIRST HR,"$15,300.38"
EMC,401000400,CRITICAL CARE; ADD 30 MIN,"$4,325.73"
EMC,401000515,LACERATION SIMPLE,"$2,719.66"
EMC,401000580,ER UA AUTO NO MICRO,$287.59
EMC,401000585,URINE PREGNANCY TEST,$566.06
EMC,401000596,IV INF ADD SEQ < = 1 HR,$938.99
EMC,401000597,IV INF CONCURRENT,$857.66
EMC,401000598,IMMUNIZATION ADMIN EA ADDL,$108.57
EMC,401000628,ER SURGICAL LEVEL I,"$3,185.40"
EMC,401000629,ER SURGICAL LEVEL II,"$4,765.82"
EMC,401000630,ER SURGICAL LEVEL III,"$9,284.50"
EMC,408501015,ELECTROCARDIOGRAM TRACING,$400.36
EMC,408700002,OUTPATIENT VISIT; NEW,$717.77
EMC,408700003,OUTPATIENT VISIT; NEW,$801.34
EMC,408700004,OUTPATIENT VISIT; NEW,"$1,184.81"
EMC,408700005,NEW PATIENT LEVEL 5,"$1,217.59"
EMC,408700007,OUTPATIENT VISIT; EST,$599.85
EMC,408700008,OUTPATIENT VISIT; EST,$922.61
EMC,408700009,OUTPATIENT VISIT; EST,"$1,012.74"
EMC,408700010,EST PATIENT LEVEL 5,"$1,070.10"
EMC,408700085,LIGATION OF HEMORRHOID(S),"$1,072.05"
EMC,408701000,I&D ABSCESS CYST SIMPLE,$648.93
EMC,408701052,BIOPSY OF SKIN; SUBCUT TISSUE,$334.85
EMC,408790205,OFFICE CONSULTATION,$378.42
EMC,408790206,OFFICE CONSULTATION,$559.33
EMC,408790233,REMOVE TUNNELED CATH W/PORT,"$4,872.26"
EMC,408790234,FNA W/O IMAGE,$342.65
EMC,409200090,ER APP CAST LONG ARM,$866.70
EMC,409201033,MAJOR JOINT/BURSA,"$2,135.01"
EMC,409201036,SHORT ARM CAST,$866.70
EMC,409201064,INJ TENDON SHEATH/LIGAMENT,$419.22
EMC,409201200,E&M NEW PT LEVEL 1; 10MIN,$671.89
EMC,409201201,E&M NEW PT LEVEL 2; 20MIN,$717.77
EMC,409201202,E&M NEW PT LEVEL 3; 30MIN,$801.34
EMC,409201203,E&M NEW PT LEVEL 4; 45MIN,"$1,184.81"
EMC,409201204,E&M NEW PT LEVEL 5; 60MIN,"$1,217.59"
EMC,409201205,E&M EST PT LEVEL 1; 5MIN,$634.19
EMC,409201206,E&M EST PT LEVEL 2; 10MIN,$693.19
EMC,409201207,E&M EST PT LEVEL 3; 15MIN,$922.61
EMC,409201208,E&M EST PT LEVEL 4; 25MIN,"$1,012.74"
EMC,409201209,E&M EST PT LEVEL 5; 40MIN,"$1,070.10"
EMC,409201210,US TRANSRECTAL,"$1,585.23"
EMC,409201211,US GUIDE NEEDLE PLACEMNT,"$1,303.52"
EMC,409201212,INJ THER/PROPH/DIAG INJ SQ/IM,$272.82
EMC,409201213,CHEMO ADMN SQ/IM HORMONAL,$803.12
EMC,409201214,IRRIGATION OF BLADDER,$915.75
EMC,409201215,INSERT TEMP BLADDER CATH SMPL,$454.44
EMC,409201216,INSERT BLADDER CATH COMPLEX,$751.14
EMC,409201217,CHANGE CYSTOSTOMY TUBE SIMPLE,"$1,698.73"
EMC,409201218,CHANGE CYSTOSTOMY TUBE COMPL,"$3,868.95"
EMC,409201219,TREATMENT OF BLADDER LESION,"$2,588.89"
EMC,409201220,ELECTRO-UROFLOWMETRY FIRST,$424.04
EMC,409201221,US URINE CAPACITY MEASURE,$287.77
EMC,409201222,CYSTOURETHROSCOPY,"$5,888.65"
EMC,409201223,CYSTO W/IRR&EVAC OBSTR CLOTS,"$5,833.47"
EMC,409201224,CYSTO DILAT URTL STRIX/STENOSI,"$7,157.79"
EMC,409201225,CYSTO W/SMPL REML STONE & STNT,"$6,671.02"
EMC,409201226,DILAT URETHRA STRIX  MALE INIT,"$1,645.95"
EMC,409201227,DILAT URETHRA STRIX MALE SBSQ,$388.28
EMC,409201228,DILAT URETH FILIFORM MALE INIT,"$4,772.63"
EMC,409201229,DILAT URETH FILIFORM MALE SBSQ,$819.32
EMC,409201230,"DILATION OF URETHRA, FEMALE",$301.61
EMC,409201231,DILAT URETH GEN/SPNL ANES FEM,"$5,783.14"
EMC,409201232,FORESKN MAN W/LSS PREPTL STRCH,"$2,084.70"
EMC,409201233,PROSTATE NDL BX ANY APPROACH,"$5,098.24"
EMC,409201234,URINALYSIS AUTO W/O SCOPE,$62.63
EMC,409201235,TREATMENT OF PENIS LESION,$460.50
EMC,409201236,OFFICE UA DIP,$98.25
EMC,409201237,INJECTION PEYRONIE DISEASE,$460.50
EMC,409290042,TRIAMCINOLONE; KENALOG 10 MG,$23.37
EMC,409290070,THER INJECTION CARP TUNNEL,$419.22
EMC,409290071,DRAIN/INJ JOINT/BURSA W/O US,$419.22
EMC,409290135,APPLY SHORT LEG CAST,$866.70
EMC,409290227,ORTHOVISC INJ PER DOSE,$487.48
