CHARGE #,DESCRIPTION,PRICE,ROOM PRICE
12104,ROOM CHARGE/2S,0,3435.47
12203,ROOM CHARGE/4MH,0,4902.59
12401,ROOM CHARGE/3W,0,3435.47
12500,ROOM CHARGE/ICU,0,3435.47
12708,ROOM CHARGE/PEDS,0,3435.47
12815,ROOM CHARGES/2W NON-OB,0,3114.46
22103,ISOLATION/2S,0,4148.26
22202,ROOM CHARGE/4MH,0,5196.69
22400,ISOLATION/3W,0,4148.26
22509,ISOLATION/ICU,0,8099.11
22616,PROGRESSIVE NURSERY I,0,3039.68
22707,ISOLATION/PEDS,0,4148.26
22814,ISOLATION NON-OB,0,3762.59
23119,ISOLATION/2W NON-OB,0,2162.16
32201,PSYCH/MEDICAL,0,7134.91
32300,ROOM CHARGE,0,2092.63
32615,PROGRESSIVE NURSERY II,0,3669.61
32623,ROOM CHARGES/2W OB,0,1048.95
32813,ROOM CHARGES OB,0,1738.47
42101,TELEMETRY/2SOUTH,0,6859.87
42408,TELEMETRY/3W,0,7563.02
42507,TELEMETRY/ICU,0,7563.02
42606,NURSERY MIC,0,7563.01
42614,NURSERY MIC,0,3661.31
42705,TELEMETRY/PEDS,0,7563.02
42713,TELEMETRY/2W NON-OB,0,3942
42812,TELEMETRY/2W NON-OB,0,6859.87
52100,CRITICAL CARE CHARGE/2S,0,9125.31
52209,PSYCH ICU,0,9125.31
52407,CRITICAL CARE CHARGE/3W,0,9125.31
52506,CRITICAL CARE CHARGE/ICU,0,9125.31
52605,NURSERY ICU,0,9125.31
52613,NURSERY ICU,0,3724.92
52704,CRITICAL CARE/PEDIATRICS,0,9125.31
52712,CRITICAL CARE OB OR NON-OB,0,4756.32
52811,CRITICAL CARE OB OR NON-OB,0,8276.79
62505,BURN ROOM,0,11106.18
62703,PSYCH/PEDS,0,9125.27
62711,INTERMEDIATE ICU OB 2W,0,1602.32
62810,INTERMEDIATE ICU OB 2W,0,2505.25
72819,ISOLATION/2W-OB,0,1874.35
82610,NEWBORN CARE,0,1881.2
82818,NEWBORN CARE/WC,0,1414.04
8249623,XR WRIST LT 2 VIEW FY,140.52,0
8250680,US EXT LT NON-VAS LIMITED,253.78,0
1221084,HLA II TYPING 1 LOCUS LR,1.1,0
1221191,SNRPN/UBE3A GENE,1.1,0
1221274,HLA II TYPING 1 ALLELE HR,1.1,0
1221282,FMR GENE DETECTION,1.1,0
1221399,CFTR GENE COM VERIANTS,1.1,0
1221407,MOPATH PROCEDURE LEVEL 7,1.1,0
6202105,BANDAGE DSTAT DRY HEMOSTATIC,1.92,0
6202139,CATH LANGSTON MULTIPURP A2 6F,1.92,0
156596,BANDAGE DSTAT DRY HEMOSTATIC,1.95,0
4700159,ULTRACLAMP CLAMP,2.09,0
8050247,CT LOCM IODINE 370MG/1ML,3.37,0
5604475,CATH PLUG N PROTECTOR,4.56,0
4700126,TRANFER SET CHANGE KIT FOR PD,5.06,0
7500317,"GAUZE,FINE MESH/6",5.15,0
7501703,"GAUZE,TUBE,#1/6FT",5.15,0
