Charge / Procedure Number,CPT / HCPCS Code,Billing Description,CDM Price
602948,,methylene blue,83.00
611589,,BD Bone Density DEXA App Skeleton - Report,100.00
611591,,BD Bone Density DEXA Axial Skeleton - Report,126.00
611595,,XR Wrist Complete Right - Report,50.00
611597,,XR Wrist Complete Left - Report,50.00
613595,,XR Upper GI - Report,165.00
613597,,XR Upper GI + KUB - Report,165.00
613599,,XR Upper GI with Air Contrast - Report,210.00
613601,,XR Upper GI with Air Contrast + KUB - Report,172.00
613603,,XR Upper GI with Air with Small Bowel - Report,244.00
613605,,XR Upper GI with Small Bowel - Report,245.00
613607,,zzXR Urethrocystography Retrograde - Report,135.00
613609,,XR Urethrocystography Voiding - Report,156.00
613611,,XR Urography Retrograde - Report,149.00
613615,,XR Urography w Infusion wo Tomography - Report,123.00
613633,,XR Wrist 2 Views Left - Report,48.00
613635,,XR Wrist 2 Views Right - Report,48.00
615591,,CT Abdomen wo + with Contrast - Report,579.00
621589,,Prolonged Physician Service Outpatient with Direct Patient Contact First Hour,785.00
625599,,CT Abdomen with Contrast - Report,545.00
625601,,CT Abdomen without Contrast - Report,585.00
625605,,MRI Abdomen wo + with Contrast - Report,"1,073.00"
625607,,MRI Abdomen with Contrast - Report,680.00
625609,,US Abdomen Complete - Report,228.00
625611,,US Abdomen Limited - Report,165.00
625613,,MRI MRCP - Report,612.00
625643,,CT Drainage - Abscess or Cyst - Report,375.00
625649,,XR AC Joints Bilateral w or wo weights - Report,68.00
625653,,MA Mammogram Additional View(s) Left - Report,340.00
625655,,MA Mammogram Additional View(s) Right - Report,340.00
625671,,US Guided Amniocentesis - Report,273.00
625677,,XR Arthrogram Ankle Left - Report,130.00
625679,,XR Arthrogram Ankle Right - Report,130.00
625683,,CT Ankle wo + with Contrast Left - Report,548.00
625685,,CT Ankle wo + with Contrast Right - Report,548.00
625689,,CT Ankle with Contrast Left - Report,456.00
625691,,CT Ankle with Contrast Right - Report,456.00
625695,,CT Ankle without Contrast Left - Report,430.00
625697,,CT Ankle without Contrast Right - Report,430.00
625701,,MRI Ankle wo + with Contrast Left - Report,"1,063.00"
625703,,MRI Ankle wo + with Contrast Right - Report,"1,063.00"
625707,,MRI Ankle with Contrast Left - Report,742.00
625709,,MRI Ankle with Contrast Right - Report,742.00
625713,,MRI Ankle without Contrast Left - Report,776.00
625715,,MRI Ankle without Contrast Right - Report,776.00
625719,,XR Ankle 2 Views Left - Report,45.00
625721,,XR Ankle 2 Views Right - Report,45.00
625725,,XR Ankle Complete Left - Report,56.00
625727,,XR Ankle Complete Right - Report,56.00
625737,,US Doppler Vascular Abd Pelvic Complete - Report,309.00
625739,,US Doppler Vascular Abd Pelvic Limited - Report,266.00
627589,,CT Aspiration - Report,747.00
627615,,XR ERCP Biliary and Pancreatic Duct - Report,196.00
627619,,XR ERCP Biliary Duct - Report,136.00
627623,,CT Biopsy - Report,747.00
627629,,XR Bone Age Studies - Report,68.00
627631,,CT Biopsy Bone - Report,747.00
627647,,XR Bone Length Studies Scanogram - Report,106.00
627659,,XR Bone Survey Comp - Mets or 24+ Months - Report,173.00
627661,,XR Bone Survey - Under 24 Months Old - Report,194.00
627663,,XR Bone Survey Ltd - Mets or 24+ Months - Report,150.00
627681,,MRI Brain wo + with Contrast - Report,"1,456.00"
627683,,MRI Brain with Contrast - Report,918.00
627685,,MRI Brain without Contrast - Report,851.00
627689,,US Biopsy Breast Left - Report,355.00
627691,,US Biopsy Breast Right - Report,355.00
627717,,US Breast Bilateral - Report,150.00
627719,,US Breast Left - Report,150.00
627721,,US Breast Right - Report,150.00
629595,,MRI Spine Cervical wo + with Contrast - Report,"1,406.00"
629597,,MRI Spine Cervical with Contrast - Report,900.00
629599,,MRI Spine Cervical without Contrast - Report,922.00
629601,,XR Spine Cervical 2 or 3 Views - Report,74.00
629605,,XR Spine Cervical Cross-Table Lateral - Report,50.00
629607,,CT Spine Cervical wo + with Contrast - Report,588.00
629609,,CT Spine Cervical with Contrast - Report,469.00
629611,,CT Spine Cervical without Contrast - Report,492.00
629613,,zzXR Spine Cervical Minimum 4 Views - Report,125.00
629691,,XR Myelography Cervical Spine - Report,382.00
629699,,CT Thorax wo + with Contrast - Report,567.00
629701,,CTA Chest w Contrast wo if performed - Report,777.00
629703,,CT Thorax with Contrast - Report,499.00
629705,,CT Thorax without Contrast - Report,444.00
629709,,MRI Chest wo + with Contrast - Report,900.00
629711,,MRI Chest with Contrast - Report,611.00
629713,,MRI Chest without Contrast - Report,517.00
629717,,XR Chest Frontal - Single View - Report,47.00
629719,,XR Chest Frontal and Lateral - 2 Views - Report,47.00
629721,,XR Chest 2 Views with Apical Lordotic - Report,61.00
629725,,XR Chest 2 Views with Obliques - Report,92.00
629727,,XR Chest Minimum 4 Views - Report,122.00
629735,,XR Cholangiogram Perc Transhepatic - Report,218.00
629737,,XR Cholangiogram in OR - Report,78.00
629739,,XR Cholangiogram with Existing Catheter - Report,179.00
629741,,XR Cholecystography (GB) Oral Contrast - Report,67.00
629753,,XR Clavicle Left - Report,57.00
629755,,XR Clavicle Right - Report,57.00
629767,,CTA Lower Extremity Left - Report,712.00
629769,,CTA Lower Extremity Right - Report,712.00
629773,,CTA Pelvis with Contrast wo if performed - Report,860.00
629777,,CTA Upper Extremity Left - Report,643.00
629779,,CTA Upper Extremity Right - Report,643.00
629783,,CT Biopsy Liver - Report,747.00
629785,,CT Biopsy Lung Left - Report,747.00
629787,,CT Biopsy Lung Right - Report,747.00
629789,,CT Biopsy Pancreas - Report,747.00
629795,,CT Biopsy Renal Left - Report,747.00
629797,,CT Biopsy Renal Right - Report,747.00
629823,,CT Elbow wo + with Contrast Left - Report,473.00
629825,,CT Elbow wo + with Contrast Right - Report,473.00
629829,,CT Elbow with Contrast Left - Report,449.00
629833,,CT Elbow with Contrast Right - Report,449.00
629835,,CT Elbow without Contrast Left - Report,411.00
629837,,CT Elbow without Contrast Right - Report,411.00
629841,,CT Femur wo + with Contrast Left - Report,548.00
629843,,CT Femur wo + with Contrast Right - Report,548.00
629847,,CT Femur with Contrast Left - Report,456.00
629849,,CT Femur with Contrast Right - Report,456.00
629853,,CT Femur without Contrast Left - Report,430.00
629855,,CT Femur without Contrast Right - Report,430.00
629863,,CT Foot wo + with Contrast Left - Report,548.00
629865,,CT Foot wo + with Contrast Right - Report,548.00
629871,,CT Foot with Contrast Left - Report,456.00
629873,,CT Foot with Contrast Right - Report,456.00
629879,,CT Foot without Contrast Left - Report,430.00
629881,,CT Foot without Contrast Right - Report,430.00
629887,,CT Forearm wo + with Contrast Left - Report,473.00
629889,,CT Forearm wo + with Contrast Right - Report,473.00
629895,,CT Forearm with Contrast Left - Report,449.00
629900,,CT Forearm with Contrast Right - Report,449.00
629905,,CT Forearm without Contrast Left - Report,411.00
629907,,CT Forearm without Contrast Right - Report,411.00
