SVCCD,Description,PRICE1,As of Date
1010014,"NI-EKG, 12 LEADS    ",1557,7/2/2019
1010015,NI-STRESS TEST      ,3883,7/2/2019
1020030,EEG 41-60 MIN       ,3740,7/2/2019
1020031,EEG GT 1 HOUR       ,2412.5,7/2/2019
1020032,EEG AWAKE DROWSY    ,3740,7/2/2019
1020033,EEG AWAKE ASLEEP    ,4117,7/2/2019
1020034,EEG ASLEEP          ,4117,7/2/2019
1020035,EEG EVAL CEREBR     ,5256,7/2/2019
1020045,EEG MONITOR VIDEOREC,8396.5,7/2/2019
1020046,AMB EEG MONITORING  ,6572,7/2/2019
1050025,US-CAROTID DPLX SCAN,4220,7/2/2019
1050026,NI-DUPSCN EXC UN LTD,2076,7/2/2019
1050032,NI-LW EXT DPX ART BI,1230,7/2/2019
1050034,NI-UP EXT DPX ART BI,1146.5,7/2/2019
1050035,NI-UP EXT DPX ART UN,910.5,7/2/2019
1050037,NI-EXT VEINS DPLX WC,4262.5,7/2/2019
1050038,US-EXT VEINS DPX LTD,2076,7/2/2019
1050048,"NI-ECHO, ANEU RPR   ",1249,7/2/2019
1050059,NI-LW EXT DPX ART UN,993.5,7/2/2019
1050089,NI-TEE COMP WO      ,21363,7/2/2019
1050090,NI-TTE 2D MM LTD WO ,1863,7/2/2019
1050091,NI-TTE 2D MM COMP WO,3424,7/2/2019
1050092,NI-TTE 2D W DOPP WO ,6764,7/2/2019
1050115,NI-TTE 2D W DOPP WWO,6625.5,7/2/2019
1060001,FL-FLUORO 1 HOUR    ,2707,7/2/2019
1061212,CC-RHC CNG ANOM     ,12616,7/2/2019
1061227,CC-PLACE CLOS DEV   ,2291.5,7/2/2019
1061229,CC-ILIAC ANG W-CATH ,4588,7/2/2019
1061230,CC-PERICARDIO INI   ,5377.5,7/2/2019
1061232,CC-INSERT IABP      ,10616.5,7/2/2019
1061233,CC-REMOVE IABP      ,3976,7/2/2019
1061242,"IC-IVUS, INIT       ",8681,7/2/2019
1061246,"IC-PTCA, SINGLE     ",49769,7/2/2019
1061247,"IC-PTCA, ADDL       ",22380,7/2/2019
1061258,"EP-EVAL LEAD,INDUC  ",3670.5,7/2/2019
1061259,"EP-EVAL GEN, INDUC  ",4588,7/2/2019
1061266,P-INS GEN-LEAD VEN  ,37101,7/2/2019
1061267,P-INS DUAL PAC SYS  ,39740.5,7/2/2019
1061268,P-INS TMP PAC LD SGL,18669.5,7/2/2019
1061272,P-UPGRD SNG TO DUAL ,45180,7/2/2019
1061273,P-REPOS RA-RV LEAD  ,6108.5,7/2/2019
1061274,P-INS LEAD SNGL     ,18669.5,7/2/2019
1061277,"P-REPAIR LEAD, DUAL ",18669.5,7/2/2019
1061278,P-REVSE POCKET PACE ,5031,7/2/2019
1061290,P-ANLYZ PACE SYSTAC ,1010.5,7/2/2019
1061295,S-INTRO NDL CATH VEI,358.5,7/2/2019
1061296,S-INJ EXTREMPSEUDOAN,2523,7/2/2019
1061297,S-INJ VENOGRAPHY    ,4372.5,7/2/2019
1061322,S-CATH EXTREM ART   ,1168,7/2/2019
1061325,S-INTROCATH AORTA   ,3861.5,7/2/2019
1061326,S-THORACIC 1ST ORDER,3917.5,7/2/2019
1061330,S-ABDOMEN 1ST ORDER ,3917.5,7/2/2019
1061331,S-ABDOMEN 2ND ORDER ,3588.5,7/2/2019
1061332,S-ABDOMEN 3RD ORDER ,3588.5,7/2/2019
1061360,IR-ANGIO VISCERAL SE,10732.89,7/2/2019
1061367,IR-ANGIO INTERN MAMM,6050,7/2/2019
1061396,"EP-CARDIOVER,INTERN ",13506.5,7/2/2019
1061418,HEART FLOW MEASURE  ,7964.5,7/2/2019
1061419,HEART FLOW MEAS ADD ,7945,7/2/2019
1061426,S-INS CANNULA HEMODI,31301.5,7/2/2019
1061448,S-PRIM ART MECH THRO,11207.5,7/2/2019
1061467,S-INS-REP PACE-DEFIB,99999.5,7/2/2019
1061473,CC-INS NT CVC GT 5YR,3636,7/2/2019
1061476,S-OPEN FEM ART ENDO ,13002,7/2/2019
1061480,NI-CARDIOVERSION    ,3306.5,7/2/2019
1061501,CC-RHC              ,11406,7/2/2019
1061504,CC-ANGIO CORON ONLY ,11406,7/2/2019
1061505,CC-S-I VNT ATR ANGIO,14711,7/2/2019
1061506,CC-R HRT CORONRY ART,22810.5,7/2/2019
1061508,CC-L HRT ARTERY-VENT,24474.5,7/2/2019
1061509,CC-L HRT ART-GRF ANG,27780,7/2/2019
1061510,CC-R-L HRT ART-VENT ,24474.5,7/2/2019
1061511,CC-R-L HRT ART-ANGIO,27780,7/2/2019
1061514,S-ILIAC REVAS W STNT,86195,7/2/2019
1061517,S-FEM POP REVAS TLA ,37313.5,7/2/2019
1061519,S-FEM POP REVAS STNT,76347.5,7/2/2019
1061520,S-FEM POP STNT ATHR ,55520,7/2/2019
1061523,S-TIB PER REVAS STNT,74955,7/2/2019
1061526,S-INS CATH RENART 1U,7252.5,7/2/2019
1061527,S-INS CATH RENART 1B,11232,7/2/2019
1061536,S-INS ENDO VENA CAVA,14810.5,7/2/2019
1061538,S-REM ENDO VENA CAVA,14810.5,7/2/2019
1061540,S-REM-REP PM GEN SNG,36761.5,7/2/2019
1061541,S-REM-REP PM GEN DUL,41788.5,7/2/2019
1061542,S-REM-REP PM GEN MLT,48887,7/2/2019
1061545,S-REM-REP CVD SINGLE,97391,7/2/2019
1061546,S-REM-REP CVD DUAL  ,99999.5,7/2/2019
1061547,S-REM-REP CVD MULT  ,99999,7/2/2019
1061550,S-PERC INS VAD ART  ,70565,7/2/2019
1061554,IC-PRQ CRD STN W-ANG,70565,7/2/2019
1061555,IC-PRQ STNT W-ANG EA,70565,7/2/2019
1061556,IC-PRQ CRD ST-AT-ANG,70565,7/2/2019
1061560,IC-PRQ CARD REV 1 VS,70565,7/2/2019
1061564,IC-PRQ DE COR STNT  ,64485,7/2/2019
1061565,IC-PRQ DE COR STNT B,64485,7/2/2019
1061566,IC-PRQ DE CR STNT AR,64485,7/2/2019
1061568,IC-PRQ DE CR REV CAB,64485,7/2/2019
1061570,IC-PRQ DE CR REV AMI,64485,7/2/2019
1061573,S-TRNSCTH THROM ART ,5908,7/2/2019
1061580,IR-ANG EXT CRT NS   ,17880,7/2/2019
1061583,IR-ANG CARTD IPS UNI,32659,7/2/2019
1061584,IR-ANG CARTD IPS BI ,32659,7/2/2019
1061587,IR-ANG SUBCL IPS UNI,32659,7/2/2019
1061589,IR-ANG VERT IPS UNI ,36093.5,7/2/2019
1061595,IR-VASC EMB-OCC ARTY,26399.5,7/2/2019
1061598,IR-TC PLC STN ART IN,41569.5,7/2/2019
1061648,S-EVAS RPR ILIAC ART,10980,7/2/2019
1061667,CC-RPR A-BIILI NDGFT,53918,7/2/2019
1061669,CC-RPR ILIO-ILI NDGF,6378.5,7/2/2019
1061671,CC-DYD PL XT PRS 1ST,12901.5,7/2/2019
1061801,IR-TLUM BAL ANG 1STA,42582.5,7/2/2019
1110801,OR LEV 1 INI 15 MIN ,5500,7/2/2019
1110802,OR LEV 2 INI 15 MIN ,5800,7/2/2019
1110803,OR LEV 3 INI 15 MIN ,6100,7/2/2019
1110804,OR LEV 4 INI 15 MIN ,6400,7/2/2019
1110805,OR LEV 5 INI 15 MIN ,6700,7/2/2019
1110806,OR LEV 6 INI 15 MIN ,7000,7/2/2019
1110811,OR LEV 1 EA ADD MIN ,200,7/2/2019
1110812,OR LEV 2 EA ADD MIN ,220,7/2/2019
1110813,OR LEV 3 EA ADD MIN ,240,7/2/2019
1110814,OR LEV 4 EA ADD MIN ,260,7/2/2019
1110815,OR LEV 5 EA ADD MIN ,280,7/2/2019
1110816,OR LEV 6 EA ADD MIN ,300,7/2/2019
1110821,AD PROCEDURE OR LV 1,1050,7/2/2019
1110822,AD PROCEDURE OR LV 2,1150,7/2/2019
1110823,AD PROCEDURE OR LV 3,1250,7/2/2019
1110824,AD PROCEDURE OR LV 4,1350,7/2/2019
1110825,AD PROCEDURE OR LV 5,1450,7/2/2019
1110841,PAIN MGMT IN PROC L1,3265,7/2/2019
1110842,PAIN MGMT IN PROC L2,4199.5,7/2/2019
1110851,PERFUSION LEVEL 1   ,17780,7/2/2019
1110852,PERFUSION LEVEL 2   ,20000,7/2/2019
1110864,LITHOTRIPSY         ,85341,7/2/2019
