CHGNUM,DESC,2019
2200018,MDI,130
900003,ANESTHESIA VAGINAL DELIVERY,95
900002,ANESTHESIA C SECTION,95
7000505,BB UNIRRIATED OF BLOOD,215
8001589,ANTIVENUM POLYVALENT-SNAKE,16386
800021,I AND D SIMPLE ER,597
80021,I AND D SIMPLE OR,597
800121,I AND D ABSCESS COMPLICATED OR MULT,1077
800052,REMOVAL OF FOREIGN BODY SKIN ER,1578
800201,DRAINAGE SUBQ TISSUE ON BACK,3026
30018,PUNTURE DRAINAGE OF LESION ER,495
800122,"PUNCTURE ASPIR, DRAINAGE",628
3000018,PT DEBRIDEMENT ECZEMATOUS <10%,521
3000021,PT DEBRIDEMENT SKIN PARTIAL THICKNESS,89
800028,LACERATION REPAIR  DO NOT USE,0
3000023,PT DEBRIDEMENT SKIN FULL THICKNESS,143
800115,DEBRIDEMENT inc muscle 20 SQcm/<bedside,1641
800215,DEBRIDEMENT inc bone 20 SQcm/<;BEDSIDE,2390
800315,DEBRIDEMENT SUBQ ea add up to 20cm addon,948
800415,DEBRIDEMENT inc muscl-ea add</20cm bedsd,800
800515,DEBRIDEMENT inc bone-ea add up to 20cm,1244
80097,REMOVE SKIN TAG < 15 OR,213
80098,REMOVE SKIN TAG UP TO 15 ER,198
810097,"SHAVE SKIN LESION 1.1-2.0cm TRNK,ARM,LEG",390
810098,"SHAVE SKIN LESION 1.1-2.0 cm SCLP,HAND,F",572
8100098,SHAVE SKIN LESION 0.5 CM/<,1116
800098,EXC TR-EXT B9+MARG 2.1-3CM/<,1888
800103,EXC TR-EXT B9+MARG 1.1-2 CM,1888
800004,AVULSION OF NAIL PLATE,750
800053,REMOVAL OF NAIL,378
200013,DO NOT USE,526
800033,"LAC REP SIMP 2.5< SCLP,NK,GEN,TRNK,EXTR",298
800034,"LAC REP SIMP 2.6-7.5cmSCLP,NK,GEN,TR,EXT",298
800035,"LAC REP SIMP 7.6-12.5SCLP,NK,GEN,TR,EXT",331
800036,"LAC REP SIMP 12.6-20 SCLP,NK,GEN,TRK,EXT",572
800066,"LAC REP SIMP 20.1-30cmSCLP,NK,GEN,TR,EXT",648
800067,"LAC REP SIMP >30CM SCLP,NK,GEN,TRK,EXT",180
800043,"LAC REP SIMP 2.5< FACE,EARS,LID,LIP,NOSE",298
800044,"LAC REP SIMP 2.6-5.0 FACE,EARS,LID,LIP,N",315
800045,"LAC REP SIMP 5.1-7.5FACE,EARS,LIP,NOSE",361
800038,"LAC REP SIMP 7.6-12.5FACE,EARS,LID,LIP,N",339
800068,"LAC REP SIMP 12.6-20 cm FACE EAR,LIP,LID",332
800069,"LAC REP SIMP 20.1-30FACE EAR,LIP,NOSE",332
800070,LAC REP SIMP >30cm FACE EAR LIP NOSE LID,298
800071,TX SUPERFIC SPLIT WOUND ;SIMPLE,2123
800072,TX SUPERFIC SPLIT WOUND W PACKING,1086
800040,"LAC REP INTER 2.5 CM< SCALP,NK,TRNK,EXT",1209
800029,"LAC REP INTER 2.6-7.5 SCALP,NK,TRNK,EXT",596
800041,"LAC REP INTER 7.6-12.5 SCALP,NK,TRNK,EXT",1322
800030,"LAC REP INTER 12.6-20 SCALP,NK,TRNK,EXT",1223
800074,"LAC REPAIR INTERMD,SCALP,EXTRM 20.1-30cm",2005
800075,"LAC REPAIR INTERMD,SCALP,EXTRM OVER 30cm",3579
800031,"LAC REP INTER 2.5< NK,HANDS,FEET,GEN",1050
800042,"LAC REP INTER 2.6-7.5 NECK,HANDS,FT,GEN",977
800032,"LAC REP INTER 7.6-12.5 NK,HANDS,FT,GEN",955
800076,"LAC REPAIR INTERMD,SCALP,EXTRM OVER 30cm",570
800077,"LAC REP INTERMD,NK,HAND,FEET,GEN20.1-30",332
800078,"LAC REP INTERMD,NK,HAND,FEET,GENover30cm",1674
800079,"LAC REP INTER,FACE,EARS,ETC 2.5cm orLESS",1348
800027,LACERATION LAYER REPAIR 2.6 CM TO 5,445
800080,"LAC REP INTER,FACE,EARS,ETC 5.1-7.5cm",827
800081,"LAC REP INTER,FACE,EARS,ETC 8.6-12.5 cm",1232
800082,"LAC REP INTER,FACE,EARS,ETC 12.6-20 cm",332
800083,"LAC REP INTER,FACE,EARS,ETC 20.1- 30 cm",332
800084,"LAC REP INTER,FACE,EARS,ETC over 30cm",332
7000504,BB UNIRRADIATED PLATLET,761
200014,REPAIR LACER COMPLEX TRUNK 1.1-2.5,597
800085,LAC REP COMPX;TRUNK;1.1 -2.5 cm,3579
800086,LAC REP COMPX;TRUNK;2.6 -7.5 cm,1571
800087,LAC REP CMPL;TRNK;ea adl 5cmorless addon,1599
800088,LAC REP CMPL;scalp arms legs1.1- 2.5cm,1125
800089,LAC REP CMPL;scalp arms legs2.6-7.5cm,1279
800090,LAC REP CMPL;sclp;ea adl 5cmorless addon,316
800091,"LAC REP CMPL;face,hand,feet,gen1.1-2.5",1102
800039,LACERATION REPAIR COMPLEX,1102
800037,LACERATION REPAIR 2.6 CM TO 7.5 CM,1110
800092,"LAC REP CMPL;face,hand,feet,gen2.6-7.5cm",1110
800093,LAC REP CMPL;face;ea adl 5cmorless addon,1356
800094,"LAC REP CMPL;eyelids,nose,etc1.1- 2.5cm",1260
800095,"LAC REP CMPL;eyelids,nose,etc2.6-7.5 cm",1472
800096,LAC REP CMPL;eyel;ea adl 5cmorless addon,401
800097,LAC REP secondary closure,3840
80096,DESTRUCT PREMALIG LESION,210
80099,DESTRUCT B9 LESION UP TO 14,522
4000051,MAMMOGRAM BIOP LOCALIZATION,1012
800102,INJECT TENDON SHEATH,696
80003,ARTHROCENTESIS MINOR JOINT/BURSA ER,597
