Description, Price ,HCPCS Code,,,,,,,,,
NORMAL SALINE (NS) 1000ML IV,$4.12 ,J7030,,,,,,,,,
NORMAL SALINE (NS) 1000ML IV,$40.00 ,J7030,,,,,,,,,
NORMAL SALINE (NS) 500ML IV,$40.00 ,J7040,,,,,,,,,
DEXTROSE/0.225NS (D51/4NS) 500ML IV,$40.00 ,J7042,,,,,,,,,
NORMAL SALINE (NS) 250ML IV,$40.00 ,J7050,,,,,,,,,
DEXTROSE 5%/WATER (D5W) 500ML IV,$40.00 ,J7060,,,,,,,,,
DEXTROSE 5%/WATER (D5W) 1000ML IV,$40.00 ,J7070,,,,,,,,,
LACTATE RINGERS (LR) 1000ML IV,$40.00 ,J7120,,,,,,,,,
XRAY ISOVUE 300 100CC,$109.91 ,Q9965,,,,,,,,,
FEEDING TUBE #5 FRENCH INFANT,$3.50 ,,,,,,,,,,
STERI STRIP 1/4X 3,$3.75 ,,,,,,,,,,
SUTURE 2-0 SILK-SOFTSILK,$4.50 ,,,,,,,,,,
ORAL AIRWAY # 0,$5.00 ,,,,,,,,,,
ORAL AIRWAY # 6,$5.00 ,,,,,,,,,,
ORAL AIRWAY #1,$5.00 ,,,,,,,,,,
ORAL AIRWAY # 2,$5.00 ,,,,,,,,,,
BLOOD ADMINSTER SET,$6.25 ,,,,,,,,,,
INFANT CATH KIT,$6.75 ,,,,,,,,,,
CATHETER IRRIGATION TRAY,$7.00 ,,,,,,,,,,
TRACH CARE KIT WITH 14FRENCH CATH,$7.50 ,,,,,,,,,,
SUTURE 4-0 SILK-SOFTSILK,$8.25 ,,,,,,,,,,
FEMALE CATH KIT,$8.75 ,,,,,,,,,,
HUBER NEEDLE 19GX1/2,$9.25 ,,,,,,,,,,
HUBER NEEDLE 19GX1,$9.25 ,,,,,,,,,,
ANAL SPECULLUMS,$10.00 ,,,,,,,,,,
CENTRAL LINE DRESSING CHANGE KIT,$10.00 ,,,,,,,,,,
BIOPSY PUNCH 3MM,$10.00 ,,,,,,,,,,
BIOPSY PUNCH 4MM,$10.00 ,,,,,,,,,,
BIOPSY PUNCH 5MM,$10.00 ,,,,,,,,,,
