EAP,EAP Description, Avg Chg 
76000001,HC FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE, 239.00 
76000002,HC FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE, 667.00 
76000003,HC ACNE SURGERY, 133.00 
76000004,HC INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE, 260.00 
76000005,HC INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE, 252.00 
76000008,HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE, 447.00 
76000010,HC I&D HEMATOMA SEROMA/FLUID COLLECTION, 1368.00 
76000011,HC PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST, 260.00 
76000012,HC INCISION & DRAINAGE COMPLEX PO WOUND INFECTION, 137.00 
76000017,HC DBRDMT SKN SUBQ T/M/F NECRO INFCTJ GENT/ABDL, 1092.00 
76000021,HC DBRDMT FX&/DISLC SUBQ T/M/F BONE, 1009.00 
76000022,HC DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<, 1623.00 
76000024,HC DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<, 2142.00 
76000028,HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1, 134.00 
76000029,HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4, 271.00 
76000030,HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4, 271.00 
76000031,HC BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION, 271.00 
76000032,HC BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN, 271.00 
76000033,HC REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15, 916.00 
76000039,HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<, 134.00 
76000040,HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM, 271.00 
76000041,HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM, 436.00 
76000043,HC SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<, 135.00 
76000044,HC SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM, 135.00 
76000045,HC SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM, 501.00 
76000047,HC EXC B9 LES MRGN XCP SK TG T/A/L 0.5 CM/<, 518.00 
76000048,HC EXC B9 LES MRGN XCP SK TG T/A/L 0.6-1.0 CM, 916.00 
76000049,HC EXC B9 LES MRGN XCP SK TG T/A/L 1.1-2.0 CM, 916.00 
76000050,HC EXC B9 LES MRGN XCP SK TG T/A/L 2.1-3.0 CM/<, 1033.00 
76000051,HC EXC B9 LES MRGN XCP SK TG T/A/L 3.1-4.0 CM, 1846.00 
76000052,HC EXC B9 LES MRGN XCP SK TG T/A/L >4.0 CM, 2142.00 
76000053,HC EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.5 CM/<, 890.00 
76000054,HC EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM, 1033.00 
