DRG Code,DRG Description, Avg Chg 
0103,HEADACHES W/O MCC," 8,824.53 "
0113,ORBITAL PROCEDURES W CC/MCC," 29,650.86 "
0114,ORBITAL PROCEDURES W/O CC/MCC," 20,700.26 "
0115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT," 26,890.32 "
0116,INTRAOCULAR PROCEDURES W CC/MCC," 25,128.51 "
0117,INTRAOCULAR PROCEDURES W/O CC/MCC," 22,808.83 "
0121,ACUTE MAJOR EYE INFECTIONS W CC/MCC," 19,641.85 "
0122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC," 14,029.29 "
0125,OTHER DISORDERS OF THE EYE W/O MCC," 14,875.13 "
0129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE," 51,231.99 "
0130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC," 41,028.39 "
0131,CRANIAL/FACIAL PROCEDURES W CC/MCC," 37,499.55 "
0132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC," 35,610.48 "
0133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC"," 40,456.38 "
0134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC"," 21,897.39 "
0135,SINUS & MASTOID PROCEDURES W CC/MCC," 43,708.61 "
0136,SINUS & MASTOID PROCEDURES W/O CC/MCC," 27,966.21 "
0137,MOUTH PROCEDURES W CC/MCC," 31,339.14 "
0138,MOUTH PROCEDURES W/O CC/MCC," 23,123.06 "
0139,SALIVARY GLAND PROCEDURES," 20,938.68 "
0146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC"," 33,439.85 "
0147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC"," 15,103.69 "
0148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC"," 11,430.04 "
0151,EPISTAXIS W/O MCC," 11,057.28 "
0153,OTITIS MEDIA & URI W/O MCC," 9,920.21 "
0154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC"," 21,272.92 "
0155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"," 8,770.69 "
0156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"," 14,760.83 "
0158,DENTAL & ORAL DISEASES W CC," 36,526.40 "
0159,DENTAL & ORAL DISEASES W/O CC/MCC," 11,129.20 "
0178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC," 18,797.03 "
0179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC," 15,039.70 "
0194,SIMPLE PNEUMONIA & PLEURISY W CC," 9,977.43 "
0195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC," 14,279.07 "
0203,BRONCHITIS & ASTHMA W/O CC/MCC," 8,982.84 "
0204,RESPIRATORY SIGNS & SYMPTOMS," 6,099.33 "
0205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC," 23,295.49 "
0206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC," 11,235.87 "
0264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES," 13,746.44 "
0300,PERIPHERAL VASCULAR DISORDERS W CC," 15,134.16 "
0327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC"," 38,525.37 "
0392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"," 16,639.18 "
0464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC"," 66,111.87 "
0465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC"," 45,551.66 "
0517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC," 37,592.14 "
0542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC," 20,118.38 "
0543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC," 21,238.25 "
0571,SKIN DEBRIDEMENT W CC," 23,213.48 "
0577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC," 56,190.67 "
0578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC," 26,301.31 "
0581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC"," 31,356.07 "
0603,CELLULITIS W/O MCC," 15,956.09 "
0607,MINOR SKIN DISORDERS W/O MCC," 14,154.46 "
0626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC"," 43,465.20 "
0627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC"," 30,618.38 "
0641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"," 10,642.67 "
0804,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC," 25,495.48 "
0821,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC," 33,572.85 "
0822,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC," 26,871.28 "
0825,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/MCC," 24,616.97 "
0827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC," 43,300.57 "
0830,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER  PROCEDURE W/O CC/MCC," 34,720.37 "
0842,LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC," 5,945.14 "
0857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC," 46,101.12 "
0863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC," 18,510.18 "
0902,WOUND DEBRIDEMENTS FOR INJURIES W CC," 41,607.32 "
0903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC," 25,807.26 "
0904,SKIN GRAFTS FOR INJURIES W CC/MCC," 70,307.76 "
0907,OTHER O.R. PROCEDURES FOR INJURIES W MCC," 24,239.46 "
0908,OTHER O.R. PROCEDURES FOR INJURIES W CC," 29,410.50 "
0909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC," 20,362.50 "
0920,COMPLICATIONS OF TREATMENT W CC," 18,445.60 "
0921,COMPLICATIONS OF TREATMENT W/O CC/MCC," 11,750.63 "
0947,SIGNS & SYMPTOMS W MCC," 22,335.38 "
0948,SIGNS & SYMPTOMS W/O MCC," 10,949.47 "
0982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC," 26,607.05 "
0983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," 32,556.28 "
0988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC," 36,487.25 "
0989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," 16,480.90 "
