ITEM #,ITEM DESCRIPTION,ITEM PRICE
       1,ZEPHIRAN SOL(BENZALKONIUM):8 OZ,91.33 
       3,NF- ALKYL BENZOATE SOLUTION,2.58 
       4,NF-NUBAIN INJECTION 20MG/ML,12.16 
       5,NF-NUBAIN INJECTION 10MG/ML,55.14 
       6,NF-ZESTORETIC TAB 25MG-20MG,8.80 
       7,NF-HYOMAX-DT ORAL TAB ER 0.375MG,134.43 
  919191,..TESTING OVA  AND PARASITES,96.76 
  919192,..TESTING CULTURE ANAEROBE ID EA,96.02 
  919193,..TESTING BETA LACTAMASE,31.02 
  919194,..TESTING CULTURE AEROBIC SENDOUT,136.24 
  919195,..TESTING CULTURE FUNGAL,110.25 
  919196,..TESTING TB BY PCR/CULTURE,245.00 
  919197,..TESTING CULTURE HERPES VIRUS,166.85 
  919198,..TESTING CULTURE VIRAL,174.46 
  919199,..TESTING CULTURE CMV,174.46 
  919200,CRYPTOCOCCUS AG,94.73 
 1305997,DIAPER ADULT  XLG    FITULTRAXLG,29.00 
 1312008,MINI VOL EXT. 60IN/152CM  536040,7.19 
 1312009,INTRAOSSEUS NEEDLE 18G    G04431,103.11 
 1312013,SUTURE VICRYL RAPIDE 3-0         VR944,7.77 
 1312015,SUTURE VICRYL RAPIDE 2-0        VR945,7.77 
 1312018,FETAL SCALP ELECTRODE   7000AA0,9.19 
 1312020,CATH FOLEY 6FR 3cc RUSCH 3171-06,24.52 
 1312027,VACUUM DELIVERY KIT/ EXTRACTOR 303TT,38.12 
 1312028,AMNICOT   AR100,12.23 
 1312030,CATH INTRAUTERINE PRESSURE CATH 2076BA0,119.39 
 1312033,FETAL SCALP ELECTRODE PAD 2464AA0,1.63 
 1341003,MESH KUGEL SMALL OVAL 0010201,"2,054.80 "
 1341004,MESH KUGEL SMALL CIRCLE 0010203,"1,684.36 "
 1341005,MESH KUGEL MEDIUM OVAL 0010205,"1,356.18 "
 1341006,MESH KUGEL LARGE OVAL 0010202,"1,155.58 "
 1350077,IV D5 .9 1000 20 MEQ KCL          710709,32.04 
 1350078,IV D5.45 1000 20 MEQ KCL          790209,15.29 
 1350079,IV NS 1000 20 MEQ KCL             711509,31.64 
 1350080,IV HEPARIN 500       2B0953,9.82 
 1350081,IV HEPARIN 1000                   762059,9.56 
 1350087,HAND HELPER C5297,21.42 
 1350095,ENDOCELL CELL SAMPLER    908014,9.56 
 1350106,BAG EXTRACT SPECIMEN BAG SB31110 CONMED,185.43 
 1350133,OMNI JUGS        5036-01,68.14 
 1357502,DIAPER ADULT BREIFS XXL 60-69  MTB60700,57.00 
 1359024,DIAPER PULL UP ADULT XXLG  1630,25.00 
 2600155,CHANTIX (VARENICLINE)TAB:1MG,9.99 
 2600156,BIOTENE DRY MOUTH MOUTHWASH MM SOLUTION,11.99 
 2600157,INCRUSE ELLIPTA INH PWD 62.5MCG/1ACT,164.99 
 2600158,VENELEX TOPICAL OINTMENT 788-87MG/1ML,79.98 
 2600159,ENTRESTO ORAL TABLET 24MG-26MG,16.99 
 2600160,ABILIFYMAINTENA IM VIAL 300MG,"2,599.00 "
 2601114,BUPRENORPHINE TAB:8MG,10.99 
 2601450,KCL 40MEQ/NACL 250ML K-RUN,9.99 
 2607210,LOVENOX MDV (ENOXAPARIN 100MG/ML) 300MG,112.04 
 2607310,"VITAMIN A CAP:  10,000IU",3.15 
