Department - Charge Category,Item Number - Charge ID,Description,Price
Other,3590,NITAZOXANIDE (ALINIA TAB) 500 MG = 1 TAB (Dosage Form = TAB),43.15
Other,1470,Bun Body Fld,27
Other,8622,DECITABINE (DACOGEN/DECITABINE) 50 MG = 1 VIAL (Dosage Form = VIAL),3686.55
Other,9819,Endograft Cook AAA Renu Converter,13451
Other,2296,MNT Group Ea 30 Min,43
Other,12296,SACUBITRIL/VALSARTAN (ENTRESTO 97/103) 1 TAB = 1 TAB (Dosage Form = TABLET),23.4
Other,3241,TRIAMCINOLONE ACETONIDE (KENALOG-40 INJ - 1 ML) 40 MG = 1 ML (Dosage Form = VIAL),22.45
Other,8596,ECMO 1st 24 Hours,5153
Other,8837,Agile Patency Capsule,353
Other,6615,OXCARBAZEPINE (TRILEPTAL TAB) 300 MG = 1 TAB (Dosage Form = TAB),6.05
Other,6380,Supplies Misc.,
Other,6822,NELFINAVIR MESYLATE (VIRACEPT TAB) 250 MG = 1 TAB (Dosage Form = TAB),7.1
Other,2498,Pacer Single Chamber,18962
Other,5962,Procguiding Mpb Cath,677
Other,5326,CLOTRIMAZOLE (LOTRIMIN 1% SOLN (GEN EQ)30ML) 1 APP = 1 APP (Dosage Form = SOLN),133.25
Other,9531,PTA Tibial/Peroneal and Stent each Add'l,21991
Other,175,Cath Placement Venous  Each Addl,463
Other,11910,Baha Biopsy Punch 92275701*,17
Other,1357,Myoglobin Urine (Qual),85
Other,10818,Mononuclear Cell Ant. Quant - R,252
Other,8006,LIDOCAINE HCL (XYLOCAINE 1% 30ML CHARGE) 300 MG = 30 ML (Dosage Form = VIAL),9.15
Other,8607,Cortisol Total Each 1,108
Other,10293,Kit Accy Titan Anchor 92213271*,680
Other,6178,SELENIUM SULFIDE (SELSUN 2.5% SHAMPOO (LOTION)) 120ML 1 APP = 1 APP (Dosage Form = SHAMPO),22.5
Other,10232,OSELTAMIVIR PHOSPHATE (TAMIFLU SUSPENSION) 360 MG = 60 ML (Dosage Form = SUSP),248.1
Other,6080,ROPINIROLE HCL (REQUIP TAB) 1 MG = 1 TAB (Dosage Form = TAB),3.2
Other,7672,Immunoassay Each 5 - R,370
Other,8538,Strep Tex Biochem 4,33
