Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
AM000007,,TRANSPORT INFANT PER 30MIN,$366.00,,,,,,,,,,,,,,,,,,,,,,,,
AM000008,,TRANSPORT REVERSE PER 30MIN,$121.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000001,,ANES LOCAL PUDENDAL,$516.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000004,,MISC NITRIC OXIDE PER HR,$786.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000007,,PRE-OP SERVICES AND SUPPLIES,"$1,226.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000021,,ANESTHESIA TIME 1/2 HR LVL 1,"$1,086.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000022,,ANESTHESIA TIME 1/2 HR LVL 2,"$1,335.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000023,,ANESTHESIA TIME 1/2 HR LVL 3,"$1,578.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000024,,ANESTHESIA TIME 1/2 HR LVL 4,"$1,872.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000025,,ANESTHESIA TIME 1/2 HR LVL 5,"$1,973.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000026,,ANESTHESIA TIME 1/2 HR LVL 6,"$1,086.00",,,,,,,,,,,,,,,,,,,,,,,,
AN000027,,MOD SED SAME PHYS/QHP GREATER 5 YRS,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000028,,MOD SED SAME PHYS/QHP 5 OR LESS YRS,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000029,,MOD SED SAME PHYS/QHP EA,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000030,,MOD SED OTH PHYS/QHP GREATER 5 YRS,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000031,,MOD SED OTH PHYS/QHP 5 OR LESS YRS,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000032,,MOD SED OTHER PHYS/QHP EA,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
AN000033,,MOD SEDAT ENDO SERVICE GREARTER THN 5YRS,$186.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000003,,AUD ACOUSTIC REFLEX TEST,$190.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000005,,AUD CONDITIONING PLAY,$369.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000008,,AUD EARMOLD - CSS-MCD,$232.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000010,,AUD EVAL COMPSV THRESHOLD,$498.00,,,,,,,,,,,,,,,,,,,,,,,,
