CDM NAME,HOSPITAL,TECHNICAL DESCRIPTION,TOTAL CHARGE
CSK,Carondelet St. Joseph's Hospital,CAPILLARY COLLECTION,$137.01
CSK,Carondelet St. Joseph's Hospital,INJECTION:FLU VACCINE,$92.87
CSK,Carondelet St. Joseph's Hospital,INJECTION:PNEUMOCOCCAL VACCINE,$92.87
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD MED/SURG,"$3,146.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD MONITORS ICU (CSJ),"$5,879.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD MONITORS ICU (CSM),"$5,879.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD MONITORS ICU (HVI),"$5,879.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD W/TELE,"$4,054.00"
CSK,Carondelet St. Joseph's Hospital,OBSERVATION PER HOUR,$245.03
CSK,Carondelet St. Joseph's Hospital,INJ IV PUSH EA ADDL-SAME DRUG,$355.23
CSK,Carondelet St. Joseph's Hospital,INJ IV PUSH SINGLE OR 1ST DRUG,$355.23
CSK,Carondelet St. Joseph's Hospital,INJECTION IV EA ADDL SEQ PUSH,$394.80
CSK,Carondelet St. Joseph's Hospital,IV INF HYDRATE 31 TO 60 MIN,$756.13
CSK,Carondelet St. Joseph's Hospital,IV INF HYDRATE EA ADL HR,$482.98
CSK,Carondelet St. Joseph's Hospital,IV INF TX/DX EA ADL HR,$482.98
CSK,Carondelet St. Joseph's Hospital,IV INF TX/DX UP TO 1HR,$706.87
CSK,Carondelet St. Joseph's Hospital,OBSERVATION PER HOUR W/TELE,$178.11
CSK,Carondelet St. Joseph's Hospital,BLD/BLD PRODUCT TRANSFUSION,"$2,036.01"
CSK,Carondelet St. Joseph's Hospital,BLOOD COLLECTION IMPLANTED VAD,$226.83
CSK,Carondelet St. Joseph's Hospital,BLOOD COLLECTION PICC/CL,$280.78
CSK,Carondelet St. Joseph's Hospital,BLADDER SCAN,$216.80
CSK,Carondelet St. Joseph's Hospital,CATHETERIZATION FOLEY,$307.49
CSK,Carondelet St. Joseph's Hospital,CATHETERIZATION FOR SPEC COLL,$292.56
CSK,Carondelet St. Joseph's Hospital,CATHETERIZATION STRAIGHT,$307.49
CSK,Carondelet St. Joseph's Hospital,DRNG ABSCESS/HEMATOMA/CYST,$607.02
CSK,Carondelet St. Joseph's Hospital,INJ/ASPIRATE JOINT/BURSA/CYST,$743.71
CSK,Carondelet St. Joseph's Hospital,INJECTION IM/SUBQ,$270.43
CSK,Carondelet St. Joseph's Hospital,INSERT VENOUS CATH NON TUNNEL,"$3,128.19"
CSK,Carondelet St. Joseph's Hospital,IV INF TX/DX ADL SQ IV 1HR OR<,$482.98
CSK,Carondelet St. Joseph's Hospital,IV INF TX/DX CONCURRENT IV,$482.98
CSK,Carondelet St. Joseph's Hospital,OBSERVATION DIRECT ADMIT,"$2,795.41"
CSK,Carondelet St. Joseph's Hospital,OBSERVATION PER HOUR,$178.11
CSK,Carondelet St. Joseph's Hospital,OUTPATIENT BED PER HR,$131.56
CSK,Carondelet St. Joseph's Hospital,VENIPUNCTURE,$87.85
CSK,Carondelet St. Joseph's Hospital,ARTERIAL PAE 1-2 LVL BIL,"$1,806.57"
CSK,Carondelet St. Joseph's Hospital,ARTERIAL PAE 1-2 LVL UNI,$903.50
CSK,Carondelet St. Joseph's Hospital,ARTERIAL PAE 3 OR > LVL BIL,"$1,934.97"
CSK,Carondelet St. Joseph's Hospital,ARTERIAL PAE 3 OR > LVL UNI,$967.48
CSK,Carondelet St. Joseph's Hospital,BIOLOGICAL DEBRIDEMENT,"$1,119.32"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD BURN/WOUND,"$3,146.00"
CSK,Carondelet St. Joseph's Hospital,NEG PRESS THER 50CM OR <,$349.89
CSK,Carondelet St. Joseph's Hospital,NEG PRESS THER > 50CM,$696.84
CSK,Carondelet St. Joseph's Hospital,NEG PRESS THER W/INST > 50CM,$696.84
CSK,Carondelet St. Joseph's Hospital,NEG PRESS THER W/INST 50CM OR<,$501.29
CSK,Carondelet St. Joseph's Hospital,WOUND CARE NON-SEL LEV I,$480.04
CSK,Carondelet St. Joseph's Hospital,WOUND CARE NON-SEL LEV II,$696.84
CSK,Carondelet St. Joseph's Hospital,DEBRD SELECT 1ST 20CM,$586.64
CSK,Carondelet St. Joseph's Hospital,DEBRD SELECT ADL 20CM,$696.84
CSK,Carondelet St. Joseph's Hospital,KIT CVC TRPL LUMEN 7FR X 20CM,$603.53
CSK,Carondelet St. Joseph's Hospital,KIT PERCUTANEOUS SHEATH 9FR,$289.07
CSK,Carondelet St. Joseph's Hospital,INJECTION FLU VACCINE,$92.87
CSK,Carondelet St. Joseph's Hospital,INJECTION PNEUMOCOCCAL VACCINE,$92.87
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD MONITORS ICU,"$5,879.00"
CSK,Carondelet St. Joseph's Hospital,IV INF TX/DX CONFURRENT IV,$482.98
CSK,Carondelet St. Joseph's Hospital,HOSPICE BED,"$1,579.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD SWING BED,"$3,146.00"
CSK,Carondelet St. Joseph's Hospital,LUMBAR PUNCTURE,"$1,401.74"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD REHAB LEVEL I,"$3,053.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD REHAB LEVEL I (CSJ),"$3,053.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD REHAB,"$3,053.00"
CSK,Carondelet St. Joseph's Hospital,ROOM/BOARD REHAB (CSJ),"$3,053.00"
