NANTUCKET COTTAGE HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
99900003,HC LEFT WITHOUT BEING SEEN,I.C.
98500002,HCPR 12 LEAD ECG INTERPRETATION AND REPORT ONLY,$33.00
98301799,"HCPR PLACEMENT,SETON","$1,079.00"
98301798,HCPR PARTIAL EXCISION DISTAL PHALANX FINGER,"$2,326.00"
98301797,"HCPR LAP,SURG,ENTERECTOMY,RESECT & ANAST","$5,302.00"
98301791,HCPR REPAIR SLIDING INGUINAL HERNIA,"$2,205.00"
98301763,HCPR EXC TUMOR SOFT TISSUE UPPER ARM/ELBOW SUBQ 3+CM,"$1,623.00"
98301762,"HCPR ORCHIOPEXY,INGUNIAL APPROACH","$1,928.00"
98301759,HCPR TENOTOMY PERCUTANEOUS TOE MULTIPLE TENDON,"$1,178.00"
98301685,HCPR EXPLORATION PENETRATING WOUND SPX NECK,"$2,380.00"
98301445,HCPR ATTN AT DELIVERY 1ST STABILIZATION OF NEWBORN,$267.00
98301443,"HCPR SUBSEQUENT HOSPITAL CARE, NORMAL NEWBORN",$117.00
98301442,"HCPR INITIAL NORMAL NEWBORN CARE, HOSPITAL OR BIRTH CENTER",$216.00
98301438,"HCPR VENT MANAGEMENT, INPATIENT, INITIAL DAY",$323.00
98301436,HCPR DOPPLER FETAL UMBILICAL ARTERY,$315.00
98301435,"HCPR US,PREG UTER,NUCHAL MEAS, 1ST TRI,ADDL GEST",$179.00
98301434,"HCPR US,PREG UTER,NUCHAL MEAS, 1ST TRIMEST, SINGLETON",$214.00
98301430,"HCPR US, OB >/= 14 WKS, SNGL FETUS",$122.00
98301418,HCPR INCISION SUBCUT TOE TENDON,$822.00
98301336,HCPR REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT,$55.00
98301327,HCPR NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,$401.00
98301322,"HCPR NURSING FAC DISCHRGE DAY,MORE 30 MIN",$322.00
98301321,"HCPR NURSING FAC DISCHRGE DAY,1-30 MIN",$246.00
98301320,HCPR SBSQ NURS FACIL CARE/DAY UNSTABL/NEW PROB 35 MIN,$477.00
98301319,HCPR SBSQ NURSING FACIL CARE/DAY NEW PROBLEM 25 MIN,$323.00
98301318,HCPR SBSQ NURSING FACIL CARE/DAY MINOR COMPLJ 15 MIN,$246.00
98301317,HCPR SBSQ NURSING FACILITY CARE/DAY E/M STABLE 10 MIN,$160.00
98301316,HCPR INITIAL NURSING FACILITY CARE/DAY 45 MINUTES,$586.00
98301315,HCPR INITIAL NURSING FACILITY CARE/DAY 35 MINUTES,$461.00
98301314,HCPR INITIAL NURSING FACILITY CARE/DAY 25 MINUTES,$329.00
98301312,HCPR OBSERVATION/INPATIENT HOSPITAL CARE 55 MINUTES,$777.00
98301311,HCPR OBSERVATION/INPATIENT HOSPITAL CARE 50 MINUTES,$627.00
98301310,HCPR OBSERVATION/INPATIENT HOSPITAL CARE 40 MINUTES,$478.00
98301309,HCPR SBSQ OBSERVATION CARE/DAY 35 MINUTES,$287.00
98301307,HCPR SBSQ OBSERVATION CARE/DAY 15 MINUTES,$109.00
98301304,HCPR INITIAL OBSERVATION CARE/DAY 30 MINUTES,$236.00
98301297,"HCPR CAPSULOTOMY MT-P JT,FOOT,EACH","$1,648.00"
98301296,HCPR INCISION EXTEN FOOT/TOE TENDON,"$1,029.00"
98301295,HCPR INCISION FLEX FOOT TENDON(S),"$1,094.00"
98301283,HCPR NEGATIVE PRESSURE WOUND THERAPY DME </= 50 SQ CM,$99.00
98301275,HCPR NONINVASV OXYGEN SATUR;SINGLE,$36.00
98301239,HCPR COLON CA SCRN NOT HI RSK IND,$240.00
98301238,HCPR COLORECTAL SCRN; HI RISK IND,$240.00
98301227,HCPR CRITICAL CARE ILL/INJURED PATIENT ADDL 30 MIN,$219.00
98301226,HCPR CRITICAL CARE ILL/INJURED PATIENT INIT 30-74 MIN,$439.00
98301225,HCPR EMERGENCY DEPT VISIT HIGH SEVERITY&THREAT FUNCJ,$398.00
98301224,HCPR EMERGENCY DEPARTMENT VISIT HIGH/URGENT SEVERITY,$254.00
98301223,HCPR EMERGENCY DEPARTMENT VISIT MODERATE SEVERITY,$165.00
98301222,HCPR EMERGENCY DEPARTMENT VISIT LOW/MODER SEVERITY,$74.00
98301221,HCPR EMERGENCY DEPARTMENT VISIT LIMITED/MINOR PROB,$44.00
98301217,HCPR INITIAL INPATIENT CONSULT NEW/ESTAB PT 40 MIN,$327.00
98301216,HCPR HOSPITAL DISCHARGE DAY MANAGEMENT > 30 MIN,$369.00
98301211,HCPR SBSQ OBSERVATION CARE/DAY 25 MINUTES,$193.00
98301210,HCPR INITIAL OBSERVATION CARE/DAY 70 MINUTES,$545.00
98301209,HCPR INITIAL OBSERVATION CARE/DAY 50 MINUTES,$390.00
98301208,HCPR OBSERVATION CARE DISCHARGE MANAGEMENT,$253.00
98301202,HCPR NEGATIVE PRESSURE WOUND THERAPY DME >50 SQ CM,$110.00
98301200,HCPR RMVL DEVITAL TISS N-SLCTV DBRDMT W/O ANES 1 SESS,$281.00
98301196,HCPR CPAP VENTILATION CPAP INITIATION&MGMT,$135.00
98301186,HCPR FETAL BIOPHYSICAL PROFILE W/O NON-STRESS TESTING,$121.00
98301185,HCPR US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,$75.00
98301184,HCPR US PREG UTERUS REAL TIME F/U TRNSABDL PER FETUS,$75.00
98301183,HCPR US PREGNANT UTERUS LIMITED 1/> FETUSES,$75.00
98301182,HCPR US PREG UTERUS W/DETAIL FETAL ANAT 1ST GESTATION,$185.00
98301181,HCPR US PREGNANT UTERUS 14 WK TRANSABDL 1/1ST GESTAT,$75.00
