abacavir 20 mg/mL oral solution,J3490,$456.64 
abacavir 300 mg tablet,J3490,$43.93 
abacavir 300 mg-lamivudine 150 mg-zidovudine 300 m,,$96.48 
abacavir 600 mg-dolutegravir 50 mg-lamivudine 300,J3490,$304.94 
abacavir 600 mg-lamivudine 300 mg tablet,J3490,$145.17 
abatacept (with maltose) 250 mg intravenous soluti,J0129,"$3,112.83 "
abciximab 10 mg/5 mL intravenous solution,J0130,"$3,467.50 "
abobotulinumtoxinA 300 unit intramuscular solution,J0586,"$1,691.38 "
abobotulinumtoxinA 500 unit intramuscular solution,J0586,"$2,807.75 "
"acamprosate 333 mg tablet,delayed release",J3490,$20.16 
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intraveno",J0131,$228.74 
"acetaminophen 1,000 mg/100 mL (10 mg/mL) IV",J0131,$182.63 
acetaminophen 120 mg rectal suppository,J3490,$1.73 
acetaminophen 160 mg/5 mL (5 mL) oral suspension,J3490,$2.25 
"acetaminophen 160 mg/5 mL oral suspension,acetamin",J3490,$0.20 
acetaminophen 325 mg rectal suppository,,$2.05 
acetaminophen 325 mg tablet,J3490,$1.04 
acetaminophen 500 mg tablet,J3490,$1.16 
acetaminophen 500 mg/15 mL oral liquid,J3490,$0.20 
acetaminophen 650 mg rectal suppository,J3490,$1.85 
acetaminophen 650 mg/20.3 mL oral solution,J3490,$4.05 
acetaminophen 80 mg chewable tablet,,$1.06 
acetaminophen 80 mg disintegrating tablet,J3490,$16.14 
acetaminophen 80 mg rectal suppository,,$1.79 
acetaZOLAMIDE 100 mg/mL pediatric injection,J1120,$177.13 
acetaZOLAMIDE 250 mg tablet,J3490,$26.47 
acetaZOLAMIDE 500 mg solution for injection,J1120,$150.88 
"acetaZOLAMIDE ER 500 mg capsule,extended release",,$19.75 
acetic acid (bulk) 5 % liquid,J3490,$65.67 
acetic acid 0.25 % irrigation solution,J3490,$78.75 
acetic acid 2 % ear solution,,$100.30 
acetylcholine chloride 1 % (10 mg/mL) intraocular,J3490,$90.42 
acetylcysteine 200 mg/mL (20 %) intravenous soluti,J0132,$119.93 
acetylcysteine 200 mg/mL (20 %) solution,J3490,$44.88 
aclidinium bromide 400 mcg/actuation breath activa,J3490,$439.51 
activated charcoal 50 gram/240 mL oral suspension,J3490,$44.53 
activated charcoal-sorbitol 50 gram/240 mL oral su,J3490,$44.53 
acyclovir 200 mg capsule,J3490,$16.37 
acyclovir 200 mg/5 mL oral suspension,J3490,"$1,084.51 "
acyclovir 800 mg tablet,J3490,$18.03 
acyclovir sodium 50 mg/mL intravenous solution,J0133,$114.70 
adalimumab 40 mg/0.8 mL subcutaneous pen kit,J0135,"$8,423.90 "
adalimumab 40 mg/0.8 mL subcutaneous syringe kit,J0135,"$8,423.90 "
adefovir 10 mg tablet,,$164.43 
adenosine (diagnostic) 3 mg/mL intravenous solutio,J0153,"$1,077.48 "
adenosine 3 mg/mL intravenous solution,J0153,$33.79 
ado-trastuzumab emtansine 100 mg intravenous solut,J9354,"$9,238.73 "
ado-trastuzumab emtansine 160 mg intravenous solut,J9354,"$14,616.98 "
agalsidase beta 35 mg intravenous solution,J0180,"$16,755.50 "
Al hyd-Mg tr-alg ac-sod bicarb 80 mg-14.2 mg chewa,,$1.19 
albendazole 200 mg tablet,,$744.01 
"albumin, human 25 % intravenous solution",P9047,$662.00 
"albumin, human 5 % intravenous solution",P9041,$369.50 
albuterol sulfate 2 mg tablet,,$33.63 
albuterol sulfate 2.5 mg/3 mL (0.083 %) solution f,J3490,$16.71 
albuterol sulfate concentrate 2.5 mg/0.5 mL soluti,J3490,$17.14 
albuterol sulfate concentrate 5 mg/mL(0.5 %) solut,J3490,$161.38 
albuterol sulfate HFA 90 mcg/actuation aerosol inh,J3490,$255.99 
aldesleukin 22 million unit intravenous solution,J9015,"$11,986.73 "
alectinib 150 mg capsule,,$508.73 
alemtuzumab 12 mg/1.2 mL intravenous solution,J0202,"$63,048.62 "
alemtuzumab 30 mg/mL intravenous solution,J0202,$0.20 
alendronate 35 mg tablet,,$18.63 
alendronate 5 mg tablet,,$17.00 
alendronate 70 mg tablet,,$18.04 
alglucosidase alfa 50 mg intravenous solution,J0221,"$2,285.00 "
allopurinol 100 mg tablet,J3490,$16.94 
allopurinol 300 mg tablet,J3490,$28.72 
"alpha-1-proteinase inhibitor (human) 1,000 mg intr",J0256,$64.40 
ALPRAZolam 0.5 mg tablet,J3490,$22.16 
alprostadil 20 mcg intracavernosal kit,J0270,$550.98 
alprostadil 500 mcg/mL injection solution,J0270,$401.37 
alteplase 1 mg/mL (Pediatric) 2 mL infusion,J2997,"$24,263.99 "
alteplase 1 mg/ml intrathecal injection,J2997,$273.46 
alteplase 100 mg intravenous solution,J2997,"$28,617.17 "
alteplase 2 mg intra-catheter solution,J2997,$513.45 
alteplase 50 mg intravenous solution,J2997,"$14,316.59 "
aluminum hydroxide gel 320 mg/5 mL oral suspension,J3490,$8.80 
aluminum hydrox-magnesium carb 160 mg-105 mg chewa,,$1.12 
aluminum hydrox-magnesium carb 95 mg-358 mg/15 mL,J3490,$16.77 
aluminum-mag hydroxide-simethicone 400 mg-400 mg-4,J3490,$3.16 
alvimopan 12 mg capsule,J3490,$511.27 
amantadine HCl 100 mg capsule,J3490,$24.24 
amantadine HCl 50 mg/5 mL oral solution,J3490,$69.92 
ambrisentan 10 mg tablet,J3490,$501.40 
ambrisentan 5 mg tablet,J3490,$986.81 
amifostine crystalline 500 mg intravenous solution,J0207,"$3,009.37 "
"amikacin 1,000 mg/4 mL injection solution,amikacin",J0278,$59.88 
amikacin 500 mg/2 mL injection solution,J0278,$55.83 
aMILoride 5 mg tablet,J3490,$18.71 
amino acid 10 % intravenous solution,J3490,$131.75 
aminocaproic acid 250 mg/mL (25 %) oral solution,J3490,"$8,400.87 "
aminocaproic acid 250 mg/mL intravenous solution,J3490,$20.26 
aminocaproic acid 500 mg tablet,,$144.88 
aminophylline 500 mg/20 mL intravenous solution,J0280,$38.75 
aminophylline 500 mg/20 mL IV,J0280,$82.25 
amiodarone 200 mg tablet,J3490,$17.00 
amiodarone 50 mg/mL intravenous solution,J0282,$72.59 
amitriptyline 10 mg tablet,J3490,$16.43 
amitriptyline 100 mg tablet,,$16.34 
amitriptyline 25 mg tablet,J3490,$16.34 
amitriptyline 50 mg tablet,J3490,$16.34 
amLODIPine 10 mg tablet,J3490,$16.19 
amLODIPine 2.5 mg tablet,J3490,$16.62 
amLODIPine 5 mg tablet,J3490,$16.26 
ammonium lactate 12 % lotion,J3490,$45.38 
amobarbital 500 mg solution for injection,J0300,"$2,228.48 "
amoxicillin 250 mg capsule,J3490,$16.35 
amoxicillin 250 mg/5 mL oral suspension,J3490,$16.51 
amoxicillin 400 mg-potassium clavulanate 57 mg che,,$25.71 
amoxicillin 400 mg-potassium clavulanate 57 mg/5 m,J3490,$59.80 
amoxicillin 500 mg capsule,J3490,$16.28 
amoxicillin 500 mg-potassium clavulanate 125 mg ta,J3490,$44.94 
amoxicillin 875 mg-potassium clavulanate 125 mg ta,J3490,$21.06 
amphotericin B 50 mg solution for injection,J0285,$139.50 
amphotericin B liposome 50 mg intravenous suspensi,J0289,$742.64 
ampicillin 1 gram Solution for injection,J0290,$38.45 
"ampicillin 1 gram solution for injection,ampicilli",J0290,$38.45 
ampicillin 10 gram solution for injection,,$296.21 
ampicillin 2 gram Solution for Injection,J0290,$59.56 
"ampicillin 2 gram solution for injection,ampicilli",J0290,$59.56 
ampicillin 250 mg Solution for Injection,J0290,$23.31 
ampicillin 30 mg/mL injection,J0290,$255.50 
ampicillin 500 mg Solution for Injection,J0290,$27.45 
ampicillin-sulbactam 1.5 gram Solution for Injecti,J0295,$40.69 
ampicillin-sulbactam 1.5 gram solution for injecti,J0295,$40.69 
ampicillin-sulbactam 15 gram solution for injectio,J0295,$229.85 
ampicillin-sulbactam 3 gram intravenous solution,J0295,$62.62 
ampicillin-sulbactam 3 gram Solution for Injection,J0295,$62.62 
anagrelide 0.5 mg capsule,J3490,$18.50 
anastrozole 1 mg tablet,J8999,$26.01 
"antihemophilic factor 1,000 () unit intravenous po",J7190,$80.51 
"antihemophilic factor 1,501 unit-2,000 unit intrav",J7190,$81.49 
antihemophilic factor 220 unit-400 unit intravenou,J7190,$81.49 
"antihemophilic factor 801 unit-1,500 unit intraven",J7190,$81.49 
"antihemophilic factor VIII, full length 1,000 () u",J7192,$81.94 
"antihemophilic factor VIII, full length 250 () uni",J7192,$81.94 
"antihemophilic factor VIII, full length 500 () uni",J7192,$82.33 
"antihemophilic factor VIII,rec B-domain delet 1,00",J7185,$82.14 
"antihemophilic factor VIII,rec B-domain deleted 25",J7185,$82.14 
"antihemophilic factor VIII,rec B-domain deleted 50",J7185,$82.14 
"antihemophilic factor-vWF 1,000 (400 vWF) unit/10",J7186,$81.03 
"antihemophilic factor-vWF 1,000 unit-2,400 unit in",J7187,$81.26 
"antihemophilic factor-vWF 2,000 (800 vWF) unit/10",J7186,$81.03 
antihemophilic factor-vWF 250 unit-600 unit intrav,J7187,$81.26 
"antihemophilic factor-vWF 500 unit-1,200 unit intr",J7187,$81.26 
"antihemophilic FVIII,rec B-domain deleted 1,000 ()",J7185,$82.14 
"anti-inhibitor coagulant complex 651 unit-1,200 un",J7198,$84.31 
antithrombin III (human) 500 () unit intravenous s,J7197,$89.61 
anti-thymocyte globulin (rabbit) 25 mg intravenous,J7511,"$2,806.38 "
"antivenin Latrodectus mactans 6,000 unit solution",J3490,$106.06 
apixaban 2.5 mg tablet,J3490,$38.21 
apixaban 5 mg tablet,J3490,$27.10 
aprepitant 125 mg capsule,J8501,$344.16 
aprepitant 20 mg/mL oral suspension,J8501,$265.25 
aprepitant 40 mg capsule,J8501,$370.12 
aprepitant 7.2 mg/mL intravenous emulsion,J0185,$987.51 
aprepitant 80 mg capsule,J8501,$344.16 
arformoterol 15 mcg/2 mL solution for nebulization,J3490,$67.48 
argatroban 1 mg/mL in 0.9 % sodium chloride intrav,J0884,$599.25 
argatroban 100 mg/mL intravenous solution,J0883,"$1,465.50 "
argatroban 50 mg/50 mL (1 mg/mL) in sodium chlorid,J0883,$687.25 
arginine HCl (L-arginine) 10 % intravenous solutio,J3490,$204.73 
ARIPiprazole 10 mg tablet,J3490,$29.43 
ARIPiprazole 15 mg tablet,J3490,$19.79 
ARIPiprazole 2 mg tablet,J3490,$105.20 
ARIPiprazole 20 mg tablet,J3490,$28.61 
ARIPiprazole 30 mg tablet,,$37.02 
ARIPiprazole 5 mg tablet,J3490,$51.68 
arsenic trioxide 2 mg/mL intravenous solution,J9017,"$2,948.00 "
artificial tears (hypromellose) 0.3 % eye gel,J3490,$35.57 
ascorbic acid (vitamin C) 250 mg tablet,J3490,$1.02 
ascorbic acid (vitamin C) 500 mg tablet,J3490,$1.02 
ascorbic acid (vitamin C) 500 mg/5 mL oral syrup,J3490,$1.28 
asenapine 5 mg sublingual tablet,J3490,$46.02 
"asparaginase (Erwinia chrysanthemi) 10,000 unit so",J9019,"$12,015.32 "
"aspirin 25 mg-dipyridamole 200 mg capsule,ext.rele",,$44.19 
aspirin 300 mg rectal suppository,J3490,$2.75 
aspirin 325 mg tablet,J3490,$1.04 
"aspirin 325 mg tablet,delayed release",J3490,$1.07 
aspirin 600 mg rectal suppository,,$1.91 
aspirin 81 mg chewable tablet,J3490,$1.07 
atazanavir 150 mg capsule,,$64.78 
atazanavir 200 mg capsule,,$52.58 
atazanavir 300 mg capsule,J3490,$64.31 
atenolol 100 mg tablet,,$16.08 
atenolol 25 mg tablet,J3490,$16.26 
atenolol 50 mg tablet,J3490,$16.09 
"atezolizumab 1,200 mg/20 mL (60 mg/mL) intravenous",J9022,"$26,916.62 "
atomoxetine 10 mg capsule,,$55.54 
atomoxetine 18 mg capsule,,$37.97 
atomoxetine 25 mg capsule,J3490,$31.82 
atomoxetine 40 mg capsule,J3490,$26.74 
atomoxetine 60 mg capsule,,$44.64 
atorvastatin 10 mg tablet,J3490,$49.01 
atorvastatin 20 mg tablet,J3490,$39.55 
atorvastatin 40 mg tablet,J3490,$27.77 
atorvastatin 80 mg tablet,J3490,$16.25 
atovaquone 750 mg/5 mL oral suspension,J3490,"$4,533.73 "
atovaquone-proguanil 250 mg-100 mg tablet,J3490,$26.30 
atracurium 10 mg/mL intravenous solution,J3490,$68.00 
atropine 0.1 mg/mL injection (PEDIATRIC),J0461,$88.44 
atropine 0.1 mg/mL injection syringe,J0461,$46.06 
atropine 0.4 mg/mL injection solution,J0461,$130.08 
atropine 0.8 mg/2 mL (0.4 mg/mL) in 0.9 % sodium c,J0461,$73.86 
atropine 1 % eye drops,J3490,$361.62 
atropine 1 % eye ointment,J3490,$68.71 
avelumab 20 mg/mL intravenous solution,J9023,"$4,993.10 "
axicabtagene ciloleucel intravenous suspension,Q2041,"$429,225.00 "
axitinib 1 mg tablet,J8999,$695.33 
axitinib 5 mg tablet,J8999,$427.20 
azaCITIDine 100 mg solution for injection,J9025,"$2,030.72 "
azaTHIOprine 100 mg solution for injection,J7501,$828.50 
azaTHIOprine 50 mg tablet,J7500,$26.04 
azelastine 137 mcg (0.1 %) nasal spray aerosol,,$76.23 
azithromycin 200 mg/5 mL oral suspension,J3490,$94.50 
azithromycin 250 mg tablet,J3490,$118.98 
azithromycin 500 mg intravenous solution,J0456,$83.43 
azithromycin 500 mg tablet,J3490,$24.59 
azithromycin 600 mg tablet,,$21.76 
aztreonam 1 gram solution for injection,J3490,$123.09 
aztreonam 2 gram solution for injection,J3490,$233.59 
"bacitracin 50,000 unit intramuscular solution",J3490,$52.04 
bacitracin 500 unit/gram eye ointment,J3490,$313.09 
bacitracin 500 unit/gram topical packet,J3490,$16.40 
bacitracin zinc 500 unit/gram topical ointment,J3490,$23.27 
"bacitracin-polymyxin B 500 unit-10,000 unit/gram e",J3490,$81.53 
"bacitracin-polymyxin B 500 unit-10,000 unit/gram t",J3490,$14.48 
baclofen 10 mg tablet,J3490,$16.69 
"baclofen 10,000 mcg/20 mL (500 mcg/mL) intrathecal",J0475,$783.98 
"baclofen 10,000 mcg/20 mL (500 mcg/mL) intrathecal",J0475,$766.75 
"baclofen 40,000 mcg/20 mL (2,000 mcg/mL) intrathec",J0475,"$3,087.71 "
"baclofen 40,000 mcg/20 mL (2,000 mcg/mL) intrathec",J0475,"$3,319.89 "
baclofen 50 mcg/mL (1 mL) intrathecal syringe,J0476,$146.00 
balanced salt solution combination no.1 intraocula,J3490,"$1,387.50 "
balanced salt solution combination no.2 intraocula,J3490,$150.00 
baloxavir marboxil 20 mg tablet,J3490,$0.20 
basiliximab 20 mg intravenous solution,J0480,"$10,314.23 "
BCG live 50 mg intravesical suspension,J9031,$746.21 
B-complex with vitamin C tablet,J3490,$1.08 
beclomethasone diprop 40 mcg/actuation HFA breath,J3490,$556.10 
beclomethasone diprop 80 mcg/actuation HFA breath,J3490,$739.18 
belatacept 250 mg intravenous solution,J0485,"$2,665.11 "
belatacept 250 mg IV Solution,J0485,$0.20 
belimumab 120 mg intravenous solution,J0490,"$1,488.08 "
belimumab 400 mg intravenous solution,J0490,"$4,813.10 "
belinostat 500 mg intravenous solution,J9032,"$6,015.74 "
belladonna alkaloids-opium 16.2 mg-30 mg rectal su,J3490,$55.46 
belladonna alkaloids-opium 16.2 mg-60 mg rectal su,J3490,$42.34 
bendamustine 100 mg intravenous powder for solutio,J9033,"$9,190.40 "
bendamustine 180 mg/2 mL intravenous solution,J9033,"$13,020.74 "
bendamustine 25 mg/mL intravenous solution,J9034,"$7,696.40 "
bendamustine 45 mg/0.5 mL intravenous solution,J9033,"$3,461.45 "
benralizumab 30 mg/mL subcutaneous syringe,J0517,"$15,692.02 "
benzocaine 20 % mucosal gel,J3490,$32.34 
benzocaine 20 % mucosal spray,J3490,$101.79 
benzoyl peroxide 10 % topical gel,J3490,$6.74 
benzoyl peroxide 5 % topical gel,A9270,$6.42 
benztropine 0.5 mg tablet,J3490,$17.69 
benztropine 1 mg tablet,J3490,$16.63 
benztropine 2 mg tablet,,$16.50 
benzylpenicilloyl polylysine 0.25 mL intradermal i,J3490,$33.94 
betamethasone acetate and sodium phos 6 mg/mL susp,J0702,$176.68 
bethanechol chloride 10 mg tablet,,$17.02 
bethanechol chloride 25 mg tablet,,$16.55 
bevacizumab 25 mg/mL intravenous solution,J9035,$304.89 
bicalutamide 50 mg tablet,J8999,$28.00 
bisacodyl 10 mg rectal suppository,J3490,$1.20 
bisacodyl 10 mg/30 mL enema,J3490,$21.06 
"bisacodyl 5 mg tablet,delayed release",J3490,$1.07 
bismuth subsalicylate 262 mg chewable tablet,J3490,$1.10 
bismuth subsalicylate 262 mg/15 mL oral suspension,J3490,$1.72 
bivalirudin 250 mg intravenous solution,J0583,"$3,184.75 "
bleomycin 15 unit solution for injection,J9040,$424.13 
blinatumomab 35 mcg intravenous kit,J9039,"$11,730.95 "
blood sugar diagnostic strips,J3490,$20.36 
blood-glucose meter kit,,$38.50 
