NEWTON-WELLESLEY HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
99900297,HC ADMINISTRATIVE CLOSED ENCOUNTER,I.C.
99900293,HC SP PRIVATE ROOM DIFFERENTIAL,$250.00
99900287,HC LIDOCAINE SELF-PAY INFUSION,$395.00
99900286,HC PULSED RADIOFREQUENCY SELF-PAY ADD/BIL NERVE,$225.00
99900285,HC PULSED RADIOFREQUENCY SELF-PAY INITIAL NERVE,"$1,096.00"
99900247,HC SP PLATELET RICH PLASMA PRP,I.C.
99900008,HC NWH  SACRED HEART DRIVE SAFE EVALUATION,$252.00
99900003,HC LEFT WITHOUT BEING SEEN,I.C.
99000002,HC GUEST TRAY,$5.00
98301783,HCPR TENOTOMY SHOULDER MULTIPLE THRU SAME INCISION,"$3,116.00"
98301782,HCPR TENOTOMY SHOULDER AREA 1 TENDON,"$2,528.00"
98301781,HCPR FASCIECTOMY PLANTAR FASCIA PARTIAL SPX,"$1,459.00"
98301780,HCPR FASCIOTOMY FOOT&/TOE,"$1,201.00"
98301779,HCPR TENOTOMY PRQ ACHILLED TENDON SPX LOCAL ANES,$753.00
98301778,HCPR TENOTOMY ADDUCTOR HIP PERCUTANEOUS SPX,"$1,657.00"
98301777,HCPR TENOTOMY PRQ ADDUCTOR/HAMSTRING MULTIPLE TENDON,"$1,730.00"
98301776,HCPR TENOTOMY PRQ ADDUCTOR/HAMSTRING 1 TENDON SPX,"$1,438.00"
98301775,HCPR TENOTOMY ELBOW LATERAL/MEDIAL PERCUTANEOUS,"$1,726.00"
94000043,"HC LACTATION CLASSES, NON PHYSICIAN PROVIDER, PER SESSION",$224.00
94000031,HC OUTPATIENT CARDIAC REHAB W/CONT ECG MONITORING,$469.00
94000028,HC GROUP MNT 2 OR MORE 30 MINS,$51.00
94000027,HC MNT SUBS TX FOR CHANGE DX,$77.00
94000026,HC DIAB MANAGE TRN IND/GROUP,$61.00
94000025,HC DIAB MANAGE TRN  PER INDIV,$114.00
94000021,HC EDUCATION&TRAINING SELF-MGMT NONPHYS 1 PT,$112.00
94000020,HC MEDICAL NUTRITION THERAPY GRP2/ INDIV EA 30 MI,$70.00
94000019,HC MEDICAL NUTRITION RE-ASSMT&IVNTJ INDIV EA 15 M,$143.00
94000018,HC MEDICAL NUTRITION ASSMT&IVNTJ INDIV EACH 15 MI,$143.00
94000017,HC PULMONARY REHAB W EXER,$262.00
94000012,HC ACUP 1/> NDLS W/ELEC STIMJ EA 15 MIN W/RE-INSJ,$108.00
94000011,HC ACUPUNCTURE 1/> NDLS W/ELEC STIMJ 1ST 15 MIN,$128.00
94000010,HC ACUPUNCTURE 1/> NDLS W/O ELEC STIMJ EA 15 MIN,$99.00
94000009,HC ACUPUNCTURE 1/> NDLES W/O ELEC STIMJ INIT 15 MI,$119.00
94000007,HC IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST,$304.00
94000005,HC REFILLING & MAINTENANCE PORTABLE PUMP,"$1,487.00"
94000003,HC CHEMOTX ADMN IA NFS >8 HR PRTBLE IMPLTBL PMP,"$2,101.00"
92000131,HC VESSEL MAPPING HEMODIALYSIS ACCESS,"$1,344.00"
92000126,HC IONM 1 ON 1 IN OR W/ATTENDANCE EACH 15 MINUTES,$143.00
92000122,HC MOTOR &/SENS 13/> NRV CNDJ PRECONF ELTRODE LIMB,"$1,398.00"
92000121,HC MOTOR &/SENS 11-12 NRV CNDJ PRECONF ELTRODE LIMB,"$1,211.00"
92000120,HC MOTOR &/SENS 9-10 NRV CNDJ PRECONF ELTRODE LIMB,"$1,034.00"
92000119,HC MOTOR &/SENS 7-8 NRV CNDJ PRECONF ELTRODE LIMB,$857.00
92000118,HC MOTOR &/SENS 5-6 NRV CNDJ PRECONF ELTRODE LIMB,$653.00
92000117,HC MOTOR &/SENS 3-4 NRV CNDJ PRECONF ELTRODE LIMB,$653.00
92000116,HC MOTOR &/SENS 1-2 NRV CNDJ PRECONF ELTRODE LIMB,$440.00
92000106,HC PROF SVCS ALLG IMMNTX X W/PRV ALLGIC XTRCS NJXS,$104.00
92000105,HC PROF SVCS ALLG IMMNTX X W/PRV ALLGIC XTRCS 1 NJX,$88.00
92000103,HC INHLJ BRNCL CHALLENGE TSTG W/HISTAM/METHACHOL,$735.00
92000093,HC OBTAINING SCREEN PAP SMEAR,$150.00
92000092,HC SCREEN PAP BY TECH W MD SUPV,$132.00
92000089,HC SCR C/V CYTOTHINLAYERRESCR,$262.00
92000084,HC SCREEN CERV/VAG THIN LAYER,$197.00
92000080,HC SHORT-LATENCY SOMATOSENS EP STD UPR & LOW LIMB,"$1,427.00"
92000079,HC NEUROMUSCULAR JUNCT TSTG EA NRV ANY 1 METH,$277.00
92000078,HC ORBICULARIS OCULI REFLX ELECTRODIAGNOSTIC TEST,$303.00
92000077,HC VISUAL EP TSTG CNS CHECKERBOARD/FLASH,$554.00
92000073,HC SHORT-LATENCY SOMATOSENS EP STD LWR LIMBS,$647.00
92000072,HC SHORT-LATENCY SOMATOSENS EP STD UPR LIMBS,$662.00
92000067,HC NEEDLE EMG NONEXTREMTY MSCLES W/NERVE CONDUCTION,$364.00
92000066,HC NEEDLE EMG EA EXTREMTY W/PARASPINL AREA COMPLETE,$408.00
92000065,HC NEEDLE EMG EA EXTREMITY W/PARASPINL AREA LIMITED,$267.00
92000064,HC ISCHEMIC LIMB XERS TST SPEC ACQUISJ METAB,$457.00
92000063,HC NEEDLE EMG GUID W/CHEMODENERVATION,$322.00
92000062,HC ELECTRICAL STIMULATION GUID W/CHEMODENERVATION,$254.00
92000061,HC NEEDLE EMG W/1 FIBER ELECTRODE QUAN MEAS JITTER,$757.00
92000060,HC NEEDLE EMG LMTD STD MUSC 1 XTR/NON-LIMB UNI/BI,$248.00
92000059,HC NEEDLE EMG THRC PARASPI MUSC EXCLUDING T1/T12,$250.00
92000058,HC NEEDLE ELECTROMYOGRAPHY CRANIAL NRV MUSCLE BI,$466.00
92000057,HC NEEDLE ELECTROMYOGRAPHY CRANIAL NRV MUSCLE UNI,$386.00
92000054,HC NDL EMG 4 XTR W/WO RELATED PARASPINAL AREAS,$730.00
92000053,HC NDL EMG 3 XTR W/WO RELATED PARASPINAL AREAS,$661.00
92000052,HC NDL EMG 2 XTR W/WO RELATED PARASPINAL AREAS,$562.00
92000051,HC NDL EMG 1 XTR W/WO RELATED PARASPINAL AREAS,$374.00
92000045,HC DUP-SCAN AORTA IVC ILIAC VASCL/BPGS UNI/LMTD,"$1,247.00"
92000044,HC DUP-SCAN AORTA IVC ILIAC VASCL/BPGS COMPLETE,"$1,744.00"
92000043,HC DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN LMT,"$1,446.00"
92000042,HC DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN COM,"$2,628.00"
