NEWTON-WELLESLEY HOSPITAL DRG CHARGES,,
Charges Effective:,Oct-2018,
Charges below reflect Medicare DRG median charges from 10/1/17 - 9/30/18,,
DRG Code,Description,Median Charge
MS003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$379,051 "
MS004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$254,492 "
MS028,SPINAL PROCEDURES W MCC,"$129,709 "
MS036,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,"$47,771 "
MS037,EXTRACRANIAL PROCEDURES W MCC,"$73,742 "
MS038,EXTRACRANIAL PROCEDURES W CC,"$45,439 "
MS039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"$44,459 "
MS040,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"$66,000 "
MS041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"$46,226 "
MS042,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"$51,829 "
MS052,SPINAL DISORDERS & INJURIES W CC/MCC,"$29,347 "
MS054,NERVOUS SYSTEM NEOPLASMS W MCC,"$26,459 "
MS055,NERVOUS SYSTEM NEOPLASMS W/O MCC,"$20,511 "
MS056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$25,600 "
MS057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$18,582 "
MS058,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,"$21,968 "
MS059,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"$36,808 "
MS060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$22,938 "
MS061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$69,287 "
MS062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","$58,138 "
MS063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","$61,810 "
MS064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$31,804 "
MS065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$29,472 "
MS066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$23,803 "
MS068,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$36,790 "
MS069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$25,057 "
MS070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$11,845 "
MS071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$19,522 "
MS072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$24,987 "
MS074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$21,572 "
MS075,VIRAL MENINGITIS W CC/MCC,"$22,214 "
MS078,HYPERTENSIVE ENCEPHALOPATHY W CC,"$17,419 "
MS079,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,"$24,900 "
MS082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","$17,315 "
MS083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$13,904 "
MS085,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$22,384 "
MS086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","$25,161 "
MS087,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","$18,456 "
MS089,CONCUSSION W CC,"$18,172 "
MS091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$24,069 "
MS092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$22,522 "
MS093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$22,231 "
MS094,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,"$121,734 "
