CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
1,MED. VAGINAL SPECULUM IND WRAP,$4.69 
2,MONSOF 4-0 18 BLACK SUTURE,$5.76 
3,TOURNIQUET 18IN. 60-7555-02 RED,$144.29 
4,SCREW #207.648,$884.25 
5,SUTURE SURGIDAC #170043,$239.19 
6,LEGGING X-LARG-2/PK--4352YNJP2461,$11.16 
7,QUATTRO MEDIUM FULL FACE MASK,$162.75 
8,OBSERVATION PER HOUR,$139.36 
9,MISC ITEM FOR OBS DIRECT ADMIT,$422.78 
10,HYDROCODONE/HOMATROPINE LIQ 5/1.5MG/5ML,$7.40 
11,POWERGLIDE MIDLINE 18GA 10CM,$369.00 
12,POWERGLIDE MIDLINE 20 GA 10CC,$369.00 
13,PROBE COVERS W/GEL,$22.50 
14,ACCUCATH 18G/2.25IN,$608.40 
15,POWERGLIDE PRO 18G/10CM,$432.00 
16,FLUSH PORT A CATH,$235.66 
17,CODE BLUE,"$1,448.28 "
18,CONCURRENT INFUSION,$117.59 
19,IV SEQUENTIAL INF NON CHEMO,$193.00 
20,IV INFUSION THER UP TO 1 HR,$702.66 
21,IV INFUSION THER ADD HR,$193.00 
22,CHEST TUBE INSERTION,"$1,174.30 "
23,IV INJECT PUSH THERAPY INITIAL,$193.00 
24,IV INJECT < 16MIN OR SUBSEQ PUSH,$193.00 
25,IV INJECT OF SAME DRUG REPEAT 30 MIN,$200.00 
26,IV HYDRATION INITIAL HOUR,$403.29 
27,IV HYDRATION ADDL HOUR,$137.66 
28,IM/SQ INJECTION,$214.42 
29,PROCEDURE MINOR,$257.76 
30,I & D PROCEDURE,$454.61 
31,DRESSING 3M PICC/CVD SECUREMENT DEVICE,$53.16 
32,CODE BLUE,"$1,448.28 "
33,THORACENTESIS PROC,"$1,797.62 "
34,IV INFUSION THER UP TO 1 HR,$702.66 
35,IV INFUSION THER ADD HR,$193.00 
36,CHEST TUBE INSERTION,"$1,797.62 "
37,CENTRAL LINE PLACEMENT,"$1,986.25 "
38,BEDSIDE DEBRIDEMENT (20CM OR LESS),$608.25 
39,CHEMO INFUSION THER ADD HR,$235.48 
40,IV INJECT PUSH THERAPY INITIAL,$193.00 
41,IV INJECT < 16 MIN OR SUBSEQ PUSH,$193.00 
42,IV INJECT OF SAME DRUG REPEAT 30 MIN,$200.00 
43,IV HYDRATION INITIAL HOUR,$403.29 
44,IV HYDRATION ADDL HOUR,$137.66 
45,IV SEQUENTIAL INF NON CHEMO,$193.00 
46,CONCURRENT INFUSION,$117.59 
47,IM/SQ INJECTION,$214.42 
48,CANNULA INNER 6.0 XLT DISPOSABLE,$19.17 
49,EAKIN WOUND POUCH 11.4 X 5.1,$62.87 
50,POUCH EAKIN FISTULA WOUND 6.9x4.3,$38.70 
51,CODE BLUE,"$1,448.28 "
52,CONCURRENT INFUSION,$117.59 
53,IV SEQUENTIAL INF NON CHEMO,$193.00 
