Standard Charge Description,Charge Description Master,Charge as of 1.1.19
ACUTE HEPATITIS PANEL,41303252,273.05
ADH (ANTIDIURETIC HORMONE) LEVEL,41303258,83.20
ADRENOCORTICOTROPIC HORMONE (ACTH) LEVEL,41302650,99.13
ALBUMIN (PROTEIN) LEVEL,41302020,121.65
ALCOHOLS LEVELS,41302030,190.85
ALDOLASE (ENZYME) LEVEL,41302655,46.15
ALDOSTERONE HORMONE LEVEL,41302660,78.98
ALPHA-1-ANTITRYPSIN (PROTEIN) BLOOD TEST,41302520,55.15
ALPHA-1-ANTITRYPSIN (PROTEIN) BLOOD TEST,41302522,55.15
"ALPHA-FETOPROTEIN (AFP) LEVEL, SERUM",41303331,38.03
AMIKACIN (ANTIBIOTIC) LEVEL,41302025,149.85
AMINO ACID ANALYSIS,41303291,61.00
"AMINO ACID LEVEL, MULTIPLE AMINO ACIDS",41302667,312.00
AMMONIA LEVEL,41302045,136.60
AMYLASE (ENZYME) LEVEL,41302060,146.35
ANALGESICS LEVELS,41302010,208.50
ANALYSIS FOR ANTIBODY (IGM) TO CYTOMEGALOVIRUS (CMV),41306458,63.70
ANALYSIS FOR ANTIBODY (IGM) TO TOXOPLASMA (PARASITE),41306457,46.61
ANALYSIS FOR ANTIBODY (IGM) TO WEST NILE VIRUS,41306313,70.20
ANALYSIS FOR ANTIBODY BACTERIA,41306534,17.71
ANALYSIS FOR ANTIBODY BORDETELLA (RESPIRATORY BACTERIA),41306530,30.06
ANALYSIS FOR ANTIBODY BORRELIA BURGDORFERI (LYME DISEASE BACTERIA),41306431,52.65
ANALYSIS FOR ANTIBODY TO ASPERGILLUS (FUNGUS),41306403,41.60
ANALYSIS FOR ANTIBODY TO BARTONELLA (BACTERIA),41306479,38.48
ANALYSIS FOR ANTIBODY TO BLASTOMYCES (FUNGUS),41306624,41.02
ANALYSIS FOR ANTIBODY TO BRUCELLA (BACTERIA),41306681,91.00
ANALYSIS FOR ANTIBODY TO COCCIDIOIDES (BACTERIA),41306625,36.40
ANALYSIS FOR ANTIBODY TO COXIELLA BURNETII (Q FEVER BACTERIA),41306621,29.66
ANALYSIS FOR ANTIBODY TO CYTOMEGALOVIRUS (CMV),41306484,37.05
ANALYSIS FOR ANTIBODY TO DIPHTHERIA (BACTERIA),41306222,36.40
ANALYSIS FOR ANTIBODY TO EHRLICHIA (BACTERIA TRANSMITTED BY TICKS),41306649,192.97
ANALYSIS FOR ANTIBODY TO ENTEROVIRUS (GASTROINTESTINAL VIRUS),41306285,82.16
ANALYSIS FOR ANTIBODY TO EPSTEIN-BARR VIRUS (MONONUCLEOSIS VIRUS),41306577,22.52
ANALYSIS FOR ANTIBODY TO EPSTEIN-BARR VIRUS (MONONUCLEOSIS VIRUS),41306472,22.52
ANALYSIS FOR ANTIBODY TO EPSTEIN-BARR VIRUS (MONONUCLEOSIS VIRUS),41306473,22.56
ANALYSIS FOR ANTIBODY TO HELICOBACTER PYLORI (GASTROINTESTINAL BACTERIA),41306410,166.05
"ANALYSIS FOR ANTIBODY TO HERPES SIMPLEX VIRUS, TYPE 1",41306462,18.36
"ANALYSIS FOR ANTIBODY TO HERPES SIMPLEX VIRUS, TYPE 2",41306489,18.36
ANALYSIS FOR ANTIBODY TO HISTOPLASMA (FUNGUS),41306495,62.85
ANALYSIS FOR ANTIBODY TO HIV -1 VIRUS,41306601,58.35
ANALYSIS FOR ANTIBODY TO INFLUENZA VIRUS,41306711,28.08
ANALYSIS FOR ANTIBODY TO LEGIONELLA (WATERBORNE BACTERIA),41306427,45.50
ANALYSIS FOR ANTIBODY TO MUMPS VIRUS,41306508,183.00
ANALYSIS FOR ANTIBODY TO MYCOPLASMA (BACTERIA),41306511,68.25
ANALYSIS FOR ANTIBODY TO PARVOVIRUS,41306512,232.20
ANALYSIS FOR ANTIBODY TO RICKETTSIA (BACTERIA),41306308,50.70
ANALYSIS FOR ANTIBODY TO ROTAVIRUS (INTESTINAL VIRUS),41306254,208.35
ANALYSIS FOR ANTIBODY TO RUBELLA (GERMAN MEASLES VIRUS),41306444,106.05
ANALYSIS FOR ANTIBODY TO RUBEOLA (MEASLES VIRUS),41306443,56.20
ANALYSIS FOR ANTIBODY TO TETANUS BACTERIA (CLOSTRIDIUM TETANUS),41306220,50.80
ANALYSIS FOR ANTIBODY TO TOXOPLASMA (PARASITE),41306514,39.00
ANALYSIS FOR ANTIBODY TO VARICELLA-ZOSTER VIRUS (CHICKEN POX),41306461,66.40
ANALYSIS FOR ANTIBODY TO WEST NILE VIRUS,41306314,63.02
"ANALYSIS FOR ANTIBODY, TREPONEMA PALLIDUM",41306258,41.10
ANALYSIS OF GENETIC MATERIAL,41301991,281.00
ANALYSIS OF SUBSTANCE USING IMMUNOASSAY TECHNIQUE,41306332,311.35
ANALYSIS TEST FOR HEPATITIS C VIRUS,41306414,583.38
ANALYSIS TEST FOR HIV-1 VIRUS,41303360,"1,430.00"
ANALYSIS USING CHEMILUMINESCENT TECHNIQUE (LIGHT AND CHEMICAL )REACTION,41302053,98.84
ANGIOTENSIN L - CONVERTING ENZYME (ACE) LEVEL,41302685,56.16
ANTIBODY EVALUATION,41302054,180.00
ANTIBODY EVALUATION,41302068,98.84
ANTIBODY IDENTIFICATION TEST FOR PLATELET ANTIBODIES,41304815,539.20
ANTIEPILEPTICS LEVELS,41302034,260.00
ANTITHROMBIN III ANTIGEN (CLOTTING INHIBITOR) ACTIVITY,41304785,28.60
ANTITHROMBIN III ANTIGEN (CLOTTING INHIBITOR) LEVEL,41303261,26.98
APOLIPOPROTEIN LEVEL,41303991,138.10
ARSENIC LEVEL,41302705,52.20
ARTERIAL PUNCTURE WITHDRAWAL OF BLOOD FOR DIAGNOSIS,41330133,113.00
"ASCORBIC ACID (VITAMIN C) LEVEL, BLOOD",41303329,478.55
AUTOMATED URINALYSIS TEST,41304410,46.00
AUTOMATED WHITE BLOOD CELL COUNT,41304125,47.00
BACTERIAL BLOOD CULTURE,41306009,172.35
"BACTERIAL COLONY COUNT, URINE",41306090,158.05
"BACTERIAL CULTURE, SKIN",41306072,137.05
"BACTERIAL CULTURE, BONE MARROW",41306105,"1,104.55"
"BACTERIAL CULTURE, ANAEROBIC",41306006,183.75
BACTERIAL CULTURE FOR AEROBIC ISOLATES,41306122,58.40
BACTERIAL CULTURE FOR ANAEROBIC ISOLATES,41306123,91.45
BARBITURATES LEVELS,41302335,117.55
BETA 2 GLYCOPROTEIN 1 ANTIBODY (AUTOANTIBODY) MEASUREMENT,41302702,34.97
BETA-2 MICROGLOBULIN (PROTEIN) LEVEL,41303264,46.15
BILE ACIDS LEVEL,41302108,30.23
BILIRUBIN LEVEL,41302070,106.10
BILIRUBIN LEVEL,41302066,77.10
BLOOD CHLORIDE LEVEL,41303269,43.00
BLOOD CREATININE LEVEL,41302185,69.40
"BLOOD GAS, OXYGEN SATURATION MEASUREMENT",41330121,42.05
BLOOD GASES MEASUREMENT,41330101,167.35
BLOOD GASES MEASUREMENT,41330109,223.70
BLOOD GLUCOSE (SUGAR) LEVEL,41302225,66.35
BLOOD GLUCOSE (SUGAR) LEVEL AFTER RECEIVING DOSE OF GLUCOSE,41302235,99.10
BLOOD GLUCOSE (SUGAR) TEST PERFORMED BY HAND-HELD INSTRUMENT,41302281,50.85
BLOOD GLUCOSE (SUGAR) TOLERANCE TEST,41302241,233.65
BLOOD GROUP TYPING (ABO),41301506,88.00
BLOOD OSMOLALITY (CONCENTRATION) MEASUREMENT,41302325,108.75
BLOOD POTASSIUM LEVEL,41302360,62.90
BLOOD SODIUM LEVEL,41302420,115.45
"BLOOD TEST PANEL FOR ELECTROLYTES (SODIUM POTASSIUM, CHLORIDE, CARBON DIOXIDE)",41302200,167.95
"BLOOD TEST, BASIC GROUP OF BLOOD CHEMICALS",41302098,477.95
"BLOOD TEST, BASIC GROUP OF BLOOD CHEMICALS",41302081,201.90
"BLOOD TEST, CLOTTING TIME",41304760,74.90
"BLOOD TEST, COMPREHENSIVE GROUP OF BLOOD CHEMICALS",41302168,250.15
"BLOOD TEST, LIPIDS (CHOLESTEROL AND TRIGLYCERIDES)",41302275,214.45
"BLOOD TEST, THYROID STIMULATING HORMONE (TSH)",41302435,140.10
BLOOD TYPING FOR RED BLOOD CELL ANTIGENS,41301999,180.00
BLOOD TYPING FOR RH (D) ANTIGEN,41301507,66.00
BLOOD UNIT COMPATIBILITY TEST,41301522,151.75
BLOOD VISCOSITY MEASUREMENT,41303205,89.70
BODY FLUID CELL COUNT WITH CELL IDENTIFICATION,41304010,139.35
BODY FLUID PH LEVEL,41304440,55.00
BREATH TEST ANALYSIS FOR HELICOBACTER PYLORI,41303358,122.30
CALCITONIN (HORMONE) LEVEL,41303267,47.78
CALCIUM LEVEL,41302875,98.05
CARBAMAZEPINE LEVEL,41302115,144.85
CARBOXYHEMOGLOBIN (PROTEIN) LEVEL,41302743,58.40
CARCINOEMBRYONIC ANTIGEN (CEA) PROTEIN LEVEL,41302208,194.80
CARDIOLIPIN ANTIBODY (TISSUE ANTIBODY) MEASUREMENT,41302756,35.32
CARNITINE LEVEL,41302861,83.20
CELL EXAMINATION OF BODY FLUID,41305526,37.55
CELL EXAMINATION OF SPECIMEN,41305227,84.00
"CEREBROSPINAL FLUID, OR AMNIOTIC FLUID ALBUMIN (PROTEIN) LEVEL",41302947,107.40
CERULOPLASMIN (PROTEIN) LEVEL,41302825,27.95
CHEMICAL ANALYSIS USING CHROMATOGRAPHY TECHNIQUE,41303810,329.06
CHEMICAL ANALYSIS USING SPECTROPHOTOMETRY (LIGHT),41302478,34.74
CHEMICAL TEST FOR GENETIC DISORDER,41302918,662.68
CHEMISTRY PROCEDURES,41302582,28.34
CHLORIDE LEVEL,41302145,77.80
CHOLESTEROL LEVEL,41302160,66.40
CHOLINESTERASE (ENZYME) LEVEL,41302766,73.75
CHROMOSOME ANALYSIS FOR GENETIC DEFECTS,41301539,760.20
CLOTTING FACTOR INHIBITOR TEST,41304832,135.60
CLOTTING FACTOR IX (PTC OR CHRISTMAS) MEASUREMENT,41304730,290.45
CLOTTING FACTOR V (ACG OR PROACCELERIN) MEASUREMENT,41304715,304.15
CLOTTING FACTOR VIII (AHG) MEASUREMENT,41304725,153.56
CLOTTING FACTOR VIII (VW FACTOR) ANTIGEN,41304795,81.90
CLOTTING FACTOR VIII (VW FACTOR) MEASUREMENT,41304701,107.25
CLOTTING FACTOR X ASSESSMENT TEST,41304146,31.85
COAGULATION ASSESSMENT BLOOD TEST,41304770,97.75
COAGULATION FUNCTION MEASUREMENT,41304721,131.45
COAGULATION TIME MEASUREMENT,41302093,16.15
"COLLAGEN CROSS LINKS TEST, (URINE TEST TO EVALUATE BONE HEALTH)",41306330,260.00
"COMPLETE BLOOD CELL COUNT (RED CELLS, WHITE BLOOD CELL, PLATELETS), AUTOMATED TEST",41304002,112.10
"COMPLETE BLOOD CELL COUNT (RED CELLS, WHITE BLOOD CELL, PLATELETS), AUTOMATED TEST",41304842,66.70
CONCENTRATION OF SPECIMEN FOR INFECTIOUS AGENTS,41306080,11.08
CONFIRMATION TEST FOR ANTIBODY TO BORRELIA BURGDORFERI (LYME DISEASE BACTERIA),41306290,97.60
COPPER LEVEL,41302860,18.69
CORTISOL (HORMONE) MEASUREMENT,41303276,43.88
CORTISOL (HORMONE) MEASUREMENT,41302165,157.25
C-PEPTIDE (PROTEIN) LEVEL,41302835,146.60
CREATINE KINASE (CARDIAC ENZYME) LEVEL,41302171,141.85
CREATININE CLEARANCE MEASUREMENT TO TEST FOR KIDNEY FUNCTION,41302191,215.60
CREATININE LEVEL TO TEST FOR KIDNEY FUNCTION OR MUSCLE INJURY,41302245,118.20
CRYOGLOBULIN (PROTEIN) MEASUREMENT,41302535,40.30
"CRYOPRECIPITATE, EACH UNIT",41301734,845.00
CRYSTAL IDENTIFICATION FROM TISSUE OR BODY FLUID,41304020,91.80
CULTURE FOR ACID-FAST BACILLI,41306205,152.07
CULTURE FOR CHLAMYDIA,41306406,50.38
CYANOCOBALAMIN (VITAMIN B-12) LEVEL,41302715,68.00
CYCLOSPORINE LEVEL,41303243,160.60
DEHYDROEPIANDROSTERONE (DHEA) HORMONE LEVEL,41303278,376.85
DEHYDROEPIANDROSTERONE (DHEA-S) HORMONE LEVEL,41303035,247.80
DETECTION OF INFECTIOUS AGENT ANTIBODY,41306228,20.61
DETECTION TEST FOR ASPERGILLUS (FUNGUS),41306282,157.24
DETECTION TEST FOR BACTERIA TOXIN (SHIGA-LIKE TOXIN),41306082,37.37
DETECTION TEST FOR BORRELIA BURGDORFERI (BACTERIA),41306543,973.50
DETECTION TEST FOR CHLAMYDIA,41306680,114.65
DETECTION TEST FOR CHLAMYDIA PNEUMONIAE,41306593,43.10
