Hospital Name:  San Joaquin Community Hospital,,,,,
OSHPD Facility No: 106150788  Tax ID: 95-2294234,,,,,
Effective Date of Charges: June 2018,,,,,
,,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,,
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$555.32,,,
"Emergency Room Visit, Level 3 (moderate severity)",99283,$886.91,,,
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$1,162.28",,,
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$2,110.01",,,
"Outpatient Visit, established patient, 15 minutes",99213,,,,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,,,
Basic Metabolic Panel,80048,,,,
"Blood Gas Analysis, including 02 saturation",82805,,,,
"Complete Blood Count, automated",85027,,,,
"Complete Blood Count, with differential WBC, automated",85025,,,,
Comprehensive Metabolic Panel,80053,,,,
"Creatine Kinase (CK), (CPK), Total",82550,,,,
Lipid Panel,80061,,,,
Partial Thromboplastin Time,85730,,,,
Prothrombin Time,85610,,,,
Thyroid Stimulating Hormone,84443,,,,
"Troponin, Quantitative",84484,,,,
"Urinalysis, without microscopy",81002 or 81003,,,,
"Urinalysis, with microscopy",81000 or 81001,,,,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,,,
"CT Scan, Abdomen, with contrast",74160,,,,
"CT Scan, Head or Brain, without contrast",70450,,,,
"CT Scan, Pelvis, with contrast",72193,,,,
"Mammography, Screening, Bilateral",77067,$359.05,,,
"MRI, Brain, without contrast, followed by contrast",70553,,,,
"Ultrasound, Abdomen, Complete",76700,,,,
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$2,181.07",,,
"X-Ray, Lower Back, minimum four views",72110,,,,
"X-Ray, Chest, two views",71046,,,,
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,,,
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,,,
"Echocardiography, Transthoracic, complete",93307,,,,
"Electrocardiogram, routine, with interpretation and report",93000,,,,
"Inhalation Treatment, pressurized or nonpressurized",94640,,,,
"Physical Therapy, Evaluation",97161-97163,,,,
"Physical Therapy, Gait Training",97116,,,,
"Physical Therapy, Therapeutic Exercise",97110,,,,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,,,
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"$20,117.05",,,
"Arthroscopy, Shoulder, with partial acromioplasty",29826,"$41,206.91",,,
Carpal Tunnel Surgery,64721,"$11,751.18",,,
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"$19,536.02",,,
"Colonoscopy, diagnostic",45378,"$3,234.29",,,
"Colonoscopy, with biopsy",45380,"$3,565.26",,,
"Colonoscopy, with lesion removal, by snare technique",45385,"$3,604.01",,,
"Discission, secondary membranous cataract, laser surgery",66821,,,,
"Endoscopy, Upper GI, with biopsy",43239,"$3,298.56",,,
"Endoscopy, Upper GI, diagnostic",43235,"$2,997.29",,,
"Excision, Breast Lesion, without preoperative radiological marker",19120,"$17,121.78",,,
"Hernia Repair, Inguinal, 5 years and older",49505,"$23,376.86",,,
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,"$6,887.89",,,
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,"$7,302.00",,,
Laparoscopic Cholecystectomy,47562,"$22,867.80",,,
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,,,
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,"$11,827.10",,,
Other Common Outpatient Procedures (list as needed),2018 CPT Code,Average Charge,,,
Repair of Hammertoe,28285,"$29,936.96",,,
Cystoscopy,52000,"$12,777.91",,,
Remove int/ext hem 1 group ,46255,"$11,007.29",,,
Laparoscopy Tubal Cautery,58670,"$22,746.37",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Count of Reported Procedures (minimum 25 required),,25,,,
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,,,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,,,,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,,,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,,,,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,,,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,,,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,,,,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,,,,
    (rows 62-71) if you are unable to select procedures from list.,,,,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,,,,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
