Hospital Name: Earl & Lorraine Miller Children's Hospital,,
OSHPD Facility ID#: 106196168,,
,,
OSHPD Year: 06/01/17- 05/31/18,,
,,
Charge Code,Description,Price
HC11200000,OBSERVATION PER HOUR,$145.00
HC11200004,OBSERVATION PER HOUR - ICU,$352.00
HC11200011,ASSESS-DIRECT OBSERV ADMIT,$316.00
HC11200023,OBSERVATION PER HOUR - ONCOLOGY,$158.00
HC11200029,INFANT TRANSPORT,"$1,452.00"
HC11200031,OBSERVATION PER HOUR - MED/SURG,$140.00
HC11200037,OBSERVATION PER HOUR - NICU,$341.00
HC11200041,OBSERVATION PER HOUR - OB,$224.00
HC11200043,OBSERVATION PER HOUR - TELEMETRY,$251.00
HC11200094,OBSERVATION PER HOUR - PEDS ACUTE,$233.00
HC11200095,OBSERVATION PER HOUR - PEDS DOU,$324.00
HC11200096,OBSERVATION PER HOUR - PEDS ICU,$415.00
HC11200102,PEDS ICU TRANSPORT,"$1,425.00"
HC11200131,OBSERVATION PER HOUR -PACU,$197.00
HC11200143,OBSERVATION PER HOUR - ED,$220.00
HC11500006,EST PT LVL1-BRIEF,$114.00
HC11500014,EST PT LVL2-PROB FOCUS,$139.00
HC11500022,EST PT LVL3-EXPANDED,$158.00
HC11500030,EST PT LVL4-DETAILED,$189.00
HC11500048,EST PT LVL5-COMPREHENSIVE,$232.00
HC11500055,NEW PT LVL1-BRIEF,$122.00
HC11500063,NEW PT LVL2-PROB FOCUS,$145.00
HC11500071,NEW PT LVL3-EXPANDED,$257.00
HC11500089,NEW PT LVL4-DETAILED,$307.00
HC11500097,NEW PT LVL5-COMPREHENSIVE,$376.00
HC11500469,LACTATION E&M BRIEF NEW L:I,$124.00
HC11500477,LACTATION E&M LIMITD NEW L:II,$145.00
HC11500485,LACTATION E&M INTRMD NEW L:III,$172.00
HC11500493,LACTATION E&M EXT'D NEW L:IV,$214.00
HC11500501,LACTATION E&M COMPRHNS NEW L:V,$252.00
HC11500519,LACTATION E&M BRIEF EST'D L:I,$114.00
HC11500527,LACTATION E&M LIMITD EST' L:II,$137.00
HC11500535,LACTATION E&M INTRMD EST'L:III,$150.00
HC11500543,LACTATION E&M EXT'D EST'B L:IV,$206.00
HC11500550,LACTATION E&M COMPRHNS EST'L:V,$234.00
HC11500576,AM/PACU EVAL LO/MOD-III,$331.00
HC11500642,WC NEW E&M ASSESS BRIEF LVL 1,$152.00
HC11500659,WC NEW E&M ASSESS MINOR LVL 2,$182.00
HC11500667,WC NEW E&M ASSESS INTRMED LVL3,$294.00
HC11500675,WC NEW E&M ASSESS EXTENDED L:4,$358.00
HC11500683,WC NEW E&M ASSESS COMPREHN L:5,$412.00
HC11500691,WC ESTB E&M  BRIEF LVL1,$133.00
HC11500709,WC ESTB E&M  MINOR LVL 2,$182.00
HC11500717,WC ESTB E&M  INTERMEDIATE LVL3,$291.00
HC11500725,WC ESTB E&M  EXTENDED LVL 4,$320.00
HC11500733,WC ESTB E&M  COMPREHENSIVE L:5,$358.00
HC11500766,AM/PACU EVAL BRIEF-I,$145.00
HC11500774,AM/PACU EVAL MINOR-II,$240.00
HC11500782,AM/PACU EVAL MOD/HI-IV,$417.00
HC11500790,AM/PACU EVAL COMPLX-V,$556.00
HC11500816,PEDS ESTAB PT ASSES BRIEF(5'),$121.00
HC11500824,PEDS ESTAB PT ASSESS LTD(10'),$182.00
HC11500832,PEDS ESTAB PT ASSESS MOD(15'),$248.00
HC11500840,PEDS ESTAB PT ASSESS EXT(25'),$272.00
HC11500857,PEDS ESTAB PT ASSESS COMP(40'),$428.00
HC11500865,WM EXAM EST' PT EVAL LO/MODIII,$203.00
HC11500873,WM EXAM EST' PT EVAL MOD/HI IV,$293.00
HC11500881,INFANT EXAM 20 MIN,$155.00
HC11500899,HOSPITAL OUTPATIENT CLINIC VISIT (FACILITY FEE),$164.00
HC11500907,WM EXAM EST' PT EVAL  BRIEF LVL1,$106.00
HC11500915,WM EXAM EST' PT EVAL  MINOR LVL 2,$140.00
HC11500923,WM EXAM EST' PT EVAL  COMPLEX L 5,$318.00
HC11500931,WM EXAM NEW PT EVAL  BRIEF LVL 1,$122.00
HC11500949,WM EXAM NEW PT EVAL  MINOR LVL 2,$156.00
HC11500956,WM EXAM NEW PT EVAL MOD LVL3,$236.00
HC11500964,WM EXAM NEW PT EVAL  HIGH L 4,$306.00
HC11500972,WM EXAM NEW PT EVAL  COMPLEX L 5,$334.00
HC12200002,IV INFUSION THERAPY 1ST HOUR,$682.00
HC12200010,IV INFUSION THERAPY EA ADDL HR,$341.00
HC12200028,IV INF HYDRATION INITIAL HR,$559.00
HC12200036,IV INF HYDRATION EA ADD'L HR,$279.00
HC12200044,IV INF THER CONCURRENT/ ENCNTR,$229.00
HC12200051,IV INF THER SEQ/NEW RX 1ST HR,$340.00
HC12200069,IV PUSH SINGLE/INIT'L INJ,$392.00
HC12200077,IVP SINGLE/EA NEW RX ADD'L INJ,$263.00
HC12200085,IVP SINGLE/REPEAT RX ADD'L INJ,$155.00
HC12200093,IM OR SQ INJECTION THERAPEUTIC,$171.00
HC12200101,IVAD IRRIGATION,$269.00
HC12200119,REFILL/MAINTENANCE PORT PUMP,$784.00
HC12200127,REFILL&MAINT'N IMPLANT PUMP,$595.00
HC12200135,BLOOD DRAW IMP'T VENOUS DEVICE,$264.00
HC12200143,INF CNTR-NEW PT EVAL BRIEF,$143.00
HC12200150,INF CNTR-NEW PT EVAL LOW/MOD,$195.00
