Saint Louise Regional Hospital #106434138,,,,,
SLRH Dept#,Charge Number,Description, 06/01/18 Default Price , 06/01/18 Outpatient Price , 06/01/18 ER price 
70100,1201680,+CRITICAL CARE E & M EA ADDL 30 MIN," $3,153.00 "," $3,153.00 "," $3,153.00 "
70100,1200344,+ER LEVEL 1+:MINOR, $618.00 , $618.00 , $618.00 
70100,1200351,+ER LEVEL 2+:BASIC," $1,194.00 "," $1,194.00 "," $1,194.00 "
70100,1200369,+ER LEVEL 3+:INTERMEDIATE," $2,129.00 "," $2,129.00 "," $2,129.00 "
70100,1200377,+ER LEVEL 4+:ADVANCED," $3,689.00 "," $3,689.00 "," $3,689.00 "
70100,1200385,+ER LEVEL 5+:SEVERE/COMPLEX," $5,181.00 "," $5,181.00 "," $5,181.00 "
70100,1200393,+ER LEVEL 6+:CRITICAL CARE," $7,026.00 "," $7,026.00 "," $7,026.00 "
70830,5503495,+OFFICE OR OP EST VISIT APRX 10 MIN, $486.00 , $486.00 , $486.00 
70800,5400999,+OFFICE OR OP EST VISIT APRX 15 MIN, $555.00 , $555.00 , $555.00 
70830,5503503,+OFFICE OR OP EST VISIT APRX 15 MIN, $590.00 , $590.00 , $590.00 
70800,5401005,+OFFICE OR OP EST VISIT APRX 25 MIN, $722.00 , $722.00 , $722.00 
70830,5503511,+OFFICE OR OP EST VISIT APRX 25 MIN, $798.00 , $798.00 , $798.00 
70800,5401013,+OFFICE OR OP EST VISIT APRX 40 MIN, $939.00 , $939.00 , $939.00 
70830,5503529,+OFFICE OR OP EST VISIT APRX 40 MIN, $961.00 , $961.00 , $961.00 
70830,5503487,+OFFICE OR OP EST VISIT APRX 5 MIN, $316.00 , $316.00 , $316.00 
70830,5503438,+OFFICE OR OP NEW VISIT APRX 10 MIN, $406.00 , $406.00 , $406.00 
70830,5503446,+OFFICE OR OP NEW VISIT APRX 20 MIN, $494.00 , $494.00 , $494.00 
70800,5400932,+OFFICE OR OP NEW VISIT APRX 20 MIN, $549.00 , $549.00 , $549.00 
70800,5400940,+OFFICE OR OP NEW VISIT APRX 30 MIN, $713.00 , $713.00 , $713.00 
70830,5503453,+OFFICE OR OP NEW VISIT APRX 30 MIN, $727.00 , $727.00 , $727.00 
70800,5400957,+OFFICE OR OP NEW VISIT APRX 45 MIN, $927.00 , $927.00 , $927.00 
70800,5400965,+OFFICE OR OP NEW VISIT APRX 60 MIN," $1,205.00 "," $1,205.00 "," $1,205.00 "
77201,2900215,2D ECHO WITH CONTRAST," $5,612.00 "," $5,612.00 "," $5,612.00 "
75008,0108944,AB EPSTEIN-BARR VIRUS VCA [AP, $15.82 , $15.82 , $15.82 
75008,0108951,AB EPSTEIN-BARR VIRUS VCA [AP, $15.82 , $15.82 , $15.82 
75008,0107672,AB HERPES SIMPLEX NON-SPEC [AP, $11.87 , $11.87 , $11.87 
75008,0107680,AB HERPES SIMPLEX NON-SPEC [AP, $11.87 , $11.87 , $11.87 
75405,0800490,AB ID RBC ANTIBODIES EA PANEL, $641.00 , $641.00 , $641.00 
77100,9457698,ABATACEPT 250MG INJECTION," $4,160.00 "," $4,160.00 "," $4,160.00 "
74202,1806413,ABDOMINAL BINDER (11-50), $263.00 , $263.00 , $263.00 
74202,1812221,ABLATOR PROBE (501-750)," $2,243.00 "," $2,243.00 "," $2,243.00 "
