MS DRG,North Baldwin MS DRG DESC2, Average of TOTAL CHARGES2 
004,TRACH W MV > 96 HRS EXC FACE - MOUTH NECK W/O MAJ O.R.," $153,380.20 "
055,NERVOUS SYSTEM NEOPLASMS W/O MCC," $4,078.97 "
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC," $14,668.96 "
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC," $19,876.31 "
060,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W/O CC/MCC," $7,021.79 "
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC," $28,942.98 "
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS," $18,746.09 "
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC," $15,125.53 "
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC," $9,900.37 "
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC," $4,498.10 "
073,CRANIAL  PERIPHERAL NERVE DISORDERS W MCC," $12,428.13 "
074,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC," $10,629.69 "
081,NONTRAUMATIC STUPOR  COMA W/O MCC," $9,374.58 "
087,TRAUMATIC STUPOR  COMA- COMA <1 HR W/O CC/MCC," $3,799.14 "
090,CONCUSSION W/O CC/MCC," $10,763.35 "
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC," $8,959.41 "
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC," $11,924.22 "
100,SEIZURES W MCC," $15,603.48 "
101,SEIZURES W/O MCC," $5,563.38 "
103,HEADACHES W/O MCC," $7,270.80 "
123,NEUROLOGICAL EYE DISORDERS," $13,505.52 "
133,OTHER EAR- NOSE- MOUTH  THROAT O.R. PROCEDURES W CC/MCC," $15,077.21 "
137,MOUTH PROCEDURES W CC/MCC," $26,010.76 "
149,DYSEQUILIBRIUM," $7,997.96 "
