CODE,BILLING DESCRIPTION,DEPT NAME,CHARGE
7621800079,OBSERVATION PWC 2N ADD'L HR,2 NORTH,22.00
7621800104,OBSERVATION 2S (EA ADD'L HR),2 NORTH,22.00
2600230356,IV THERAPY - CONCURRENT PWC 2N,2 NORTH,64.50
2600230357,TX/PROPH/DG ADDL SEQ IV PWC 2N,2 NORTH,64.50
2600230363,IV HYDRATION-EACH ADDT-PWC 2N,2 NORTH,64.50
2600250011,IV HYDRATION - EACH ADDT - 2S,2 NORTH,64.50
2601800051,TX/PROPH/DG ADDL SEQ IV INT 2S,2 NORTH,64.50
7711310056,VACCINE ADM INFLUENZA PWC 2N,2 NORTH,64.50
7711310080,VACCINE ADMIN PHEUMONIA 2S,2 NORTH,64.50
7711310083,VACCINE ADM PHEUMONIA PWC 2N,2 NORTH,64.50
9400221035,SQ/IM INJECTION (2 SOUTH),2 NORTH,64.50
9400250002,SQ/IM INJECTION PWC 2N,2 NORTH,64.50
2600230359,IV THER.THERAPEUTIC ADD PWC 2N,2 NORTH,77.00
2601800058,IV THER.THERAPEUTIC EA ADDL 2S,2 NORTH,77.00
2600230329,IV PUSH SAME SUB AFTER 30M 2S,2 NORTH,88.00
2600230349,IV PUSH SAME DRG AFT 30M PWC2N,2 NORTH,88.00
9400221043,OP-IRRIGATION VEN ACCESS DEVIC,2 NORTH,88.52
7621800078,OBSERVATION PWC 2N (1ST HR),2 NORTH,123.20
7621800103,OBSERVATION 2S (1ST HOUR),2 NORTH,123.20
2600230351,THER/PROPH/DIAG.INJ.ADD PWC 2N,2 NORTH,131.00
2600230369,THER/PROPH/DIAG.INJ.ADD ON 2S,2 NORTH,131.00
2600230353,IV PUSH INITIAL PWC 2N,2 NORTH,139.00
2600230368,THER/PROPH/DIAG.INJ IV PUSH 2S,2 NORTH,139.00
2600230365,IV HYDRATION-INITIAL-PWC 2N,2 NORTH,161.00
2600250010,IV HYDRATION - INITIAL - 2S,2 NORTH,161.00
3311800083,"CHEMO, IV INFUSION EA ADDL",2 NORTH,227.00
3311800085,CHEMOTHERAPY IV PUSH EA ADDL,2 NORTH,256.00
3351800063,"CHEMO, IV INFUSION, ADDL HOUR",2 NORTH,264.00
3910220067,BLOOD TRANSFUSION PWC 2N,2 NORTH,273.00
3910220074,BLOOD TRANSFUSION (2S),2 NORTH,273.00
7621800077,DIRECT ADMIT OBS PWC 2N,2 NORTH,280.00
7621800102,DIRECT ADMIT OBS 2S,2 NORTH,280.00
2600230361,IV THER.THERAPEUTIC INT PWC 2N,2 NORTH,282.00
2601800057,IV THER.THERAPEUTIC INIT (2S),2 NORTH,282.00
3311800086,CHEMOTHERAPY IV PUSH INITIAL,2 NORTH,360.00
3351800062,"CHEMO, IV INFUSION, 1 HOUR",2 NORTH,425.00
