ACTIVITY TYPE,CDM_DESC, UNIT_AMT ,BILL_ITEM_ID
AFC GENERIC ADD-ON,BB Product Admin Fee,$420.00 ,795521
AFC GENERIC ADD-ON,CARDIO IQ LIPID PANEL,$28.00 ,5245932
AFC GENERIC ADD-ON,CARDIO IQ LIPOPROTEIN (A),$31.00 ,5245935
AFC GENERIC ADD-ON,CARDIO IQ LIPOPROTEIN BLD NMR,$84.00 ,5245933
AFC GENERIC ADD-ON,CBU SUPPLIES C-SECTION,$551.00 ,5238782
AFC GENERIC ADD-ON,CBU SUPPLIES POSTPARTUM TUBAL,$333.00 ,5238784
AFC GENERIC ADD-ON,CBU SUTURE(ALL),$68.00 ,5238780
AFC GENERIC ADD-ON,CRD JELCO PLUS 22GA,$10.00 ,5238805
AFC GENERIC ADD-ON,CRD SCANNING ANALYSIS W RPT,$119.00 ,5238803
AFC GENERIC ADD-ON,CRD SET CATH EXT W/LL CATHETER,$10.00 ,5238804
AFC GENERIC ADD-ON,"Cryo, Single Unit",$102.00 ,5245809
AFC GENERIC ADD-ON,CS PAD THERMO (K PAD),$43.00 ,5238847
AFC GENERIC ADD-ON,CTH ADENOSINE 200 MCG/10ML INJ,$13.00 ,5238892
AFC GENERIC ADD-ON,CTH CANNULA THREADED LOCK,$2.00 ,5238858
AFC GENERIC ADD-ON,CTH DRESSING GAUZE 4X4 TEN PK,$3.00 ,5238865
AFC GENERIC ADD-ON,CTH HEPARIN 2000 UNITS/ NS 1000ML,$51.00 ,5238896
AFC GENERIC ADD-ON,CTH JELCO 22GA PROTECTIV PLUS CATH,$10.00 ,5238861
AFC GENERIC ADD-ON,CTH KIT IV START,$6.00 ,5238859
AFC GENERIC ADD-ON,CTH PACK PACEMAKER,$141.00 ,5238893
AFC GENERIC ADD-ON,CTH RADIAL CATH IV PREP,$119.00 ,5238897
AFC GENERIC ADD-ON,CTH SET DIAL A FLOW,$25.00 ,5238864
AFC GENERIC ADD-ON,CTH SET INTERLINK CATH EXTENSION,$10.00 ,5238860
AFC GENERIC ADD-ON,CTH TRAY CARDIAC CATHETER,$365.00 ,5238895
AFC GENERIC ADD-ON,CTH TRAY PACEMAKER,$297.00 ,5238894
AFC GENERIC ADD-ON,EMEA THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM,$73.00 ,5339585
AFC GENERIC ADD-ON,END IMPEDANCE,$222.00 ,5239004
AFC GENERIC ADD-ON,LAB ADALIMUMAB CONC,$400.00 ,5270374
AFC GENERIC ADD-ON,LAB ALBUMIN,$22.00 ,5256410
AFC GENERIC ADD-ON,"LAB ALBUMIN, CSF L",$18.00 ,5240010
AFC GENERIC ADD-ON,LAB ALKALINE PHOSPHATASE,$40.00 ,5227355
AFC GENERIC ADD-ON,"LAB ALLERGEN SPEC IGE, EACH - LINK",$24.00 ,5239955
AFC GENERIC ADD-ON,"LAB ALLERGEN SPEC IGE, EACH ALLERG",$24.00 ,5240020
AFC GENERIC ADD-ON,LAB ANCA TITER L,$56.00 ,5240012
AFC GENERIC ADD-ON,LAB ANNA2 (RI) AB,$325.00 ,5272226
AFC GENERIC ADD-ON,LAB ANTITHROMBIN III ACTIVITY,$54.00 ,5346723
AFC GENERIC ADD-ON,LAB APOLIPOPROTEIN B,$41.00 ,5239956
AFC GENERIC ADD-ON,LAB B HENSELAE IGM SCREEN L,$52.00 ,5239961
AFC GENERIC ADD-ON,LAB B QUINTANA IGG SCREEN L,$52.00 ,5239960
AFC GENERIC ADD-ON,LAB B QUINTANA IGM SCREEN L,$52.00 ,5239962
AFC GENERIC ADD-ON,LAB BACTERIAL VAG - GARDNERELLA VAG,$73.00 ,5239958
AFC GENERIC ADD-ON,LAB BACTERIAL VAG - TRICHOMONAS VAG,$73.00 ,5239959
AFC GENERIC ADD-ON,LAB BENCE JONES PROTEIN ELECTROPHORESIS,$69.00 ,5343232
AFC GENERIC ADD-ON,LAB BENCE JONES TOTAL PROTEIN,$69.00 ,5343231
AFC GENERIC ADD-ON,LAB BETA-2 GLYCOPROTEIN IGA AB-L,$70.00 ,5240042
AFC GENERIC ADD-ON,LAB BETA-2 GLYCOPROTEIN IGG AB-L,$70.00 ,5240044
AFC GENERIC ADD-ON,LAB BETA-2 GLYCOPROTEIN IGM AB-L,$70.00 ,5240045
AFC GENERIC ADD-ON,"LAB BILIRUBIN, FRACT-DIRECT",$28.00 ,5258193
AFC GENERIC ADD-ON,LAB BRUCELLA AB(IGM)RFLX TO AGGLUT-L,$45.00 ,5239963
AFC GENERIC ADD-ON,LAB BRUCELLA IGM,$36.00 ,5341008
