IVNUM,IVDESC,IVSW9,IVCPTCD,IVPRICE1,IVFPRICE1,IVFDATE1
60005,INFANT OVERHEAD WARMER,,,241.5,241.5,0
100005,ADMINSTER ANTITHORMB,,,232,243.5,20190101
100010,ONE-ON-ONE NURSING DAILY,,,345,362.5,20190101
100011,1:1 NURSING SPECIAL,,,345,362.5,20190101
100028,FAMOTIDINE PER UNIT,,S0028,1.5,1.5,20190101
100040,VITAL SYSTEM MONITOR,,,341.5,358.5,20190101
100425,"AMBULANCE, GROUND MILEAGE PER UNIT",,A0425,10,11,20190101
100434,"AMBULANCE, SPECIALITY CARE TRANSPORT",,A0434,259.5,272.5,20190101
103490,MULTIVITAMIN PER UNIT,,J3490,13,14,20190101
104197,"TPN SOLUTION, 74-100 G PROTEIN/ UNIT",,B4197,269.5,283,20190101
104199,TPN SOLUTION> 100 GRAMS,,B4199,2825.5,2882,20190101
109999,IV FILTR PER UNIT,,B9999,9,9.5,20190101
151798,BLADDER CAPACITY SCAN,,51798,177,187.5,20190101
175816,BAG FEEDING,,,30,32.5,20190101
190760,IV HYDRATION INITIAL 1ST HR,,90760,355,373,20190101
190761,IV HYDRATION ADDL UP TO 8HR,,90761,78,83.5,20190101
190765,IV INFUSION DRUG 1ST HR,,90765,355,373,20190101
190766,IV THERAPY ADD HRS MAX 8,,90766,78,83.5,20190101
190767,SEQUENTIAL INFUSION ADDL HR,,90767,55,59,20190101
190768,IV INFUS ADD SEQUENTIAL,,90768,78,83.5,20190101
190772,SQ/IM INJECTION,,90772,124,131.5,20190101
190774,INJ IV PUSH,,90774,177,187.5,20190101
190775,IV PUSH EA ADD,,90775,189,200.5,20190101
192950,CPR,,92950,718.5,754.5,20190101
200391,TSE PRIORITY 1,,G0390,1250,1287.5,20190101
200392,TSE PRIORITY 2,,G0390,1100,1133,20190101
200393,TSE PRIORITY 3,,G0390,940,977.5,20190101
210021,FINE NEEDLE,,10021,235.5,247.5,20190101
210060,INCISION AND DRAINAGE OF ABCESS,,10060,311,326.5,20190101
210061,INCISION/DRAIANGE COMPLICATED OR MULTIPL,,10061,403,423,20190101
210080,I/D PILONIDIAL CYST,,10061,403,423,20190101
210120,FB REMOVAL SUBCU TISSUE SIMPLE,,10120,234,245.5,20190101
210140,I/D OF HEMATOMA/SEROMA,,10140,1103,1136,20190101
210160,ASPIRATION ABSCESS/HEM/CYST/SKIN.SUBQ,,10160,286,300.5,20190101
210180,I/D COMPLEX POST OP INF,,10180,733,769.5,20190101
211730,NAIL REMOVAL 1,,11730,214,224.5,20190101
211732,NAIL REMOVAL EA ADDITIONAL,,11732,152.5,161.5,20190101
211740,NAIL BLOOD DRAW,,11740,153.5,162.5,20190101
211750,NAIL AND MATRIX EXCISION,,11750,553,580.5,20190101
211765,WEDGE/EXCISION SIN/TOENAIL,,11765,198.5,210.5,20190101
212001,LAC SIMPLE <2.5,,12001,263,276,20190101
212002,LAC SIMPLE 2.6 TO 7.5,,12002,308.5,324,20190101
212004,LAC SIMPLE 7.6 TO 12.5,,12004,414.5,435,20190101
212005,LAC SIMPLE 12.6 TO 20,,12005,421,442,20190101
212006,LAC SIMPLE 20.1 TO 30,,12006,584.5,613.5,20190101
212007,LAC SIMPLE OVER 30,,12007,880.5,915.5,20190101
212011,LAC FACE/EAR SIMPLE <2.5 CM,,12011,259,272,20190101
212013,LAC FACE/EAR SIMPLE 2.6-5CM,,12013,297.5,312.5,20190101
212014,LAC FACE/EAR SIMPLE 5.1-7.5CM,,12014,417.5,438.5,20190101
212015,LAC FACE/EAR SIMPLE 7.6-12.5CM,,12015,432.5,454,20190101
212016,LAC FACE/EAR SIMPLE 12.6-20CM,,12016,444.5,466.5,20190101
212017,LAC FACE/EAR SIMPLE 20.1-30CM,,12017,462,485,20190101
212018,LAC FACE/EAR SIMPLE >30,,12018,552,579.5,20190101
212020,WOUND REPAIR SPLIT WOUNDED CLOSURE,,12020,584.5,613.5,20190101
212031,LAC MED S/A/T/E <2.05,,12031,298.5,313.5,20190101
212032,LAC MED S/A/T/E 2.6-7.5CM,,12032,427,448.5,20190101
212034,LAC MED S/A/T/E 7.6-12.5CM,,12034,526,552.5,20190101
212035,LAC MED S/A/T/E 12.6-20CM,,12035,584.5,613.5,20190101
212036,LAC MED S/A/T/E 20.1-30CM,,12036,672,672,0
212037,LAC MED S/A/T/E >30CM,,12037,760,790.5,20190101
212041,LAC MED N/H/F/G <2.5CM,,12041,403.5,423.5,20190101
212042,LAC MED N/H/F/G 2.6-7.5CM,,12042,426.5,448,20190101
212044,LAC MED N/H/F/G 7.6-12.5CM,,12044,460,483,20190101
212045,LAC MED N/H/F/G 12.6-20CM,,12045,511.5,537,20190101
212046,LAC MED N/H/F/G 20.1-30CM,,12046,550,577.5,20190101
212047,LAC MED N/H/F/G >30,,12047,580,609,20190101
212051,LAC MED FACE/EAR <2.5CM,,12051,321.5,337.5,20190101
212052,LAC MED FACE/EAR 2.6-5CM,,12052,428,449.5,20190101
212053,LAC MED FACE/EAR 5.1-7.5CM,,12053,459,482,20190101
212054,LAC MED FACE/EAR 7.6-12.5CM,,12054,526,552.5,20190101
212055,LAC MED FACE/EAR 12.6-20CM,,12055,584.5,613.5,20190101
212056,LAC MED FACE/EAR 20.1-30CM,,12056,614,644.5,20190101
212057,LAC MED FACE/EAR >30CM,,12057,880.5,915.5,20190101
213100,REPAIR COMPLEX TRUNK 1.1-2.5CM,,13100,351,368.5,20190101
213101,REPAIR COMPLEX TRUNK 2.6-7.5CM,,13101,672,705.5,20190101
213102,REPAIR COMPLEX EA ADDITIONAL 5 CM,,13102,263,276,20190101
213120,REPAIR COMPLEX SCALP 1.1-2.5CM,,13120,438.5,460.5,20190101
213121,REPAIR COMPLEX SCALP 2.6-7.5CM,,13121,567,595.5,20190101
213122,REPAIR COMPLEX SCALP EA ADDITIONAL 5 CM,,13122,236,248,20190101
213131,REPAIR COMPLEX FOREHEAD 1.1-2.5CM,,13131,380,399,20190101
213132,LAC COMPLEX N/H/F/G 2.6-7.5CM,,13132,526,552.5,20190101
