Antelope Valley Hospital,,
FY2018 AVERAGE CHARGES BY DRG,,
DRG,DRG Description,Average Charge Per Stay
003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$574,563.11"
004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$432,414.50"
023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"$138,973.07"
025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"$175,591.94"
026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"$100,950.55"
027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$88,424.80"
028,SPINAL PROCEDURES W MCC,"$212,726.55"
029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"$181,924.66"
030,SPINAL PROCEDURES W/O CC/MCC,"$161,591.15"
031,VENTRICULAR SHUNT PROCEDURES W MCC,"$179,358.55"
033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"$40,409.25"
038,EXTRACRANIAL PROCEDURES W CC,"$101,899.25"
039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"$69,023.55"
040,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"$166,691.91"
041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"$95,638.03"
042,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"$93,891.78"
054,NERVOUS SYSTEM NEOPLASMS W MCC,"$54,621.22"
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$42,879.55"
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$39,543.65"
058,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,"$38,572.40"
059,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"$43,576.00"
060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$18,474.90"
061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$88,950.11"
062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","$61,401.34"
063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","$62,098.50"
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$59,990.15"
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$41,371.17"
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$34,979.53"
068,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$31,055.38"
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$27,867.02"
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$65,942.51"
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$47,827.62"
072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$23,497.37"
073,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$87,540.55"
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$30,255.59"
077,HYPERTENSIVE ENCEPHALOPATHY W MCC,"$134,471.14"
078,HYPERTENSIVE ENCEPHALOPATHY W CC,"$103,538.96"
080,NONTRAUMATIC STUPOR & COMA W MCC,"$44,851.05"
082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","$103,468.94"
083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$24,998.45"
084,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","$34,773.03"
085,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$40,414.58"
086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","$36,514.06"
087,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","$50,788.94"
089,CONCUSSION W CC,"$34,753.35"
090,CONCUSSION W/O CC/MCC,"$23,530.08"
091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$33,848.51"
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$26,647.31"
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$21,743.22"
