Hospital Name:  Tri-City Medical Center,,,,,
OSHPD Facility No: 106370780,,,,,
"Effective Date of Charges: June 1, 2018",,,,,
,,,,,
AB 1045 Common Outpatient Procedure Form,,,,,
,,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,,
"Emergency Room Visit, Level 4 (high severity with significant threat)",99284,"$2,279.00",,,
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,473.00",,,
"Emergency Room Visit, Level 5 (high severity without signigicant threat)",99285,"$3,440.00",,,
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$922.00,,,
"Emergency Room Visit, Level 1 (low severity)",99281,$462.00,,,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,,,
Comprehensive Metabolic Panel,80053,$126.00,,,
"Complete Blood Count, with differential WBC, automated",85025,$71.00,,,
"Urinalysis, with microscopy",81001,$76.00,,,
"Troponin, Quantitative",84484,$147.00,,,
"Creatine Kinase (CK), (CPK), Total",82550,$75.00,,,
   Creatine Kinase (CPK) MB Fraction Only,82553,$126.00,,,
Lipase,83690,$75.00,,,
"Complete Blood Count, automated",85027,$67.00,,,
Prothrombin Time,85610,$74.00,,,
Thyroid Stimulating Hormone,84443,$186.00,,,
   Urine Pregnancy Visual Color,81025,$77.00,,,
Glucose Blood Reagent Strip,82948,$20.00,,,
   Drug Test Presumptive by Chemical Analysis,80307,$279.00,,,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,,,
"X-Ray, Chest, two views",71046,$567.00,,,
"X-Ray, Chest, one views",71045,$450.00,,,
"Mammography, Screening, Bilateral",77067,$253.00,,,
"CT Scan, Head or Brain, without contrast",70450,"$3,018.00",,,
"CT Scan, Abd & Pelvis, with contrast",74177,"$5,625.00",,,
"Ultrasound, Abdomen, Complete",76700,$598.00,,,
"CT Scan, Abd & Pelvis, without contrast",74176,"$4,029.00",,,
"CT Scan, Cervical Spine, without contrast",72125,"$2,469.00",,,
Dxa Bone Density Study,77080,$777.00,,,
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,,,
Group Psychotherapy not Multi Family,90853,$185.00,,,
Therapeutic Exercise Each 15 Minutes,97110,$121.00,,,
"Electrocardiogram, 12 Lead, Tracing Only",93005,$350.00,,,
Manual Therapy Each 15 Minutes,97140,$113.00,,,
"Therapeutic Injection, Subcutaneous or Intramuscular",96372,$155.00,,,
Cardiac Rehabilitation with Continuous EKG Monitoring,93798,$150.00,,,
"Hyperbaric Oxygen Under Pressure, Full Body Chamber, per 30 Minutes",G0277,$401.00,,,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,,,
Transfusion Blood/Blood Products (#342),36430,"$2,980.00",,,
Abdominal Paracentesis with imaging guidance (#121),49083,"$1,636.00",,,
Insertion of Temporary Indwelling Bladder Catheter; Simple (#121),51702,$367.00,,,
Insertion of Tunneled Centrally Inserted CVAD with Port (#71),36561,"$4,138.00",,,
"Breast Biopsy w/Marker Plcmt,1st Lesion w/Ultrasound Guidance (#65)",19083,"$2,890.00",,,
Diagnostic Bone Marrow Biopsy(ies) and Aspiration(s) (#58),38222,"$3,569.00",,,
Introduction Catheter in Dialysis Circuit (#57),36902,"$8,435.00",,,
Fine Needle Aspiration with Imaging Guidance (#54),10022,"$1,260.00",,,
Contrast Injection for Assessment of Cyst/Abscess via Catheter (#53),49424,$891.00,,,
Replacement of Gastrostomy or Cecostomy Tube (#41),49450,"$1,636.00",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Other Common Outpatient Procedures (list as needed),2018 CPT Code,Average Charge,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Count of Reported Procedures (minimum 25 required),,44,,,
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,,,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,,,,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,,,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,,,,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,,,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,,,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,,,,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,,,,
    (rows 62-71) if you are unable to select procedures from list.,,,,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,,,,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
