"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Inpatient hospital average charge per Medicare's MSDRG Medical Condition coding,,
,,
,,
DRG,DRG Description,Average Inpatient Charge for Health Condition
055,NERVOUS SYSTEM NEOPLASMS W/O MCC,"17,075"
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"8,824"
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"29,475"
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"26,642"
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"23,034"
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"25,792"
073,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"51,268"
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"9,375"
075,VIRAL MENINGITIS W CC/MCC,"32,258"
076,VIRAL MENINGITIS W/O CC/MCC,"10,800"
081,NONTRAUMATIC STUPOR & COMA W/O MCC,"18,724"
083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","41,540"
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"16,793"
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"30,929"
101,SEIZURES W/O MCC,"31,741"
103,HEADACHES W/O MCC,"22,095"
123,NEUROLOGICAL EYE DISORDERS,"27,881"
149,DYSEQUILIBRIUM,"12,208"
153,OTITIS MEDIA & URI W/O MCC,"11,159"
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","82,989"
175,PULMONARY EMBOLISM W MCC,"23,086"
176,PULMONARY EMBOLISM W/O MCC,"33,257"
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"27,111"
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"13,613"
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"17,358"
180,RESPIRATORY NEOPLASMS W MCC,"33,773"
181,RESPIRATORY NEOPLASMS W CC,"21,537"
184,MAJOR CHEST TRAUMA W CC,"30,548"
186,PLEURAL EFFUSION W MCC,"43,844"
187,PLEURAL EFFUSION W CC,"21,461"
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"20,970"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"17,736"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"14,083"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"13,581"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"26,215"
194,SIMPLE PNEUMONIA & PLEURISY W CC,"21,201"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"8,972"
199,PNEUMOTHORAX W MCC,"58,140"
200,PNEUMOTHORAX W CC,"32,732"
201,PNEUMOTHORAX W/O CC/MCC,"19,840"
202,BRONCHITIS & ASTHMA W CC/MCC,"17,272"
203,BRONCHITIS & ASTHMA W/O CC/MCC,"11,610"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"24,983"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","49,269"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","11,752"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","26,400"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","57,155"
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"21,344"
292,HEART FAILURE & SHOCK W CC,"17,212"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"8,965"
300,PERIPHERAL VASCULAR DISORDERS W CC,"16,046"
303,ATHEROSCLEROSIS W/O MCC,"17,520"
304,HYPERTENSION W MCC,"21,448"
305,HYPERTENSION W/O MCC,"9,922"
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"20,932"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"18,271"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"13,042"
311,ANGINA PECTORIS,"6,734"
312,SYNCOPE & COLLAPSE,"11,151"
313,CHEST PAIN,"16,387"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"48,312"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"11,535"
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","18,866"
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","60,814"
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"67,761"
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"46,685"
333,RECTAL RESECTION W CC,"73,439"
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"29,889"
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"46,350"
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"41,257"
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"29,293"
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"18,346"
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"23,171"
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"39,939"
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"29,731"
370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,"9,822"
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"73,412"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"19,230"
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"29,820"
375,DIGESTIVE MALIGNANCY W CC,"15,998"
377,G.I. HEMORRHAGE W MCC,"37,555"
378,G.I. HEMORRHAGE W CC,"19,125"
379,G.I. HEMORRHAGE W/O CC/MCC,"16,527"
380,COMPLICATED PEPTIC ULCER W MCC,"36,857"
386,INFLAMMATORY BOWEL DISEASE W CC,"16,706"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"21,127"
388,G.I. OBSTRUCTION W MCC,"15,276"
389,G.I. OBSTRUCTION W CC,"17,411"
390,G.I. OBSTRUCTION W/O CC/MCC,"10,956"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","58,736"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","20,055"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"21,458"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"14,228"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"45,851"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"49,704"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"35,823"
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"9,987"
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"15,159"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"18,293"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"28,574"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"24,219"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"20,678"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","27,301"
