chg_code,chg_desc,ref_eff_ts,row_sta_cd,table_int_id,ref_int_id,org_int_id,lst_mod_id,lst_mod_ts,compute_0010,org_nm,gl_account_id,gl_sub_acct,chg_type_int_id,cod_dtl_ds,active_dt,Rev Code,chg_amt_1,cpt4_ext_id,gl_stat
2111,R/B PRIVATE,04/16/2013 07:43:40:76,A,600,13682,25,smcshane,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14792,Room and Bed Charges,01/09/2013 00:00,111,2520,,
2119,R/B ISOLATION DOU,08/28/2013 10:22:13:673,A,600,13683,25,alopez,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14792,Room and Bed Charges,01/09/2013 00:00,119,3540,,
2121,R/B SEMI PRIVATE,07/25/2012 10:54:40:14,A,600,13724,25,CNV_charge_master,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14792,Room and Bed Charges,01/09/2013 00:00,121,2400,,
2169,ADMIN DAY LEVEL 1,08/28/2013 10:22:13:693,A,600,13966,25,alopez,08/28/2013 10:22:13:693,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14792,Room and Bed Charges,01/09/2013 00:00,169,1800,,
2199,ADMIN DAY LEVEL 2,08/28/2013 10:22:13:703,A,600,13967,25,alopez,08/28/2013 10:22:13:703,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14792,Room and Bed Charges,01/09/2013 00:00,199,2400,,
2206,R/B DOU,07/25/2012 10:54:40:14,A,600,13684,25,CNV_charge_master,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14792,Room and Bed Charges,01/09/2013 00:00,206,3540,,
2762,OBSERVATION,07/25/2012 10:54:40:14,A,600,16801,25,CNV_charge_master,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3150,,14791,Charge,01/12/2015 00:00,762,240,G0378,
3111,R/B PRIVATE,07/25/2012 10:54:40:14,A,600,13685,25,CNV_charge_master,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3010,,14792,Room and Bed Charges,01/09/2013 00:00,111,2520,,
3121,R/B SEMI PRIVATE,07/25/2012 10:54:40:14,A,600,13686,25,CNV_charge_master,07/25/2012 10:54:40:14,Unassigned,HEMET VALLEY MEDICAL CENTER,3010,,14792,Room and Bed Charges,01/09/2013 00:00,121,2400,,
3169,ADMIN DAY LEVEL 1,06/27/2013 15:18:26:283,A,600,13964,25,smcshane,06/27/2013 15:18:26:283,Unassigned,HEMET VALLEY MEDICAL CENTER,3010,,14792,Room and Bed Charges,01/09/2013 00:00,169,1800,,
