Item ID,Description, Price 
193998,.035 INTERLOCK 2D 10MM X 20CM,"2,368.30"
193997,.035 INTERLOCK 2D 18MM X 40CM,"3,153.86"
193996,.035 INTERLOCK DIAMOND 4MM,"1,771.10"
159185,"0.062"" X 4.65"" OLIVE WIRE PART",248
159022,"0.094"" X 12"" K-WIRE PARTIALLY",248
159026,"0.110"" X 12"" K-WIRE PARTIALLY",248
410478,0.5% ROPIVICAINE WITH 2% LIDOCAINE (OR USE),165.36
187750,0.9MM HIGH INFUSION SLEEVE SMA,124.99
192522,1 8MM Q-FIX MINI SUTURE ANCHOR,"1,917.60"
164557,"1 EACH, REVOLVE FAT PROCESSING","2,096.20"
175261,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175262,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175263,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175264,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175265,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175266,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175267,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
175268,1 LEVEL PIRANHA CERVICAL PLATE,"3,150.00"
410477,"1% LIDOCAINE 10ML,0.25% BUPIVACAINE W/EPI 10ML,SOD BICAR 3ML(OR USE)",173.72
410452,1% LIDOCAINE 40 ML WITH 0.5% BUPIVACAINE WITH EPI 40 ML(OR USE),417.33
410453,1% LIDOCAINE MIXED WITH 0.5% MARCAINE/EPINEPHRINE(OR USE),130.42
410459,1% LIDOCAINE W/EPI 20ML & 0.5% BUPIVACAINE 20 ML (OR USE),192.69
410454,1% LIDOCAINE WITH 0.25% BUPIVICAINE W/EPI,84.24
137941,1.4 MM GUIDEWIRE,390
139364,1.5MM DRILL BIT W/ 4.6MM STOP,442
190118,1.5MM H-PLATE 4 HOLES/4.2MM,851.76
184421,1.5MM MIS NITINL K-WIRE W/10MM,"3,326.40"
165048,1.5MM X 25MM SPRINTER OTW BALL,572
162913,1.5X20 GLIDER  PTCA BALLOON,"1,386.50"
159210,"1.6MM K-WIRE, 450MM, SHARP TIP","3,024.00"
129277,1.9 STANDARD DRILL BIT,906.36
193186,10 HOLE CONTOURED VL GRIDLOCK,"5,712.00"
193213,10 HOLE VL GRIDLOCK HELICAL PL,"10,080.00"
186202,10.5 X 100MM  CLOSED ILIAC FIX,"3,360.00"
186167,10.5 X 100MM  CLOSED ILIAC POL,"3,360.00"
186132,10.5 X 100MM ILIAC POLYAXIAL S,"3,360.00"
186203,10.5 X 110MM  CLOSED ILIAC FIX,"3,360.00"
186168,10.5 X 110MM  CLOSED ILIAC POL,"3,360.00"
186133,10.5 X 110MM ILIAC POLYAXIAL S,"3,360.00"
186204,10.5 X 120MM  CLOSED ILIAC FIX,"3,360.00"
186169,10.5 X 120MM  CLOSED ILIAC POL,"3,360.00"
186134,10.5 X 120MM ILIAC POLYAXIAL S,"3,360.00"
186123,10.5 X 30MM ILIAC POLYAXIAL SC,"3,360.00"
186124,10.5 X 35MM ILIAC POLYAXIAL SC,"3,360.00"
186125,10.5 X 40MM ILIAC POLYAXIAL SC,"3,360.00"
186126,10.5 X 45MM ILIAC POLYAXIAL SC,"3,360.00"
186127,10.5 X 50MM ILIAC POLYAXIAL SC,"3,360.00"
186198,10.5 X 60MM  CLOSED ILIAC FIXE,"3,360.00"
186163,10.5 X 60MM  CLOSED ILIAC POLY,"3,360.00"
186128,10.5 X 60MM ILIAC POLYAXIAL SC,"3,360.00"
186199,10.5 X 70MM  CLOSED ILIAC FIXE,"3,360.00"
186164,10.5 X 70MM  CLOSED ILIAC POLY,"3,360.00"
186129,10.5 X 70MM ILIAC POLYAXIAL SC,"3,360.00"
186200,10.5 X 80MM  CLOSED ILIAC FIXE,"3,360.00"
186165,10.5 X 80MM  CLOSED ILIAC POLY,"3,360.00"
186130,10.5 X 80MM ILIAC POLYAXIAL SC,"3,360.00"
186201,10.5 X 90MM  CLOSED ILIAC FIXE,"3,360.00"
186166,10.5 X 90MM  CLOSED ILIAC POLY,"3,360.00"
186131,10.5 X 90MM ILIAC POLYAXIAL SC,"3,360.00"
169776,10GA 20MM BILATERAL KYPHOPLAST,"9,345.00"
301000308,10-HYDROXYCARBAZEPINE,52
175968,10MM INTERBODY PLATE,"3,780.00"
193174,10MM STAPLE PILOT DRILL,"1,057.50"
193173,10MM X 10MM X 10MM STAPLE,"5,880.00"
186466,10MM X 22MM X 10MM 5 DEGREE PO,"21,225.60"
186467,10MM X 22MM X 11MM 5 DEGREE PO,"21,225.60"
186468,10MM X 22MM X 12MM 5 DEGREE PO,"21,225.60"
186469,10MM X 22MM X 13MM 5 DEGREE PO,"21,225.60"
186470,10MM X 22MM X 14MM 5 DEGREE PO,"21,225.60"
186463,10MM X 22MM X 7MM 5 DEGREE POR,"21,225.60"
186464,10MM X 22MM X 8MM 5 DEGREE POR,"21,225.60"
186465,10MM X 22MM X 9MM 5 DEGREE POR,"21,225.60"
185762,10MM X 24MM X 10MM 10-15EXPAND,"28,800.00"
185763,10MM X 24MM X 11MM 10-15EXPAND,"28,800.00"
185764,10MM X 24MM X 12MM 10-15 EXPAN,"28,800.00"
185760,10MM X 24MM X 8MM 10-15 EXPAND,"28,800.00"
185761,10MM X 24MM X 9MM 10-15EXPANDA,"28,800.00"
