BRYAN W. WHITFIELD MEMORIAL HOSPITAL,,
CHARGE MASTER,,
AS OF 01/01/2019,,
,,
,,
Chg Code,Description,Charge
304000020,SEMI-PRIVATE 300 HALL,340.00 
304000120,SWINGBED SEMI-PRIVATE 300,200.00 
304020000,OBSERVATION RM 300H PER HOUR,34.50 
304020240,"OBS Chrg, Direct Clinic Admit",580.00 
304036430,BLOOD ADMINISTRATION,720.00 
304063600,IV INFUSION HYDRATION INITIAL,225.00 
304063610,IV INFUSION HYDRATION EA HR,80.00 
304063650,"IV INFUSE THERAPEUTIC, INITIAL",385.00 
304063660,IV INFUSE THERAPEUTIC EA HR,80.00 
304063670,IV THERAPEUTIC ADD'L SEQ INFUS,110.00 
304063680,CONCURRENT THERAPEUTIC INFUSIO,80.00 
304063720,"INJECTION, SC/IM THERAEPUTIC",80.00 
304063740,IVP SINGLE/INITIAL DRUG,300.00 
304063750,IVP/EA AD'L SEQUENTIAL/NEW DRU,110.00 
304063760,IVP/SEQUENTIAL / SAME DRUG,100.00 
304090471,INJ-IMMUNIZATION FIRST,100.00 
304090472,INJ-IMMUNIZATION EA ADDL,75.00 
304096523,IRRIGATION DRUG DEL DEVICE,128.00 
304099218,OBS 4TH-23RD HR LOW SEVERITY,80.00 
312000010,MICU ROOM,715.00 
312020000,OBSERVATION RM MICU PER HOUR,50.00 
312020240,"OBS Chrg, Direct Clinic Admit",580.00 
312040160,CVP LINE DAILY,46.00 
312040200,CARDIAC OUTPUT INITIAL,46.00 
312040210,CARDIAC OUTPUT DAILY,46.00 
312040220,DOPPLER,9.50 
312040230,CARDIOVERSION ELECTIVE,520.00 
312063600,IV INFUSION HYDRATION INITIAL,225.00 
312063610,IV INFUSION HYDRATION EA HR,80.00 
312063650,IV INFUSE THERAPEUTIC INITIAL,385.00 
312063660,IV INFUSE THERAPEUTIC AD'L HR,80.00 
312063670,IV THERAPEUTIC AD'L SEQ INFUSI,110.00 
312063680,CONCURRENT THERAPEUTIC INFUSIO,80.00 
312063720,"INJ, SC/IM, THERAPEUTIC",80.00 
312063740,IVP SINGLE/INITIAL DRUG,300.00 
312063750,IVP/EA ADD'L SEQUEN/NEW DRUG,110.00 
312063760,IVP/SEQUENTIAL/SAME DRUG,135.00 
312063770,BLOOD TRANSFUSION,720.00 
312063780,INJ-IMMUNIZATION FIRST,90.00 
312063790,INJ-IMMUNIZATION EA ADDL,50.00 
317006000,OXYGEN PER SHIFT,50.00 
317006170,PEAK FLOW CHALLENGE,100.00 
317006240,PULMONARY FUNCTION TEST,150.00 
317006260,INTUBATION EMER ENDOTRACH,408.00 
317006270,IPPB W/02 TX-INITIAL,75.00 
317006320,NEONATAL RESUSITATION,335.00 
317006390,RESPIRATOR/SUBSEQUENT DAY,"1,162.00 "
317006480,HEATED AEROSOL-INITIAL,150.00 
317006510,AEROSOL COOL MIST-INITIAL,75.00 
317006570,SPUTUM COLLECTION,43.00 
317006600,CHEST PT-INITIAL,72.00 
317006660,RT. MED-RACEMIC EPI,6.00 
317006690,ARTERIAL BLOOD GAS,241.00 
317006810,INCENTIVE SPIROMETRY,45.00 
317006840,.INSTALLATION,15.00 
317006990,HUMIDIFIER,75.00 
317007020,HOLTER MONITOR,166.00 
317007320,ACORN NEB-INITIAL,75.00 
317007330,NEBULIZER CONT BREATHING-1 HR,200.00 
317007670,OXIMETER READING SINGLE,60.00 
317008080,SURFACANT ADMIN,72.00 
317008140,BiPAP,150.00 
317008160,CPAP WITH VENT.,"1,160.00 "
317008210,OXIMETER CONTINOUS,"1,025.00 "
317008220,RT. MED-MUCOMYST,5.00 
317008230,RT. MED-DEKASOL,7.00 
317008240,RT. MED-XOPENEX,7.00 
317008250,RT. MED-ATROVENT,3.00 
317008260,RT. MED-ALBUTEROL,5.00 
317008270,RT MED-PULMICORT,10.00 
317008280,ACORN NEB-SUBSEQUENT,75.00 
317008300,PFT & BRONCHO. EVAL,247.00 
317008320,IPPB W/02 TX-SUBSEQUENT,75.00 
317008330,MDI-SINGLE,72.00 
317008340,MDI-MULTIPLE,80.00 
317008350,POST DRAINAGE/VIBRO-SUB,72.00 
317008360,OXIM. READ DURING EXERCIS,95.00 
317008370,RESPIRATOR-1ST DAY,"1,162.00 "
317008390,FETAL PH,50.00 
317008400,MANUAL VENTILATION,408.00 
317008410,AEROSOL COOL MIST-SUBSEQ,50.00 
317046400,HEATED AEROSOL-SUBSEQ,100.00 
317046900,OXYHOOD,50.00 
317046910,HOLTER MONITOR-HOOK-UP,200.00 
317046920,HOLTER MONITOR UP TO 48HR W/RP,200.00 
317046930,OXYGEN INITIAL,75.00 
317046940,OXYGEN SUBSEQ. HR,50.00 
317046950,ARTERIAL PUNCTURE,50.00 
317046960,CPAP - AT BEDSIDE,240.00 
317046970,PEDIATRIC FEF,149.00 
320000050,IV THERAPY; UP TO 1 HR,460.00 
320000060,IV THERAPY; EA ADDL HR,100.00 
320000070,IV PUSH; INITIAL/SINGLE,300.00 
320000080,IV PUSH; EACH ADDL,100.00 
320010110,CODE BLUE,700.00 
320010120,BLOOD ADMINISTRATION,900.00 
320010160,"INJ; SQ OR IM, EACH",140.00 
320939230,PERIPHERAL ARTERY DISEASE TEST,408.00 
321001783,"Ocular implant, aq. drain dev.","2,000.00 "
321001910,INSERT ANT SEGMENT DRAIN,"5,000.00 "
321009100,JOINT HIP ASPIRATION,"4,900.00 "
321009101,CYSTOCOPY WITH BIOPSY,"6,000.00 "
321009102,THUMB OSTEOTOMY,"6,700.00 "
321009103,WOUND CLOSURE,"4,100.00 "
321010022,FNA WITH IMAGE,"1,100.00 "
321017640,CARDIAC EVENT RECORDER IMPLANT,"14,000.00 "
321017800,ACRY SOF IQ TORIC SN6AT3,850.00 
321025000,BLOOD ADMINISTRATION,900.00 
321025010,TRACHEOSTOMY,"5,600.00 "
321025030,LAPOROTOMY EXPLORATORY,"12,000.00 "
321025050,CERCLAGE VAGINAL,"4,400.00 "
321025060,ORIF TIBIA,"12,400.00 "
321025070,BREAST LESION - RADIOLOGY,"5,900.00 "
321025080,EX. MASS UPPER/LOWER BODY,"2,600.00 "
321025100,FOREIGN BODY REMOVAL,"5,200.00 "
321025140,TOE NAIL FOLD EXCISION,300.00 
321025150,BREAST OPEN BIOPSY,"6,000.00 "
321025160,BONE MARROW BIOPSY,"1,900.00 "
321025170,PARACENTESIS,"1,500.00 "
321025180,THORACENTESIS,"1,500.00 "
321025220,BLOOD PATCH - EDPIDURAL,"2,000.00 "
321025230,CLOSED REDUCTION SHOULDER,500.00 
321031295,SINUS ENDOSCOPY,"6,000.00 "
321032405,LUNG BIOPSY PRECUTANEOUS,"2,300.00 "
321032551,CHEST TUBE INSERTION,"1,500.00 "
321033282,CARDIAC EVENT RECORDER PLACEME,"19,000.00 "
321033284,CARDIAC EVENT RECORDER REMOVAL,"3,400.00 "
321036558,CVL TUNNELED W/O PORT,"6,000.00 "
321037197,TRANSCATHERTER RETRIEVAL,"7,000.00 "
321039400,MEDIASTINOSCOPY,"8,000.00 "
321045990,ANORECTAL EXAM DX,"4,300.00 "
321046220,EXCISE ANAL EXT/PAPILLA,"4,300.00 "
321053020,MEATOTOMY,"4,600.00 "
321054640,ORCHIECTOMY INGUINAL APPROACH,"5,600.00 "
321057410,VAGINAL EXAM,"3,900.00 "
321065490,CATHETER - GROSHONG,620.00 
321065820,Goniotomy/Relieve Inner EYE Pr,"2,000.00 "
321066174,Canaloplasty/Translum. DIL Eye,"2,000.00 "
321066600,VEIN STRIPPING,"6,400.00 "
321067940,MEDIPORT IMPLANT,"2,000.00 "
321068060,PACEMAKER PROCEDURE,"96,434.85 "
321068070,BREAST ENLARGEMENT,"14,500.00 "
321068090,MAMMOPLASTY REDUCTION,"10,800.00 "
321068230,APPENDECTOMY,"6,200.00 "
321069110,BIOPSY OF EXTERNAL EAR,800.00 
321071800,ACRY SOF IQ TORIC SN6AT3,"1,300.00 "
321079190,LAPARASCOPY DIAGNOSTIC,"8,800.00 "
321079200,LAPROSCOPIC TUBAL LIGATION,"11,000.00 "
321079210,CHOLE LAPARASCOPIC,"10,900.00 "
321079220,HYSTEROSCOPY,"5,300.00 "
321079230,D&C - DIAGNOSTIC,"4,300.00 "
321079240,TREATMENT OF MISCARRIAGE,"4,300.00 "
321079250,T&A <12 YRS OLD,"5,600.00 "
321079260,T&A >12,"5,600.00 "
321079270,SHOULDER LESION REMOVAL,"3,400.00 "
321079280,ARM LESION REMOVAL,"4,000.00 "
321079290,THIGH LESION REMOVAL,"5,200.00 "
321079300,LOWER LEG LESION REMOVAL,"4,300.00 "
321079310,HERNIA REPAIR-VENTRAL,"7,800.00 "
321079320,HERNIA REPAIR-INGUINAL,"7,800.00 "
321079330,HERNIA REPAIR-UMBIL,"7,800.00 "
321079340,CLOSED REDUCTION RADIUS,500.00 
321079350,CLOSED REDUCTION ULNA,700.00 
321079360,CLOSED REDUCTION RADIUS ULNA,500.00 
321079370,ORIF RADIUS,"16,000.00 "
321079380,ORIF ULNA RADIUS,"16,000.00 "
321079400,CARPAL TUNNEL SYNDROME RE,"4,200.00 "
321079410,TRIGGER FINGER RELEASE,"3,700.00 "
321079420,GANGLION CYST,"4,900.00 "
321079430,OLECTRANON BURSECTOMY,"4,900.00 "
321079440,DUPUYTREN CONTRACTURE,"3,800.00 "
321079450,IMPLANT REMOVAL,"5,200.00 "
321079460,PROSTATE BIOPSY,"3,200.00 "
321079470,MEDIPORT PROCEDURE,"5,800.00 "
321079480,CIRCUMCISION,"5,200.00 "
321079510,HEMORRHOIDECTOMY,"5,700.00 "
321080330,CESAREAN SECTION,"8,000.00 "
321080350,TUBAL LIGATION - BILAT,"7,900.00 "
321080380,HYST-TOTAL ABD.,"10,330.00 "
321080440,BUNIONECTOMY,"7,800.00 "
321080480,HUMERAL SHAFT FX-ORIF,"16,100.00 "
321080500,I & D ABCESS,"1,500.00 "
321080540,ORIF METACARPAL,"12,000.00 "
321080600,SKIN GRAFT,"3,400.00 "
321080630,MASTECTOMY,"14,000.00 "
321080650,CHOLECYSTECTOMY-OPEN,"13,000.00 "
321080660,CR IM HIP SCREW AND ROD,"9,200.00 "
321080670,ORIF CALCANEUS/FOOT,"16,000.00 "
321080710,MALLET TOE,"3,700.00 "
321080730,CLOSED REDUCTION-HIP,"1,058.00 "
321080740,CLOSED REDUCTION-NASAL FX,300.00 
321080760,I&D HEMATOMA,"2,600.00 "
321080770,ABDOMINOPLASTY,"11,000.00 "
321080780,BX/REM. NODES/MASSES,"6,000.00 "
321080820,SHOULDER MANIPULATION,"1,312.00 "
321080840,TOTAL HIP-REVISION,"11,000.00 "
321080850,TUBAL REANASTOMOASIS,"7,600.00 "
321080870,COLOSTOMY REVISION-SIMPLE,"6,800.00 "
321080880,LAVH,"8,000.00 "
321080930,ORCHIPEXY,"7,800.00 "
321080980,LACERATION REPAIR-COMPLEX,"1,500.00 "
321080990,ORIF MANDIBLE,"11,000.00 "
321081010,VASECTOMY,"5,200.00 "
321081110,CATARACT REM/INSERT LENS,"5,300.00 "
321081120,INTRAOCULAR LENS,700.00 
321081150,MASTECTOMY-BILAT-SIMPLE,"8,000.00 "
321081180,ARTHROSCOPY SHOUD-ROTATOR,"9,120.00 "
321081181,SHOULDER RCR OPEN,"7,900.00 "
321081260,KYPHOPLASTY,"20,000.00 "
321081600,AXILLARY DISSECTION,"12,000.00 "
321081790,"D&C,HYSTEROSCOPY,LEEP","4,300.00 "
321081810,AV FISTULA - CREATION OF,"9,800.00 "
321081820,BOWEL RESECTION,"7,522.00 "
321081830,THYROIDECTOMY,"12,000.00 "
321081860,MYRINGOTOMY TUBE PLACEMENT,"1,700.00 "
321081870,DRUG DELIVERY SYSTEM,600.00 
321081890,BLEPHAROPLASTY UPPERLID,"4,100.00 "
321081900,CHEMICAL PEEL DERMAL,500.00 
321081910,NASAL SEPTUM  (REPAIR),"5,600.00 "
321081911,NOSE RECONSTRUCTION,"9,500.00 "
321081920,ETHMOID SINUS,"5,700.00 "
321081930,NASAL SINUS ENDOSCOPY,"5,700.00 "
321081940,MAXILARY SINUS EXPLORATIO,"5,700.00 "
321081950,TURBINATES ABLATION,"1,600.00 "
321081960,TURBINATES INFERIOR RESECTION,"5,600.00 "
321081970,BLEPHAROPLASTY LOWER LID,"4,100.00 "
321081990,"APPENDCTOMY, LAPAROSCOPIC","11,000.00 "
321082000,CLOSED REDUCT HUMERAL SHAFT FX,550.00 
321082010,CLOSED REDUCTION ELBOW FX,"3,500.00 "
321082020,ORIF/OR ELBOW FX,"17,000.00 "
321082030,CLAVICULAR FX-CR W/MANIPU,"1,300.00 "
321082040,KNEE ARTHROSCOPY,"6,400.00 "
321082050,ACL-REPAIR,"19,000.00 "
321082060,QUADRICEPS REPAIR,"11,000.00 "
321082070,CLAVICULAR FX-ORIF,"16,000.00 "
321082080,"ETHMOID SINUS, REMOVAL","9,000.00 "
321082090,NASAL SURGERY PROCEDURE,300.00 
321082100,METATARSAL FX - TREATMENT,"8,880.00 "
321082110,"TIBIAL SHAFT,CR w/IM IMPL","16,000.00 "
321082120,REPAIR/GRAFT PATELLA TENDON,"7,800.00 "
321082130,BAKER'S CYST-EXCISION,"5,000.00 "
321082150,SCAR REVISION,"3,400.00 "
321082160,YAG LASER SURGERY,"1,300.00 "
321082170,LONG ARM CAST,400.00 
321082180,SHORT ARM CAST,400.00 
321082190,LONG ARM SPLINT,300.00 
321082200,SHORT ARM SPLINT,300.00 
321082210,LONG LEG CAST,400.00 
321082220,SHORT LEG CAST,400.00 
321082230,LONG LEG SPLINT,300.00 
321082240,SHORT LEG SPLINT,300.00 
321082260,LESION SKIN BIOPSY,540.00 
321085347,ACTIVATED CLOTTING TIME (ACT),20.00 
321090000,CODE BLUE,600.00 
321090070,HAND AMPUTATION,"4,300.00 "
321090080,FINGER/THUMB AMPUTATION,"3,800.00 "
321090100,TOE AMPUTATION,"5,300.00 "
321090110,FOOT AMPUTATION,"7,100.00 "
321090120,LEG LOWER AMPUTATION,"8,400.00 "
321090130,"LESION EXEC SCALP, NECK, HAND","2,100.00 "
321090140,KNEE SYNEVECTOMY,"7,700.00 "
321090160,CLOSED REDUCTION TIBIA,700.00 
321090170,LUMBAR PUNCTURE,"1,000.00 "
321090180,METATARSAL CLOSED REDUCTION,550.00 
321090190,METATATARSAL PERCUTANEOUS P,"6,000.00 "
321090200,ORIF METATARSAL,"12,000.00 "
321090210,ACHILLES TENDON REPAIR,"11,000.00 "
321090220,TENDON INJECTION,600.00 
321090230,FRENULECTOMY,"1,600.00 "
321090240,MYOMECTOMY/ABDOMINAL,"7,600.00 "
321090250,"SPINAL TAP, DIAGNOSTIC","1,000.00 "
321090260,HIP INJECTION,"1,300.00 "
321090270,CHOLECYSTECTOMY OPEN/CHOL,"14,000.00 "
321090280,SHOULDER HEMIARTHROPLASTY,"29,000.00 "
321090290,KNEE ARTHROSCOPY/ACL REPA,"19,000.00 "
321090300,KNEE ARTHROSCOPY/MENISECT,"6,400.00 "
321090310,OOPHORECTOMY,"1,500.00 "
321090320,ULNAR NERVE TRANSPOSITION,"4,200.00 "
321090330,I&D SKIN/TISSUE,900.00 
321090340,I&D SKIN/TISSUE/MUSCLE,"1,200.00 "
321090350,I&D SKIN/TISSUE/MUSCLE/BO,"1,900.00 "
321090360,I&D POST OP INFECTION,"4,700.00 "
321091980,EXTERNAL FIXATION (APPLIC,"7,700.00 "
321096523,IRRIG DRUG DELIVERY DEVICE,150.00 
321098710,CERCLAGE REMOVAL,"4,100.00 "
321098720,ENDOMETRIAL ABLATION/HYSTEROSC,"8,400.00 "
321098730,BARTHOLIN CYST,"4,100.00 "
321098740,MASTECTOMY - PARTIAL,"6,000.00 "
321098750,CAST SUPPLIES,32.00 
321098760,EAR TUBE REMOVAL,"3,600.00 "
321098770,THYROGLOSSAL DUCT CYST RE,"12,000.00 "
321098780,TROCHANTERIC BURSECTOMY,"5,200.00 "
321098790,PILONDIAL CYST REMOVAL,"5,200.00 "
321098800,SHOULDER ARTHROSCOPY DX,"6,400.00 "
321098810,SHOULDER ARTHROSCOPY SLAP,"13,000.00 "
321098820,SHOULDER ARTHROSCOPY MUMF,"13,000.00 "
