ITEM#,ITEM DESCRIPTION,PRICE
1,Med Surg Room,"$1,030.00"
1,Telemetry Room,"$1,280.00"
1,Psych Room,"$1,300.00"
  330200,OUT PT G TUBE REPLACEMENT,$200.00
  430168,EXTREMES OF AGE < 1YO OR >70 YO,$99.00
  717600,ALCOHOL-INDUSTRIAL,$30.00
  740467,CIPRO PREMIX BAG 400MG,$116.60
  741158,PERIDEX ORAL SOLN 0.12%,$7.50
  750001,DRUG SCREEN,"$1,038.00"
  760001,FFA/NEFA FATTY ACIDS NONESTERIFIED,$237.38
  760002,GLUCOSE,$70.07
  760003,IMMUNOASSAY QUANITATIVE,$230.88
  760004,INSULIN LIKE GROTH FACOTR 3,$230.88
  760005,IRON,$115.44
  760006,LP(A) LIPOPROTEIN,$230.88
  760007,LP-PLA2 THE PLAC TEST,$605.28
  760008,VLDL,$207.48
  760009,LDL,$170.17
  760010,SELENIUM,$455.26
  760011,CORTISOL BINDING GLOBULIN,$176.28
  760012,T3 REVERSE,$281.06
  760013,REVERSE T3,$281.06
  760014,LYMPHOCYTE COUNT,$115.31
  760015,COMPLETE (CBC)AUTOMATED,$115.31
  760016,ESR,$33.28
  760017,ANA WITH TITER,$199.03
  760018,HSCRP,$230.88
  760019,RHEUMATIOD FACTOR QUALITATIVE,$101.14
  760020,RPR,$78.52
  760021,EBV VCA,$280.28
  760022,THYROID ANTIBODIES,$323.57
  760023,HEPATITIS A TOTAL AB,$220.87
  760024,PARVOVIRUS,$268.06
  760025,CULTURE BACTERIAL URINE,$143.91
  760026,HIV 1/2 AB,$429.39
  760027,HPV,$625.82
  760028,CYTOPHAOLOGY CERVICAL OR VAGNIAL,$361.27
  760030,APO A-1,$212.60
  760031,APO B,$212.60
  770003,C1Q,$334.30
  770004,IGG SPECIFIC,$334.30
  790001,RESPIRATORY PATHOGEN PANEL,"$7,450.00"
  790002,BOWDETELLA PERUSSIS,$630.00
  790003,CHILAMYDPHILA PNEUMONIAE,$630.00
  790004,MYCOPLAZMA PNEUMONIAE,$630.00
  790005,ADENOVIRUS,"$7,450.00"
 1300080,IV HYDRATION INITIAL,$325.00
 1300090, IV HYDRATION 1HR ADD,$78.25
 1300100,INFUSION IV HYDRATION 60-90 MIN,$88.00
 1300110,INJECTION IV NON-CHEMO INITIAL,$162.00
 1300130,IV INFUSION UP TO 1 HOUR (INITIAL),$325.00
 1300140,IV INFUSION ADD'L HOUR,$78.25
 1300200,BIPAP RESPIRATORY ASSIST DEVICE USE,"$1,288.00"
 1300201,CPAP BIPAP MASK,$500.00
 1300202,CPAP BIPAP TUBE,$57.70
 1300320,IV INFUSION SEQUENTIAL (NEW DRUG),$156.00
 1300321,IV INFUSION COCURRENT (ONLY ONCE),$156.00
 1300325,INJECTION IM OR SQ,$217.00
 1300326,INFLUENZA VACCINE ADMINISTRATION,$150.00
 1300327,PNEUMOCOCCAL VACCINE ADMINISTRATION,$150.00
 1300328,HEPATITIS B VACCINE ADMINISTRATION,$150.00
 1300329,VACCINE ADMINISTRATION,$150.00
 1300330,OBSERVATION ROOM CHARGE VIA ER ADMIT,$85.00
 1300331,VACCINE ADMINISTRATION ADD'L,$65.00
 1300340,OBSERVATION ROOM DIRECT ADMIT,$85.00
 1300341,OBSERVATION ROOM DIRECT ADMIT,$85.00
 1300342,RESPITE CARE - HOSPICE,$144.00
 1300350,INJECTION IV PUSH INITIAL,$324.00
 1300360,INJECTION IV PUSH NEW DRUG EACH,$96.00
 1300370,INJECTION IV PUSH SAME DRUG >30 MIN,$180.00
 1360000,ER EKG,$140.00
 1360001,ER EKG INTERPRETATION,$140.00
 1360038,INTUBATION,$615.00
 1360054,NEBULIZER TREATMENT DAILY,$84.00
 1360081,NEBULIZER TREATMENT PER DAY,$84.00
 1360085,SPUTUM COLLECTION,$35.75
 1360112,EKG  INTERPRETATION,$140.00
 1370001,OBSERVATION 1 HR,$119.25
 1370002,OBSERVATION ADDTIONAL HRS EACH,$12.00
 2300001,NEBULIZER TREATMENT,$84.00
 2300002,VENTILATOR SET UP,$269.55
 2300003,OBSERVATION  ER PSYCH,$85.00
 2300100,CONSCIOUS SEDATION >5YR 30MIN,$390.00
 2300110,CONSCIOUS SEDATION ADD'L 15 MIN,$390.00
 2300271,DRANAGE/INJ JOINT/BURSA W/O US,$633.00
 2300410,INFUSION IV UP TP 1 HR (INITIAL),$375.00
 2300420,IV INFUSION THERAPY ADD'L HOUR,$158.00
 2300430,INFUSION IV  INITIAL,$375.00
 2300450,IM OR SQ INJECTION,$217.00
 2300460,INJECTION IV PUSH INITIAL,$324.00
 2300470,INJECTION IV PUSH NEW DRUG EACH,$180.00
 2300480,INJECTION IV PUSH SAME DRUG >30 MIN,$180.00
 2300489,IV INFUSION SEQUENTIAL (NEW DRUG),$156.00
 2300490,IV INFUSION CONCURRENT (ONLY ONCE),$156.00
 2300500,ER LEVEL 1,$164.00
 2300510,ER LEVEL 2,$272.00
 2300520,ER LEVEL 3,$398.00
 2300530,ER LEVEL 4,$526.00
 2300540,ER LEVEL 5,$614.00
 2300550,ER CRITICAL CARE FIRST 74 MINUTES,"$1,083.00"
 2300551,ER LEVEL 6 / TTA,"$1,083.00"
 2300560,ER CC ADDITIONAL 30 MINUTES,"$1,083.00"
 2300561,CONTROL OF NOSEBLEED SIMPLE,$258.00
 2300680,INFUSION UV HYDRATION 1HR,$177.00
 2300770,THER/DIAG CONCURRENT INFUSION,$85.00
 2300800,"TRACHEOSTOMY, EMERG,CRICOTHYROID",$540.00
 2301020,TETANUS INJECTION,$25.00
 2301050,INFUSION HYDRA THERAPY ADDITIONAL HOURS,$50.00
 2301070,INFUSION HYDRATION THARAPY EACH ADDL 60M,$50.00
 2301110,INFUSION ADD HR,$158.00
 2301730,ER CATHERIZATION,$175.00
 2301731,CATHETERIZATION FOR COLLECTION OF SPECIM,$175.00
 2301732,CATHETERIZATION FOR COLLECTION OF SPECIM,$175.00
 2304440,SPLINT LONG ARM,$411.60
 2304450,SPLINT LONG LEG,$634.60
 2304490,SPLINT ARM-SHORT,$302.85
 2304500,SPLINT LEG-SHORT,$398.10
 2310290,SHOULDER DISLOCATION W/MANIPULATION,$874.50
 2310291,SHOULDER DISLOCATION W/MANIPULATION ANES,"$1,121.10"
 2310292,TREAT FRACTURE UPPER BONE SHOULDER JOINT,$745.14
 2310293,ENDOTRACHEAL SUCTIONING,$202.96
 2325463,NEW BORN DELIVERY VIA ER,"$2,305.00"
 2370001,INC & REMOVE FOREIGN BODY SUBQ,$283.14
 2370002,REPAIR SIMPLE WOUND UP TO 2.5 CM,$100.00
 2370003,SIMPLE SUPERFICIAL WOUND 2.6-7.5 CM,$266.75
 2370004,REPAIR SIMPLE WOUND 2.6-12.5 CM,$153.75
 2370005,SIMPLE REPAIR WOUND 12.6-20 CM,$199.50
 2370006,REPAIR SIMPLE SUPERFICIAL WND>30 CM,$325.00
 2370007,REPAIR WOUND TO FACE 2.6-5.0 CM,$153.25
 2370008,REPAIR WOUND TO FACE 5.1-7.5 CM,$195.75
 2370009,REPAIR WOUND TO FACE 7.6-12.5 CM,$224.25
 2370010,LAY CLOSE WOUND EXTERM 2.5 CM,$150.00
 2370011,LAY CLOSE WOUND EXTERM <7.5 CM,$209.50
 2370012,LAY CLOSE WOUND EXTERM <12.5 CM,$224.25
 2370013,REPAIR COMPLEX WOUND 2.6-7.5 CM,$275.00
 2370014,DRESS & DEBRID W/O ANESTH SMALL,$74.00
 2370015,DRESS & DEBRID W/O ANESTH MEDIUM,$146.14
 2370016,ER LEVEL 2,$188.00
 2370019,GASTRIC INTUB/LAVAGE,$199.50
 2370020,INFUSION THERAPY/THERAP/PROP/DIAG 31-90,$136.00
 2370021,INJECTION ANTIBIOTIC,$111.25
 2370023,INJECTION THERAPEUTIC SC/IM,$64.50
 2370025,ER LEVEL 4,$428.00
 2370030,ER LEVEL 3,$306.00
 2370031,CARDIOVERSION ELECT EXTERNAL,$349.75
 2370032,CONTROL NASAL HEMMORRHAGE,$241.50
 2370033,CPR,$900.00
 2370034,ENDO-EMG,$300.00
 2370035,I&D  SIMPLE,$483.00
 2370036,I&D ABCESS COMPLICATED,$695.00
 2370037,LONG ARM CAST,$74.00
 2370038,LONG ARM CAST SCOTCH,$174.75
 2370040,LONG LEG CAST SCOTCH,$324.00
 2370041,LONG LEG CAST WITHOUT WALKER,$107.75
 2370042,LONG LEG CAST WITH WALKER,$113.00
 2370043,SHORT ARM CAST,$64.00
 2370044,SHORT ARM CAST SCOTCH,$118.25
 2370045,SHORT LEG CAST SCOTCH,$165.00
 2370046,SHORT LEG CAST WITH WALKER,$88.25
 2370047,SHORT LEG CAST WITHOUT WALKER,$72.00
 2370048,IV HYDRATION  INITIAL,$324.00
 2370049,IV HYDRATION ADD'L HOUR,$97.00
 2370050,INTRAVENOUS INFUSION THERAPY 31-60M,$75.00
 2370051,SIMPLE REPAIR TO FACE 2.5CM OR LESS,$100.00
 2370053,REPAIR SIMPLE F/E/E/N/LMM 12.6-20.0CM,$250.00
 2370054,SIMPLE REPAIR F/E/E/N/LMM 21.0-30.0CM,$300.00
 2370055,REPAIR COMPLEX TRUNK 1.1-2.5CM,$200.00
 2370056,REPAIR COMPLEX TRUNK 2.6-7.5CM,$250.00
 2370057,REPAIR COMPLEX TRUNK EACH ADDL 5.0CM,$71.14
 2370058,REPAIR COMPLEX SCALP/ARM/LEG 1.1CM - 2.5,$225.00
 2370059,REPAIR COMPF/HEAD/CHEEK ETC1.1CM - 2.5,$300.00
 2370060,REPAIR COMPF/HEAD/CHEEK ETC2.6-7.5,$425.00
 2370061,REPAIR COMP EYELIDS NOSE/EARS1.0CM OR LE,$325.00
 2370062,REPAIR COMP EYELIDS NOSE/EARS 1.1-2.5CM,$325.00
 2370063,REPAIR COMP EYELIDS NOSE/EARS 2.6 -7.5CM,$475.00
 2370064,REPAIR INTERMEDIATE/SCALP/A/T/EX <2.5CM,$150.00
