CHARGES FOR SERVICES RENDERED,,
,,
,,
HCPCS Code,Description,new price
A0425,AMB-MILEAGE/PER MILE,$35.00
A0429,AMB-EMERG (BLS),$768.00
A0427,AMB-EMERG (ALS),$960.00
A0426,AMB-NON-EMERG(ALS),$801.00
A0428,AMB-NON EMERG(BLS),$577.00
A0998,"AMBULANCE RESPONSE AND TREATMENT, NO TRANSPORT",$263.00
93225,HOLTER MONITOR,$481.00
93270,EVENT MONITOR UP TO 30 DAYS,"$1,103.00"
93228,TELEMETRY MONITORING,$62.00
93227,HOLTER PROFESSIONAL COMPONENT,$65.00
93272,EVENT PROFESSIONAL COMPONENT,$60.00
0296T, HOLTER E-PATCH HOOK UP,$79.00
0298T,HOLTER E-PATCH PROFESSIONAL COMPONENT,$36.00
"70480,TC",CT-ORBIT/IAC W/O,"$1,868.00"
"73200,TC",CT-UPPER EXT W/O,"$1,868.00"
"70486,TC",CT-SINUS W/O,"$1,928.00"
"72126,TC",CT-C-SPINE W/,"$1,940.00"
"73701,TC",CT-LOWER EXT W/,"$1,940.00"
"72132,TC",CT-L-SPINE W/,"$1,940.00"
"72129,TC",CT-T-SPINE W/,"$1,940.00"
"73201,TC",CT-UPPER EXT W/,"$1,940.00"
"74150,TC",CT- ABDOMEN W/O,"$1,951.00"
"70490,TC",CT-NECK SOFT TIS W/O,"$2,013.00"
"72127,TC",CT-C-SPINE W/WO,"$2,014.00"
"70470,TC",CT-HEAD W & W/O,"$2,014.00"
"73702,TC",CT-LOWER EXT W/WO,"$2,014.00"
"72133,TC",CT-L-SPINE W/WO,"$2,014.00"
"70488,TC",CT-SINUS W/WO,"$2,014.00"
"72130,TC",CT-T-SPINE W/WO,"$2,014.00"
"73202,TC",CT-UPPER EXT W/WO,"$2,014.00"
"70450,TC",CT-HEAD W/O,"$2,061.00"
"73700,TC",CT-LOWER EXT W/O,"$2,176.00"
"70487,TC",CT-SINUS W/,"$2,198.00"
"72192,TC",CT-PELVIS W/O,"$2,222.00"
"71250,TC",CT-CHEST W/O,"$2,305.00"
"72193,TC",CT-PELVIS W/,"$2,320.00"
"74160,TC",CT-ABDOMEN W/,"$2,322.00"
"72128,TC",CT-T-SPINE W/O,"$2,343.00"
"72131,TC",CT-L-SPINE W/O,"$2,369.00"
"70491,TC",CT-NECK SOFT TIS W/,"$2,371.00"
"72125,TC",CT-C-SPINE W/O,"$2,401.00"
"71260,TC",CT-CHEST W/,"$2,528.00"
"72194,TC",CT-PELVIS W/WO,"$2,586.00"
"70498,TC",CTA NECK,"$2,592.00"
"74170,TC",CT-ABDOMEN W/WO,"$2,628.00"
"70492,TC",CT-NECK ST W/WO,"$2,759.00"
"71270,TC",CT-CHEST W/WO,"$2,861.00"
"70496,TC",CTA HEAD,"$2,992.00"
"74174,TC",CTA-ABD-PELVIS,"$3,076.00"
"75635,TC",CT-CTA RUNOFF,"$3,076.00"
"71275,TC",CT-CTA CHEST,"$3,171.00"
"72191,TC",CTA PELVIS,"$3,213.00"
"74175,TC",CTA ABDOMEN,"$3,226.00"
"74176,TC",CT-ABD-PELVIS W/O,"$3,884.00"
"74177,TC",CT-ABD-PELVIS W/,"$4,583.00"
"74178,TC",CT-ABD-PELVIS W/WO,"$5,058.00"
77003,CT FLUORO NEEDLE GUIDE,$964.00
"70482,TC",CT ORBIT/IAC BILAT W/WO,"$2,014.00"
"77080,TC",DEXA,$500.00
"93306,TC",ECHO COMPLETE W/O,"$2,061.00"
"93308,TC",ECHO LIMITED/FOLLOW UP W/O,"$1,087.00"
"C8929,TC",ECHO COMP W/,"$2,139.00"
"93303,TC",ECHO CONGENITAL CARDIAC ANOMALIES COMPLETE,"$1,593.00"
"C8924,TC",ECHO LTD W/,"$1,215.00"
93005,EKG TRACING ONLY,$249.00
12011,"SIMPLE REPAIR OF SUPERFICIAL WOUND FACE, EARS, EYELIDS, NOSE-2.5CM OR LESS",$135.00
29130,SPLINT-APPLY FINGER,$136.00
29515,SPLINT-APPLY SHORT LEG,$136.00
29125,SPLINT-APPLY SHORT ARM,$162.00
99281,ER LEVEL 1,$179.00
29505,SPLINT-APPLY LONG LEG,$182.00
29105,SPLINT-APPLY LONG ARM,$189.00
99282,ER LEVEL II,$239.00
20553,TRIGGER POINT INJ 3 OR MORE,$255.00
29365,CAST LONG LEG,$308.00
20552,TRIGGER POINT INJ 1 OR 2,$336.00
99283,ER LEVEL III,$360.00
12034,REPAIR INTERMEDIATE SCALP AND/OR EXTREMETIES-7.6CM TO 12.5 CM,$523.00
99284,ER LEVEL IV,$536.00
12041,"LAC INTERM <2.5CM, NECK, HANDS, FEET",$552.00
12013,"SIMPLE REPAIR SUPERFICIAL WOUND FACE, EAR, NOSE 2.6-5.0 CM",$618.00
12006,"LAC, SIMPLE 20.1-30.0 CM SCALP, NECK, TRUNK, EXTREMITIES",$692.00
99285,ER LEVEL V,$798.00
92950,CPR,"$1,336.00"
20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA",$455.00
12054,LAC INTERM 7.6-12.5 FACE,"$1,033.00"
12052,LAC INTERM 2.6-5 CM FACE,$719.00
10060,I&D ABCESS-SIMPLE,$250.00
12002,SIMPLE REPAIR-SUPERFICIAL WOUNDS 2.6CM-7.5CM,$437.00
12001,SIMPLE REPAIR OF SUPERFICIAL WOUNDS-2.5 CM OR LESS,$363.00
88104,CYTOPATHOLOGY NON-GYN,$65.00
84432,THYROGLOBULIN QUANTITATIVE,$69.00
86735,MUMPS,$116.00
80307,"COTININE, URINE",$90.00
86003,BROCCOLI IGE,$67.00
86003,CASHEW IGE,$58.00
86003,COW CASEIN,$51.00
86003,GINGER IGE,$104.00
86003,LETTUCE IGE,$51.00
86003,PISTACHIO IGE,$58.00
"70547,TC",MRA NECK W/O,"$2,812.00"
"71550,TC",MRI CHEST W/O,"$2,823.00"
"73721,TC",MRI LOWER EXT JOINT W/O,"$2,823.00"
"73718,TC",MRI LOWER EXT NON JOINT W/O,"$2,823.00"
"73221,TC",MRI UPPER EXT JOINT W/O,"$2,823.00"
"73218,TC",MRI UPPER EXT NON JOINT W/O,"$2,823.00"
"74181,TC",MRI ABDOMEN W/O,"$2,830.00"
"72195,TC",MRI PELVIS W/O,"$2,830.00"
"70548,TC",MRA NECK W/,"$2,910.00"
"70551,TC",MRI BRAIN W/O,"$2,918.00"
"74185,TC",MRA ABDOMEN W/ OR W/O,"$2,950.00"
"72198,TC",MRA PELVIS W/OR W/O,"$2,950.00"
"73725,TC",MRA LOW EXT W OR W/O,"$2,951.00"
"73723,TC",MRI LOWER EXT JOINT W/WO,"$3,019.00"
"73720,TC",MRI LOWER EXT NON JOINT W/WO,"$3,019.00"
"73223,TC",MRI UPPER EXT JOINT W/WO,"$3,019.00"
"73220,TC",MRI UPPER EXT NON JOINT W/WO,"$3,019.00"
"72159,TC",MRA SPINE W/ OR W/O,"$3,020.00"
"70546,TC",MRA HEAD W/WO,"$3,092.00"
"70549,TC",MRA NECK W/WO,"$3,092.00"
"72157,TC",MRI THORACIC SPINE W/WO,"$3,131.00"
"70540,TC","MRI ORBIT, FACE, NECK W/O","$3,225.00"
"70544,TC",MRA HEAD W/O,"$3,257.00"
"72148,TC",MRI LUMBAR SPINE W/O,"$3,451.00"
"72141,TC",MRI CERVICAL SPINE W/O,"$3,486.00"
"72146,TC",MRI THORACIC SPINE W/O,"$3,500.00"
"70543,TC","MRI ORBIT, FACE, NECK W/WO","$3,732.00"
"72197,TC",MRI PELVIS W/WO,"$3,735.00"
"72156,TC",MRI CERVICAL SPINE W/WO,"$4,024.00"
"72158,TC",MRI LUMBAR SPINE W/WO,"$4,036.00"
"70553,TC",MRI BRAIN W/WO,"$4,078.00"
"74183,TC",MRI ABDOMEN W/WO,"$4,154.00"
99224,"SUBSEQUENT OBS CARE PF, PF, SF-LC",$128.00
99225,"SUBSEQUENT OBS CARE EP, EP, MC",$173.00
99217,OBSERVATION CARE DISCHARGE,$180.00
99218,"INITIAL OBS CARE C,C,LC",$243.00
99226,"SUBSEQUENT OBS CARE D,D,HC",$248.00
99219,"INITIAL OBS CARE C,C,MC",$259.00
99220,"INITIAL OBS CARE C,C,HC",$324.00
96372,THER. INJ. SQ/IM,$140.00
99231,"ROUND IP P,P,LC",$194.00
99307,"ROUND SSB/ECU P,P,SF",$194.00
99232,"ROUND IP EP,EP,MC",$258.00
99308,"ROUND SSB/ECU E,E,LC",$258.00
99238,HOSPITAL DISCHARGE <30 MINUTES,$322.00
99233,"ROUND IP D,D,HC",$322.00
99309,"ROUND SSB/ECU D,D,MC",$322.00
99315,SSB DISCHARGE <30 MINS,$322.00
99310,"ROUND SSB/ECU C,C,HC",$353.00
99239,HOSPITAL DISCHARGE  >30 MINUTE,$385.00
99316,SSB/ECU  DISCHARGE >30 MIN,$385.00
99221,"HOSP. ADMIT C,C,SF-LC",$394.00
99304,"SSB ADMIT  D/C, D/C, LC",$417.00
