"At Augusta University Health System, we strive to provide the information you need to understand every aspect of your care.  In keeping with this promise, AUHS is providing this price list for our services.  Augusta University Health System charges the same for all patients but depending on payment plans negotiated with individual health insurers your responsibility may vary.  Additionally, if a patient is uninsured or underinsured one of our financial counselors can help determine eligibility for discounts by calling (706) 721-8954",
Room and Board - Per Day Charges,
"Room and board charges include the use of a hospital room, meals, routine supplies (such as soap, toothpaste, tissues and other personal care items) and the nursing care received during your stay.  Medications, medical supplies, diagnostic studies, treatment procedures and physician's' services, etc. are billed separately.",
Children's Hospital of Georgia,
Neonatal ICU Level 1, $495.00 
Neonatal ICU Level 2," $1,717.00 "
Neonatal ICU Level 3," $2,669.00 "
Neonatal ICU Level 4," $3,887.00 "
 Medical/Surgical Units, $941.00 
Intermediate Care," $3,203.00 "
Pediatric ICU," $3,887.00 "
Epilepsy- Diagnostic," $1,488.00 "
Epilepsy- External Electrode," $1,808.00 "
Epilepsy - Internal Electrode," $2,059.00 "
AUMC,
Nursery, $495.00 
Continuing Care Nursery," $1,717.00 "
Medical/Surgical Units, $792.00 
Cardiac Level 1," $1,604.00 "
Cardiac Level 2," $1,832.00 "
Cardiac Level 3," $2,175.00 "
Intensive Care Units," $2,174.00 "
Trauma Units," $3,431.00 "
,
Labor and Delivery Charges,
,
"The delivery prices represent average gross charges for an uncomplicated delivery for the mother’s stay. Because each delivery is unique, charges may be higher or lower depending on the needs of the patient. The charges for normal newborn deliveries are based on a well-baby, single birth. These charges are averages only and do not include physician services.",
Uncomplicated Normal Delivery," $12,889.59 "
Uncomplicated Cesarean Section," $21,167.35 "
Normal Newborn Care," $3,123.40 "
,
Physical and Occupational Therapy Charges,
,
These charges represent our most common services offered by our Physical and Occupational Therapy Departments.  Depending on the unique aspects of each treatment patients may encounter additional charges.,
PT Evaluation Low Complexity, $301.00 
PT Evaluation Moderate Complexity, $361.00 
PT Evaluation High Complexity, $421.00 
OT Evaluation Low Complexity, $275.00 
OT Evaluation Moderate Complexity, $325.00 
OT Evaluation High Complexity, $375.00 
Therapeutic Activity Each 15 minutes, $143.00 
Neuromuscular Re-education each 15 minutes, $116.00 
Therapeutic exercise each 15 minutes, $137.00 
Gait Training each 15 minutes, $129.00 
Self Care Management Each 15 minutes, $145.00 
,
X-Ray and Imaging Charges,
,
The following charges represent our most common imaging procedures.  These prices do not include the charges for radiological contrast material or the radiologist's interpretation of the exam.  ,
CT  HEAD Without Contrast," $1,889.00 "
CT Abdomen and Pelvis With and Without Contrast," $5,321.00 "
CT Abdomen and Pelvis with Contrast," $4,715.00 "
CT Abdomen and Pelvis Without Contrast," $4,341.00 "
CT Angiography Chest With And Without Contrast, $957.00 
CT Cervical Spine without Contrast," $2,660.00 "
CT Chest with Contrast," $2,583.00 "
CT Chest Without Contrast," $2,283.00 "
CT FACE Without Contrast," $1,992.00 "
Mammography  Screening Bilateral Digital Breast Tomosynthesis, $90.00 
Mammography diagnostic with Digital Breast Tomosynthesis, $90.00 
Mammography including Computer Aided Detection, $152.00 
MRI Brain With and Without Contrast," $4,692.00 "
MRI Brain Without Contrast," $3,034.00 "
MRI Cervical Spine without Contrast," $3,065.00 "
MRI Lower Extremity any Joint Without Contrast," $2,901.00 "
MRI Lumbar Spine without Contrast," $3,127.00 "
PET Myocardial Perfusion Imaging Studies at Rest," $7,623.00 "
PET Scan from Skull to Thigh," $5,554.00 "
US Gallbladder, $725.00 
US Limited Breast , $332.00 
"US Retroperitoneal (renal, Aorta, lymphatic nodes)", $650.00 
US Thyroid , $719.00 
Xray Abdomen 1 View, $399.00 
Xray Ankle 3 views, $335.00 
Xray Both Knees (standing view), $284.00 
Xray Cervical Spine 2 or 3 Views, $388.00 
Xray Chest 2Views , $353.00 
Xray Chest One View, $314.00 
Xray Elbow 1 View, $296.00 
Xray Elbow 3 Views, $370.00 
XRAY Entire Spine 2-3 Views, $287.00 
XRAY Femur 2 Views, $174.00 
Xray Foot 3 Views, $329.00 
Xray Forearm, $346.00 
Xray Hand 3 Views, $372.00 
XRAY Hip Unilateral 2-3 Views, $174.00 
Xray Knee 1-2 Views, $299.00 
Xray Knee 3 or more views, $429.00 
Xray Lumbar Spine 1 View, $496.00 
Xray Pelvis 1 View, $316.00 
Xray Shoulder 2 Views, $348.00 
Xray Tibula/Fibula, $343.00 
Xray Wrist 3 Views, $364.00 
,
Laboratory Charges,
,
The following charges represent our most common laboratory procedures.  Some tests may also have a physician interpretation of the test which can be billed separately.,
CBC COMPLETE AUTO W-DIFF WBC COUNT, $111.00 
Comprehensive Metabolic Panel, $187.00 
Basic Metabolic Panel, $117.00 
Glucose by Monitoring Device, $111.00 
TSH Highly Sensitive, $167.00 
Dipstick Urinalysis Automated , $80.00 
Prothrombin Time, $111.00 
Hemoglobin A1C, $111.00 
Magnesium, $111.00 
Lipid Panel, $135.00 
Complete Blood Count, $111.00 
Urine Culture, $124.00 
Phosphorus, $21.00 
PTT Activated, $111.00 
T4 FREE Thyroid, $152.00 
 Vitamin D2 D3 25 HYDROXY, $299.00 
Lipase, $132.00 
Sedimentation Rate, $130.00 
,
Outpatient Procedures,
,
###############################################################################################################################################################################################################################################################,
Fine Needle Aspiration with imaging Guidance," $8,002.67 "
Biopsy of the skin 1 lesion," $2,245.75 "
Intralesional Injection up to 7 lesions," $3,024.56 "
Destruction of premalignant lesion, $805.32 
Destruction of Benign lesions up to 14 lesions, $518.30 
Mohs's Procedure 1st Stage (5 Blocks)," $1,688.82 "
Trigger Point Injection 1-2 Muscles," $1,359.07 "
