Chg Code,Description,Price,CPT Code
1216932,AMPICILLIN 500MG CAP,$14.33,Z7610
1321064,CYTOGENETICS DNA-PRO,$104.49,88271
1321066,CYTOGENETICS 10-30  ,$158.38,88273
1218126,ORPHENADR UP TO 60MG,$135.61,J2360
1218672,DIVALPROEX 500MGSRTB,$43.00,Z7610
1314155,BIOTINIDASE         ,$16.75,82261
1413177,LEAD AICD END DUL L1,"$27,684.28",C1895
1314692,HIV-1 AB ELISA      ,$108.10,86701
1314893,ASSAY TOXIN/ANTITOXI,$140.53,87230
7212124,AMIODARONE 30MG INJ ,$7.72,J0282
1331038,S-H RBC LEUKO REDU  ,"$1,288.83",P9016
1331048,S-H PLAT PHER       ,"$1,785.43",P9034
1331072,S-H FFP BTWN8-24HREA,$886.94,P9059
1413184,LEAD PMKR/AICD CMBL1,"$16,348.71",C1899
1522030,BLOOD TRANSF 0 2 HRS,"$1,496.55",36430
1522031,BLOOD TRANSF 2 4 HRS,"$1,889.56",36430
1621543,US-GUIDE NEEDLE PLAC,"$3,522.71",76942
1631513,CT-GUIDE NEEDLE BX  ,"$5,702.28",77012
2811320,S-PROSTATE NDL BX   ,"$3,834.23",SURG 
2811426,S-BX NDL LUNG MEDIA ,"$2,731.89",SURG 
2811432,S-BX NDL LIVER      ,"$2,875.68",47000
1316342,BASIC METABO CA TOTA,"$1,096.58",80048
2811471,S-INS PICC WO SQ O5 ,"$3,235.13",36569
7210361,PREGABALIN 50MG CAP ,$47.41,     
7212336,DIGOXIN 0.25MG/ML IJ,$37.49,J3490
1221179,AA5 D15W 1000ML     ,$555.66,X7700
1219842,TRIFLURID 1%OS 7.5ML,$692.37,     
7212181,METHOTREXATE NA 50MG,$47.41,J9260
7211618,ONDANSETRON 1MG ODT ,$49.61,Z7610
1631501,CT-PELVIS WO        ,"$7,130.99",72192
1631502,CT-PELVIS W         ,"$7,501.85",72193
1631503,CT-PELVIS WWO       ,"$8,655.56",72194
1631517,CT-HEAD WO          ,"$6,887.92",70450
1631518,CT-HEAD W           ,"$6,990.62",70460
1631519,CT-HEAD WWO         ,"$7,877.29",70470
1631520,CT-ORBIT EAR WO     ,"$6,878.79",70480
1631521,CT-ORBIT EAR W      ,"$8,027.93",70481
1631522,CT-ORBIT EAR WWO    ,"$8,655.56",70482
