HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
IND,0020100020,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0020100228,ICU GEN,"$12,247.00",,,,,,,,,,,,,,,,,,,
IND,0020100251,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0020100269,CCU GEN,"$9,776.00",,,,,,,,,,,,,,,,,,,
IND,0020100301,CCU OTHER,"$10,525.00",,,,,,,,,,,,,,,,,,,
IND,0020100616,ISOLATN STERILE,"$3,438.00",,,,,,,,,,,,,,,,,,,
IND,0021200027,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0021500012,PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0021500020,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0021500053,PRIV ISOLATION,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0021500251,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0021500442,SEMI-PRIV O B,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0021500491,SEMI-PRIV PEDS,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0022100119,NEWBORN OTHER,"$2,218.00",,,,,,,,,,,,,,,,,,,
IND,0022100135,NICU NB LVL II,"$10,178.00",,,,,,,,,,,,,,,,,,,
IND,0022100200,NICU NB LVL IV,"$18,417.00",,,,,,,,,,,,,,,,,,,
IND,0022100705,NICU NB LVL III,"$15,218.00",,,,,,,,,,,,,,,,,,,
IND,0023200017,PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0023200025,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0023200058,PRIV ISOLATION,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0023200256,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0023200496,SEMI-PRIV PEDS,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0023300023,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0023300254,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0023300619,ISOLATN STERILE,"$3,438.00",,,,,,,,,,,,,,,,,,,
IND,0023400013,PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
