DEPARTMENT,IVDESC,IVCPTCD,IVPRICE1
CLINIC,ASPIRATION NEEDLE WO GUID,10021,505
SPECIALTY CLINIC,ASPIRATION NEEDLE WO,10021,63
CLINIC,ASPIRATION NEEDLE W/GUIDE,10022,1012
SPECIALTY CLINIC,ASPIRATION WITH GUIDANCE,10022,680
CLINIC,REMOVAL CYST,10040,366
SPECIALTY CLINIC,REMOVAL OF CYST,10040,143
CLINIC,I&D ABSCESS  SIMPLE,10060,260
ER,I&D ABSCESS SIMPLE,10060,184
SPECIALTY CLINIC,I&D SIMPLE,10060,95
CLINIC,I&D ABSCESS COMP/MULTIPLE,10061,659
CLINIC,I&D PILONIDAL CYST-SIMPLE,10080,591
ER,I&D PILONIDAL CYST-SIMPLE,10080,350
CLINIC,INCIS/REMOVAL FB SIMPLE,10120,479
ER,INCISION REMOV FB SIMPLE,10120,276
CLINIC,INCISION/REMOVAL FB COMPL,10121,1414
ER,INCISION REMOVAL FB COMP,10121,1401
CLINIC,I&D HEMATOMA OR FLUID COL,10140,952
CLINIC,PUNCT ASPIR ABSCESS  CYST,10160,446
CLINIC,DEBRIDEMENT 10% BODY SURF,11000,1286
CLINIC,DEBRIDEMENT SKIN P/THICK,11040,166
CLINIC,DEBRIDEMENT SKIN,11041,189
CLINIC,DEBRIDEMENT SKIN/TISSUE,11042,501
MED/SURG,DEBRIDEMENT SKIN SUBCU,11042,521
CLINIC,PARING LESION SINGLE,11055,153
CLINIC,PARING BENIGN LES 2-4,11056,153
CLINIC,BIOPSY SKIN LESION,11100,264
SPECIALTY CLINIC,BIOPSY SKIN SINGLE LESION,11100,241
CLINIC,BIOPSY SKIN ADDTL LESION,11101,119
SPECIALTY CLINIC,BIOSPY SKIN EA ADDTL,11101,107
CLINIC,REMOVAL SKIN TAG (1-15),11200,297
SPECIALTY CLINIC,REM SKIN TAGS UP TO 15,11200,113
CLINIC,REMOVAL SKIN TAG ADDTL 10,11201,76
CLINIC,SHAVING (A L T) 0.5CM OR<,11300,242
SPECIALTY CLINIC,SHAV TRUNK 0.5 CM,11300,143
CLINIC,SHAVING (A L T) 0.6-1CM,11301,330
SPECIALTY CLINIC,SHAV TRUNK 0.6-1.0,11301,143
CLINIC,SHAVING (A L T) 1.0-2.0CM,11302,396
SPECIALTY CLINIC,SHAV TRUNK 1.1-2 CM,11302,143
CLINIC,SHAVING (A L T) >2.0CM,11303,463
SPECIALTY CLINIC,SHAV TRUNK ARMS LEG >2.0,11303,143
CLINIC,"SHAVING F,N,H 0.5CM OR<",11305,246
SPECIALTY CLINIC,"SHAV SCAL,HD,FT,GENIT",11305,143
CLINIC,"SHAVING F,N,H 0.6-1.0CM",11306,273
CLINIC,SHAVING LES FACE 0.5CM,11310,301
SPECIALTY CLINIC,SHAVE LESION FACE 0.5CM,11310,143
CLINIC,SHAVING LES FACE 0.6-1CM,11311,381
SPECIALTY CLINIC,SHAVING LES FACE 0.6-1CM,11311,143
SPECIALTY CLINIC,SHAVING LES FACE 1.1-2CM,11312,143
SPECIALTY CLINIC,SHAV HEAD >2.0 CM,11313,143
CLINIC,EXC LES BENIGN 0.5CM OR <,11400,482
CLINIC,EXC LES BENIGN 0.6-1.0CM,11401,482
CLINIC,EX LES BENIGN 0.6-1.0CM,11401,507
SPECIALTY CLINIC,EX LES BENIGN 0.6-1.0CM,11401,300
CLINIC,EXC LES BENIGN1.1-2.0CM,11402,482
CLINIC,EX LES BENIGN 1.1-2.0CM,11402,485
SPECIALTY CLINIC,EXC LES BENIGN1.1-2.0CM,11402,300
CLINIC,EX LES/BENIGN 2.1-3.0CM,11403,952
CLINIC,EX LES/BENIGN 3.1-4.0CM,11404,952
CLINIC,EX LES/BENIGN 4.0CM OR >,11406,1416
CLINIC,EX LES BENIGN 0.5CM OR <,11420,952
SPECIALTY CLINIC,EX LES BENIGN 0.5CM OR <,11420,300
CLINIC,EX LES BENIGN 0.6-1.0CM,11421,952
CLINIC,EXC LES BENIGN 0.6-1.0,11421,952
SPECIALTY CLINIC,EX LES BENIGN 0.6-1.0CM,11421,300
CLINIC,EXCISE BEN LES 1.1-2CM,11422,952
SPECIALTY CLINIC,EX LES BENIGN 1.1-2.0CM,11422,300
SPECIALTY CLINIC,EXCISE BEN LES 1.1-2CM,11422,300
CLINIC,EXC LES BENIGN 2.1-3.0CM,11423,656
CLINIC,EX LES/BENIGN 2.1-3.0CM,11423,952
CLINIC,EXC LES/BENIGN 3-4.1CM,11424,1415
CLINIC,EX BENIGN LES 0.5CM OR <,11440,480
CLINIC,EXC LES BENIGN 0.5CM OR <,11440,482
SPECIALTY CLINIC,EX LES BENIGN 0.5CM OR <,11440,300
CLINIC,EXC LES BENIGN 0.6-1.0CM,11441,520
CLINIC,EX LES/BENIGN 0.6-1.0CM,11441,577
SPECIALTY CLINIC,EX LES BENIGN 0.6-1.0CM,11441,300
CLINIC,EXC LES BENIGN 1.1-2.0CM,11442,952
SPECIALTY CLINIC,EX LES BENIGN 1.1-2.0CM,11442,300
CLINIC,EXC LES BENIGN 2.1-3.0CM,11443,952
CLINIC,EXCIS MALIG LES 0.5CM OR>,11600,952
CLINIC,EXC MALIGN LES 0.6-1.0CM,11601,787
SPECIALTY CLINIC,EXC MALIGN LES 0.6-1.0CM,11601,300
CLINIC,EXC MALIGN LES 1.1-2.0CM,11602,863
SPECIALTY CLINIC,EXC MALIG 1.1-2.0 CM,11602,300
CLINIC,EXC MALIGN LES 2.1-3CM,11603,952
SPECIALTY CLINIC,EXC MALIGN LES 2.1-3.0CM,11603,350
SPECIALTY CLINIC,EXC TRUNK ARM LEG 3.1-4CM,11604,350
CLINIC,EXC MALIGN LES OVER 4.0CM,11606,1534
CLINIC,EXC MALG LES 0.5CM OR <,11620,952
CLINIC,EXC MALIG LES 0.6-1.0CM,11621,794
SPECIALTY CLINIC,EXC MALIGN LES 0.6-1.0CM,11621,300
CLINIC,EXC MALIG LES 1.1-2.0CM,11622,952
CLINIC,EXC MALIGN LES 2.1-3.0CM,11623,993
SPECIALTY CLINIC,EXC MALIGN LES 2.1-3.0CM,11623,350
CLINIC,EXC MALIGN LES OVER 4.0CM,11626,1423
CLINIC,EXC MALIGN LES 0.5CM OR <,11640,952
SPECIALTY CLINIC,EXC MALIGN LES 0.5CM OR <,11640,300
CLINIC,EXC MALIG LES 0.6-1.0CM,11641,830
SPECIALTY CLINIC,EXC MALIGN LES 0.6-1.0CM,11641,300
CLINIC,EX MALIGN LES 1.1-2.0CM,11642,956
SPECIALTY CLINIC,EXC MALIGN LES 1.1-2.0CM,11642,300
CLINIC,EXC MALIGN FACE 2.1-3CM,11643,1126
SPECIALTY CLINIC,EXC MALIGN LES 2.1-3.0CM,11643,350
CLINIC,EXC MALIGN FACE 3.1-4CM,11644,1384
SPECIALTY CLINIC,EXC MALIGN LES OVER 4.0CM,11646,350
CLINIC,AVULSION NAIL SINGLE,11730,228
CLINIC,AVULSION NAIL SINGLE,11730,228
CLINIC,AVULSION NAIL EA ADDTL,11732,158
CLINIC,EVAC SUBUNGUAL HEMATOMA,11740,161
CLINIC,EX NAIL MATRIX PERMANENT,11750,766
SPECIALTY CLINIC,EXC NAIL PERMANENT,11750,309
CLINIC,EX WEDGE NAIL,11765,466
CLINIC,REMOVAL IMPLANT CONTRACEP,11976,527
CLINIC,REP SIMP 2.5CM OR <,12001,355
ER,REP SIMP 2.5CM OR <,12001,237
CLINIC,REP SIMP  2.6-7.5CM,12002,376
ER,REP SIMP  2.6-7.5CM,12002,237
CLINIC,REP SIMPLE 7.6-12.5CM,12004,663
ER,REP SIMPLE 7.6-12.5CM,12004,291
CLINIC,REP SIMP  12.6-20.0 CM,12005,823
ER,REP SIMP  12.6-20.0CM,12005,291
CLINIC,REP SIMP 20.1-30.0CM,12006,1019
ER,REP SIMP 20.1-30CM,12006,291
CLINIC,REP SIMP 2.5CM OR <,12011,444
ER,REP SIMP 2.5CM OR <,12011,440
CLINIC,REP SIMP 2.0-5.0CM,12013,439
ER,REP SIMP 2.0-5.0CM,12013,435
CLINIC,REP SIMP 5.1-7.5CM,12014,728
ER,REP SIMP 5.0-7.5CM,12014,291
CLINIC,REP SIMP 7.6-12.5CM,12015,914
ER,REP SIMP 7.6-12CM,12015,374
CLINIC,CLOSURE WOUND DEHISCENCE,12020,946
CLINIC,REP INTERMED 2.5CM OR <,12031,411
ER,REP INTERMED 2.5CM OR <,12031,291
CLINIC,REP INTERMED 2.6-7.5CM,12032,426
ER,REP INTERMED 2.6-7.5CM,12032,291
CLINIC,REP INTERMED 7.6-12.5CM,12034,1071
ER,REP INTERMED 7.6-12.5CM,12034,291
SPECIALTY CLINIC,REP INTERM 7.6-12.5CM,12034,368
CLINIC,REP INTERMED 12.6-20.0CM,12035,1300
ER,REP INTERMED 12.6-20.0CM,12035,291
CLINIC,REP INTERMED 20.1CM-30.CM,12036,1419
ER,REP INTERM 20.1CM-30.0CM,12036,549
CLINIC,REP INTERM >30CM,12037,1593
ER,REP INTERMED >30CM,12037,1397
CLINIC,REP INTERMED 2.5CM OR <,12041,887
ER,REP INTERMED 2.5CM OR <,12041,291
CLINIC,REP INTERMED 2.6-7.5CM,12042,1026
ER,REP INTERMED 2.6CM-7.5CM,12042,291
CLINIC,REP INTERMED 7.6-12.5CM,12044,1198
ER,REP INTERMED 7.6-12.5CM,12044,291
CLINIC,REP INTER 20.1CM-30.0CM,12046,1593
ER,REP INTER 20.1CM-30.0CM,12046,596
CLINIC,REP INTERMED 2.5CM OR <,12051,944
CLINIC,REP INTERMED 2.6-5.0CM,12052,1079
ER,REP INTERMED 2.6-5.0CM,12052,291
CLINIC,REP INTERMED 5.1-7.5CM,12053,1187
ER,REP INTERMED 5.1-7.5CM,12053,291
CLINIC,REP INTERMED 7.6-12.5CM,12054,1256
ER,REP INTERMED 7.6-12.5CM,12054,291
CLINIC,REP COMP 1.1-2.5CM,13120,1156
CLINIC,REP COMP 2.6-7.5CM,13121,1570
CLINIC,REP COMP EA ADD 5CM,13122,466
CLINIC,REP COMPLEX 1.1-2.5 CM,13131,1278
ER,REP COMPLEX 1.1-2.5CM,13131,481
CLINIC,REP COMPLEX 2.6-7.5CM,13132,2067
ER,REP COMP 2.6-7.5,13132,1282
CLINIC,REP COMPLEX EA ADD 5CM,13133,603
ER,REP COMPLEX EA ADD 5CM,13133,645
CLINIC,REP COMPLEX 2.6-7.5CM,13152,2003
CLINIC,REP COMPLEX EA ADD 5CM,13153,662
CLINIC,SECONDARY CLOS WOUND EXT,13160,2897
SPECIALTY CLINIC,ADJ TISSUE TRANS 10SQCM <,14060,1865
CLINIC,BURN 1ST DEG INITIAL TX,16000,247
CLINIC,DRESS DEBRI <5% INIT SUB,16020,194
ER,DRESSING WO ANES SMALL,16020,142
CLINIC,DRESS/DEBRID 5-10% MED,16025,508
ER,DRESSING WO ANES MEDIUM,16025,225
CLINIC,DEBRIDE BURN LARGE,16030,629
CLINIC,DESTRUCT LESION BENIGN,17000,200
SPECIALTY CLINIC,DESTRUCTION LESION BENIGN,17000,183
CLINIC,DESTRUCT LES 2-14 BENIGN,17003,23
SPECIALTY CLINIC,DESTRUCTION LESION 2-14,17003,21
CLINIC,DESTRUCT LES>15 BENIGN,17004,333
SPECIALTY CLINIC,DESTRUCTION LESIONS 15<,17004,350
SPECIALTY CLINIC,DESTRUCTION LESION 15+,17004,350
CLINIC,DESTRUCT SKIN UPTO 14 LES,17110,390
SPECIALTY CLINIC,DESTRUCT SKIN UPTO 14 LES,17110,350
CLINIC,DESTRUCT SKIN LES >15,17111,463
SPECIALTY CLINIC,DEST MAL LES TRUNK .6-1.0,17261,143
SPECIALTY CLINIC,DEST LES MAL SCA FT HD GE,17270,143
SPECIALTY CLINIC,DEST MAL LES 1.1-2.0,17272,143
SPECIALTY CLINIC,DEST LESI MALIGNANT FACE,17280,143
CLINIC,CRYOTHERAPY FOR ACNE,17340,186
RADIOLOGY,FISTULA SINUS TRACT INJ,20501,140
CLINIC,REMOVAL FB MUSCLE,20520,952
CLINIC,REMOVAL FB MUSCLE,20520,952
CLINIC,INJ TENDON SHEATH,20550,412
CLINIC,INJ TRIGGER POINT 2MUSC,20552,224
CLINIC,INJ TRIGGER PT 3+ MUSCLES,20553,383
CLINIC,ARTHRO ASPIR/INJ SMALL JT,20600,224
SPECIALTY CLINIC,ARTHRO ASPIR INJ SMALL JT,20600,171
CLINIC,ARTHRO ASPIR/INJ MED JT,20605,417
SPECIALTY CLINIC,ARTHRO ASPIR INJ MEDI JT,20605,171
CLINIC,ARTHRO ASPIR INJ LARGE JT,20610,412
CLINIC,DRAIN/INJ JOINT/BURSA,20610,412
SPECIALTY CLINIC,ARTHRO ASPIR INJ LARGE JT,20610,171
CLINIC,ARTHRO ASPIR/INJ MED JT,20612,191
CLINIC,REMOVAL IMPLAINT SUPERFIC,20670,1415
CLINIC,FX NASAL BONE W/O STABILI,21315,1618
ER,FX NASAL BONE WO MANIP,21315,1601
CLINIC,DISLOCA TM JOINT,21480,321
SPECIALTY CLINIC,EXC TUMOR NECK OR THORAX,21555,300
CLINIC,FX STERNUM CLOSED,21820,469
CLINIC,FX VERTEBRAL PROCESS,22305,655
CLINIC,FX CLAVICULAR WO MANIP,23500,737
ER,FX CLAVICULAR WO MANI,23500,509
CLINIC,DISLOCATION AC W/MANIP,23545,1097
CLINIC,FX SCAPULA W/O MANIP,23570,782
CLINIC,FX PROX HUMERUS W/O MANI,23600,1094
ER,FX HUM PROX WO MANIP,23600,428
CLINIC,FX HUM TUBEROS W/WO MANIP,23620,904
CLINIC,DISLOCA SHOULDER W/O ANES,23650,1032
ER,DISLOCAT SHOULDER W MANIP,23650,428
CLINIC,DISLOCA SHOULDER W/ANES,23655,1353
ER,DISLOCAT SHOULDER W ANES,23655,3669
CLINIC,FX HUM SUPRACOND WO MANIP,24530,1282
ER,FX HUM SUPRACOND WO MANIP,24530,321
CLINIC,FX HUMERUS WO MANIP,24576,1131
