"Hospital
Code",Hospital Description,"Chargemaster
Department
Code",Chargemaster Department Description,"Charge
Code",Charge Description,Price,Zero-Price Explanation
305,East Morgan County Hospital,001,R&B ICU/CCU 1102100,7620545,OBSRV ICU INTERMEDIATE PER HOUR, 102.00 ,
305,East Morgan County Hospital,001,R&B ICU/CCU 1102100,0033241,R&B ICU," 3,101.00 ",
305,East Morgan County Hospital,001,R&B ICU/CCU 1102100,0013243,R&B ICU INTERMEDIATE," 2,445.00 ",
305,East Morgan County Hospital,001,R&B ICU/CCU 1102100,7133754,RECOVERY EXTENDED MED/SURG PER HOUR, 51.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,7620529,OBSRV MEDICAL/SURGICAL PER HOUR, 51.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,7622426,OBSRV OB PER HOUR, 62.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0032011,R&B ICU," 3,101.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0012013,R&B ICU INTERMEDIATE," 2,445.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0012666,R&B ICU INTERMEDIATE," 2,445.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0012682,R&B ICU INTERMEDIATE," 2,445.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0012690,R&B ICU INTERMEDIATE," 2,445.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0035386,R&B ICU NURSERY," 2,436.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0022012,R&B MEDICAL/SURGICAL SEMI-PVT," 1,218.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0022665,R&B MEDICAL/SURGICAL SEMI-PVT," 1,218.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0022681,R&B MEDICAL/SURGICAL SEMI-PVT," 1,218.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0022699,R&B MEDICAL/SURGICAL SEMI-PVT," 1,218.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0023242,R&B MEDICAL/SURGICAL SEMI-PVT," 1,218.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0024083,R&B MEDICAL/SURGICAL SEMI-PVT," 1,218.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0052019,R&B NURSERY LEVEL 1," 1,151.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0052662,R&B NURSERY LEVEL 1," 1,151.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0052696,R&B NURSERY LEVEL 1," 1,151.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0055384,R&B NURSERY LEVEL 1," 1,151.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0082693,R&B NURSERY LEVEL 1 BOARDER," 1,329.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0085381,R&B NURSERY LEVEL 1 BOARDER," 1,329.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0065383,R&B NURSERY LEVEL 2 HIGHER ACUITY," 1,550.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0045385,R&B NURSERY LEVEL 2 LOWER ACUITY," 1,550.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0015388,R&B NURSERY LEVEL 3," 1,919.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0042663,R&B OBSTETRICS SEMI-PVT," 1,484.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0042697,R&B OBSTETRICS SEMI-PVT," 1,484.00 ",
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0062018,R&B SWING BED SKILLED, 724.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0062661,R&B SWING BED SKILLED, 724.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0062687,R&B SWING BED SKILLED, 724.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0062695,R&B SWING BED SKILLED, 724.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0063248,R&B SWING BED SKILLED, 724.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,0064089,R&B SWING BED SKILLED, 724.00 ,
305,East Morgan County Hospital,071,R&B MED/SURG 1104105,7134257,RECOVERY EXTENDED MED/SURG PER HOUR, 51.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690415,ADMISSION DIRECT OBSERVATION HOSP, 154.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690142,ASP BLADDER CATH SUPRAPUB," 2,290.00 ",
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690183,CATH COLLECT SPEC URINE, 74.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690001,CHEMO INF IV 1ST HR, 295.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690019,CHEMO INF IV ADDL HR, 147.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690027,CHEMO INF IV SEQ 1ST HR, 147.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690043,CHEMO IVP ADDL DRUG, 71.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690035,CHEMO IVP INITIAL DRUG, 140.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690258,CHEMO SUBQ/IM NONHORMONAL, 165.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690472,I&D LVL 02 INTRM, 357.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690480,I&D LVL 03 COMPLEX, 382.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690464,I&D/ASP PUNCT LVL 01 SIMPLE, 272.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690225,IMMUNIZATION 1ST VACCINE, 83.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690233,IMMUNIZATION ADDL VACCINE, 54.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690126,INF IV HYDRATION 31-60MIN, 295.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690134,INF IV HYDRATION ADDL HR, 147.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690050,INF IV THRPY 1ST HR, 295.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690068,INF IV THRPY ADDL HR, 147.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690076,INF IV THRPY CONCURRENT, 294.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690084,INF IV THRPY SEQ DRUG NEW 1ST HR, 147.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690274,INJ ANES NRV BLOCK OTHER, 837.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690266,INJ ANES NRV INTERCOSTAL SINGLE, 437.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690241,INJ ANES NRV TRIGEMINAL, 293.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690217,INJ EPID PATCH BLOOD/CLOT, 562.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690118,INJ IVP ADDL SEQ DRUG NEW, 63.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690100,INJ IVP ADDL SEQ DRUG SAME, 70.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690092,INJ IVP INITIAL DRUG, 109.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690290,INJ SHEATH TENDON SGL/LIG/AP, 293.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690282,INJ SUBQ/IM, 83.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690308,INJ TRIGGER POINT/S MUSCLE, 293.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690167,INS CATH BLADDER INDWELL CMPLX, 190.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690159,INS CATH BLADDER INDWELL SMPL, 188.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690175,INS CATH BLADDER NONINDWELL, 184.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690340,LAVAGE PERITONEAL/PARACENTESIS, 411.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690316,PROCEDURE IRRIG BLADDER, 280.00 ,
305,East Morgan County Hospital,249,OBSERVATION PROCEDURES,7690423,PROCEDURE UNLIST OBSRV LVL 01 SMPL, 815.00 ,
