Procedure Name, Procedure Price  
HC R&B PRIVATE MED/SURG," $1,515.38 "
HC R&B PRIVATE PSYCH," $1,483.50 "
HC R&B SEMI PRIVATE MED/SURG," $1,050.00 "
HC R&B SEMI PRIVATE TELEMETRY," $1,355.00 "
HC R&B ICU," $2,157.00 "
HC R&B PRIVATE TELEMETRY," $1,628.00 "
HC R&B STEPDOWN UNIT," $1,237.50 "
HC R&B CRITICAL CARE," $1,650.00 "
"HC IV INFU, HYDRATION, 31-60 MIN", $603.85 
"HC IV INFU, HYDRATION, EA ADD HOUR", $509.73 
"HC IV INFU, THERAP/PROPH/DIAGN, INIT, 1ST HR", $597.00 
"HC IV INFU, THERAP/PROPH/DIAGN, INIT, EA ADD HR", $490.00 
"HC IV INFU, THERAP/PROPH/DIAGN, ADD INF, 1ST HR", $452.12 
"HC IV INFU, THERAP/PROPH/DIAGN,CONCURRENT INF", $443.14 
"HC COLLECTION VENOUS BLOOD,VENIPUNCTURE", $98.02 
HC COLLECTION CAPILLARY BLOOD SPECIMEN, $98.02 
HC CNS DNA/RNA AMP PROBE MULTIPLE SUBTYPES 12-25," $1,604.15 "
HC BASIC METABOLIC PANEL CALCIUM TOTAL, $878.04 
HC ELECTROLYTE PANEL, $376.19 
"HC METABOLIC PANEL,COMPREHENSIVE", $917.10 
HC LIPID PANEL, $590.33 
HC RENAL FUNCTION PANEL," $1,115.63 "
"HC HEPATITIS PANEL,ACUTE", $693.00 
HC HEPATIC FUNCTION PANEL, $712.49 
HC ASSAY OF AMIKACIN, $217.73 
HC ASSAY OF CARBAMAZEPINE TOTAL, $372.51 
HC ASSAY OF CYCLOSPORINE, $289.00 
HC ASSAY OF DIGOXIN, $90.45 
"HC ASSAY OF VALPROIC ACID, TOTAL", $290.00 
HC ASSAY OF ETHOSUXIMIDE, $174.19 
HC ASSAY OF GENTAMICIN, $681.35 
HC DRUG SCREEN QUANTITATIVE LAMOTRIGINE, $197.60 
HC DRUG SCREEN QUANTITATIVE LEVETIRACETAM, $207.50 
HC ASSAY OF LITHIUM, $226.03 
HC ASSAY OF PHENOBARBITAL, $276.01 
"HC ASSAY OF PHENYTOIN, TOTAL", $345.14 
"HC ASSAY OF PHENYTOIN, FREE", $169.07 
HC ASSAY OF PRIMIDONE, $310.15 
HC ASSAY OF ACETAMINOPHEN, $287.97 
HC ASSAY OF TACROLIMUS, $504.00 
HC ASSAY OF THEOPHYLLINE, $312.35 
HC ASSAY OF TOBRAMYCIN, $277.94 
HC ASSAY OF TOPIRAMATE, $177.67 
HC ASSAY OF VANCOMYCIN, $244.00 
"HC QUANTITATIVE ASSAY, DRUG", $237.57 
HC ASSAY OF SALICYLATE, $287.97 
HC KETONE BODIES SERUM QUALITATIVE, $113.00 
HC ASSAY OF ACTH, $421.60 
HC ASSAY OF SERUM ALBUMIN, $177.00 
HC ASSAY OF URINE ALBUMIN, $150.79 
"HC MICROALBUMIN, QUANTITATIVE", $135.96 
HC ASSAY OF ETHANOL, $187.17 
HC ASSAY OF ALDOLASE, $292.81 
HC ASSAY OF ALDOSTERONE, $371.92 
"HC ALPHA-1-ANTITRYPSIN, TOTAL", $167.00 
"HC ALPHA-FETOPROTEIN, SERUM", $496.69 
HC ASSAY OF AMMONIA, $438.28 
HC ASSAY OF AMYLASE, $378.08 
HC ANGIOTENSIN I ENZYME TEST, $434.41 
HC ASSAY OF APOLIPOPROTEIN, $130.53 
HC ASSAY OF ARSENIC, $169.00 
HC ASSAY OF ASCORBIC ACID, $123.00 
HC BETA-2 PROTEIN, $173.00 
HC BILIRUBIN TOTAL, $177.00 
HC BILIRUBIN DIRECT, $222.00 
HC OCCULT BLOOD STOOL, $148.52 
HC ASSAY OF CADMIUM, $145.88 
"HC ASSAY VIT D, 25-HYDROXY W FRACTIONS", $876.00 
HC ASSAY OF CALCITONIN, $400.00 
"HC ASSAY OF CALCIUM, TOTAL", $406.76 
"HC ASSAY OF CALCIUM, IONIZED", $278.86 
HC ASSAY OF CALCIUM IN URINE, $248.44 
"HC CALCULUS ASSAY,QUANTITATIVE", $286.69 
HC ASSAY BLOOD CARBON MONOXIDE, $278.14 
HC CARCINOEMBRYONIC ANTIGEN, $754.97 
"HC ASSAY, THREE CATECHOLAMINES", $280.00 
HC CHEMILUMINESCENT ASSAY, $192.63 
HC ASSAY OF BLOOD CHLORIDE, $245.00 
HC ASSAY OF URINE CHLORIDE, $144.16 
"HC ASSAY, BLD/SERUM CHOLESTEROL", $198.21 
"HC ASSAY, SERUM CHOLINESTERASE", $403.25 
"HC CHROMOTOGRAPHY, QUANT, SINGLE", $279.88 
HC ASSAY OF COPPER, $161.00 
"HC CORTISOL, FREE", $204.18 
HC TOTAL CORTISOL, $270.68 
HC COLUMN CHROMOTOGRAPHY QUANT, $73.80 
HC ASSAY OF CK (CPK), $449.23 
HC ASSAY OF CPK IN BLOOD, $154.71 
"HC CREATINE, MB FRACTION", $598.34 
HC ASSAY OF CREATININE, $259.05 
HC ASSAY OF URINE CREATININE, $236.04 
HC CREATININE CLEARANCE TEST, $333.57 
HC ASSAY OF CRYOGLOBULIN, $131.54 
HC VITAMIN B-12, $260.56 
HC DEHYDROEPIANDROSTERONE-SULFATE, $262.00 
"HC ASSAY VIT D, 1,25-DIHYDROXY W FRACTIONS", $392.00 
HC ASSAY OF ERYTHROPOIETIN, $225.00 
HC ASSAY OF ESTRADIOL, $357.88 
HC ASSAY OF ESTROGEN, $297.00 
HC ASSAY OF ESTRONE, $347.27 
HC ASSAY OF ETHYLENE GLYCOL, $214.00 
"HC FATS/LIPIDS, FECES, QUALITATIVE", $144.87 
HC ASSAY OF FERRITIN, $823.70 
HC BLOOD FOLIC ACID SERUM, $319.00 
"HC ASSAY OF FOLIC ACID, RBC", $238.62 
"HC ASSAY OF GAMMAGLOBULIN IGA, IGD, IGG, IGM, EACH", $251.57 
HC ASSAY OF GAMMAGLOBULIN IGE, $244.13 
HC ASSAY OF GASTRIN, $502.80 
"HC ASSAY GLUCOSE, BODY FLUID", $276.24 
"HC ASSAY QUANTITATIVE,BLOOD GLUCOSE", $461.00 
HC GLUCOSE TOLERANCE TEST (GTT), $447.12 
HC GTT-ADDED SAMPLES, $508.34 
HC ASSAY OF G6PD ENZYME, $105.80 
HC GLUCOSE BLOOD TEST, $48.00 
HC ASSAY OF GGT, $295.00 
HC GONADOTROPIN (FSH), $616.35 
HC GONADOTROPIN (LH), $394.94 
"HC ASSAY OF HAPTOGLOBIN, QUANT", $164.20 
"HC QUANTITATIVE SCREEN, METALS", $210.00 
HC HEMOGLOBIN CHROMOTOGRAPHY, $404.00 
HC GLYCOSYLATED HEMOGLOBIN TEST, $314.71 
HC ASSAY OF PLASMA HEMOGLOBIN, $120.00 
HC ASSAY OF HOMOCYSTINE, $264.59 
HC IMMUNOASSAY ANALYTE QUANT RADIOIMMUNOASSAY, $767.15 
HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS, $394.32 
"HC ASSAY OF INSULIN,TOTAL", $237.00 
HC ASSAY OF IRON, $735.34 
HC IRON BINDING TEST, $348.19 
HC ASSAY OF LACTIC ACID, $186.69 
HC LACTATE (LD) (LDH) ENZYME, $344.00 
HC ASSAY OF LEAD, $436.86 
HC ASSAY OF LIPASE, $325.68 
HC ASSAY OF LIPOPROTEIN(A), $149.50 
"HC ASSAY OF BLOOD LIPOPROTEIN,HDL CHOLEST", $124.14 
HC ASSAY OF MAGNESIUM, $304.56 
HC ASSAY OF MERCURY, $163.18 
HC ASSAY OF METANEPHRINES, $316.59 
"HC MYELIN BASIC PROTEIN,CSF", $219.50 
HC ASSAY OF MYOGLOBIN, $280.85 
HC NATRIURETIC PEPTIDE, $375.97 
"HC NEPHELOMETRY, NOT SPECIFIED", $161.64 
HC ASSAY OF URINE ALKALOIDS, $40.00 
HC OLIGOCLONAL IMMUNOGLOBULIN, $238.67 
"HC ASSAY SNGL ORGANIC ACID, QUANTITATIVE", $924.79 
HC ASSAY OF BLOOD OSMOLALITY, $333.92 
HC ASSAY OF URINE OSMOLALITY, $293.71 
HC ASSAY OF PARATHORMONE," $1,080.08 "
HC PH BODY FLUID NOS, $135.64 
HC ASSAY ALKALINE PHOSPHATASE, $561.45 
"HC ASSAY ALKALINE PHOSPHATASE ,ISOENZYMES", $161.40 
HC ASSAY OF INORGANIC PHOSPHORUS, $211.36 
HC ASSAY OF PORPHOBILINOGEN URINE QUAN, $160.67 
HC ASSAY OF SERUM POTASSIUM, $169.08 
HC ASSAY OF URINE POTASSIUM, $256.72 
HC ASSAY OF PREALBUMIN, $105.00 
HC ASSAY OF PROGESTERONE, $798.52 
HC ASSAY OF PROCALCITONIN, $299.50 
HC ASSAY OF PROLACTIN, $502.38 
"HC PROSTATE SPECIFIC ANTIGEN,FREE", $200.70 
HC PROTEIN TOT XCPT REFRACTOMETRY SERUM, $189.44 
HC PROTEIN TOT XCPT REFRACTOMETRY URINE, $183.79 
HC PROTEIN TOT XCPT REFRACTOMETRY OTH SRC, $297.96 
"HC PROTEIN E-PHORESIS, SERUM", $431.70 
HC PROTEIN E-PHORESIS/URINE/CSF, $409.31 
HC ASSAY OF PROINSULIN, $244.52 
