Description/FIM Description,Primary Price
0.035IN X 260CM JAGWIRE STIFF,$143.00 
0.038IN/260CM BARRX GUIDEWIRE,$417.00 
0200T SACROPLASTY-UNILATERAL,"$9,956.00 "
1.5MM FI APC PROBE,$782.25 
10022 CTG-FINE NEEDLE ASPIRATN,"$1,250.00 "
10F 12CM ADVANIX DUODENAL BEND,$406.35 
10F NAVIFLEX DELIV SYS-TEM RX,$248.85 
"10F/15CM ADVANIX,BILIARY STENT",$406.35 
"10F/18CM ADVANIX,BILIARY STENT",$406.35 
10FR 5CM ADVANIX BILIARY STENT,$163.80 
10FR 7CM ADVANIX BILIARY STENT,$163.80 
10FR 7CM ADVANIX DUODENAL BEND,$406.35 
10FR 9CM ADVANIX DUODENAL BEND,$406.35 
10FR 9CM COT-LEU BILIARY STENT,$141.75 
10FR12CM COT-LEU BILIARY STENT,$141.75 
10FRX4CM ZIMMON BILIARY STENT,$149.10 
10FRX9CM ZIMMON BILIARY STENT,$149.10 
12 LEAD EKG (INCL INTER & RPT),$107.00 
12-15MM EXTRACTOR PRORXBALLOON,$456.75 
12F ENDO FEEDING TUBE,$120.75 
12F ENDOVIVE TTP JEJUNAL TUBE,$564.90 
14171:MEDTRONIC:5071-53,"$4,043.55 "
"14F ENDOVIVE REPL G-TUBE,CURVD",$97.65 
14F X 155CM TIGER N-J TUBE,$472.50 
14X60MM TRACH/BRONCH STENT UC,"$5,922.00 "
15-16.5-18 CRE WIRE BALLOON,$627.90 
15-18MMEXTRACTOR PRORX BALLOON,$456.75 
"160CM ROTH NET RETRIEVER,MINI",$346.50 
17640: ARTERIAL EDWARDS 16 FR,$528.15 
17-HYDROXYPREGNENOLONE ASSAY,$469.00 
19G FLEX EUS ASPIRATION NEEDLE,"$1,354.50 "
1ST HALF HOUR-1ST STAGE RECOV,"$1,036.00 "
1ST ORDER ABD PELV LOWER EXT,"$1,258.00 "
1ST ORDER THOR/BRACHIAL,"$3,575.00 "
1ST-STAGE RECOVERY 0.0-0.5 HR.,"$1,036.00 "
1ST-STAGE RECOVERY 1.5-2.0 HR.,"$1,778.00 "
2.3MM FILTER INTERGRATED PROBE,$782.25 
2.5MM TALON GRASPING DEVICE,$450.45 
201T SACROPLASTY -BILATERAL,"$10,500.00 "
21G SUPERDIMENSION ASP NEEDLE,$323.40 
21G VIZISHOT ASPIRATION NEEDLE,$300.00 
21-HYDROXYLASE FULL GENE ANALY,"$2,030.00 "
22G ENDOBRONCHIAL US BX NEEDLE,$551.25 
22G VIZISHOT ASPIRATION NEEDLE,$300.00 
24HR CONT EEG MONITOR-NO VIDEO,"$3,996.00 "
25G ENDOBRONCHIAL US BX NEEDLE,$551.25 
27MM/12CM WLLFLX DUODENAL STNT,"$7,485.00 "
27MM/6CM WLLFLX DUODENAL STENT,"$7,485.00 "
27MM/9CM WLLFLX DUODENAL STENT,"$7,485.00 "
2D ECHOCARDIOGRAM,"$3,277.00 "
2ND ORDER ABD PELV LOWER EXT,"$1,634.00 "
2ND ORDER THOR/BRACHIAL,"$4,164.00 "
"3.2MM ERCP CANNULA,SWINGTIP",$463.05 
30/25/12 WLLFLX COLONIC STENT,"$7,485.00 "
30/25/6 WALLFLEX COLONIC STENT,"$7,485.00 "
30/25/9 WALLFLEX COLONIC STENT,"$7,485.00 "
33.7MM/4 BARRX SIZING BALLOON,"$1,041.00 "
3D RENDERING W/O POSTPROCESSNG,$394.00 
