"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00097513657,HC PR PARTIAL REMOVAL OF ELBOW,"$3,300.00","$3,300.00"
Px00097513658,HC PR OCCLUDE FALLOPIAN TUBE BY DEVICE,"$3,292.00","$3,292.00"
Px00097513659,"HC PR WRIST ARTHROSCOP,DIAGNOSTIC","$2,967.00","$2,967.00"
Px00097513660,HC PR CHEMODENERVATION ANAL MUSC,"$1,839.00","$1,839.00"
Px00075010315,HC MPU LEVEL 1,"$0.00 | $1,825.00","$0.00 | $1,825.00"
Px00075010316,HC MPU LEVEL 2,"$0.00 | $2,730.00","$0.00 | $2,730.00"
Px00075010317,HC MPU LEVEL 3,"$0.00 | $3,843.00","$0.00 | $3,843.00"
Px00075010318,HC MPU LEVEL 4,"$0.00 | $6,653.00","$0.00 | $6,653.00"
Px00075010319,HC MPU LEVEL 5,"$0.00 | $7,686.00","$0.00 | $7,686.00"
Px00097513661,HC PR REMOVE CERVIX/REPAIR VAGINA,"$3,058.00","$3,058.00"
Px00096310266,HC PR NERVE BLOCK INJ CERVICAL PLEXUS,"$2,252.00","$2,252.00"
Px00030210183,HC HIV-1 AG W/HIV-1 & HIV-2 AB,$63.00,$63.00
Px00068210002,HC TRAUMA RESPONSE W/O CC PARTIAL TEAM,"$5,495.00","$5,495.00"
Px00098311137,HC PR INJ BLADDER X-RAY RETROGRADE,$583.00,$583.00
Px00036119078,"HC INJECTION FOR CHOLANGIOGRAM, EXISTING ACCESS",$728.00,$728.00
Px00036119082,HC CONVERSION EXT BIL DRG CATH,"$1,080.00","$1,080.00"
Px00036119083,HC EXCHANGE BILIARY DRG CATH,$900.00,$900.00
Px00097210129,HC PR EXCHANGE NEPHROSTOMY CATH,"$1,641.00","$1,641.00"
Px00032010604,HC XR ENTIRE SPINE 1 VW,$604.00,$604.00
Px00032010605,HC XR ENTIRE SPINE 2-3 VW,"$1,209.00","$1,209.00"
Px00032010606,HC XR ENTIRE SPINE 4-5 VW,"$1,812.00","$1,812.00"
Px00032010607,HC XR ENTIRE SPINE 6/> VW,"$2,417.00","$2,417.00"
Px00032010608,HC XR HIP UNI 1 VIEW,$459.00,$459.00
Px00032010609,HC XR HIP UNI 2-3 VIEWS,$918.00,$918.00
Px00032010610,HC XR HIP UNI 4/> VIEWS,"$1,374.00","$1,374.00"
Px00032010611,HC XR HIPS BIL 2 VIEWS,$688.00,$688.00
Px00032010612,HC XR HIPS BIL 3-4 VIEWS,"$1,374.00","$1,374.00"
Px00032010613,HC XR HIPS BIL 5/> VIEWS,"$2,063.00","$2,063.00"
Px00032010614,HC XR FEMUR 1 VIEW,$597.00,$597.00
Px00032010615,HC XR FEMUR 2/> VIEWS,$957.00,$957.00
Px00031010703,HC IMMUNOFLUOR ANTB ADDL STAIN,"$1,302.00","$1,302.00"
Px00063610098,HC PR RHO(D) IMMUNE GLOBULIN HUMAN FULL-DOSE IM^,$352.00,$352.00
Px00063610099,HC PR RHO(D) IMMUNE GLOBULIN HUMAN MINI-DOSE IM^,$161.00,$161.00
Px00098311142,"HC PR DESTRUCTION ANAL LESION, SIMPLE, CHEMICAL",$923.00,$923.00
Px00098311143,"HC PR DESTRUCTION ANAL LESION, SIMPLE, CRYOSURGERY",$923.00,$923.00
Px00097513690,"HC PR REVISION/REMOVAL VAGINAL GRAFT, ABDOMINAL APPROACH","$5,929.00","$5,929.00"
Px00097513691,"HC PR EXCISION OF CERVICAL STUMP, ABDOMINAL APPROACH","$4,359.00","$4,359.00"
Px00097513692,"HC PR EXCISION OF CERVICAL STUMP, ABDOMINAL APPROACH, WITH PELVIC FLOOR REPAIR","$4,902.00","$4,902.00"
Px00097513693,"HC PR EXCISION OF CERVICAL STUMP, VAGINAL APPROACH","$2,616.00","$2,616.00"
Px00097513694,"HC PR EXCISION OF CERVICAL STUMP, VAGINAL APPROACH, W/ENTEROCELE REPAIR","$2,835.00","$2,835.00"
Px00097513695,"HC PR VAGINAL HYSTERECTOMY, UTERUS > 250GM, W/REMOVAL TUBES AND/OR OVARIES, W/ENTEROCELE REPAIR","$7,712.00","$7,712.00"
Px00097513696,"HC PR VAGINAL HYSTERECTOMY, UTERUS > 250GM, W/COLPO-URETHROCYSTOPEXY","$7,998.00","$7,998.00"
Px00097513697,"HC PR VAGINAL HYSTERECTOMY, UTERUS > 250GM, W/ENTEROCELE REPAIR","$6,970.00","$6,970.00"
Px00097513698,"HC PR LAPAROSCOPY W/SUPRACERVICAL HYSTERECTOMY, UTERUS > 250GM","$5,187.00","$5,187.00"
Px00097513699,"HC PR LAPAROSCOPY W/SUPRACERVICAL HYSTERECTOMY, UTERUS > 250GM, W/REMOVAL OF TUBES AND/OR OVARIES","$5,801.00","$5,801.00"
Px00097513700,"HC PR LAPAROSCOPY EXCISION MYOMECTOMY, 1-4 MYOMAS, TOTAL WT < 250GM","$5,119.00","$5,119.00"
Px00097513701,"HC PR LAPAROSCOPY EXCISION MYOMECTOMY, 5+ MYOMAS, AND/OR TOTAL WT > 250GM","$6,143.00","$6,143.00"
