Russellville Hospital,,
Standard Charges,,
,,
SVCCD,LONGDESC,Price
83033,SIM LAC HAND TO 2.5,$170.52 
102849,PLATELET ANTIBDY SCR ONC,$409.50 
102855,PLATELET CROSSMATCH ONC,$174.50 
102860,DALBAVANCIN 500MG VIAL PER 5MG,$73.67 
102863,TRAMADOL 100MG ERT,$5.50 
102908,DANTROLENE 20MG J (DANTRIUM),$260.00 
102909,THROMBIN5000UJ,$497.00 
102910,DDAVP 0.2MG T,$4.50 
102911,NEBIVOLOL(BYSTOLIC) 10MG TABLET,$14.00 
102922,ALBUT HFA 90 MCG/PUFF,$11.00 
102929,NEBIVOLOL 5MG T,$11.50 
102936,DONEPEZL HCL 23MG T,$53.50 
102947,FLUTIC/SALMET 45/21 MCG,$10.50 
102951,FLUTIC/SALMET 230/21 MCG,$10.50 
102957,TROSPIUM 20MG TAB,$17.50 
103173,MANUAL REMOVAL PLACENTA,"$1,077.50 "
103319,OBS CARE HOURLY,$71.50 
103347,OBSERVATION DIRECT ADMIT,$110.00 
103363,IV PUSH NEW DRUG,$137.48 
103370,REDADENOSN10MG(0.04)SYRINGE,$276.00 
103378,MICAFUNGIN 1MG J,$7.50 
103386,ISOVUE 100-199MG\ML,$3.50 
103393,ISOVUE 200-299MG\ML,$3.50 
103396,ISOVUE 300-399MG/ML,$3.50 
103401,PRIVATE ROOM,"$2,083.00 "
103403,PRIVATE ROOM ADJUST,"$2,083.00 "
103404,SEMI PRIVATE ROOM,"$2,083.00 "
103405,SEMI PRIVATE ROOM ADJUST,"$2,083.00 "
103410,ROOM & BOARD ISOLATION,"$2,083.00 "
103414,IM/SQ INJECTION,$17.50 
103415,INJECTION ADMIN - IV,$73.00 
103417,OBS CARE INITIAL HR 611,$430.00 
103418,OBS CARE HOURLY 611,$90.00 
103419,INFUSION FIRST HOUR,$166.00 
103431,SWING BED SEMIPRIVATE RM,"$1,562.00 "
103435,INFUSION ADDITIONAL HR,$37.00 
103440,OBSERVATION DIRECT ADMIT,$513.00 
103441,INFUSION THERAP\DIAG 1ST,$166.00 
103442,INFUSION THERAP\DIAG ADD,$37.00 
103443,INFUSION SEQUENTIAL,$37.00 
103444,INFUSION CONCURRENT,$37.00 
103445,IV PUSH NEW DRUG,$73.00 
103446,ADMINISTER VACCINE PHEUMOCOCCAL,$137.48 
103448,ADDL SEQ IV PUSH,$73.00 
103451,INFLUENZA VACCINATION,$137.48 
103452,ADMIN VACCINE PNEUMOCOCCAL,$141.96 
103453,HEPATITIS B VACCINE,$137.48 
103487,OMEPRAZOLE 40MG C,$4.50 
103489,CRICHOTHYROIDTMY EMRG,"$1,173.00 "
103490,CARDENE (NICARDIPINE)20MG/200ML PREMIX B,$335.00 
103497,AMPHETAMIME 10MG TAB,$21.00 
103501,PRIVATE ROOM,"$2,083.00 "
103502,PRIVATE ROOM ADJUST,"$2,083.00 "
103503,SEMI PRIVATE ROOM,"$2,083.00 "
103505,SEMI PRIVATE ROOM ADJUST,"$2,083.00 "
103511,ROOM & BOARD ISOLATION,"$2,083.00 "
103516,IM/SQ INJECTION,$17.50 
103517,INJECTION ADMIN - IV,$73.00 
103519,OBS CARE INITIAL HOUR,$430.00 
103521,INFUSION FIRST HOUR,$166.00 
