MS-DRG,MS-DRG Title,2019 avg,
0003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$369,918.08",
0004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$223,743.95",
0011,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC","$136,361.65",
0013,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC","$61,254.45",
0020,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,"$300,290.28",
0021,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,"$196,698.09",
0022,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,"$146,968.43",
0023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"$140,225.06",
0024,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"$97,554.86",
0025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"$134,428.86",
0026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"$109,583.47",
0027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$79,572.16",
0028,SPINAL PROCEDURES W MCC,"$72,490.17",
0029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"$117,760.02",
0030,SPINAL PROCEDURES W/O CC/MCC,"$65,635.00",
0031,VENTRICULAR SHUNT PROCEDURES W MCC,"$58,235.92",
0032,VENTRICULAR SHUNT PROCEDURES W CC,"$40,945.83",
0033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"$41,301.50",
0035,CAROTID ARTERY STENT PROCEDURE W CC,"$125,125.80",
