Procedure Name,  Price   
MICU PRIVATE,"$7,400.00 "
CVICU PRIVATE,"$7,400.00 "
REHABILITATION RM,"$3,100.00 "
MED/SURG PRIVATE,"$3,100.00 "
MED/SURG PRIVATE,"$3,100.00 "
TELE PRIVATE,"$5,500.00 "
TELE PRIVATE,"$5,500.00 "
SEMI-PRIVATE,"$3,100.00 "
STEPDOWN UNIT PRIVATE,"$6,450.00 "
MICU PRIVATE,"$7,400.00 "
STEPDOWN UNIT PRIVATE,"$6,450.00 "
NICU PRIVATE,"$7,900.00 "
SBSQ HOSPITAL CARE/DAY 15 MIN,$117.25 
SBSQ HOSPITAL CARE/DAY 25 MIN,$192.00 
SBSQ HOSPITAL CARE/DAY 35 MIN,$289.95 
NEONATE CRIT CARE SUBSQ<28 DAY,"$1,320.00 "
PED CRITICAL CARE SUBSQ29D-24M,$977.00 
IC LBW INF &lt; 1500 GM SUBSQ,$693.00 
IC LBW INF 1500-2500 G SUBSQ,$520.00 
CCU INITIAL <28 DAYS OLD IP,"$2,380.33 "
PF MED TEAM CONF MD W/O PT 30M,$159.00 
MED/SURG PRIVATE,"$3,100.00 "
MED/SURG PRIVATE,"$3,100.00 "
TELE PRIVATE,"$5,500.00 "
MED/SURG PRIVATE,"$3,100.00 "
TELE PRIVATE,"$5,500.00 "
OB PRIVATE,"$3,100.00 "
NURSERY PRIVATE,"$1,800.00 "
DELIV SIMPLE/UNCOMPLIC,"$1,000.00 "
NON-STRESS TEST,$482.10 
INSERT CERV RIPENING AGN,$720.00 
AMNIO INFUSION,"$1,055.00 "
SURGERY SETUP & CANCEL,$556.00 
OB OBSERVATION PER HR,$76.50 
LABOR 1ST HR,"$1,076.00 "
LABOR ADD HR,$150.00 
DELIV COMPLX/COMPLIC,"$1,500.00 "
OB SURG 1ST HR MAJOR,"$1,479.00 "
OB SURG ADD MIN MAJOR,$25.00 
RECOV POST-SURG 1 HR,$400.00 
RECOV POST-SURG ADD15 MIN,$100.00 
RECOV POST-VAG 1 HR,$360.00 
RECOV POST VAG ADD15 MIN,$90.00 
TOCOLYSIS,"$6,818.31 "
STERILE SPECULUM EXAM,$129.60 
PITOCIN INDUCT/AUGMENT,$450.00 
PITOCIN AUGMENTATION,$250.00 
MAGNESIUM SULFATE,$450.00 
CERCLAGE REMOVAL,"$6,818.31 "
DELIV C-SECT 1ST HR,"$1,479.00 "
DELIV C-SECT ADD 15 MIN,$369.75 
INIT HEARING SCREEN ,$98.00 
"UA DIPSTICK, NON-AUTO,WO MICRO",$17.60 
