"Description                             ","Price     "
"PRE EMPLOYMENT SCREEN                   ","     75.00"
"AGILITY-CONRAD YELVINGTON DIST.         ","     56.25"
"PHYSICAL PERFORMANCE TEST-EQUITY TECHNOL","    112.50"
"PHYSICAL PERFORMANCE TEST-GREAT LAKES DR","     45.00"
"PHYSICAL PERFORMANCE TEST-GULF DITRIBUTI","     45.00"
"PHYSICAL PERFORMANCE TEST-HALLIBURTON EN","     18.75"
"AGILITY TESTING-HAVERTY FURNITURE CO    ","     75.00"
"PRE EMPLOYMENT SCREEN-KIRBY INLAND MARIN","     75.00"
"PHYSICAL PERFORMANCE TEST-LIFE SOUTH CO ","     45.00"
"AGILITY TEST-LIFE SOUTH COMMUNITY BLOOD ","     56.25"
"PHYSICAL PERFORMANCE TEST-MOBILE AIRPORT","     45.00"
"PHYSICAL PERFORMANCE:CAPTAINS-MARTIN MAR","     45.00"
"PHYSICAL PERFORMANCE TEST-HIGMAN BARGE L","     45.00"
"PRE EMPLOYMENT SCREEN-ALTA POINTE       ","     56.25"
"AGILITY-ALTA POINTE                     ","     18.75"
"PRE EMPLOYMENT SCREEN BASIC-OLD CASTE SO","     56.25"
"PRE EMPLOYMENT SCREEN II-RAIN FOR RENT  ","     93.75"
"AGILITY-PARAGON SYSTEMS                 ","     56.25"
"PHYSICAL PERFORMANCE TEST-SEABULK TOWING","     45.00"
"PHYSICAL PERFORMANCE TEST-MOBILE TRANSIT","     45.00"
"PRE EMPLOYMENT SCREEN-WORK WELL         ","     41.25"
"FUNCTIONAL CAPACITY EVAL-2-DAY WORKWELL ","    775.00"
"FCE NO SHOW/MEDICAL CONTRAINDICATION    ","    400.00"
"FCE CANCEL LESS THAN 48 HOURS NOTICE-WOR","    250.00"
"TENS INITIAL / CHECK                    ","     69.05"
"MUSCLE TEST TRUNK/EXT/ROM               ","     71.60"
"PT INITIAL EVAL                         ","    166.30"
"PARAFFIN BATH - DYMCA                   ","     79.00"
"PT Partial Eval                         ","     86.25"
"TRACTION MECHANICAL                     ","     56.75"
"E-Stimulation                           ","     78.35"
"Jobst Pump Set Up                       ","     94.00"
"Manual E-Stim /15 min attended          ","     78.35"
"Iontophoresis /15 min                   ","     56.75"
"BLADE MYRINGOTOMY BEAVER BC377120 (USE P","     47.12"
"ELECTRODE LAPOROSCOPIC 36MM E3771-36C (R","   1152.01"
"TUBE GASTROSTOMY MAGNA-PORT18 FR.-84-720","     47.95"
"CUTTER ARTICULATING LINEAR 340MM ECHELON","   1148.07"
"SET EXTENSION SMALL BORE 6              ","      3.57"
"US / Phonophoresis /15 min              ","     54.20"
"THERAPEUTIC EXERCISE                    ","     61.60"
"Neuromuscular Re-Ed /15min              ","     73.90"
"Gait Training /15 min                   ","     65.05"
"Massage per Visit /15MIN                ","     63.50"
"Manual Therapy Techniques               ","     61.40"
"KINETIC PT ACTIVITIES /15MIN            ","     60.35"
"ADL/PT FAMILY ED /15 min                ","     51.25"
"WHEELCHAIR MGT TRAINING /15MIN          ","     32.05"
"Isokinetic Test                         ","     79.20"
"Ortho MGT Training /15 min              ","    147.85"
"Prosthetic Training /15 min             ","    147.85"
"Sensory Intergration                    ","     30.80"
"P.T. EVALUATION:LOW COMPLEXITY-TMC      ","    275.00"
"P.T. EVALUATION:MODERATE COMPLEXITY-TMC ","    300.00"
"P.T. EVALUATION:HIGH COMPLEXITY-TMC     ","    325.00"
"PRE-EVAL P.T. ESTABLISHED POC-TMC       ","    150.00"
"P.T. EVAL:LOW COMPLEXITY-WH TMC         ","    275.00"
"P.T. EVAL:MODERATE COMPLEXITY-WH TMC    ","    300.00"
"P.T. EVAL:HIGH COMPLEXITY-WH TMC        ","    325.00"
"RE-EVAL P.T. ESTABLISHED POC-WH TMC     ","    150.00"
"TIP FAN SPRAY (LOW SPLASH)              ","     45.68"
"CANNULA NASAL ETCO2  7  ADULT CO2/O2  U/","     36.91"
"ADAPTER TRULINK NOMOLINE SIDESTREAM CO2 ","     62.07"
"WOC/TREATMENT WOUND VAC APPLICATION-INIT","    304.00"
"PATIENT/FAMILY E.T. INSTRUCTION/TREATMEN","    200.00"
"ROUTINE VISIT E.T.                      ","     83.00"
"DERMAL EVALUATION  I/P        ET        ","    108.00"
"VISUAL EVOKED RESP-TECH                 ","    737.70"
"AUDITORY EVOKED RESP-TECH               ","    794.50"
"DERMAL TREATMENT  I/P    ET             ","    161.00"
"EYEBLINK REFLEX-TECH                    ","     65.00"
"SPLINT BASEBALL PADDED SMALL  12/CS #121","      4.29"
"ESOPHAGEAL MANOMETRY-TECH               ","   1050.70"
"EEG AWAKE & DROWSY 10/20 -TECH          ","    508.00"
"EEG 10/20 SLP & AWAKE-TECH              ","    616.00"
"TENSILON TEST; W/O EMG--TECH            ","    653.45"
"COLOSTOMY IRRIGATION                    ","    304.00"
"SPLINT BASEBALL PADDED MEDIUM  79-72095 ","      4.29"
"SPLINT BASEBALL PADDED LARGE  12/CS #121","      4.29"
"CIRCUMCISION CLAMP PROCEDURE  - NEONATAL","   1050.00"
"P.T. RE-EVAL                            ","    254.00"
"NEUROMUSC RE-ED EA 15 MIN               ","     73.90"
"CARDIOVERSION                           ","    566.00"
"ELEC. STIMULATION CONSTANT ATTEND EA 15 ","     78.35"
"CARDIAC REHAB MAINT ASSESS              ","     55.00"
"CARDIAC REHAB MAINT FEE (IND)           ","     49.50"
"NEUROMUSC RE-EDUCATION EA 15 MIN.       ","     73.90"
"CARDIAC REHAB W/O CONT.ECG MONITORING   ","    180.00"
"CARDIAC REHAB W/CONT.ECG MONITORING     ","    180.00"
"PULM. REHAB, 1 HR. SESSION INCLUDING EXE","    250.00"
"OBSERV-I/P HOSP E&M ADMIT/DISCHARGE SAME","      0.01"
"THER. PROCEDURE TO IMPROVE RESP FX & STR","     30.00"
