Virtua Health Charge Master - 2019,
,
,
CDM Description, Price 
5FR BALLOON TIP PACING WIRE,"$1,193.40 "
abacavir 300 mg tablet 30 each BLIST PACK,$88.49 
abacavir 300 mg tablet 60 each Bottle,$102.56 
abacavir-lamivudine-zidovudine 300-150-300 mg tablet 60 each Bottle,$295.82 
abatacept per 10 mg,"$10,682.21 "
abciximab per 10 mg,"$12,639.98 "
ABDUCTION PILLOW,$148.98 
ABDUCTION PILLOW LG WHITE,$694.47 
ABDUCTION PILLOW SM,$369.88 
ABRADER LATERAL 70DEG ANGLED,$336.60 
ABRADER MEDIAL 25DEG ANGLED,$336.60 
ABRADER MICRO DENTAL STRAIGHT,$336.60 
ABSORBER MULTI 0.8KG WHITE MEDISORB,$101.59 
ABUTEMENT 14MM,"$5,968.28 "
ABUTMENT 10MM DERMALOCK BAHA,"$8,346.00 "
ABUTMENT 12MM,"$5,968.28 "
ABUTMENT 12MM DERMALOCK BAHA,"$8,346.00 "
ABUTMENT 14MM DERMALOCK BAHA,"$8,346.00 "
ABUTMENT 6MM,"$5,968.28 "
ABUTMENT 6MM DERMALOCK BAHA,"$8,346.00 "
ABUTMENT 8MM DERMALOCK BAHA,"$8,346.00 "
ABUTMENT 9MM,"$5,968.28 "
ACAPELLA BLUE PEP SYSTEM W/MOUTHPIECE,$305.85 
ACAPELLA GREEN PEP SYSTEM,$305.85 
acarbose 50 mg tablet 100 each BLIST PACK,$5.25 
acarbose 50 mg tablet 100 each Bottle,$5.00 
ACCESS KIT 6 IN NEEDLE,$688.50 
ACCESS PORT 150MM SMOOTH W/BLUNT-TIP AIRSEAL,$678.94 
ACCESS SYSTEM 5X100MM BALLOON BLUNT-TIP KII,$130.05 
ACCESSORY BASKET UNIVERSAL,"$2,486.25 "
ACCESSORY KIT,"$1,608.75 "
ACCESSORY KIT 20/30 PRIORITY PACK W/HEMOSTATIC VA,$344.25 
ACCESSORY KIT 3.5MM INSTAFIX,"$2,581.88 "
ACCESSORY KIT EPG HEADER,"$1,530.00 "
ACCESSORY KIT W/TORQUE WRENCH 4IN,$420.75 
ACCUDRAIN WITH ANTI-REFLUX,"$2,042.17 "
ACCUGRID SPECIMEN XRAY SYS DIS,$153.64 
ACETAB 60MM SZ25 RINGLOC + LIMITED-H COMPONENT,"$6,329.70 "
ACETAB RECON SYST MAX-TI 68MM 3FLANGE RGT,"$16,758.60 "
"acetaminophen 1,000 mg/100 mL (10 mg/mL) solution 100 mL Vial",$409.42 
acetaminophen 100 mg/mL drops 15 mL DROP BTL,$18.99 
acetaminophen 120 mg suppository 1 each Box,$3.97 
acetaminophen 120 mg suppository 12 each Box,$4.02 
acetaminophen 120 mg suppository 50 each Box,$4.12 
acetaminophen 160 mg/5 mL (5 mL) suspension 5 mL Cup,$20.74 
acetaminophen 325 mg suppository 12 each Box,$1.23 
acetaminophen 325 mg suppository 50 each Box,$1.23 
"acetaminophen 325 mg tablet 1,000 each Bottle",$0.22 
acetaminophen 325 mg tablet 100 each BLIST PACK,$0.47 
acetaminophen 650 mg suppository 12 each Box,$0.67 
acetaminophen 650 mg suppository 50 each Box,$0.56 
acetaminophen 650 mg/20.3 mL solution 20.3 mL BLIST PACK,$1.51 
acetaminophen 650 mg/20.3 mL solution 20.3 mL Cup,$2.30 
"acetaminophen 80 mg tablet,chewable 30 each Bottle",$0.38 
acetaminophen-codeine 120 mg-12 mg /5 mL (5 mL) solution 5 mL Cup,$30.32 
acetaminophen-codeine 300-30 mg tablet 1 each BLIST PACK,$3.31 
acetaminophen-codeine 300-30 mg tablet 100 each BLIST PACK,$6.23 
acetaZOLAMIDE 250 mg tablet 100 each Bottle,$29.44 
"acetaZOLAMIDE 500 mg capsule, extended release 100 each Bottle",$43.84 
acetazolamide per 500 mg,$423.72 
acetic acid (bulk) 3 % liquid 500 mL Bottle,$684.07 
"acetic acid 0.25 % solution 1,000 mL Bottle",$61.26 
acetic acid 2 % solution 15 mL Bottle,$408.45 
acetic acid 2 % solution 15 mL DROP BTL,$408.45 
acetic acid 5 % liquid 500 mL Bottle,$714.70 
acetylcysteine 100 mg/mL (10 %) solution 30 mL Vial,$101.69 
acetylcysteine 100 mg/mL (10 %) solution 4 mL Vial,$261.17 
acetylcysteine 200 mg/mL (20 %) solution 10 mL Vial,$12.41 
acetylcysteine 200 mg/mL (20 %) solution 2 mL Syringe,$38.20 
acetylcysteine 200 mg/mL (20 %) solution 30 mL Vial,$17.41 
acetylcysteine 200 mg/mL (20 %) solution 4 mL Vial,$190.98 
acetylcysteine per 100 mg,$440.31 
ACHIEVE BIOPSY SYSTEM CA20/11,$340.64 
ACHIEVE BIOPSY SYSTEM CA20/15,$340.64 
ACHILLES TENDON,"$8,624.07 "
ACL INSTRUMENTATION SYSTEM,"$1,912.50 "
ACL KIT,"$3,060.00 "
ACL KIT DISP,"$1,147.50 "
ACL RECONSTRUCTION TIGHTRO IMPL DELIVERY SYSTEM,"$2,500.88 "
ACL RECONSTRUCTION TIGHTROPE RT IMPL,"$1,945.13 "
ACL TRANSTIBIAL KIT DISP - 1897S,$327.04 
ACL TRANSTIBIAL KIT DISP - 1898S,"$1,053.79 "
ACP KIT,"$1,271.81 "
ACP KIT SERIES II AUTOLOUS CONDITIONED PLASMA SYST,"$1,912.50 "
ACROSEAL,$287.56 
ACTIFUSE SHAPE L CYLINDER 15 X 45MM,"$4,805.00 "
ACTIFUSE SHAPE L STRIP 25X7MM,"$9,021.00 "
ACTIFUSE SHAPE LARGE STRIP 90 X 25 X 7MM,"$9,207.00 "
ACTIFUSE SHAPE M CYLINDER 15X15MM,"$4,387.50 "
ACTIFUSE SHAPE S CYLINDER 15 X 15MM,"$4,387.50 "
ACTIFUSE SHAPE S CYLINDER 15 X 9MM,"$2,340.00 "
activated charcoal 50 gram/240 mL suspension 240 mL Bottle,$414.12 
ACTIVATOR SELF CURE 4.5ML,"$1,095.40 "
ACTIVE CORD UNIVERSAL MONOPOLAR,$650.25 
acyclovir (5 mg/mL) 10 mL Bag,$163.36 
acyclovir 200 mg capsule 100 each Bottle,$29.77 
acyclovir 200 mg/5 mL suspension 473 mL Bottle,"$4,544.40 "
acyclovir 5 % ointment 15 g Tube,"$4,071.80 "
acyclovir 800 mg tablet 100 each Bottle,$37.44 
acyclovir per 5 mg,$306.30 
adalimumab per 20 mg,"$26,180.74 "
ADAPTER 11-PIN GE,$191.25 
ADAPTER 8 CHANNEL 10CM,"$5,053.00 "
ADAPTER ACCEPTS INSTRU 9.0FR CHECK-FLO,$100.14 
ADAPTER ACCESSORY CHECK FLO,$88.13 
ADAPTER ACMI/STRYKER  RELIEVA LUMA,$267.75 
ADAPTER AGENT KEYED VAPOFILL,$619.65 
ADAPTER AIR WATER CHAN CLEANER,$729.81 
ADAPTER BARB CONNECTOR 1/4,$141.37 
ADAPTER BOX TRIGGER AUTOSONIX,$734.63 
ADAPTER BRONCHOSCOPE OLYMPUS SUPERDIMENSION,$275.53 
ADAPTER CABLE HF 4MM PIN 3MM,$581.40 
ADAPTER CELLULAR 3G USB LATITUDE,"$1,164.15 "
ADAPTER CHANNEL CLEANING,$981.11 
ADAPTER CLEANING SUCTION DUODENOVIDEOSCOPE EVIS EXERA II,$361.46 
ADAPTER CONTINUOUS FLOW IRRIGATION,"$7,497.00 "
ADAPTER CORD ESU HI CAPACITY 75W,"$1,338.75 "
ADAPTER DISPOSABLE PACE-LOC,$153.98 
ADAPTER DRIVE/4.0 SHANZ SCREWS,"$1,420.15 "
ADAPTER DUAL SPIKE 8 IN,$89.12 
ADAPTER DUAL-TO-DIN 5IN ENDOTRACHEAL TUBE EMG,$76.50 
ADAPTER EASYFILL ISOFLURANE,$334.61 
ADAPTER EASYFILL SEVOFLURANE,$262.32 
ADAPTER FUNNEL-FILL ANTISPILL FORANE/ISOFLURANE,$191.25 
ADAPTER INFUSION 4.5MM,"$1,417.16 "
ADAPTER LENGTH -6MM HIP-NECK STAGEONE SELECT,"$1,638.00 "
ADAPTER LIGHT CABLE,$615.83 
ADAPTER LIGHT CABLE STORZ WOLF,$114.75 
ADAPTER LIGHT GUIDE FOR OES 4000 LIGHT-GUIDE CABLE,$397.19 
ADAPTER LIGHT GUIDE STORZ,$749.70 
ADAPTER LIGHT-GUIDE FOR ENF-GP FIBERSCOPE,"$1,769.29 "
ADAPTER LIGHT-GUIDE OLYMPUS OES PROLIGHT GUIDE CAB,"$1,545.91 "
ADAPTER MAGNUM 52-60 +3,"$1,608.75 "
ADAPTER MAGNUM 52-60 MINUS 3,"$1,608.75 "
ADAPTER MAGNUM 52-60MM PLUS,"$1,608.75 "
ADAPTER MAGNUM 52-60MM STND,"$1,608.75 "
ADAPTER MINI-TAPER SHOULDER COMPREHENSIVE,"$1,193.40 "
ADAPTER MORSE TPR +10MM,$141.86 
ADAPTER MORSE TPR +5MM,$141.86 
ADAPTER MORSE TPR STANDARD,$28.37 
ADAPTER NECK-LENGTH +6,"$2,142.00 "
ADAPTER OFFSET 2.5MM W/SCREWS VANGUARD KNEE SYSTEM,"$4,206.15 "
ADAPTER OFFSET 4MM,"$6,730.39 "
ADAPTER OFFSET 5.0MM VANGUARD 360,"$4,206.15 "
ADAPTER OFFSET 5MM,"$6,730.39 "
ADAPTER OFFSET 6MM,"$6,730.39 "
ADAPTER OFFSET 7.5MM W/SCREWS VANGUARD KNEE SYSTEM,"$4,206.15 "
ADAPTER OFFSET LONG WIRE BOLT CIRCULAR EXTERNAL FI,"$2,321.39 "
ADAPTER PIN SHORT APEX,"$3,043.17 "
ADAPTER POWER COAXIAL CHEST DRAIN SYSTEM THOPAZ,$994.50 
ADAPTER PROBE FIAPC,"$1,491.75 "
ADAPTER RIGHT ANGLE,"$1,464.82 "
