Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
164,GERI PSY ISOLATION,$600.00 
83033,SIM LAC HAND TO 2.5,$170.52 
102860,DALBAVANCIN 500MG VI,$73.67 
102863,TRAMADOL 100MG ERT,$5.50 
102908,DANTROLENE 20MG J,$260.00 
102909,THROMBIN 5000UJ,$481.50 
102910,DDAVP 0.2MG T,$4.50 
102911,NEBIVOLOL 10 MG T,$14.00 
102922,ALBUT HFA 90 MCG/PUF,$10.50 
102925,PROCALCITONIN,$146.00 
102929,NEBIVOLOL 5MG T,$11.00 
102936,DONEPEZL HCL 23MG T,$54.50 
102947,FLUTIC/SALMET 45/21,$10.00 
102951,FLUTIC/SALMET 230/21,$10.00 
102957,TROSPIUM 20MG TAB,$17.50 
103027,CHEMO THERAPY SQ/IM,$151.00 
103301,PRIVATE ROOM,"$2,083.00 "
103302,PRIVATE ROOM ADJUST,"$2,083.00 "
103303,SEMI PRIVATE ROOM,"$2,083.00 "
103304,SEMI PRIVATE ROOM AD,"$2,083.00 "
103309,ROOM & BOARD ISOLATI,"$2,083.00 "
103315,IM/SQ INJECTION,$45.00 
103316,IV PUSH INITIAL DRUG,$70.50 
103318,OBS CARE INITIAL HOU,$430.00 
103319,OBS CARE HOURLY,$90.00 
103321,IV HYDRATION 1ST HR,$160.00 
103337,SWING BED SEMIPRIVAT,"$1,562.00 "
103339,TRANSFUSION,$692.50 
103341,IV HYDRATION ADDL HR,$35.50 
103343,ADMIN VAC PNEUMO,$137.48 
103347,OBSERVATION DIRECT A,$430.00 
103359,INFUSION THERAP\DIAG,$321.00 
103360,INFUSION THERAP\DIAG,$35.50 
103361,INFUSION SEQUENTIAL,$37.00 
103362,INFUSION CONCURRENT,$35.50 
103363,IV PUSH NEW DRUG,$70.50 
103370,REGADENOSON 0.1MG(4),$281.00 
103378,MICAFUNGIN 1MG J,$7.50 
103386,ISOVUE 100-199MG\ML,$3.50 
103393,ISOVUE 200-299MG\ML,$3.50 
103396,ISOVUE 300-399MG/ML,$3.50 
103432,SWING BED SEMIPRIVAT,"$1,562.00 "
