Description, Base Price 
"""Cement, Simplex HV w/Gentamicin""", 711.00 
"""Hernia Patch, Ventralex 6.4cm/2.5in"""," 1,437.00 "
"""Hernia Patch, Ventralex 8cm/3.2in"""," 1,843.00 "
"#2 FiberWire, 38"" (blue) w/Tapered Needle, 26.5 mm, 1/2 Circle AR-7200", 79.50 
"(INFUS CENTER) THERAPEUTIC, PROPHYLACTIC, OR DIAG INJ (SPECIFY SUBSTANCE OR DRUG):EACH ADD SEQ INTRA", 65.00 
"(Med/Surg) THERAPEUTIC, PROPHYLACTIC, OR DIAG INJ (SPECIFY SUBSTANCE OR DRUG):EACH ADD SEQ INTRA PUS", 65.00 
.Antimicrb Sus Fungus CLS, 128.00 
.Antinuclear Antibody Titer MCL, 172.00 
.Campylobacter Antigen MCL, 65.00 
.CK MB MCL, 54.00 
.Differential Automated MCL, 59.00 
.Fungal ID CLS, 149.00 
.Glucose Fasting, 144.00 
.GTT Fasting Glucose, 149.00 
.GTT-2 Hr, 60.00 
.GTT-3 Hr, 60.00 
.Identification Definitive Aerobic CLS, 38.00 
.Lead Level Confirmation MCL, -   
.Lyme DSE AB Western Blot CLS, 429.00 
.MIC-Aerobic Bacteria CLS, 128.00 
.Microalbumin Urine Random MCL, 45.00 
.Miscellaneous RL MCL, -   
.Peripheral Blood Smear Pathologist MCL, 68.00 
.Prostate Specific Antigen Diagnostic MCL, 169.00 
.Protein Total MCL, 33.00 
.Protein Urine Timed MCL, 110.00 
.Sensitivity MIC CLS, 128.00 
"[Clinic] Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membra", 337.00 
"0521Inj(s); Single Tendon Sheath, or Ligament, Aponeurosis (eg, Planterar Fascia) Med Admin POC", 123.00 
0960 20610 ASP INJ JOINT BURSA MAJOR JT CHARGE, 110.00 
0982 OP 20610 ARTHROCENTESIS/ASPIR/INJECT MAJOR JOINT, 162.00 
10120 INC REM FB SUBQ TISSUE SIMPLE CHARGE, 262.00 
10160 PUNCTURE ASPIRATION OF ABSCESS PRO FEE CHARGE, 227.50 
10180 I&D COMPLEX POST OP WOUND PRO FEE CHARGE, 435.00 
"11100 Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless", 134.00 
"11402 Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, a", 384.00 
11443 EXC LES FACE EARS  2 TO 3CM CHARGE, 446.00 
11604 MALIG LES TRUNK EXTRM 3 TO 4CM, 541.00 
"11606 EXCISION MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS ; EXCISED DIAMETER OVER 4.0", 868.00 
11626 EX MALIG SCNK HNDFT GE OVER4CM, 315.00 
11642 EXC MALIG FACE EARS 1 TO 2CM CHARGE, 283.00 
11643 PF EXC FACE-MM MALIG+MARG 2, 580.00 
11646 EXC MALIG FACE EARS OVER 4CM CHARGE, 995.00 
11760 Repair of nail bed, 356.00 
11982 Removal of drug deliver device, 364.00 
12031 RPR LAC INT BDY/SCLP/TRK <=2.5 CHARGE, 385.00 
12037 PF INTERMEDIATE REPAIR WOUNDS, 341.00 
12052 PF INTERMEDIATE REPAIR WOUNDS, 515.00 
"13152 2.6 cm to 7.5 cm-Complex repair multiple layer scalp, arms, or legs", 537.00 
"15100 Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of i"," 1,845.00 "
"15135 Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and"," 2,131.00 "
"15200 full thickness graft, including direct closure of donor site, trunk; 20 sq cm or less.", 717.00 
"15240 Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mo"," 2,159.00 "
15260 SKIN FULL GRAFT N/E/E/L 20< CM," 2,166.00 "
"15271 Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100s", 252.00 
"15272 Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100s", 52.00 
"15273 Application of skin substitute graft to trunk, arms, legs, total wound surface area greater th", 596.00 
"15274 Application of skin substitute graft to trunk, arms, legs, total wound surface area greater th", 136.00 
"15276 Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genet", 75.00 
"15277 Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genet", 666.00 
"15278 Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genet", 172.00 
17250 Chemical Cautery of Tissue, 120.00 
19303 MASTECTOMY COMPLETE SIMPLE CHARGE," 1,294.00 "
"20552 Inj(s); Single or Mult Trigger Point(S), One or Two Muscle(s) Charge", 144.00 
"20553 Inj(s); Single or Mult Trigger Point(S), Three or More Muscle(s) Charge", 132.00 
20600 ARTHROCENTESIS/ASPIR/INJECT SMALL JOINT, 156.00 
20605 ARTHROCENTESIS/ASPIR/INJECT INTER JOINT, 157.00 
20610 ARTHROCENTESIS/ASPIR/INJECT MAJOR JOINT, 162.00 
20610 PF ASP/INJ MAJOR JOINT, 110.00 
21310 CLOSED NASAL FX WO MANIP CHARGE, 264.00 
21550 BIOPSY OF NECK/CHEST, 373.00 
21555 EXCIS SUBQ BGN TUMOR CHARGE, 758.00 
23076 EXCISION SOFT TISSUE TUM SHOULDER DP SUBFSCAL/IM," 1,262.00 "
24605 PF DISLOCATION ELBOW TREAT, 492.00 
25112 EXC GANGLION WRIST DORSAL/VOLAR RECURRENT, 907.00 
25112 EXC GANGLION WRIST RECURRENT CHARGE, 886.00 
25515 FX RADIAL SHAFT SMP CMP OP RED CHARGE," 1,657.00 "
26236 PARTIAL REMOVAL FINGER BONE," 1,100.00 "
26700 Metacarpophalangeal Joint Foot W/Manipulation W/Out ANES, 752.00 
26742 CLSD ARTIC FX W MANIP EA CHARGE, 349.00 
27096 PF INJECTION SACROILIAC JOINT, 203.80 
27265 CL RX HIP ORTHO DISLOC CHARGE, 984.00 
27327 EXCISION TUMOR THIGH/KNEE AREA SUBCUTANEOUS, 985.00 
27570 Manipulation of Knee Joint under general anesthesia (includes Application of traction or other, 479.00 
"27822 Open Treatment of ankle fracture, int. fixation included"," 2,638.00 "
28820 TOE AMPUTATION," 1,298.00 "
"29425 Applic of short leg cast, walking or ambulatory type", 202.00 
"29MM PATELLA TRI-PEG, 29MM [KPONTP29]"," 3,280.50 "
2x8 OR Cable and Extension, 600.00 
"32MM PATELLA TRI-PEG, 32MM [KPONTP32]"," 3,280.50 "
"35MM PATELLA TRI-PEG, 35MM [KPONTP35]"," 3,280.50 "
3780062 ED IV Infusion Initial up to 1 hour, 212.00 
"38MM PATELLA TRI-PEG, 38MM [KPONTP38]"," 3,280.50 "
3D RENDERING, 217.00 
3D RENDERING PROFEE, 42.00 
41250 REP LACERATION FLR MOUTH 2.5CM CHARGE, 262.00 
42821 TONSIL ADENOIDECTOMY 12 OVER CHARGE, 978.00 
42830 ADENOIDECT PRIMARY UNDER 12YRS CHARGE, 678.00 
44141 PF COLECTOMY/CECOSTOMY/COLOST," 5,704.00 "
44145 COLECTOMY W COLOPROCTOSTOMY CHARGE," 3,898.00 "
"44388 Colonoscopy through stoma, diagnositc, including collection of specimen(s) by brushing or wash", 401.00 
44604 PF CLOSURE PERFORATION LG INTESTI," 2,629.00 "
44640 Closure of intestinal cutaneous fistula," 3,782.00 "
45110 PF COMP PROCTECTOMY W/COLOST," 4,537.00 "
"45171 PF EXC RECTAL TUMOR, PART THICK"," 1,482.00 "
45331 SIGMOIDOSCOPY WITH BIOPSY, 205.00 
45990 ANRCT XM SURG REQ ANES GENERAL SPI/EDRL DX CHARGE, 271.00 
46250 PF HEMORRHOIDECTOMY, 815.00 
5 Hydroxyindolacetic Acid Urine Timed MCL, 114.00 
50MM LARGE CERAMIC HEAD [38CH5000]," 8,100.00 "
50MM METAL HEAD [38AC5000]," 8,100.00 "
51040 PF INCISE & DRAIN BLADDER, 737.00 
51702 INSER/TEMP BLADDER CATH SIMPLE CHARGE, 67.00 
58301 REMOVAL INTRAUTERINE DEVICE CHARGE, 234.00 
58565 HYSTEROSCOPY TUBE OCCL W IMPL CHARGE," 1,133.00 "
64493 INJ PARAVERT F JNT L/S 1 LEV-BILATERAL, 220.00 
64494 INJ PARAVERT F JNT L/S 2 LEVEL CHARGE, 126.08 
67840 Excision of lesion of eyelid (except chalazion) without closure or with simple direct closure, 431.00 
69000 PF DRAINAGE EAR ABSCESS/HEMATOMA, 388.00 
81050 Calcium Urine Timed, 206.00 
82553 CK Total, 61.00 
82570 Protein Creatinine Random Urine Ratio Calc, 33.00 
82784 Immunoglobulin Panel IgG IgA IgM, 43.00 
82784 Immunoglobulin Panel IgG IgA IgM, -   
83516 Gliadin IgG IgA Antibodies, 94.00 
83516 JO-1 AB MCL, 35.00 
83516 MCHC, 56.00 
84154 Prostate Specific Antigen Total and Free, 127.00 
"84270 Testosterone Total, Free, Bioavailable, SHBG", 323.00 
85210 MCHC, 26.00 
85230 MCHC, 66.00 
85240 MCHC, 66.00 
85250 MCHC, 66.00 
85260 MCHC, 66.00 
85270 MCHC, 66.00 
85280 MCHC, 66.00 
85335 MCHC, 28.00 
85366 MCHC, 30.00 
85379 MCHC, 40.00 
85384 MCHC, 43.00 
85390 MCHC, 14.00 
85597 MCHC, 87.00 
85598 MCHC, 87.00 
85611 MCHC, 19.00 
85613 MCHC, 34.00 
85613 MCHC, 34.00 
85635 MCHC, 48.00 
85670 MCHC, 28.00 
85730 MCHC, 26.00 
85732 MCHC, 33.00 
86147 MCHC, 122.00 
86235 JO-1 AB MCL, 35.00 
86256 MCHC, 59.00 
86652 Arbovirus Antibody Titer, 231.00 
86696 Herpes Simplex Virus 1 and 2 IgG Antibody, 141.00 
86789 West Nile Antibody, 120.00 
"90461 Immun Admin, Each Addtl Peds Vacc", -   
90471 ED IMMUNIZATION ADMIN CHARGE, 80.00 
90471 Immunization administration, 65.00 
90471 Immunization Administration 1 vaccine, 65.00 
90472  Each additional vaccine, 39.00 
"90651 Human Papillomavirus vaccine types 6,11,16,18,31,33,45,52,58, nonavalent (9vHPV), 3 dose sched", 231.00 
"90672 - Influenza Virus Vaccine, Quadrivalent, Live, Intranasal", 35.00 
90681 Rotavirus-Rotarix, 147.00 
90685 Fluzone Single Dose 6-35 Months, 35.00 
90685 QUADRIVALENT PREFILLED 6-35 MONTHS, 35.00 
90685 VFC QUADRIVALENT PREFILLED 6-35 MONTHS, -   
"90687 flu vaccine, 6-35mo IM", 35.00 
"90687 VFC flu vaccine, 6-35mo IM", -   
90688 FLU VACC 4 VAL 3 YRS PLUS, 35.00 
90688 VFC FLU VACC 4 VAL 3 YRS PLUS, -   
91035  GASTROESOPHAG REFLX TEST W/TELEMTRY PH ELTRD ProFee," 1,172.00 "
92506 ST SPEECH EVAL CHARGE, 520.00 
92521 EVAL SPEECH FLUENCY CHARGE, 231.00 
92522 EVAL SPEECH SOUND PRODUCT CHARGE, 190.00 
92523 EVAL SPEECH W/LANG/EXPRES CHARGE, 392.00 
92524 BEHAV & ANALYSIS VOICE CHARGE, 197.00 
"93005 Electrocardiogram, routine ECG with at least 12 leads; tracing only, without interpretation an", 163.00 
94664  ED HANDHELD NEB/TX CHARGE, 96.00 
95805 MULTIPLE SLEEP LATENCY," 3,024.00 "
95806 HST, 0.01 
95810 SLEEP STUDY TEST FULL," 3,568.00 "
95811 SLEEP STUDY WITH CPAP (SPLIT STUDY)," 3,893.00 "
96360 - HYDRATION FIRST HOUR, 176.00 
96360 IV HYDRATION 1ST HR CHARGE, 176.00 
"96361 - HYDRATION, EA ADDL HR", 48.00 
96361 IV INFUSION HYDRATION ADD HR CHARGE, 48.00 
96365 IV INFUSION 1ST HR CHARGE, 212.00 
96366 ED INFUSION Add HR, 62.00 
96366 IV INFUSION ADD HR CHARGE, 62.00 
96367 - IV INFUSION SEQ ADD HR CHG, 95.00 
96367 IN INFUSION SEQ ADD HR CHARGE, 95.00 
96368 - IV INFUSION CONCURRENT CHARGE, 221.00 
96368 IV INFUSION CONCURRENT CHARGE, 221.00 
96372 - Subq/IM Injection, 91.00 
"96372  Therapeutic, prophylactic, or diagnostic injection, subcutaneous or intramuscular", 65.00 
96372 INJ SUBQ/INTRAMUSCULAR CHARGE, 91.00 
96373 - Intra-Arterial injection, -   
"96374 - IV Injection, single/initial", 174.00 
96374 IV PUSH INITIAL CHARGE NURSE, 174.00 
"96375 - IV Injection, add new drug", 69.00 
96375 IV PUSH EA ADDITIONAL CHARGE, 69.00 
"96376 - IV Injection, add same drug", 91.00 
96376 IV PUSH SAME DRUG CHARGE, 91.00 
97110 OT THER EX 15 MIN EXERCISES CHARGE, 106.00 
97762 OT CK FOR ORTH PROSTH CHARGE, 127.00 
98925 OMT 1-2 body regions, 102.00 
98926 OMT 3-4 body regions, 146.00 
98927 OMT 5-6 body regions, 190.00 
98928 OMT 7-8 body regions, 234.00 
98929 OMT 9-10 body regions, 279.00 
99080  ADDITIONAL SPECIAL REPORTS, 114.00 
99211 ED BASIC OP CHARGE, 95.00 
99224 Subsequent observation care, 127.00 
99225 Subs. OBS Care Expanded, 145.00 
99226 Subs. OBS Care Detailed, 162.00 
99281 - FAC ED Level 1, 150.00 
99281 - Level 1, 150.00 
99281 LEVEL I ER ED Charge, 150.00 
99282 - FAC ED Level 2, 209.00 
99282 - Level 2, 209.00 
99282 LEVEL II ER ED Charge, 209.00 
99283 - FAC ED Level 3, 393.00 
99283 - Level 3, 393.00 
99283 LEVEL III ER ED Charge, 393.00 
99284 - FAC ED Level 4, 496.00 
99284 - Level 4, 496.00 
99284 LEVEL IV ER ED Charge, 496.00 
99285 - FAC ED Level 5, 681.00 
99285 - Level 5, 681.00 
99285 LEVEL V ER ED Charge, 681.00 
99291 - Critical Care, 920.00 
99291 - FAC ED Critical Care, 920.00 
99291 Critical Care 1 Hour Charge, 920.00 
"99291 CRITICAL CARE, FIRST 30-74 MINUTES", 797.00 
"99292 - FAC ED Critical Care, each 30 min", 414.00 
99495 TCM Services- Moderate Complexity, 210.00 
99496 TCM Services- High Complexity, 304.00 
"99497 Advance Care Planning, first 30 min", 111.00 
