NORTH SHORE MEDICAL CENTER STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
99900297,HC ADMINISTRATIVE CLOSED ENCOUNTER,I.C.
99900293,HC SP PRIVATE ROOM DIFFERENTIAL,$250.00
99900265,HC NSM GROUP THERAPY PER SESSION,$41.00
99900264,HC NSM NEURO PSY TEST PER HR,$257.00
99900263,HC NSM NEURO BATTRY,"$4,198.00"
99900262,HC NSM PSY/ED BATTRY/COGN&ACADEMIC,"$3,732.00"
99900261,HC NSM PSY TST BATTRY/COGN&PERS,"$3,732.00"
99900260,HC NSM NEURO PSY BATTRY&PRS ASSMNT,"$5,254.00"
99900259,HC NSM NEURO PSY BATTRY & ACDMC ACHVMNT,"$6,100.00"
99900258,HC NSM NEURO PSY BATTRY & PERSONAL ASSMNT & ACADEMIC ACHVMNT,"$8,133.00"
99900257,HC NSM ACHVMNT TESTING,"$2,332.00"
99900256,HC NSM READING EVAL PER HR,$535.00
99900255,HC NSM SCHOOL CONSULT PER HR,$274.00
99900003,HC LEFT WITHOUT BEING SEEN,I.C.
99000019,HC NSM NO SHOW/CANCELLATION<24 HR FEE,$44.00
99000018,HC NSM CORR IO LENS UPGRADE PT RQST,$948.00
98500002,HCPR 12 LEAD ECG INTERPRETATION AND REPORT ONLY,$33.00
98301689,HCPR COLLATERAL CONTACT (15 MIN),$105.00
98301337,HCPR  INTERPJ/EXPLNAJ RESULTS PSYCHIATRIC EXAM FAMILY,$298.00
98301232,HCPR SBSQ NURSING FACIL CARE/DAY NEW PROBLEM 25 MIN,$365.00
98301231,HCPR SBSQ NURSING FACIL CARE/DAY MINOR COMPLJ 15 MIN,$276.00
98301230,HCPR SBSQ NURSING FACILITY CARE/DAY E/M STABLE 10 MIN,$178.00
98301216,HCPR HOSPITAL DISCHARGE DAY MANAGEMENT > 30 MIN,$428.00
98300817,HCPR SUBSEQUENT HOSPITAL CARE HIGH,$411.00
98300816,HCPR HOSPITAL DISCHARGE DAY 30 MIN OR LESS,$289.00
98300815,HCPR SUBSEQUENT HOSPITAL CARE MOD,$285.00
98300814,HCPR SUBSEQUENT HOSPITAL CARE LOW,$154.00
98300813,HCPR INITIAL HOSPITAL CARE HIGH,$799.00
98300812,HCPR INITIAL HOSPITAL CARE MOD,$539.00
98300811,HCPR INITIAL HOSPITAL CARE LOW,$398.00
98300797,HCPR CHRON CARE MANAGEMENT SRVC 20 MIN PER MONTH,$127.00
98300548,HCPR PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 60 MIN,$393.00
98300546,HCPR PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 30 M,$198.00
96100058,HCPR PSYCHIATRIC DIAGNOSTIC EVALUATION - CANS,$488.00
96100052,HCPR CRISIS INTERVENTION PER HOUR,$272.00
96100049,HCPR PSYCH - ESTAB PT - LEVEL 5 VISIT,$438.00
96100048,HCPR PSYCH - ESTAB PT - LEVEL 4 VISIT,$310.00
96100047,HCPR PSYCH - ESTAB PT - LEVEL 3 VISIT,$201.00
96100046,HCPR PSYCH - ESTAB PT - LEVEL 2 VISIT,$100.00
96100045,HCPR PSYCH - ESTAB PT - LEVEL 1 VISIT,$36.00
96100043,HCPR PSYCH - NEW PT - LEVEL 4 VISIT,$527.00
96100042,HCPR PSYCH - NEW PT - LEVEL 3 VISIT,$312.00
96100040,HCPR OFFICE OUTPATIENT NEW 10 MINUTES - PSYCH,$109.00
96100034,HCPR PSYCHOTHERAPY W/PATIENT 60 MINUTES,$486.00
96100033,HCPR PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 45 MIN,$320.00
96100032,HCPR PSYCHOTHERAPY W/PATIENT 45 MINUTES,$323.00
96100031,HCPR PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 30 MIN,$252.00
96100030,HCPR PSYCHOTHERAPY W/PATIENT 30 MINUTES,$242.00
96100029,HCPR PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,$551.00
96100028,HCPR PSYCHIATRIC DIAGNOSTIC EVALUATION,$488.00
96100027,HCPR PSYCHOTHERAPY COMPLEX INTERACTIVE,$53.00
96100026,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 60 MIN,$224.00
96100014,HCPR NUROPSYC TSTG WPROF I&R ADMN BY TECH PR HR,$273.00
96100013,HCPR NUROPSYC TESTING PR HR W/PT & INTERPJ TIME,$304.00
96100009,HCPR PSYCHOLOGICAL TESTING PR HR WITH PATIENT,$306.00
96100007,HCPR ENVIRONMENTAL IVNTJ MGMT PURPOSES PSYC PT,$330.00
96100003,HCPR GROUP PSYCHOTHERAPY,$116.00
96100002,HCPR FAMILY PSYCHOTHERAPY W/PATIENT PRESENT,$407.00
96100001,HCPR FAMILY PSYCHOTHERAPY W/O PATIENT PRESENT,$392.00
96000025,HCPR SUBSEQ ALF FAC 25 PC,$376.00
96000024,HCPR SUBSEQ ALF FAC 15 PC,$239.00
96000015,HC INITL INPATIENT CONSULT NEW/ESTAB PT 55 MIN,$502.00
96000014,HC INITL INPATIENT CONSULT NEW/ESTAB PT 40 MIN,$326.00
96000013,HC INITL INPATIENT CONSULT NEW/ESTAB PT 20 MIN,$215.00
96000007,HC SBSQ NURS FACIL CARE/DAY UNSTABL/NEW PROB 35 MIN,$472.00
96000006,HC SBSQ NURSING FACIL CARE/DAY NEW PROBLEM 25 MIN,$324.00
96000005,HC SBSQ NURSING FACIL CARE/DAY MINOR COMPLJ 15 MIN,$245.00
96000004,HC SBSQ NURSING FACILITY CARE/DAY E/M STABLE 10 MIN,$157.00
96000003,HC INITIAL NURSING FACILITY CARE/DAY 45 MINUTES,$561.00
96000002,HC INITIAL NURSING FACILITY CARE/DAY 35 MINUTES,$436.00
96000001,HC INITIAL NURSING FACILITY CARE/DAY 25 MINUTES,$315.00
94000043,"HC LACTATION CLASSES, NON PHYSICIAN PROVIDER, PER SESSION",$224.00
94000031,HC OUTPATIENT CARDIAC REHAB W/CONT ECG MONITORING,$469.00
94000026,HC DIAB MANAGE TRN IND/GROUP,$61.00
94000025,HC DIAB MANAGE TRN  PER INDIV,$114.00
94000020,HC MEDICAL NUTRITION THERAPY GRP2/ INDIV EA 30 MI,$70.00
94000019,HC MEDICAL NUTRITION RE-ASSMT&IVNTJ INDIV EA 15 M,$143.00
94000018,HC MEDICAL NUTRITION ASSMT&IVNTJ INDIV EACH 15 MI,$143.00
94000017,HC PULMONARY REHAB W EXER,$262.00
94000007,HC IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST,$304.00
94000006,HC REFILL&MAINTENANCE PUMP DRUG DLVR SYSTEMIC,"$1,304.00"
94000002,HC RFL&MAIN IMPLT PMP/RSVR DLVR SPI/BRN PHY/QHP,$405.00
92000131,HC VESSEL MAPPING HEMODIALYSIS ACCESS,"$1,344.00"
