Report Name:,Daily CDM,
Report ID:,PHPCHRG06R,
Report Date:,#REF!,
,,
"Note:  If the Header fields for the date ranges are not showing correctly, on you keyboard press the following keys at the sametime: CTRL+SHIFT+ALT+F9.  This will trigger Excel to recalculate all formulas on this Excel sheet.",,
,,
Charge#,Description,Price
0013144,ROOM CARE SEMI PRIVATE-2T,"5,181.00"
0013177,ROOM CARE SEMI PRIV- 2S,"5,544.00"
0013185,R0OM CARE SEMI PRIV-2S,"5,544.00"
0013193,ROOM CARE SEMI PRIV - 2N,"5,544.00"
0014050,ROOM CARE SEMI PRIV-SUR,"5,544.00"
0015008,ROOM CARE SEMI PRIV-P2S,"5,544.00"
0015206,ROOM CARE SEMI PRIVATE-1T,"5,544.00"
0015222,ROOM CARE SEMI PRIVATE-3T,"5,544.00"
0015255,ROOM CARE SEMI-PRIVATE,"5,544.00"
0016402,ROOM CARE SEMI PRIV-2W,"5,544.00"
0017004,ROOM CARE SEMI PRIV-SAU,"5,544.00"
0017053,ROOM CARE SEMI-PRIV-PACU,"5,544.00"
0017103,ROOM CARE SEMI-PRIV-CC1,"5,544.00"
0017202,ROOM CARE SEMI-PRIV-CC2,"5,544.00"
0017301,ROOM CARE SEMI-PRIV-3PZ,"5,544.00"
0017319,ROOM CARE SEMI-PRIVATE,"5,544.00"
0017400,ROOM CARE SEMI-PRIV-4PZ,"5,544.00"
0023143,ROOM CARE TELEMETRY-2T,"6,470.00"
0023176,ROOM CARE TELEMETRY-2S,"6,923.00"
0023184,ROOM CARE TELEMETRY-2S,"6,923.00"
0024059,ROOM CARE PRIVATE-SUR,"5,544.00"
0024141,ROOM CARE TELEMETRY-CLB,"6,923.00"
0025007,ROOM CARE NURSERY-P2,"2,237.00"
0025031,ROOM CARE NURSERY-NSY,"2,237.00"
0025049,ROOM CARE NURSERY-NICU,"2,237.00"
0025072,ROOM CARE NURSERY-P3,"2,237.00"
0025205,ROOM CARE TELEMETRY-1T,"6,923.00"
0025221,ROOM CARE TELEMETRY-3T,"6,923.00"
0025254,ROOM CARE TELEMETRY-4T,"6,923.00"
0027003,ROOM CARE TELEMETRY-SAU,"6,923.00"
0027052,ROOM CARE TELEMETRY-PACU,"6,923.00"
0027102,ROOM CARE TELEMETRY-CC1,"6,923.00"
0027201,ROOM CARE TELEMETRY-CC2,"6,923.00"
0027300,ROOM CARE TELEMETRY-3PZ,"6,923.00"
0027318,ROOM CARE TELEMETRY-4PZ,"6,923.00"
0027409,ROOM CARE TELEMETRY-4PZ,"6,923.00"
0033167,ROOM CARE PERINATOLOGY-P4,"5,802.00"
0034058,ROOM CARE ICU INTENSV-SUR,"13,336.00"
0034140,ROOM CARE INTERMED - CLB,"10,124.00"
0035006,ROOM CARE PERINATOLGY-P2,"6,208.00"
0035048,ROOM CARE NICU SURVEILANC,"8,903.00"
0035071,ROOM CARE PERINATOLOGY-P3,"6,208.00"
0037002,ROOM CARE ICU INTNSV-SAU,"11,541.00"
0037051,ROOM CARE ICU INTNSV-PACU,"11,541.00"
0037101,ROOM CARE ICU INTNSV-CC1,"13,336.00"
0037200,ROOM CARE ICU INTNSV-CC2,"13,336.00"
0043141,ROOM CARE ADM DAY-2T LEV1,"1,858.00"
0043166,ROOM CRE SEMI-PRV LDRP-P4,"5,413.00"
0043174,ROOM CARE ADM DAY-2S LEV1,"1,858.00"
0043182,ROOM CARE ADM DAY-2S LEV1,"1,858.00"
0044008,ROOM CARE ADM DAY-1N LEV1,"1,858.00"
0044131,ROOM CARE TELEMETRY-EHD,"6,923.00"
0045005,ROOM CARE SEMI PRIV LDRP,"5,792.00"
0045039,ROOM CARE NURSERY-INTERME,"8,903.00"
0045047,ROOM CARE NICU INTERMED,"8,903.00"
0045070,ROOM CARE SEMI PRI LDRP,"5,792.00"
0045203,ROOM CARE ADM DAY-1T LEV1,"1,858.00"
0045229,ROOM CARE ADM DAY-3T LEV1,"1,858.00"
