Russellville Hospital,,
Standard Average Charges by Diagnosis Related Group,,
,,
DRG,DESCRIPTION, Average Charge 
41,PERIPH/CRANIAL NERVE & OTHER NERV S,"$77,626 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDE,"$62,122 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDE,"$16,477 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL,"$91,829 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL,"$29,629 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL,"$33,080 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$24,984 "
70,NONSPECIFIC CEREBROVASCULAR DISORDE,"$54,678 "
74,CRANIAL & PERIPHERAL NERVE DISORDER,"$17,231 "
79,HYPERTENSIVE ENCEPHALOPATHY W/O CC/,"$21,636 "
83,"TRAUMATIC STUPOR & COMA, COMA >1 HR","$25,729 "
85,"TRAUMATIC STUPOR & COMA, COMA <1 HR","$65,878 "
86,"TRAUMATIC STUPOR & COMA, COMA <1 HR","$29,711 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W,"$19,427 "
93,OTHER DISORDERS OF NERVOUS SYSTEM W,"$11,965 "
100,SEIZURES W MCC,"$9,987 "
101,SEIZURES W/O MCC,"$13,499 "
103,HEADACHES W/O MCC,"$22,313 "
123,NEUROLOGICAL EYE DISORDERS,"$7,991 "
149,DYSEQUILIBRIUM,"$16,692 "
152,OTITIS MEDIA & URI W MCC,"$23,086 "
153,OTITIS MEDIA & URI W/O MCC,"$14,045 "
155,"OTHER EAR, NOSE, MOUTH & THROAT DIA","$11,275 "
158,DENTAL & ORAL DISEASES W CC,"$28,627 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W,"$52,802 "
175,PULMONARY EMBOLISM W MCC,"$23,023 "
176,PULMONARY EMBOLISM W/O MCC,"$35,465 "
177,RESPIRATORY INFECTIONS & INFLAMMATI,"$65,201 "
178,RESPIRATORY INFECTIONS & INFLAMMATI,"$44,638 "
179,RESPIRATORY INFECTIONS & INFLAMMATI,"$23,724 "
180,RESPIRATORY NEOPLASMS W MCC,"$59,275 "
181,RESPIRATORY NEOPLASMS W CC,"$36,949 "
183,MAJOR CHEST TRAUMA W MCC,"$16,828 "
184,MAJOR CHEST TRAUMA W CC,"$29,154 "
187,PLEURAL EFFUSION W CC,"$10,859 "
189,PULMONARY EDEMA & RESPIRATORY FAILU,"$35,056 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEA,"$28,283 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEA,"$23,905 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEA,"$22,482 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$40,169 "
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$27,954 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/,"$21,153 "
197,INTERSTITIAL LUNG DISEASE W CC,"$31,291 "
198,INTERSTITIAL LUNG DISEASE W/O CC/MC,"$19,777 "
200,PNEUMOTHORAX W CC,"$15,535 "
201,PNEUMOTHORAX W/O CC/MCC,"$18,254 "
202,BRONCHITIS & ASTHMA W CC/MCC,"$20,421 "
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$21,789 "
204,RESPIRATORY SIGNS & SYMPTOMS,"$19,995 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES,"$15,683 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENT,"$34,062 "
240,AMPUTATION FOR CIRC SYS DISORDERS E,"$75,941 "
253,OTHER VASCULAR PROCEDURES W CC,"$49,663 "
254,OTHER VASCULAR PROCEDURES W/O CC/MC,"$43,220 "
256,UPPER LIMB & TOE AMPUTATION FOR CIR,"$39,450 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCE,"$50,497 "
268,AORTIC AND HEART ASSIST PROCEDURES,"$234,167 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDUR,"$86,328 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDUR,"$56,653 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHA","$54,715 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHA","$16,145 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHA","$34,257 "
291,HEART FAILURE & SHOCK W MCC OR PERI,"$40,969 "
292,HEART FAILURE & SHOCK W CC,"$29,366 "
293,HEART FAILURE & SHOCK W/O CC/MCC,"$26,392 "
296,"CARDIAC ARREST, UNEXPLAINED W MCC O","$14,829 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$29,854 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"$29,807 "
301,PERIPHERAL VASCULAR DISORDERS W/O C,"$26,017 "
305,HYPERTENSION W/O MCC,"$17,096 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DIS,"$21,429 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DIS,"$22,357 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DIS,"$15,316 "
311,ANGINA PECTORIS,"$18,511 "
312,SYNCOPE & COLLAPSE,"$20,518 "
313,CHEST PAIN,"$16,704 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES,"$82,413 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES,"$14,673 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES,"$16,010 "
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC","$186,298 "
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC","$77,038 "
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC","$4,361 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURE,"$128,518 "
330,MAJOR SMALL & LARGE BOWEL PROCEDURE,"$76,759 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURE,"$64,366 "
338,APPENDECTOMY W COMPLICATED PRINCIPA,"$91,421 "
340,APPENDECTOMY W COMPLICATED PRINCIPA,"$21,707 "
342,APPENDECTOMY W/O COMPLICATED PRINCI,"$38,090 "
343,APPENDECTOMY W/O COMPLICATED PRINCI,"$23,792 "
346,MINOR SMALL & LARGE BOWEL PROCEDURE,"$34,881 "
348,ANAL & STOMAL PROCEDURES W CC,"$24,294 "
349,ANAL & STOMAL PROCEDURES W/O CC/MCC,"$23,139 "
352,INGUINAL & FEMORAL HERNIA PROCEDURE,"$14,854 "
355,HERNIA PROCEDURES EXCEPT INGUINAL &,"$38,594 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDU,"$110,464 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDU,"$22,887 "
369,MAJOR ESOPHAGEAL DISORDERS W CC,"$39,118 "
372,MAJOR GASTROINTESTINAL DISORDERS &,"$35,683 "
373,MAJOR GASTROINTESTINAL DISORDERS &,"$14,848 "
374,DIGESTIVE MALIGNANCY W MCC,"$14,009 "
375,DIGESTIVE MALIGNANCY W CC,"$50,428 "
377,G.I. HEMORRHAGE W MCC,"$55,712 "
378,G.I. HEMORRHAGE W CC,"$28,677 "
379,G.I. HEMORRHAGE W/O CC/MCC,"$15,420 "
380,COMPLICATED PEPTIC ULCER W MCC,"$34,522 "
381,COMPLICATED PEPTIC ULCER W CC,"$13,792 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$18,286 "
386,INFLAMMATORY BOWEL DISEASE W CC,"$21,060 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/M,"$14,860 "
388,G.I. OBSTRUCTION W MCC,"$22,966 "
389,G.I. OBSTRUCTION W CC,"$30,135 "
390,G.I. OBSTRUCTION W/O CC/MCC,"$8,520 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGES","$24,942 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGES","$18,647 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W,"$30,174 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/,"$11,038 "
410,BILIARY TRACT PROC EXCEPT ONLY CHOL,"$70,428 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCO,"$21,699 "
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCO,"$34,192 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.,"$75,505 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.,"$43,456 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.,"$31,098 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W M,"$46,587 "
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W C,"$29,808 "
439,DISORDERS OF PANCREAS EXCEPT MALIGN,"$28,107 "
440,DISORDERS OF PANCREAS EXCEPT MALIGN,"$16,872 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIR","$17,294 "
444,DISORDERS OF THE BILIARY TRACT W MC,"$28,115 "
445,DISORDERS OF THE BILIARY TRACT W CC,"$16,976 "
446,DISORDERS OF THE BILIARY TRACT W/O,"$12,238 "
463,"WND DEBRID & SKN GRFT EXC HAND, FOR","$74,267 "
464,"WND DEBRID & SKN GRFT EXC HAND, FOR","$78,629 "
467,REVISION OF HIP OR KNEE REPLACEMENT,"$93,817 "
468,REVISION OF HIP OR KNEE REPLACEMENT,"$65,526 "
469,MAJOR HIP AND KNEE JOINT REPLACEMEN,"$89,720 "
470,MAJOR HIP AND KNEE JOINT REPLACEMEN,"$74,408 "
474,AMPUTATION FOR MUSCULOSKELETAL SYS,"$43,401 "
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR,"$58,305 "
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR,"$78,121 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCE,"$101,401 "
487,KNEE PROCEDURES W PDX OF INFECTION,"$66,744 "
488,KNEE PROCEDURES W/O PDX OF INFECTIO,"$31,255 "
489,KNEE PROCEDURES W/O PDX OF INFECTIO,"$58,117 "
493,LOWER EXTREM & HUMER PROC EXCEPT HI,"$63,784 "
494,LOWER EXTREM & HUMER PROC EXCEPT HI,"$52,766 "
500,SOFT TISSUE PROCEDURES W MCC,"$44,836 "
501,SOFT TISSUE PROCEDURES W CC,"$47,993 "
502,SOFT TISSUE PROCEDURES W/O CC/MCC,"$31,604 "
504,FOOT PROCEDURES W CC,"$31,966 "
505,FOOT PROCEDURES W/O CC/MCC,"$15,872 "
512,"SHOULDER,ELBOW OR FOREARM PROC,EXC","$28,495 "
517,OTHER MUSCULOSKELET SYS & CONN TISS,"$24,744 "
535,FRACTURES OF HIP & PELVIS W MCC,"$75,157 "
536,FRACTURES OF HIP & PELVIS W/O MCC,"$20,845 "
541,OSTEOMYELITIS W/O CC/MCC,"$10,857 "
543,PATHOLOGICAL FRACTURES & MUSCULOSKE,"$28,010 "
546,CONNECTIVE TISSUE DISORDERS W CC,"$25,936 "
549,SEPTIC ARTHRITIS W CC,"$89,176 "
552,MEDICAL BACK PROBLEMS W/O MCC,"$25,921 "
554,BONE DISEASES & ARTHROPATHIES W/O M,"$26,002 "
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL,"$23,149 "
557,"TENDONITIS, MYOSITIS & BURSITIS W M","$30,360 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O","$30,815 "
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM &","$29,716 "
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM &","$35,017 "
