IVNUM,IVDESC, Price 
11044,DEBRIDEMENT BONE & TISSUE,"$2,947.00 "
29125,"APPLICATION SHORT ARM,PRO",$217.00 
29130,"FINGER SPLINT,F4",$183.00 
29505,"LONG LEG SPLINT,FAC",$74.40 
29580,UNNA BOOTS,$273.00 
29584,APP MLTILYR COMPRES UPARM/FORARM/HD/FNG,$616.00 
30903,CONTROL OF NOSEBLEED,$626.00 
32052,"ADDITIONAL OV TIME 30MIN,SP,PRO",$276.00 
50000,FNA W/O IMAGE,$592.00 
50001,"FNA W/O IMAGE, FAC",$118.40 
50002,"FNA W/O IMAGE, PRO",$473.60 
50003,"FNA W/O IMAGE, SP",$648.00 
50004,"FNA W/O IMAGE, TR",$705.00 
50005,"FNA W/O IMAGE, TR, FAC",$141.00 
50006,"FNA W/O IMAGE, TR, PRO",$564.00 
50007,ACNE SURGERY,$347.00 
50008,"ACNE SURGERY, FAC",$69.00 
50009,"ACNE SURGERY, PRO",$278.00 
50010,"ACNE SURGERY, SP",$380.00 
50011,"ACNE SURGERY, SP, PRO",$304.00 
50012,"ACNE SURGERY PROFESSIONAL, SP, FAC",$76.00 
50013,"ACNE SURGERY, TR",$413.00 
50014,DRAINAGE OF SKIN ABSCESS,$430.00 
50015,"DRAINAGE OF SKIN ABSCESS, FAC",$86.00 
50016,"DRAINAGE OF SKIN ABSCESS, PRO",$344.00 
50017,"DRAINAGE OF SKIN ABSCESS, TR",$513.00 
50018,DRAINAGE OF SKIN ABSCESS,$823.00 
50019,"DRAINAGE OF SKIN ABSCESS, FAC",$165.00 
50020,"DRAINAGE OF SKIN ABSCESS, PRO",$658.00 
50021,"DRAINAGE OF SKIN ABSCESS, SP",$902.00 
50022,"DRAINAGE OF SKIN ABSCESS, SP, PRO",$722.00 
50023,"DRAINAGE OF SKIN ABSCESS, SP, FAC",$180.00 
50024,"DRAINAGE OF SKIN ABSCESS, TR",$980.00 
50025,I&D OF PILONIDAL CYST; SIMPLE,$717.00 
50026,"I&D OF PILONIDAL CYST; SIMPLE, SP",$785.00 
50027,"I&D OF PILONIDAL CYST; SIMPLE, TR",$854.00 
50028,INCISION AND REMOVAL FOR,$499.00 
50029,"INCISION & REMOVAL FOR, FAC",$100.00 
50030,"INCISION & REMOVAL FOR, PRO",$399.00 
50031,"INCISION & REMOVAL FOR, SP",$546.00 
50032,"INCISION & REMOVAL FOR, TR",$594.00 
50033,I & D HEMATOMA/SEROMA/FLUID,$633.00 
50034,"I & D HEMATOMA/SEROMA/FLUID, SP",$693.00 
50035,"I & D HEMATOMA/SEROMA/FLUID, TR",$753.00 
50036,PUNCTURE ASPIRATION AB,$426.00 
50037,"PUNCTURE ASPIRATION AB, FAC",$85.00 
50038,"PUNCTURE ASPIRATION AB-PROFESSIONAL, PRO",$341.00 
50039,"PUNCTURE ASPIRATION AB, SP",$471.00 
50040,"PUNCTURE ASPIRATION AB, TR",$507.00 
50041,DEB SKIN BONE AT FX SITE,"$5,271.00 "
50042,"DEB SKIN BONE AT FX SITE, SP","$5,773.00 "
50044,DEBRID SKIN/SUBCU,$730.00 
50045,"DEBRID SKIN/SUBCU, SP",$800.00 
50046,"DEBRID SKIN/SUBCU, TR",$869.00 
50047,DEB BONE ADD-ON,"$1,072.00 "
50048,"DEB BONE ADD-ON, SP","$1,174.00 "
