MNEMONIC,DESC.,CUR PRICE 12/2018
ABC0190020,OTO ACOUSTICS EVOKED,436.59
ABC0390010,BASIC VESTIBULAR EVAL (BUNDLE),501.72
ABC0390014,TEST SINUS VERT AXIS ROTATION,422.04
ABC0390016,VERTICAL RECORDING,192.55
ABC0390018,DYNAMIC POSTUROGRAPHY COMP,436.59
ABC0390025,TEST CALORIC VESTIBULR BILAT,593.35
ABC0390026,TEST CALORIC VESTIBULR MONO,593.35
ABC0390030,TYMPANOMETRY,524.11
ABC0390031,EVAL CENT AUDIT FUNC INIT 60MN,524.11
ABC0390035,COMP AUDIOMETRY W SPEECH EVAL,524.11
ABC0390337,AUDITORY EVOKE POTEN - CNS,1124.36
ACC0300101,OFFICE VISIT - ESTABLISHED PT,414.7
ACC0300102,PROTHROMBIN TIME (PT),102.86
ACC0300103,COL CAPILLARY BLOOD FING/HEEL,100.17
ACC0300105,VACN ZOSTAVAX (LIVE) S/C,1473.91
ACC0300200,OFF VISIT - ESTAB PT MTM SERVC,414.7
ACC0336249,VACN FLU VIRUS / FLUBLOK,246.76
ACC0344511,VACCINE ADMIN EACH ADD VACC,114.16
ACC0360786,VACN HEPATITIS A 50U/ML ADULT,411.47
ACC0360789,VACN HEPAT B 10MCG/ML ADULT,291.56
ACC0360862,VACN FLU VIRUS/FLUZONE ADLT PF,128.86
ACC0361359,VACN PNEUMOCOCC 25MCG/0.5ML,606.79
ACC0361829,VACN MENINGOCCAL 4MG/.5ML VL,1119.07
ACC0362357,VACN FLU VIRUS/FLUZONE HD ADLT,122.45
ACC0362373,VACN PNEUMOCC 13VAL CONJ 0.5ML,1234.32
ACC0362492,VACN ADACEL(Tdap) 0.5ML 7Y&>,243.37
ACC0362493,ADMIN VACCINE GENERAL,110.01
ACC0362495,HOME SPECIMEN COLLECTION,122.99
ACP2500101,OFF VISIT - ESTAB PT MTM SERVC,414.7
ACP2500102,PROTHROMBIN TIME (PT),102.86
ACP2500103,COL CAPILLARY BLOOD FING/HEEL,100.17
ACP2500105,VACN ZOSTAVAX (LIVE) S/C,1473.91
ACP2500200,OFF VISIT - ESTAB PT MTM SERVC,414.7
ACP2536249,VACN FLU VIRUS / FLUBLOK,246.76
ACP2544511,VACCINE ADMIN EACH ADD VACC,114.16
ACP2560786,VACN HEPATITIS A 50U/ML ADULT,411.47
ACP2560789,VACN HEPAT B 10MCG/ML ADULT,291.56
ACP2560862,VACN FLU VIRUS/FLUZONE ADLT PF,128.86
ACP2561359,VACN PNEUMOCOCC 25MCG/0.5ML,606.79
ACP2561829,VACN MENINGOCCAL 4MG/.5ML VL,1119.07
ACP2562357,VACN FLU VIRUS/FLUZONE HD ADLT,122.45
ACP2562373,VACN PNEUMOCC 13VAL CONJ 0.5ML,1234.32
ACP2562492,VACN ADACEL(Tdap) 0.5ML 7Y&>,243.37
ACP2562493,ADMIN VACCINE GENERAL,110.01
ACP2562495,HOME SPECIMEN COLLECTION,122.99
ADC0590100,"I UNIT-ADC, ALZ RESPITE CARE",57.13
ADC0590101,"I UNIT-ADC, ARC OF GREENWICH",57.13
ADC0590102,"I UNIT-ADC, ARI OF CONN",57.13
ADC0590103,"1 UNIT-ADC, COMMUN BASED SERV",57.13
ADC0590104,"1 UNIT-ADC, S W  C A A",57.13
ADC0590105,"1 UNIT-ADC, SELF PAY $ 45.00",45
ADC0590106,"1 UNIT-ADC, SELF PAY $ 45.00",45
ADC0590107,"1 UNIT-ADC, SELF PAY $ 45.00",45
ADC0590108,"1 UNIT-ADC, SELF PAY $ 50.00",50
ADC0590109,"1 UNIT-ADC, SELF PAY $ 70.00",70
ADC0590110,"1 UNIT-ADC, SENIOR SERV $10.00",10
ADC0590111,"1 UNIT-ADC, SENIOR SERV $25.00",25
ADC0590112,"1 UNIT-ADC, SENIOR SERV $54.93",57.13
ADC0590113,"1 UNIT-ADC, TRAVELERS",65
ADC0590114,"1 UNIT-ADC, SHOWER",45
ADC0590115,"1 UNIT-ADC, PROTECTIVE SERVICE",57.13
ANS0130201,ANES SUP/GASES 31 MIN & UP/MIN,35.76
ANS0130203,ANES SUP/GASES 1ST 30 MIN - FR,1126.91
ANS0130229,EPIDURAL,1195.01
ANS0130231,SPINAL ANESTHESIA,1154.61
ANS0330201,ANES SUP/GASES 31 MIN & UP/MIN,35.76
ANS0330203,ANES SUP/GASES 1ST 30 MIN - FR,1126.91
BGS0188001,ABG,220.59
BGS0188003,ABG/CO-OX,378.14
BGS0188005,CORD PH,105.94
BGS0188007,VCOOX (VENOUS CO-OXIMETRY),220.59
BGS0188009,VBG,220.59
BGS0188011,PH FLUID - PLEURAL,75
BGS0188013,VBG/CO-OX,378.14
BGS0188015,CO-OXIMETRY,200
BGS0188020,ABG PANEL CVOR / CCU,0
BGS0188021,ABG PANEL CARDIAC CCU / FLOOR,0
BGS0188022,ABG PANEL CARDIAC FLOOR,0
BGS0188025,"LACTATE, VENOUS BLOOD GAS",257.15
BMR0144903,CELL CRYOPRESERV & STORAGE/1,142.86
BMR0144905,STEM CELL - THAWING PER BAG,368.12
BMR0144911,MARROW PROCESSING 1,0
BMR0144915,MARROW PROCESSING,0
BNK0187001,ANTIBODY SCREEN/INDIRECT COOMB,56
BNK0187003,ABO BLOOD TYPING STUDIES,50
BNK0187005,DIRECT ANTIGLOBULIN TEST (COOM,129.45
BNK0187007,RH GROUPING / TYPING,50
BNK0187009,CROSSMATCH- AHG,350.81
BNK0187013,ANTIBODY SCREEN RBC,56
BNK0187015,FACTOR VIIA RECOMBINANT / 1.2,3460.66
BNK0187017,FACTOR VIIA RECOMBINANT / 2.4,6921.33
BNK0187019,FACTOR VIIA RECOMBINANT / 4.8,17303.3
BNK0187021,RED BLOOD CELLS,799.55
BNK0187023,LEUKOREDUCED RBCS,799.55
BNK0187027,"PLATELETS, APH/PHER,L/R",2665.89
BNK0187029,PLATELETS,166.28
BNK0187031,FRESH FROZEN PLASMA,213.35
BNK0187033,SOLVENT DETERGENT PLASMA,231.36
BNK0187035,CRYOPRECIPITATE,180.06
BNK0187037,RHO D IMMUNE GLOBULIN 1500IU,243.81
BNK0187039,FACTOR VIII(HUMAN) / IU,2.05
BNK0187041,FACTOR VIII(RECOMBINANT) / IU,3.22
BNK0187043,FACTOR IX (HUMAN) / IU PURIFD,2.18
BNK0187045,FACTOR IX (RECOMBINANT) / IU,2.74
BNK0187047,FROZEN DEGLYCEROLYZED RBC,2731.37
BNK0187055,AUTOLOGOUS DEGLYCEROLYZED RBC,3016.48
BNK0187057,HLA DR TYPING,670.69
BNK0187059,AUTOLOGOUS WHOLE BLOOD,1096.66
BNK0187061,"ANTIGEN TYPING, RBC",227.21
BNK0187063,"ANTIGEN TYPING, PATIENT",92.17
BNK0187065,ANTIBODY ABSORPTION,353.3
BNK0187067,ANTIBODY TITER,124.59
BNK0187069,CROSSMATCH - IS,350.81
BNK0187071,FETAL SCREEN,159.62
BNK0187073,ELUTION,353.3
BNK0187075,ANTIBODY IDENTIFICATION,353.3
BNK0187077,DIRECT BLOOD DONATION,847.51
BNK0187079,TRANSFUSION REACTION WORKUP,218.99
BNK0187081,THERAPEUTIC PHLEBOTOMY,592.23
BNK0187083,LEUKOREDUCED PLATELETS,292.57
BNK0187085,HLA ABC TYPING (ABC),621.3
BNK0187087,PLATE SCREEN ALLOIMMUNIZATION,442.22
BNK0187089,ABO GROUPING NYBC,50
BNK0187091,RH TYPING - NYBC,50
BNK0187093,XMATCHED SINGLE DONOR PLATELET,3632.78
BNK0187095,BLOOD IRRADIATION,219.37
BNK0187097,POOLING COMPONENTS,350.81
BNK0187099,SPLITTING RBCS,219.37
BNK0187101,THAWING COMPONENTS,219.37
BNK0187103,ABO GROUPING,50
BNK0187105,RH TYPE,50
BNK0187107,NYBC ELUTION STUDIES,353.3
BNK0187109,NYBC PHENOTYPE,186.57
BNK0187111,NYBC DAT,129.45
BNK0187113,NYBC ANTIGEN TYPE,228.97
BNK0187115,"CMV TESTING, ANTIBODY",346.57
BNK0187117,ANTIBODY SCREENING NYBC,56
BNK0187119,NYBC TRANS RXN EVAL.,218.99
BNK0187121,NYBC ANTIBODY IDENTIFICATION,353.3
BNK0187123,NYBC ABSORPTION,353.3
BNK0187125,NYBC RETICULOCYTE SEP,353.3
BNK0187127,NYBC IS CROSSMATCH,350.81
BNK0187129,NYBC AHG CROSSMATCH,350.81
BNK0187138,"RBC, LEUKO REDUC. CMV, IRRAD",1635.17
BNK0187139,"RBC, LEUKOREDUCED, CMV",1255.23
BNK0187140,"RBC, LEUKOREDUCED, IRRADIATED",1540.24
BNK0187141,"RBC, SPLIT",580.12
BNK0187142,"PLTLTS, SING DON, LEUKRED, C I",1291.64
BNK0187143,"PLTLTS, SING DON, LUKRED, CMV",2760.79
BNK0187144,"PLTLTS, SING DON. LEUKRED, IRR",3045.93
BNK0187145,"PLTLTS, LEUKORED, IRRADIATED",804.5
BNK0187146,"PLASMA, CRYOPRECIP REDUCED",309.59
BNK0187150,"TRANSFUSION, BLOOD OR COMPONEN",2135.92
BNK0187152,HLA PLATELETS,6298.91
BNK0187153,NYBC PRE-RX RBC's,149.29
BNK0187154,NYBC ABID/EACH REAGENT CELL,137.81
BNK0187155,NYBC PRETREATMENT W/ENZYME,82.94
BNK0187156,PROTHROMBIN COMPLEX CONCENT,13198.32
BNK0187157,PLATELET CROSSMATCH,442.22
BNK0187158,HEA DNA ANALYSIS,839.36
BNK0187159,MOLECULAR GENOTYPING,839.36
BNK0187160,COLD AGGLUTININ SCREEN,161.38
CCS0120101,ACCESS KIT CRANIAL VENTRICULR,938.25
CCS0120102,ADMIN SET - LEVEL I FLUID IV,176.82
CCS0120103,BAG CSF BECKER MED 700ML,99
CCS0120104,COMPRESS BANDAGE D-STAT,155
CCS0120105,CATH KIT CV 2-LUM 7FR x 21CM,73.19
CCS0120106,DRAINAGE KIT CSF BECKER EXT,513
CCS0120107,CATH COOK CV 6FR x 15CM,75.98
CCS0120108,CATH IABP FIDELITY 34ML 7.5FR,2350
CCS0120109,CATH IABP FIDELITY 40ML 7.5FR,2075
CCS0120110,CATH KIT CSF EXT BECKER 35CM,405
CCS0120111,CATH RADIAL A-LINE 20GA 2.5IN,36
CCS0120112,CATH SWAN GANZ PACING,424.75
CCS0120113,CHEST TRAY THAL QUICK 16FR,389.33
CCS0120114,CHEST TRAY THAL QUICK 24FR,356.28
CCS0120115,CHEST TRAY THAL QUICK 32FR,360.83
CCS0120116,CATH THERMODIL 7F (SWAN-GANZ),25.6
CCS0120117,BLNKT TEMP MGMT MAXITHERM,752.72
CCS0120118,FEMOSTOP GOLD COMPR SYSTM,262.5
CCS0120119,CATH FOLEY TEMP SENSING 16FR,72.83
CCS0120120,GUIDEWIRE J .035 x 150CM,17
CCS0120121,KIT NEEDLE MINI-STICK 5FR 10CM,145
CCS0120122,PAD GEL SET ARTIC HYPOTHR MED,2340
