,,,
HOSPITAL INPATIENT DRG STANDARD CHARGES - FISCAL YEAR 2018,,,
MDC,MDC Description,Medicare DRG Code & Name, Avg. Standard Charge Per Encounter 
26,Transplants,1 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC MS," $872,339 "
26,Transplants,2 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC MS," $560,513 "
26,Transplants,"3 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R. MS"," $726,651 "
26,Transplants,"4 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R. MS"," $517,864 "
26,Transplants,5 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT MS," $370,097 "
26,Transplants,6 - LIVER TRANSPLANT W/O MCC MS," $262,499 "
26,Transplants,7 - LUNG TRANSPLANT MS," $592,198 "
26,Transplants,8 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT MS," $362,698 "
26,Transplants,"11 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC MS"," $124,779 "
26,Transplants,"12 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC MS"," $143,593 "
26,Transplants,"13 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC MS"," $117,797 "
26,Transplants,14 - ALLOGENEIC BONE MARROW TRANSPLANT MS," $385,989 "
26,Transplants,16 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC MS," $192,735 "
26,Transplants,17 - AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC MS," $154,175 "
26,Transplants,,
1,Nervous system,20 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC MS," $274,566 "
1,Nervous system,21 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC MS," $193,127 "
1,Nervous system,22 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC MS," $139,256 "
1,Nervous system,23 - CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPL MS," $201,545 "
1,Nervous system,24 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC MS," $138,520 "
1,Nervous system,25 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC MS," $132,169 "
1,Nervous system,26 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC MS," $102,333 "
1,Nervous system,27 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC MS," $70,691 "
1,Nervous system,28 - SPINAL PROCEDURES W MCC MS," $214,528 "
1,Nervous system,29 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS MS," $121,989 "
1,Nervous system,30 - SPINAL PROCEDURES W/O CC/MCC MS," $56,613 "
1,Nervous system,31 - VENTRICULAR SHUNT PROCEDURES W MCC MS," $69,512 "
1,Nervous system,32 - VENTRICULAR SHUNT PROCEDURES W CC MS," $57,598 "
1,Nervous system,33 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC MS," $49,435 "
1,Nervous system,34 - CAROTID ARTERY STENT PROCEDURE W MCC MS," $68,597 "
1,Nervous system,35 - CAROTID ARTERY STENT PROCEDURE W CC MS," $54,365 "
1,Nervous system,36 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC MS," $53,244 "
1,Nervous system,37 - EXTRACRANIAL PROCEDURES W MCC MS," $196,756 "
1,Nervous system,38 - EXTRACRANIAL PROCEDURES W CC MS," $79,923 "
1,Nervous system,39 - EXTRACRANIAL PROCEDURES W/O CC/MCC MS," $57,685 "
1,Nervous system,40 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC MS," $124,506 "
1,Nervous system,41 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM MS," $67,565 "
1,Nervous system,42 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC MS," $49,522 "
1,Nervous system,52 - SPINAL DISORDERS & INJURIES W CC/MCC MS," $62,543 "
1,Nervous system,53 - SPINAL DISORDERS & INJURIES W/O CC/MCC MS," $32,093 "
1,Nervous system,54 - NERVOUS SYSTEM NEOPLASMS W MCC MS," $36,794 "
1,Nervous system,55 - NERVOUS SYSTEM NEOPLASMS W/O MCC MS," $35,725 "
1,Nervous system,56 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC MS," $61,442 "
1,Nervous system,57 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC MS," $46,308 "
1,Nervous system,58 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC MS," $65,806 "
1,Nervous system,59 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC MS," $35,382 "
1,Nervous system,60 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC MS," $29,809 "
1,Nervous system,"61 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC A MS"," $124,053 "
1,Nervous system,"62 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC A MS"," $101,833 "
1,Nervous system,"63 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC A MS"," $94,955 "
1,Nervous system,64 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC MS," $65,707 "
1,Nervous system,65 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS MS," $43,145 "
1,Nervous system,66 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC MS," $33,402 "
1,Nervous system,67 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC MS," $49,323 "
1,Nervous system,68 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC MS," $36,427 "
1,Nervous system,69 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC MS," $31,562 "
1,Nervous system,70 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC MS," $43,077 "
1,Nervous system,71 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC MS," $31,969 "
1,Nervous system,72 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC MS," $35,054 "
1,Nervous system,73 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC MS," $36,652 "
1,Nervous system,74 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC MS," $37,670 "
1,Nervous system,75 - VIRAL MENINGITIS W CC/MCC MS," $58,512 "
1,Nervous system,76 - VIRAL MENINGITIS W/O CC/MCC MS," $15,216 "
1,Nervous system,77 - HYPERTENSIVE ENCEPHALOPATHY W MCC MS," $60,902 "
1,Nervous system,78 - HYPERTENSIVE ENCEPHALOPATHY W CC MS," $24,453 "
1,Nervous system,79 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC MS," $24,379 "
1,Nervous system,80 - NONTRAUMATIC STUPOR & COMA W MCC MS," $34,434 "
1,Nervous system,81 - NONTRAUMATIC STUPOR & COMA W/O MCC MS," $37,523 "
1,Nervous system,"82 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC MS"," $94,567 "
1,Nervous system,"83 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC MS"," $58,637 "
1,Nervous system,"84 - TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC MS"," $41,559 "
1,Nervous system,"85 - TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC MS"," $67,932 "
1,Nervous system,"86 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC MS"," $51,605 "
1,Nervous system,"87 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC MS"," $44,406 "
1,Nervous system,88 - CONCUSSION W MCC MS," $51,493 "
1,Nervous system,89 - CONCUSSION W CC MS," $22,351 "
1,Nervous system,91 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC MS," $48,906 "
1,Nervous system,92 - OTHER DISORDERS OF NERVOUS SYSTEM W CC MS," $34,310 "
1,Nervous system,93 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC MS," $29,942 "
1,Nervous system,94 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC MS," $125,486 "
1,Nervous system,95 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC MS," $72,306 "
1,Nervous system,96 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC MS," $67,392 "
1,Nervous system,97 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC MS," $67,068 "
1,Nervous system,98 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC MS," $48,318 "
1,Nervous system,99 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC MS," $52,343 "
1,Nervous system,100 - SEIZURES W MCC MS," $67,556 "
1,Nervous system,101 - SEIZURES W/O MCC MS," $27,692 "
1,Nervous system,102 - HEADACHES W MCC MS," $37,760 "
1,Nervous system,103 - HEADACHES W/O MCC MS," $25,005 "
1,Nervous system,,
2,Eye,113 - ORBITAL PROCEDURES W CC/MCC MS," $82,608 "
2,Eye,114 - ORBITAL PROCEDURES W/O CC/MCC MS," $96,177 "
2,Eye,115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT MS," $72,532 "
2,Eye,116 - INTRAOCULAR PROCEDURES W CC/MCC MS," $68,015 "
2,Eye,121 - ACUTE MAJOR EYE INFECTIONS W CC/MCC MS," $29,439 "
2,Eye,122 - ACUTE MAJOR EYE INFECTIONS W/O CC/MCC MS," $30,957 "
2,Eye,123 - NEUROLOGICAL EYE DISORDERS MS," $30,349 "
2,Eye,124 - OTHER DISORDERS OF THE EYE W MCC MS," $62,132 "
2,Eye,125 - OTHER DISORDERS OF THE EYE W/O MCC MS," $35,100 "
2,Eye,,
3,"Ear, Nose, Mouth & Throat",129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE MS," $73,046 "
3,"Ear, Nose, Mouth & Throat",130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC MS," $56,002 "
3,"Ear, Nose, Mouth & Throat",131 - CRANIAL/FACIAL PROCEDURES W CC/MCC MS," $96,671 "
3,"Ear, Nose, Mouth & Throat",132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC MS," $57,055 "
3,"Ear, Nose, Mouth & Throat","133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC MS"," $57,440 "
3,"Ear, Nose, Mouth & Throat","134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC MS"," $49,004 "
3,"Ear, Nose, Mouth & Throat",135 - SINUS & MASTOID PROCEDURES W CC/MCC MS," $61,051 "
3,"Ear, Nose, Mouth & Throat",136 - SINUS & MASTOID PROCEDURES W/O CC/MCC MS," $57,064 "
3,"Ear, Nose, Mouth & Throat",137 - MOUTH PROCEDURES W CC/MCC MS," $43,559 "
3,"Ear, Nose, Mouth & Throat",138 - MOUTH PROCEDURES W/O CC/MCC MS," $32,521 "
3,"Ear, Nose, Mouth & Throat",139 - SALIVARY GLAND PROCEDURES MS," $54,370 "
3,"Ear, Nose, Mouth & Throat","146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC MS"," $30,620 "
3,"Ear, Nose, Mouth & Throat","147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC MS"," $24,552 "
3,"Ear, Nose, Mouth & Throat","148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC MS"," $23,417 "
3,"Ear, Nose, Mouth & Throat",149 - DYSEQUILIBRIUM MS," $25,365 "
3,"Ear, Nose, Mouth & Throat",150 - EPISTAXIS W MCC MS," $57,939 "
3,"Ear, Nose, Mouth & Throat",151 - EPISTAXIS W/O MCC MS," $25,193 "
3,"Ear, Nose, Mouth & Throat",152 - OTITIS MEDIA & URI W MCC MS," $19,810 "
3,"Ear, Nose, Mouth & Throat",153 - OTITIS MEDIA & URI W/O MCC MS," $16,829 "
3,"Ear, Nose, Mouth & Throat","154 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC MS"," $46,358 "
3,"Ear, Nose, Mouth & Throat","155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC MS"," $38,943 "
3,"Ear, Nose, Mouth & Throat","156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC MS"," $22,508 "
3,"Ear, Nose, Mouth & Throat",157 - DENTAL & ORAL DISEASES W MCC MS," $60,015 "
3,"Ear, Nose, Mouth & Throat",158 - DENTAL & ORAL DISEASES W CC MS," $32,537 "
3,"Ear, Nose, Mouth & Throat",159 - DENTAL & ORAL DISEASES W/O CC/MCC MS," $35,344 "
3,"Ear, Nose, Mouth & Throat",,
4,Respiratory System,163 - MAJOR CHEST PROCEDURES W MCC MS," $157,210 "
4,Respiratory System,164 - MAJOR CHEST PROCEDURES W CC MS," $78,589 "
4,Respiratory System,165 - MAJOR CHEST PROCEDURES W/O CC/MCC MS," $60,567 "
4,Respiratory System,166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC MS," $122,891 "
4,Respiratory System,167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC MS," $51,437 "
4,Respiratory System,168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC MS," $47,728 "
4,Respiratory System,175 - PULMONARY EMBOLISM W MCC MS," $45,216 "
4,Respiratory System,176 - PULMONARY EMBOLISM W/O MCC MS," $18,880 "
4,Respiratory System,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC MS," $79,265 "
4,Respiratory System,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC MS," $27,585 "
4,Respiratory System,179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC MS," $27,917 "
4,Respiratory System,180 - RESPIRATORY NEOPLASMS W MCC MS," $35,667 "
4,Respiratory System,181 - RESPIRATORY NEOPLASMS W CC MS," $33,582 "
4,Respiratory System,182 - RESPIRATORY NEOPLASMS W/O CC/MCC MS," $62,684 "
4,Respiratory System,183 - MAJOR CHEST TRAUMA W MCC MS," $65,380 "
4,Respiratory System,184 - MAJOR CHEST TRAUMA W CC MS," $51,217 "
4,Respiratory System,185 - MAJOR CHEST TRAUMA W/O CC/MCC MS," $52,826 "
4,Respiratory System,186 - PLEURAL EFFUSION W MCC MS," $35,614 "
4,Respiratory System,187 - PLEURAL EFFUSION W CC MS," $21,786 "
4,Respiratory System,188 - PLEURAL EFFUSION W/O CC/MCC MS," $16,650 "
4,Respiratory System,189 - PULMONARY EDEMA & RESPIRATORY FAILURE MS," $38,439 "
4,Respiratory System,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC MS," $29,281 "
4,Respiratory System,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC MS," $21,789 "
4,Respiratory System,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC MS," $17,326 "
4,Respiratory System,193 - SIMPLE PNEUMONIA & PLEURISY W MCC MS," $33,446 "
4,Respiratory System,194 - SIMPLE PNEUMONIA & PLEURISY W CC MS," $20,864 "
4,Respiratory System,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC MS," $12,866 "
4,Respiratory System,196 - INTERSTITIAL LUNG DISEASE W MCC MS," $80,420 "
4,Respiratory System,197 - INTERSTITIAL LUNG DISEASE W CC MS," $46,733 "
4,Respiratory System,198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC MS," $35,587 "
4,Respiratory System,199 - PNEUMOTHORAX W MCC MS," $57,794 "
4,Respiratory System,200 - PNEUMOTHORAX W CC MS," $51,342 "
4,Respiratory System,201 - PNEUMOTHORAX W/O CC/MCC MS," $17,647 "
4,Respiratory System,202 - BRONCHITIS & ASTHMA W CC/MCC MS," $24,553 "
4,Respiratory System,203 - BRONCHITIS & ASTHMA W/O CC/MCC MS," $17,925 "
4,Respiratory System,204 - RESPIRATORY SIGNS & SYMPTOMS MS," $23,222 "
4,Respiratory System,205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC MS," $53,392 "
4,Respiratory System,206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC MS," $28,133 "
4,Respiratory System,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS MS," $262,119 "
4,Respiratory System,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS MS," $92,360 "
4,Respiratory System,,
5,Circulatory System,215 - OTHER HEART ASSIST SYSTEM IMPLANT MS," $324,017 "
5,Circulatory System,216 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC MS," $305,759 "
5,Circulatory System,217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC MS," $226,805 "
5,Circulatory System,219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC MS," $204,156 "
5,Circulatory System,220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC MS," $148,584 "
5,Circulatory System,221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC MS," $121,578 "
5,Circulatory System,222 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC MS," $235,179 "
5,Circulatory System,223 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC MS," $109,814 "
5,Circulatory System,224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC MS," $204,025 "
5,Circulatory System,225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC MS," $146,542 "
5,Circulatory System,226 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC MS," $211,644 "
5,Circulatory System,227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC MS," $157,244 "
5,Circulatory System,228 - OTHER CARDIOTHORACIC PROCEDURES W MCC MS," $219,302 "
5,Circulatory System,229 - OTHER CARDIOTHORACIC PROCEDURES W/O MCC MS," $128,222 "
5,Circulatory System,231 - CORONARY BYPASS W PTCA W MCC MS," $248,395 "
5,Circulatory System,232 - CORONARY BYPASS W PTCA W/O MCC MS," $189,002 "
5,Circulatory System,233 - CORONARY BYPASS W CARDIAC CATH W MCC MS," $227,982 "
5,Circulatory System,234 - CORONARY BYPASS W CARDIAC CATH W/O MCC MS," $193,583 "
5,Circulatory System,235 - CORONARY BYPASS W/O CARDIAC CATH W MCC MS," $160,831 "
5,Circulatory System,236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC MS," $122,208 "
5,Circulatory System,239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC MS," $136,953 "
5,Circulatory System,240 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC MS," $92,718 "
5,Circulatory System,242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC MS," $81,529 "
5,Circulatory System,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC MS," $70,597 "
